Osimertinib + antiangiogenesis,.,.,.,.,.,.,.,.,.,.,.,5.26 (0.90 to  30.89),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1.61 (0.19 to   13.48),antiangiogenesis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.56 (2.05 to  10.15),.,29.90 (1.74 to 513.78),.,.,.,.,.
0.86 (0.02 to   30.08),0.54 (0.03 to   11.24),Erlotinib + MMP inhibitor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9.65 (0.51 to 182.48),.,.,.,.,.,.,.
1.33 (0.04 to   48.21),0.83 (0.04 to   19.11),1.54 (0.02 to  106.83),Icotinib,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7.07 (0.36 to 137.79),.,.,.,.,.
3.23 (0.48 to   21.62),2.01 (0.53 to    7.62),3.74 (0.16 to   86.33),2.43 (0.10 to   58.20),Amivantamab  +  Lazertinib,.,.,.,.,.,.,1.35 (0.59 to   3.09),1.68 (0.83 to   3.39),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3.17 (0.25 to   39.33),1.97 (0.35 to   11.09),3.66 (0.13 to  101.49),2.38 (0.08 to   72.94),0.98 (0.15 to    6.53),Erlotinib + HER3 inhibitor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.63 (0.56 to  12.36),.,.,.,.,.,.,.
3.47 (0.47 to   25.39),2.16 (0.49 to    9.58),4.01 (0.16 to   99.34),2.61 (0.10 to   67.40),1.07 (0.34 to    3.37),1.10 (0.15 to    8.18),Osimertinib + chemotherapy,.,.,.,.,.,1.52 (0.61 to   3.77),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2.98 (0.14 to   62.36),1.85 (0.15 to   22.43),3.44 (0.08 to  151.98),2.24 (0.05 to   94.40),0.92 (0.07 to   11.70),0.94 (0.05 to   16.16),0.86 (0.06 to   11.98),Gefitinib + chemotherapy,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.16 (0.32 to  30.85),.,.,.,.,.
3.69 (0.27 to   50.04),2.30 (0.33 to   15.97),4.27 (0.14 to  134.17),2.78 (0.09 to   82.97),1.14 (0.15 to    8.44),1.17 (0.11 to   12.50),1.07 (0.13 to    8.86),1.24 (0.07 to   20.68),Almonertinib,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.55 (0.49 to  13.28),.,.,.,.,.
3.10 (0.07 to  137.87),1.93 (0.07 to   56.17),3.59 (0.04 to  296.50),2.33 (0.03 to  185.34),0.96 (0.03 to   28.94),0.98 (0.03 to   37.22),0.89 (0.03 to   28.96),1.04 (0.02 to   53.57),0.84 (0.02 to   31.14),Gefitinib + PARP inhibitor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.03 (0.12 to  75.44),.,.,.,.,.
