Osimertinib + antiangiogenesis,.,.,.,.,.,.,.,.,.,3.04 (1.57 to   5.89),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1.21 (0.37 to    3.90),antiangiogenesis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5.75 (0.94 to  35.22),.,.,.,.,.,4.89 (2.20 to  10.85),29.90 (1.74 to 513.78),.,.,.,.,.,.,.,.,.
1.21 (0.33 to    4.49),1.00 (0.31 to    3.21),Rociletinib,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5.59 (2.24 to  13.96),.,.,.,.,.,.,.,.,.,.
0.90 (0.04 to   21.78),0.75 (0.03 to   17.68),0.75 (0.03 to   18.71),Befotertinib,.,1.12 (0.68 to   1.86),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1.91 (0.73 to    4.97),1.58 (0.49 to    5.11),1.58 (0.43 to    5.85),2.12 (0.09 to   50.74),Amivantamab  +  Lazertinib,.,.,.,1.35 (0.59 to   3.09),.,1.68 (0.83 to   3.39),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1.01 (0.04 to   23.52),0.84 (0.04 to   19.09),0.84 (0.03 to   20.21),1.12 (0.68 to    1.86),0.53 (0.02 to   12.22),Icotinib,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7.07 (0.36 to 137.79),.,.,.,.,.,.,.,.,.
2.36 (1.06 to    5.26),1.96 (0.67 to    5.72),1.95 (0.58 to    6.62),2.62 (0.11 to   61.03),1.24 (0.54 to    2.83),2.33 (0.10 to   52.16),Osimertinib + chemotherapy,.,.,.,1.29 (0.82 to   2.03),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2.10 (0.32 to   13.83),1.74 (0.29 to   10.37),1.73 (0.27 to   11.29),2.33 (0.07 to   76.80),1.10 (0.17 to    7.24),2.07 (0.07 to   65.91),0.89 (0.14 to    5.50),Erlotinib + MMP inhibitor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.22 (0.63 to  16.53),.,.,.,.,.,.,.,.,.,.
2.79 (0.97 to    7.97),2.31 (0.68 to    7.82),2.30 (0.59 to    8.92),3.09 (0.13 to   74.45),1.46 (0.66 to    3.25),2.75 (0.12 to   63.66),1.18 (0.46 to    3.00),1.33 (0.20 to    9.02),Lazertinib,.,1.25 (0.51 to   3.05),.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.52 (0.25 to   9.17),.,.,.,.,.,.,.,.,.
2.57 (0.42 to   15.68),2.13 (0.39 to   11.71),2.12 (0.35 to   12.80),2.85 (0.09 to   90.27),1.35 (0.22 to    8.21),2.54 (0.08 to   77.44),1.09 (0.19 to    6.22),1.22 (0.13 to   11.61),0.92 (0.15 to    5.81),Erlotinib + HER3 inhibitor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.63 (0.56 to  12.36),.,.,.,.,.,.,.,.,.,.
3.04 (1.57 to    5.89),2.52 (0.96 to    6.67),2.52 (0.81 to    7.82),3.38 (0.15 to   76.15),1.59 (0.80 to    3.18),3.01 (0.14 to   65.06),1.29 (0.82 to    2.03),1.45 (0.25 to    8.49),1.09 (0.48 to    2.48),1.19 (0.22 to    6.39),Osimertinib,.,.,.,.,.,.,2.52 (0.72 to   8.85),.,.,.,.,.,.,.,.,2.41 (1.39 to   4.15),.,.,4.03 (0.18 to  91.91),2.86 (1.68 to   4.88),.,.,11.64 (0.63 to 214.54),.
2.36 (0.08 to   69.10),1.96 (0.07 to   56.16),1.95 (0.06 to   59.24),2.62 (0.03 to  214.34),1.24 (0.04 to   35.91),2.33 (0.03 to  185.34),1.00 (0.04 to   28.28),1.13 (0.03 to   44.25),0.85 (0.03 to   24.73),0.92 (0.02 to   34.78),0.78 (0.03 to   21.27),Gefitinib + PARP inhibitor,.,.,.,.,.,.,.,.,.,.,.,.,.,3.03 (0.12 to  75.44),.,.,.,.,.,.,.,.,.
3.85 (1.29 to   11.52),3.20 (1.28 to    7.95),3.19 (1.09 to    9.32),4.28 (0.18 to   98.91),2.02 (0.68 to    6.03),3.80 (0.17 to   84.53),1.63 (0.61 to    4.37),1.84 (0.33 to   10.34),1.38 (0.44 to    4.35),1.50 (0.29 to    7.77),1.27 (0.53 to    3.03),1.63 (0.06 to   45.84),Erlotinib + MET inhibitor,.,.,.,.,.,.,.,.,.,.,.,1.76 (1.00 to   3.08),.,.,.,.,.,.,.,.,.,.
