Gefitinib + antiangiogenesis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30.38 (7.93 to 116.35),.,.,.,.,.,.,.,.
1.37 (0.05 to    37.56),Almonertinib,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22.13 (1.08 to 455.39),.,.,.,.,.,.,.,.
5.43 (0.95 to    31.14),3.95 (0.16 to    99.32),antiangiogenesis,6.34 (1.24 to  32.40),.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.73 (0.92 to   8.11),15.60 (1.56 to 155.87),.,.,.,.,.,.,.,.
8.83 (1.74 to    44.96),6.43 (0.27 to   151.80),1.63 (0.65 to     4.10),Erlotinib + antiangiogenesis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.74 (2.42 to   5.78),.,.,.,.,.,.,.,.,.
9.18 (1.31 to    64.11),6.69 (0.24 to   187.69),1.69 (0.32 to     8.88),1.04 (0.23 to     4.68),Amivantamab  +  Lazertinib,.,.,.,.,.,.,.,.,.,.,2.22 (0.66 to   7.41),3.28 (1.02 to  10.56),.,.,.,.,.,.,.,.,.,.,.
8.53 (0.99 to    73.67),6.21 (0.19 to   198.23),1.57 (0.28 to     8.74),0.97 (0.21 to     4.48),0.93 (0.12 to     7.32),Erlotinib + IGF-1R inhibitor,.,.,.,.,.,.,.,.,.,.,.,.,3.50 (0.80 to  15.31),.,.,.,.,.,.,.,.,.
5.91 (0.16 to   212.84),4.30 (0.05 to   384.79),1.09 (0.04 to    30.65),0.67 (0.03 to    17.22),0.64 (0.02 to    21.96),0.69 (0.02 to    23.92),Erlotinib + ER inhibitor,.,.,.,.,.,.,.,.,.,.,.,5.06 (0.20 to 126.59),.,.,.,.,.,.,.,.,.
9.34 (0.85 to   102.22),6.80 (0.18 to   252.78),1.72 (0.21 to    14.22),1.06 (0.15 to     7.70),1.02 (0.10 to    10.48),1.10 (0.10 to    12.52),1.58 (0.04 to    67.83),Afatinib + Cetuximab,.,.,.,.,2.13 (0.37 to  12.31),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10.62 (1.13 to    99.82),7.74 (0.23 to   260.37),1.96 (0.27 to    13.99),1.20 (0.19 to     7.54),1.16 (0.19 to     7.09),1.25 (0.12 to    12.63),1.80 (0.05 to    71.45),1.14 (0.09 to    14.74),Osimertinib + chemotherapy,.,.,.,.,.,.,.,2.66 (0.64 to  11.01),.,.,.,.,.,.,.,.,.,.,.
9.39 (0.21 to   426.17),6.84 (0.06 to   736.83),1.73 (0.05 to    62.36),1.06 (0.03 to    35.26),1.02 (0.02 to    44.12),1.10 (0.03 to    48.01),1.59 (0.01 to   181.46),1.01 (0.02 to    53.79),0.88 (0.02 to    44.00),Erlotinib + HGF inhibitor,.,.,.,.,.,.,.,.,3.18 (0.10 to 102.77),.,.,.,.,.,.,.,.,.
