Gefitinib + antiangiogenesis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11.88 (4.41 to  32.01),.,.,.,.,.,.,.,.,.,.
1.43 (0.31 to    6.67),Osimertinib + antiangiogenesis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7.99 (3.57 to  17.90),.,.,.,.,.,.,.,.,.,.,.,.
1.79 (0.46 to    6.89),1.25 (0.32 to    4.88),antiangiogenesis,.,1.97 (0.55 to   7.04),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15.60 (1.66 to 146.70),6.24 (2.81 to  13.85),.,.,.,.,.,.,.,.,.
1.88 (0.42 to    8.34),1.32 (0.39 to    4.43),1.05 (0.28 to    3.99),Amivantamab  +  Lazertinib,.,.,.,.,.,.,.,.,.,4.41 (1.68 to  11.59),.,.,.,.,6.23 (2.42 to  16.01),.,.,.,.,.,.,.,.,.,.,.,.
2.96 (0.87 to   10.11),2.07 (0.61 to    7.06),1.66 (0.78 to    3.50),1.58 (0.48 to    5.24),Erlotinib + antiangiogenesis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.21 (3.00 to   5.91),.,.,.,.,.,.,.,.,.
2.92 (0.65 to   13.15),2.05 (0.42 to    9.94),1.63 (0.43 to    6.26),1.56 (0.33 to    7.29),0.99 (0.29 to    3.31),Gefitinib + ER inhibitor,.,.,1.60 (0.49 to   5.23),.,.,.,.,.,.,.,.,.,.,.,3.47 (0.97 to  12.37),5.25 (1.26 to  21.85),.,.,.,.,.,.,.,.,.
3.74 (0.81 to   17.24),2.62 (0.57 to   12.03),2.09 (0.63 to    6.93),1.99 (0.44 to    8.97),1.26 (0.45 to    3.51),1.28 (0.28 to    5.81),Erlotinib + IGF-1R inhibitor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.27 (1.25 to   8.60),.,.,.,.,.,.,.,.,.
2.41 (0.08 to   71.96),1.68 (0.06 to   50.32),1.34 (0.05 to   35.14),1.28 (0.04 to   37.93),0.81 (0.03 to   19.99),0.82 (0.03 to   24.47),0.64 (0.02 to   17.94),Erlotinib + COX2 inhibitor,.,.,.,.,.,.,.,.,.,.,.,.,.,5.10 (0.21 to 123.24),.,.,.,.,.,.,.,.,.
4.68 (1.00 to   22.01),3.28 (0.65 to   16.60),2.62 (0.65 to   10.53),2.49 (0.51 to   12.19),1.58 (0.45 to    5.59),1.60 (0.49 to    5.23),1.25 (0.26 to    5.92),1.95 (0.06 to   58.98),Erlotinib + ER inhibitor,.,.,.,.,.,.,.,.,.,.,.,2.17 (0.58 to   8.11),3.28 (0.75 to  14.26),.,.,.,.,.,.,.,.,.
5.31 (1.17 to   24.03),3.72 (0.72 to   19.16),2.97 (0.69 to   12.78),2.83 (0.57 to   13.90),1.79 (0.46 to    6.91),1.82 (0.36 to    9.05),1.42 (0.28 to    7.22),2.21 (0.07 to   69.12),1.13 (0.22 to    5.88),Almonertinib,.,.,.,.,.,.,.,.,.,.,2.24 (0.72 to   6.99),.,.,.,.,.,.,.,.,.,.
6.97 (2.08 to   23.41),4.88 (1.55 to   15.40),3.90 (1.59 to    9.58),3.71 (1.19 to   11.56),2.35 (1.21 to    4.59),2.39 (0.69 to    8.23),1.86 (0.60 to    5.74),2.90 (0.11 to   73.87),1.49 (0.41 to    5.40),1.31 (0.35 to    4.99),Chemotherapy,.,.,.,.,2.04 (0.71 to   5.89),.,1.65 (0.18 to  15.33),1.95 (0.64 to   6.01),.,2.69 (0.74 to   9.86),1.18 (0.55 to   2.52),.,.,.,.,.,.,.,.,.
5.82 (0.34 to   98.94),4.08 (0.24 to   69.17),3.25 (0.23 to   46.97),3.10 (0.18 to   52.05),1.97 (0.15 to   26.36),1.99 (0.12 to   33.59),1.56 (0.10 to   24.32),2.42 (0.04 to  145.42),1.24 (0.07 to   21.44),1.10 (0.06 to   19.70),0.83 (0.06 to   11.68),DHFR inhibitor,.,.,.,.,.,.,.,.,.,2.11 (0.16 to  27.62),.,.,.,.,.,.,.,.,.
7.34 (1.41 to   38.09),5.14 (1.43 to   18.49),4.10 (0.93 to   18.00),3.91 (1.02 to   15.02),2.48 (0.64 to    9.61),2.51 (0.47 to   13.54),1.96 (0.38 to   10.02),3.05 (0.10 to   95.73),1.57 (0.28 to    8.77),1.38 (0.24 to    7.87),1.05 (0.29 to    3.81),1.26 (0.07 to   22.68),Osimertinib + chemotherapy,.,.,.,.,.,1.56 (0.58 to   4.20),.,.,.,.,.,.,.,.,.,.,.,.
8.51 (2.29 to   31.57),5.96 (1.88 to   18.87),4.76 (1.48 to   15.32),4.53 (1.80 to   11.42),2.87 (1.04 to    7.95),2.91 (0.73 to   11.66),2.27 (0.58 to    8.89),3.54 (0.13 to   98.64),1.82 (0.43 to    7.61),1.60 (0.39 to    6.67),1.22 (0.47 to    3.18),1.46 (0.09 to   22.82),1.16 (0.32 to    4.22),Lazertinib,.,.,.,.,1.41 (0.53 to   3.78),.,1.31 (0.45 to   3.80),.,.,.,.,.,.,.,.,.,.
9.37 (2.92 to   30.08),6.56 (1.73 to   24.81),5.23 (1.74 to   15.75),4.99 (1.40 to   17.80),3.16 (1.22 to    8.18),3.21 (0.88 to   11.62),2.50 (0.67 to    9.32),3.89 (0.14 to  106.44),2.00 (0.52 to    7.62),1.76 (0.48 to    6.44),1.34 (0.53 to    3.40),1.61 (0.11 to   24.52),1.28 (0.30 to    5.45),1.10 (0.38 to    3.16),Gefitinib + chemotherapy,.,.,.,.,.,1.27 (0.69 to   2.35),.,.,.,.,.,.,.,.,.,.
9.98 (2.84 to   35.06),6.99 (1.97 to   24.79),5.58 (2.09 to   14.88),5.32 (1.54 to   18.35),3.37 (1.55 to    7.33),3.42 (0.94 to   12.40),2.67 (0.81 to    8.80),4.15 (0.16 to  108.35),2.13 (0.56 to    8.13),1.88 (0.48 to    7.44),1.43 (0.70 to    2.94),1.71 (0.12 to   24.71),1.36 (0.34 to    5.48),1.17 (0.41 to    3.39),1.07 (0.40 to    2.86),Afatinib,1.05 (0.36 to   3.09),.,.,.,1.12 (0.30 to   4.21),1.23 (0.39 to   3.87),.,.,3.86 (0.68 to  21.77),.,.,.,.,.,.
10.52 (2.01 to   54.95),7.37 (1.40 to   38.77),5.88 (1.37 to   25.20),5.60 (1.09 to   28.89),3.55 (0.94 to   13.38),3.60 (0.67 to   19.29),2.81 (0.56 to   14.01),4.37 (0.14 to  135.69),2.25 (0.40 to   12.50),1.98 (0.35 to   11.36),1.51 (0.41 to    5.49),1.81 (0.10 to   32.08),1.43 (0.25 to    8.33),1.24 (0.27 to    5.59),1.12 (0.26 to    4.83),1.05 (0.36 to    3.09),Afatinib + Cetuximab,.,.,.,.,.,.,.,.,.,.,.,.,.,.
11.09 (2.40 to   51.16),7.77 (1.70 to   35.44),6.20 (1.84 to   20.92),5.91 (1.32 to   26.47),3.74 (1.31 to   10.67),3.80 (0.83 to   17.36),2.96 (0.74 to   11.83),4.61 (0.16 to  129.65),2.37 (0.50 to   11.29),2.09 (0.41 to   10.65),1.59 (0.53 to    4.76),1.90 (0.12 to   30.05),1.51 (0.30 to    7.68),1.30 (0.33 to    5.08),1.18 (0.32 to    4.42),1.11 (0.34 to    3.66),1.05 (0.21 to    5.25),Erlotinib + chemotherapy,.,.,.,1.18 (0.41 to   3.38),.,.,.,.,.,.,.,.,.
11.41 (3.07 to   42.42),7.99 (3.57 to   17.90),6.38 (2.13 to   19.06),6.08 (2.45 to   15.08),3.85 (1.53 to    9.68),3.91 (1.00 to   15.22),3.05 (0.84 to   11.11),4.74 (0.18 to  128.60),2.44 (0.60 to    9.95),2.15 (0.52 to    8.97),1.64 (0.72 to    3.71),1.96 (0.13 to   29.57),1.56 (0.58 to    4.20),1.34 (0.59 to    3.06),1.22 (0.42 to    3.51),1.14 (0.43 to    3.03),1.08 (0.25 to    4.63),1.03 (0.28 to    3.72),Osimertinib,.,.,.,.,.,1.70 (0.45 to   6.39),1.61 (0.55 to   4.73),2.36 (0.18 to  30.35),.,.,.,.
15.32 (0.59 to  399.58),10.73 (0.41 to  279.42),8.56 (0.38 to  194.00),8.16 (0.32 to  210.53),5.17 (0.24 to  110.06),5.24 (0.20 to  135.81),4.09 (0.17 to   99.32),6.37 (0.08 to  520.27),3.27 (0.12 to   86.41),2.89 (0.11 to   78.98),2.20 (0.10 to   48.46),2.63 (0.05 to  141.22),2.09 (0.08 to   57.24),1.80 (0.07 to   43.64),1.64 (0.07 to   38.84),1.53 (0.07 to   34.73),1.46 (0.05 to   39.44),1.38 (0.06 to   33.79),1.34 (0.06 to   31.59),Erlotinib + HGF inhibitor,.,0.80 (0.04 to  16.71),.,.,.,.,.,.,.,.,.
