Gefitinib/Erlotinib,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.38 (0.13 to   1.07),.,.,.,.,.,.,.,.,.,.,.,.
0.95 (0.11 to    8.29),Erlotinib + MMP inhibitor,.,.,.,.,.,.,.,.,.,0.49 (0.09 to   2.78),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1.46 (0.05 to   47.25),1.54 (0.04 to   59.51),Erlotinib + COX2 inhibitor,.,.,.,.,.,.,.,.,0.32 (0.01 to   8.06),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1.45 (0.04 to   47.12),1.52 (0.04 to   59.33),0.99 (0.01 to   94.95),Erlotinib + Autophagy inhibitor,.,.,.,.,.,.,.,0.32 (0.01 to   8.22),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
0.76 (0.10 to    5.75),0.80 (0.06 to   10.40),0.52 (0.01 to   21.92),0.53 (0.01 to   22.33),Osimertinib + antiangiogenesis,.,.,.,.,.,.,.,.,.,.,0.49 (0.09 to   2.78),.,.,.,.,.,.,.,.,.,.,.,.
0.71 (0.10 to    5.26),0.74 (0.07 to    7.47),0.49 (0.01 to   17.16),0.49 (0.01 to   17.49),0.93 (0.08 to   10.58),Erlotinib + HER3 inhibitor,.,.,.,.,.,0.66 (0.14 to   3.04),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
0.59 (0.16 to    2.19),0.62 (0.10 to    3.96),0.40 (0.01 to   10.82),0.41 (0.01 to   11.04),0.77 (0.11 to    5.17),0.83 (0.16 to    4.40),Gefitinib,1.82 (0.49 to   6.78),.,0.50 (0.05 to   5.60),.,.,.,.,0.52 (0.20 to   1.34),.,.,0.64 (0.21 to   1.95),.,0.39 (0.12 to   1.25),0.38 (0.11 to   1.34),.,.,.,.,.,.,0.04 (0.00 to   0.64)
0.57 (0.16 to    2.07),0.60 (0.10 to    3.64),0.39 (0.01 to   10.20),0.39 (0.01 to   10.40),0.75 (0.11 to    4.92),0.80 (0.16 to    4.02),0.97 (0.48 to    1.97),Placebo,.,0.61 (0.20 to   1.88),.,1.42 (0.73 to   2.78),.,.,0.30 (0.07 to   1.35),0.56 (0.19 to   1.65),.,.,.,.,.,.,.,.,.,.,.,.
0.62 (0.12 to    3.19),0.65 (0.09 to    4.78),0.42 (0.01 to   12.32),0.43 (0.01 to   12.57),0.81 (0.09 to    6.89),0.87 (0.14 to    5.39),1.05 (0.31 to    3.55),1.08 (0.35 to    3.34),Erlotinib + chemotherapy,.,.,0.76 (0.28 to   2.08),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
0.54 (0.13 to    2.24),0.57 (0.09 to    3.63),0.37 (0.01 to    9.96),0.38 (0.01 to   10.17),0.71 (0.10 to    5.13),0.76 (0.14 to    4.03),0.92 (0.38 to    2.22),0.95 (0.46 to    1.96),0.88 (0.26 to    2.94),Dacomitinib,.,0.64 (0.28 to   1.44),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
