Rociletinib,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8.64 (2.93 to  25.45),.,.,.,.,.,.,.,.,.,.,.
1.91 (0.46 to    7.88),antiangiogenesis,.,.,.,.,.,.,.,.,.,.,.,.,.,29.90 (1.74 to 513.78),.,.,.,3.62 (1.39 to   9.41),.,.,.,.,.,.,.,.,.,.,.
1.97 (0.37 to   10.55),1.03 (0.22 to    4.91),Osimertinib + antiangiogenesis,.,.,.,.,.,2.33 (1.14 to   4.78),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3.46 (0.88 to   13.54),1.81 (0.52 to    6.25),1.76 (0.38 to    8.12),Erlotinib + MET inhibitor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.50 (1.09 to   5.76),.,.,.,.,.,.,.,.,.,.,.
3.74 (0.75 to   18.69),1.96 (0.44 to    8.64),1.90 (0.78 to    4.63),1.08 (0.25 to    4.64),Osimertinib + chemotherapy,.,.,.,1.23 (0.72 to   2.08),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3.11 (0.26 to   37.81),1.62 (0.15 to   18.02),1.58 (0.17 to   14.33),0.90 (0.08 to    9.94),0.83 (0.10 to    7.14),Amivantamab  +  Lazertinib,0.76 (0.13 to   4.57),.,3.06 (0.32 to  29.58),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3.39 (0.31 to   36.94),1.78 (0.18 to   17.38),1.72 (0.21 to   14.48),0.98 (0.10 to    9.66),0.91 (0.11 to    7.20),1.09 (0.19 to    6.23),Lazertinib,.,4.05 (0.36 to  44.89),.,.,.,.,.,.,0.33 (0.01 to   8.23),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3.89 (0.53 to   28.65),2.04 (0.30 to   13.62),1.98 (0.26 to   14.86),1.13 (0.17 to    7.34),1.04 (0.15 to    7.36),1.25 (0.08 to   19.34),1.15 (0.08 to   15.97),Afatinib + HMGCR inhibitor,.,.,1.45 (0.37 to   5.69),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
4.59 (1.01 to   20.97),2.40 (0.60 to    9.62),2.33 (1.14 to    4.78),1.33 (0.34 to    5.15),1.23 (0.72 to    2.08),1.48 (0.18 to   11.93),1.35 (0.18 to   10.05),1.18 (0.18 to    7.77),Osimertinib,.,.,.,.,2.49 (0.54 to  11.53),.,.,.,.,.,.,.,.,2.34 (1.26 to   4.34),4.03 (0.18 to  91.91),.,.,.,.,3.59 (1.72 to   7.50),11.64 (0.63 to 214.54),.
5.15 (1.01 to   26.32),2.69 (0.59 to   12.36),2.61 (0.46 to   14.93),1.49 (0.34 to    6.55),1.37 (0.26 to    7.33),1.66 (0.13 to   21.04),1.52 (0.13 to   17.24),1.32 (0.17 to   10.42),1.12 (0.23 to    5.48),Erlotinib + chemotherapy,.,.,.,1.03 (0.10 to  10.08),.,.,.,.,.,1.94 (0.51 to   7.41),.,.,.,.,.,.,.,.,.,.,.
5.64 (1.32 to   24.12),2.95 (0.79 to   11.04),2.86 (0.65 to   12.61),1.63 (0.45 to    5.88),1.51 (0.37 to    6.11),1.82 (0.17 to   19.42),1.66 (0.18 to   15.77),1.45 (0.37 to    5.69),1.23 (0.34 to    4.49),1.10 (0.23 to    5.15),Afatinib,.,.,0.16 (0.01 to   3.97),.,0.33 (0.01 to   8.14),.,.,.,2.56 (0.80 to   8.23),1.62 (0.51 to   5.17),.,.,.,.,.,.,.,2.52 (0.29 to  21.72),.,.
6.85 (1.05 to   44.78),3.58 (0.67 to   19.25),3.48 (0.54 to   22.35),1.98 (0.35 to   11.38),1.83 (0.30 to   11.02),2.21 (0.18 to   26.31),2.02 (0.21 to   19.84),1.76 (0.20 to   15.47),1.49 (0.27 to    8.30),1.33 (0.19 to    9.13),1.21 (0.22 to    6.59),Furmonertinib,.,.,.,1.15 (0.56 to   2.39),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
6.96 (0.62 to   77.75),3.64 (0.38 to   35.04),3.54 (0.32 to   38.95),2.01 (0.20 to   20.36),1.86 (0.18 to   19.50),2.24 (0.12 to   40.97),2.05 (0.13 to   31.85),1.79 (0.13 to   25.32),1.52 (0.15 to   14.96),1.35 (0.12 to   15.69),1.23 (0.13 to   11.95),1.02 (0.16 to    6.35),Gefitinib + chemotherapy,.,.,1.14 (0.21 to   6.10),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
7.35 (2.05 to   26.37),3.85 (1.26 to   11.73),3.73 (1.03 to   13.52),2.13 (0.72 to    6.25),1.96 (0.60 to    6.47),2.37 (0.25 to   22.41),2.17 (0.26 to   18.02),1.89 (0.33 to   10.93),1.60 (0.55 to    4.66),1.43 (0.38 to    5.34),1.30 (0.43 to    3.92),1.07 (0.24 to    4.76),1.06 (0.13 to    8.84),Chemotherapy,.,1.37 (0.26 to   7.30),.,.,.,1.10 (0.50 to   2.38),.,.,.,.,.,.,.,.,.,.,.
7.58 (1.24 to   46.32),3.97 (0.80 to   19.75),3.85 (0.64 to   23.10),2.19 (0.41 to   11.71),2.02 (0.36 to   11.37),2.44 (0.22 to   27.68),2.23 (0.24 to   20.78),1.95 (0.23 to   16.16),1.65 (0.32 to    8.52),1.47 (0.23 to    9.46),1.34 (0.27 to    6.76),1.11 (0.45 to    2.72),1.09 (0.19 to    6.34),1.03 (0.25 to    4.19),Almonertinib,1.04 (0.62 to   1.77),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
7.91 (1.40 to   44.64),4.14 (0.91 to   18.84),4.02 (0.72 to   22.25),2.29 (0.47 to   11.21),2.11 (0.41 to   10.91),2.55 (0.24 to   27.23),2.33 (0.27 to   20.34),2.03 (0.26 to   15.76),1.72 (0.36 to    8.15),1.54 (0.26 to    9.14),1.40 (0.30 to    6.45),1.15 (0.56 to    2.39),1.14 (0.21 to    6.10),1.08 (0.29 to    3.94),1.04 (0.62 to    1.77),Gefitinib,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8.29 (0.87 to   79.11),4.34 (0.49 to   38.45),4.21 (0.40 to   44.61),2.40 (0.28 to   20.57),2.21 (0.22 to   22.31),2.67 (0.13 to   53.63),2.44 (0.13 to   44.75),2.13 (0.16 to   28.52),1.80 (0.19 to   17.10),1.61 (0.16 to   16.52),1.47 (0.16 to   13.34),1.21 (0.10 to   14.83),1.19 (0.06 to   22.26),1.13 (0.14 to    9.15),1.09 (0.09 to   12.74),1.05 (0.10 to   11.54),DHFR inhibitor,.,.,1.04 (0.14 to   7.55),.,.,.,.,.,.,.,.,.,.,.
8.64 (0.88 to   84.91),4.52 (0.49 to   41.31),4.39 (0.40 to   47.82),2.50 (0.28 to   22.11),2.31 (0.22 to   23.93),2.78 (0.14 to   57.15),2.55 (0.14 to   47.72),2.22 (0.16 to   30.50),1.88 (0.19 to   18.36),1.68 (0.16 to   17.71),1.53 (0.16 to   14.33),1.26 (0.10 to   15.88),1.24 (0.06 to   23.73),1.17 (0.14 to    9.84),1.14 (0.10 to   13.64),1.09 (0.10 to   12.36),1.04 (0.06 to   17.56),Erlotinib + Autophagy inhibitor,.,1.00 (0.13 to   7.49),.,.,.,.,.,.,.,.,.,.,.
8.58 (1.12 to   65.49),4.49 (0.64 to   31.57),4.36 (0.51 to   37.34),2.48 (0.37 to   16.82),2.29 (0.28 to   18.58),2.76 (0.16 to   47.10),2.53 (0.16 to   39.09),2.20 (0.20 to   24.37),1.87 (0.25 to   14.15),1.67 (0.20 to   13.78),1.52 (0.21 to   10.98),1.25 (0.12 to   12.58),1.23 (0.08 to   19.46),1.17 (0.18 to    7.43),1.13 (0.12 to   10.76),1.08 (0.12 to    9.69),1.03 (0.08 to   14.27),0.99 (0.07 to   14.04),Erlotinib + HER3 inhibitor,1.01 (0.18 to   5.64),.,.,.,.,.,.,.,.,.,.,.
8.64 (2.93 to   25.45),4.52 (1.81 to   11.31),4.39 (1.21 to   15.86),2.50 (1.09 to    5.76),2.31 (0.70 to    7.59),2.78 (0.29 to   26.50),2.55 (0.30 to   21.41),2.22 (0.41 to   11.88),1.88 (0.65 to    5.46),1.68 (0.49 to    5.71),1.53 (0.58 to    4.05),1.26 (0.27 to    5.86),1.24 (0.14 to   10.73),1.17 (0.59 to    2.32),1.14 (0.27 to    4.87),1.09 (0.28 to    4.23),1.04 (0.14 to    7.55),1.00 (0.13 to    7.49),1.01 (0.18 to    5.64),Erlotinib,.,.,.,.,1.44 (0.89 to   2.33),2.00 (0.18 to  22.55),1.64 (0.73 to   3.66),1.81 (0.79 to   4.14),2.60 (0.52 to  12.89),.,9.00 (0.27 to 299.86)
9.14 (1.42 to   58.72),4.78 (0.83 to   27.72),4.64 (0.71 to   30.50),2.65 (0.47 to   14.90),2.44 (0.40 to   15.05),2.94 (0.21 to   41.19),2.69 (0.21 to   33.89),2.35 (0.39 to   14.11),1.99 (0.35 to   11.34),1.78 (0.26 to   12.29),1.62 (0.51 to    5.17),1.33 (0.17 to   10.38),1.31 (0.10 to   16.81),1.24 (0.25 to    6.16),1.21 (0.16 to    8.81),1.16 (0.17 to    7.87),1.10 (0.09 to   13.33),1.06 (0.09 to   13.14),1.07 (0.11 to   10.55),1.06 (0.23 to    4.81),Afatinib + Cetuximab,.,.,.,.,.,.,.,.,.,.
