Osimertinib + antiangiogenesis,.,.,.,.,.,.,.,.,.,14.25 (1.80 to 112.58),.,.,.,.,.,.,.,.,.,.,.,.
2.34 (0.12 to   45.32),Osimertinib + chemotherapy,.,.,.,.,.,.,.,.,6.09 (0.73 to  50.91),.,.,.,.,.,.,.,.,.,.,.,.
3.01 (0.10 to   88.76),1.29 (0.04 to   39.28),antiangiogenesis,.,.,.,.,.,.,.,.,.,.,.,5.53 (0.63 to  48.29),.,.,.,.,.,.,.,.
2.46 (0.03 to  226.21),1.05 (0.01 to   99.22),0.82 (0.01 to   88.18),Icotinib,.,.,.,.,.,.,.,.,.,7.07 (0.36 to 137.79),.,.,.,.,.,.,.,.,.
5.40 (0.09 to  337.22),2.31 (0.04 to  148.28),1.79 (0.04 to   86.72),2.19 (0.01 to  418.19),Erlotinib + MMP inhibitor,.,.,.,.,.,.,.,.,.,3.08 (0.12 to  76.92),.,.,.,.,.,.,.,.
5.73 (0.05 to  621.25),2.45 (0.02 to  272.26),1.90 (0.02 to  240.88),2.33 (0.03 to  185.34),1.06 (0.00 to  233.44),Gefitinib + PARP inhibitor,.,.,.,.,.,.,.,3.03 (0.12 to  75.44),.,.,.,.,.,.,.,.,.
6.49 (0.12 to  356.67),2.77 (0.05 to  156.98),2.16 (0.05 to   90.91),2.64 (0.02 to  454.84),1.20 (0.01 to  101.24),1.13 (0.01 to  225.44),Erlotinib + HER3 inhibitor,.,.,.,.,.,.,.,2.56 (0.12 to  54.10),.,.,.,.,.,.,.,.
8.23 (0.37 to  184.14),3.52 (0.15 to   81.73),2.73 (0.17 to   43.11),3.35 (0.04 to  297.06),1.53 (0.04 to   58.16),1.44 (0.01 to  150.31),1.27 (0.04 to   41.74),Erlotinib + IGF-1R inhibitor,.,.,.,.,.,.,2.02 (0.37 to  11.12),.,.,.,.,.,.,.,.
9.19 (0.59 to  142.70),3.93 (0.24 to   63.65),3.05 (0.29 to   31.65),3.74 (0.05 to  259.69),1.70 (0.06 to   47.80),1.60 (0.02 to  132.62),1.42 (0.06 to   33.83),1.12 (0.16 to    7.60),Erlotinib + antiangiogenesis,.,.,.,.,.,1.81 (0.75 to   4.35),.,.,.,.,.,.,.,.
11.18 (0.62 to  201.54),4.78 (0.25 to   89.70),3.71 (0.30 to   45.80),4.55 (0.06 to  348.41),2.07 (0.07 to   65.82),1.95 (0.02 to  177.24),1.72 (0.06 to   46.86),1.36 (0.16 to   11.39),1.22 (0.26 to    5.69),Erlotinib + MET inhibitor,.,.,.,.,1.49 (0.42 to   5.30),.,.,.,.,.,.,.,.
14.25 (1.80 to  112.58),6.09 (0.73 to   50.91),4.73 (0.32 to   68.99),5.79 (0.10 to  323.19),2.64 (0.07 to   94.90),2.49 (0.04 to  166.55),2.20 (0.07 to   67.94),1.73 (0.17 to   17.64),1.55 (0.26 to    9.40),1.27 (0.17 to    9.64),Osimertinib,2.46 (0.12 to  51.58),.,.,.,2.51 (0.29 to  21.59),.,.,.,2.48 (0.48 to  12.83),1.72 (0.76 to   3.87),.,7.10 (0.87 to  58.12)
14.43 (0.87 to  239.88),6.17 (0.36 to  106.89),4.79 (0.26 to   86.79),5.87 (0.11 to  300.75),2.67 (0.06 to  113.34),2.52 (0.04 to  155.57),2.22 (0.06 to   81.70),1.75 (0.13 to   22.87),1.57 (0.19 to   12.96),1.29 (0.13 to   12.91),1.01 (0.15 to    6.80),Chemotherapy,.,0.34 (0.01 to   8.44),2.77 (0.11 to  68.50),.,.,6.39 (0.26 to 158.01),.,.,.,.,.
16.63 (0.37 to  744.67),7.11 (0.15 to  328.26),5.53 (0.16 to  186.92),6.76 (0.05 to  995.49),3.08 (0.04 to  215.78),2.90 (0.02 to  495.61),2.56 (0.04 to  158.28),2.02 (0.08 to   52.49),1.81 (0.10 to   33.22),1.49 (0.07 to   31.47),1.17 (0.05 to   28.37),1.15 (0.04 to   33.68),Dacomitinib,.,1.00 (0.06 to  16.04),.,.,.,.,.,.,.,.
