Gefitinib/Erlotinib,.,.,.,.,.,.,.,.,.,.,.,0.14 (0.02 to   1.15),.,.,.,.,.,.,.,.,.,.
0.52 (0.00 to   56.43),Almonertinib,.,.,.,.,.,.,.,0.33 (0.01 to   8.23),.,.,.,.,.,.,.,.,.,.,.,.,.
0.28 (0.03 to    2.64),0.54 (0.01 to   37.25),Placebo,.,.,0.50 (0.06 to   4.48),.,.,0.40 (0.06 to   2.55),.,.,.,0.58 (0.26 to   1.31),.,.,.,.,.,.,.,.,.,.
0.32 (0.02 to    4.56),0.61 (0.01 to   51.19),1.14 (0.18 to    6.98),Amivantamab  +  Lazertinib,.,.,.,1.01 (0.09 to  11.22),.,.,.,.,0.40 (0.08 to   2.09),.,.,.,.,.,.,.,.,.,.
0.33 (0.01 to   11.72),0.64 (0.00 to   90.49),1.18 (0.07 to   19.57),1.04 (0.04 to   28.45),Erlotinib + chemotherapy,.,.,.,0.50 (0.04 to   5.65),.,.,.,.,.,.,.,.,.,.,.,.,.,.
0.23 (0.02 to    3.34),0.45 (0.01 to   34.46),0.83 (0.18 to    3.74),0.73 (0.07 to    7.33),0.71 (0.05 to   10.92),Afatinib,.,.,0.75 (0.17 to   3.39),.,.,0.16 (0.01 to   3.87),.,.,.,.,.,.,.,.,.,.,.
0.24 (0.00 to   14.40),0.46 (0.01 to   23.21),0.84 (0.02 to   30.06),0.74 (0.02 to   33.13),0.72 (0.01 to   58.77),1.01 (0.03 to   41.16),Gefitinib + chemotherapy,.,.,0.73 (0.08 to   7.09),.,.,.,.,.,.,.,.,.,.,.,.,.
0.20 (0.01 to    3.58),0.39 (0.01 to   23.85),0.72 (0.09 to    5.87),0.63 (0.06 to    6.28),0.61 (0.02 to   18.92),0.86 (0.07 to   10.29),0.85 (0.03 to   26.58),Lazertinib,.,3.03 (0.12 to  74.85),.,.,0.40 (0.05 to   3.44),.,.,.,.,.,.,.,.,.,.
0.16 (0.01 to    2.27),0.32 (0.00 to   24.01),0.59 (0.14 to    2.44),0.52 (0.05 to    4.95),0.50 (0.04 to    5.65),0.71 (0.20 to    2.54),0.70 (0.02 to   27.78),0.82 (0.07 to    9.41),Erlotinib,.,1.00 (0.06 to  16.04),0.36 (0.01 to   8.90),.,0.67 (0.19 to   2.39),0.55 (0.23 to   1.33),0.49 (0.09 to   2.72),0.39 (0.02 to   8.24),.,0.32 (0.01 to   8.09),.,0.18 (0.02 to   1.58),.,.
0.17 (0.01 to    5.31),0.33 (0.01 to    8.23),0.62 (0.04 to    9.73),0.54 (0.03 to   11.39),0.52 (0.01 to   22.87),0.74 (0.04 to   13.80),0.73 (0.08 to    7.09),0.86 (0.06 to   11.41),1.05 (0.06 to   18.96),Gefitinib,.,2.92 (0.12 to  71.72),.,.,.,.,.,0.33 (0.01 to   8.20),.,0.14 (0.01 to   2.76),.,.,.
0.16 (0.00 to    7.50),0.32 (0.00 to   54.21),0.59 (0.03 to   13.31),0.52 (0.01 to   18.53),0.50 (0.01 to   19.92),0.71 (0.03 to   15.05),0.70 (0.01 to   70.30),0.82 (0.02 to   33.03),1.00 (0.06 to   16.04),0.96 (0.02 to   52.87),Dacomitinib,.,.,.,.,.,.,.,.,.,.,.,.
0.14 (0.01 to    2.43),0.28 (0.00 to   17.00),0.51 (0.08 to    3.45),0.45 (0.04 to    5.31),0.43 (0.02 to    9.56),0.62 (0.09 to    4.31),0.61 (0.02 to   18.93),0.71 (0.06 to    8.60),0.87 (0.13 to    5.92),0.83 (0.06 to   11.00),0.87 (0.03 to   25.35),Chemotherapy,0.41 (0.02 to   8.53),.,.,.,.,.,.,.,.,.,.
0.14 (0.02 to    1.15),0.27 (0.00 to   18.20),0.50 (0.23 to    1.12),0.44 (0.09 to    2.29),0.43 (0.02 to    7.71),0.61 (0.12 to    3.15),0.60 (0.02 to   20.59),0.70 (0.10 to    5.08),0.86 (0.18 to    4.14),0.82 (0.05 to   12.33),0.86 (0.04 to   20.82),0.99 (0.15 to    6.64),Osimertinib,.,.,.,.,.,.,.,.,0.16 (0.02 to   1.37),0.07 (0.01 to   0.55)
0.11 (0.01 to    2.04),0.21 (0.00 to   19.37),0.40 (0.06 to    2.66),0.35 (0.03 to    4.64),0.34 (0.02 to    5.19),0.48 (0.08 to    2.89),0.47 (0.01 to   23.09),0.55 (0.04 to    8.63),0.67 (0.19 to    2.39),0.64 (0.03 to   15.21),0.67 (0.03 to   14.22),0.77 (0.08 to    7.75),0.78 (0.10 to    5.93),Erlotinib + MET inhibitor,.,.,.,.,.,.,.,.,.
0.09 (0.01 to    1.45),0.18 (0.00 to   14.49),0.33 (0.06 to    1.73),0.29 (0.03 to    3.22),0.28 (0.02 to    3.64),0.39 (0.08 to    1.85),0.39 (0.01 to   17.02),0.45 (0.03 to    6.06),0.55 (0.23 to    1.33),0.53 (0.03 to   10.92),0.55 (0.03 to   10.15),0.64 (0.08 to    5.26),0.65 (0.11 to    3.91),0.82 (0.18 to    3.85),Erlotinib + antiangiogenesis,.,.,.,.,.,.,.,.
0.08 (0.00 to    1.86),0.16 (0.00 to   16.43),0.29 (0.03 to    2.68),0.26 (0.02 to    4.34),0.25 (0.01 to    4.79),0.35 (0.04 to    2.96),0.35 (0.01 to   20.01),0.41 (0.02 to    7.96),0.49 (0.09 to    2.72),0.47 (0.02 to   13.66),0.49 (0.02 to   12.85),0.57 (0.04 to    7.44),0.58 (0.06 to    5.88),0.74 (0.09 to    6.17),0.90 (0.13 to    6.09),Erlotinib + IGF-1R inhibitor,.,.,.,.,.,.,.
