Gefitinib + antiangiogenesis,.,.,.,.,.,.,.,.,10.58 (6.24 to  17.93),.,.,.,.,.,.,.,.,.,.,.,.
1.67 (0.42 to    6.66),antiangiogenesis,.,1.17 (0.48 to   2.82),.,.,.,.,.,15.60 (1.99 to 122.22),.,.,.,.,.,.,9.24 (5.67 to  15.06),.,.,.,.,.
1.87 (0.50 to    6.92),1.12 (0.28 to    4.54),Osimertinib + antiangiogenesis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8.63 (4.61 to  16.15),.,.,.,.
2.98 (0.75 to   11.88),1.79 (1.11 to    2.88),1.60 (0.40 to    6.33),Erlotinib + antiangiogenesis,.,.,.,.,.,.,.,.,.,.,.,.,4.77 (3.77 to   6.03),.,.,.,.,.
5.12 (0.85 to   30.64),3.07 (0.89 to   10.59),2.74 (0.46 to   16.33),1.72 (0.53 to    5.58),Erlotinib + IGF-1R inhibitor,.,.,.,.,.,.,.,.,.,.,.,2.83 (0.89 to   8.99),.,.,.,.,.
6.16 (1.71 to   22.21),3.69 (1.15 to   11.82),3.29 (1.16 to    9.39),2.06 (0.67 to    6.38),1.20 (0.24 to    5.96),Chemotherapy,.,.,.,.,.,.,.,.,.,2.22 (1.02 to   4.83),4.16 (0.86 to  20.13),2.38 (0.94 to   6.00),.,.,.,.
4.84 (0.15 to  157.57),2.91 (0.11 to   73.71),2.59 (0.08 to   84.14),1.62 (0.07 to   40.31),0.95 (0.03 to   28.52),0.79 (0.03 to   23.30),Erlotinib + MET inhibitor,.,.,.,.,.,.,.,.,.,2.99 (0.12 to  73.53),.,.,.,.,.
8.30 (3.23 to   21.35),4.98 (1.11 to   22.34),4.44 (1.06 to   18.60),2.78 (0.62 to   12.47),1.62 (0.25 to   10.64),1.35 (0.33 to    5.51),1.71 (0.05 to   58.47),Almonertinib,.,1.28 (0.58 to   2.79),.,.,.,.,.,.,.,.,.,.,.,.
10.38 (5.32 to   20.27),6.23 (1.62 to   23.91),5.56 (1.57 to   19.73),3.48 (0.91 to   13.33),2.03 (0.35 to   11.78),1.69 (0.49 to    5.83),2.14 (0.07 to   68.64),1.25 (0.52 to    3.03),Gefitinib + chemotherapy,1.02 (0.68 to   1.54),.,.,.,.,.,.,.,.,.,.,.,.
10.58 (6.24 to   17.93),6.35 (1.76 to   22.85),5.66 (1.71 to   18.78),3.55 (0.99 to   12.74),2.07 (0.37 to   11.44),1.72 (0.53 to    5.54),2.18 (0.07 to   68.27),1.28 (0.58 to    2.79),1.02 (0.68 to    1.54),Gefitinib,0.32 (0.01 to   7.99),1.39 (0.55 to   3.53),.,.,1.27 (0.71 to   2.28),3.04 (0.12 to  75.13),.,.,.,.,.,.
