,Afatinib,Afatinib_Cetuximab,Afatinib_HMGCRi,Almonertinib,Amivantamab_Lazertinib,Chemotherapy,Dacomitinib,DHFRi,Erlotinib,Erlotinib_chemotherapy,Erlotinib_COX2i,Erlotinib_HER3i,Erlotinib_IGF_1Ri,Erlotinib_METi,Erlotinib_MMPi,Erlotinib_antiangio,Furmonertinib,Gefitinib,Gefitinib_chemotherapy,Gefitinib_Erlotinib,Gefitinib_PARPi,Icotinib,Lazertinib,Osimertinib,Osimertinib_chemotherapy,Osimertinib_antiangio,Placebo,Rociletinib,antiangio,Zorifertinib
Afatinib,Afatinib,"-0.0198395048588784 (-3.92133334959272, 3.77071394023775)","-29.7055444258765 (-117.183079658696, -1.33449220715532)","0.857022202811494 (-1.31895508533339, 3.32514577340931)","1.10252230081651 (-0.533625503215481, 2.98935111643895)","0.122253146942211 (-0.80081027682882, 1.22335052114568)","-0.457700502530552 (-1.73506737711508, 0.821744077705913)","-0.178347424620863 (-2.29461936380095, 2.05102065451061)","0.103520596874715 (-0.686250752394132, 1.11837481196896)","0.516314074208342 (-0.966183425962916, 2.261411638664)","-32.8291479482896 (-102.920177306085, -0.983653992160757)","1.24360012937948 (-0.717675634628056, 3.76135867564815)","0.740425421716426 (-0.710773284511917, 2.71049808494927)","0.15538520438389 (-1.11441481700189, 1.52556119948997)","27.5027771362846 (2.84027510827853, 98.6228616637272)","0.42339456516623 (-0.61526065663033, 1.59365221456374)","0.163607056264666 (-1.7318117651796, 2.10383788535301)","-0.213913810802465 (-1.22741035172966, 0.804663256250371)","1.25752353182512 (-1.48843185027634, 4.94638090070022)","-0.108985403988942 (-1.87974239377885, 1.99124667241611)","23.5405276887235 (0.340257073112446, 91.5449789319492)","23.5849886685032 (1.8924116117512, 72.3782221284908)","0.692627180693501 (-0.876550150219572, 2.40262002197289)","0.639977086896789 (-0.569575074186035, 2.15807718654272)","1.07091111111826 (-0.738072940839662, 3.21477412198221)","3.0691460846519 (0.590936953774891, 6.88037664874564)","-0.297287404490457 (-1.23971296675052, 0.646821198711927)","0.633650342975921 (-1.70581044420709, 3.34849467331542)","2.25465141270094 (1.08010360296398, 4.25366959801257)","0.970841617759305 (-1.47400488021658, 3.79532026040436)"
Afatinib_Cetuximab,"0.0198395048588784 (-3.77071394023775, 3.92133334959272)",Afatinib_Cetuximab,"-29.6803265452649 (-117.257564215788, -0.965584326249924)","0.910538999439534 (-3.48539339369127, 5.43950993106862)","1.13957787906125 (-2.97337898348104, 5.40311188771452)","0.15719080449621 (-3.70819639766011, 4.18473644259805)","-0.437407500250477 (-4.39278305632755, 3.67239083305555)","-0.146073948074926 (-4.51636069341528, 4.23729904375229)","0.143032960470201 (-3.69441545011181, 4.1655982815186)","0.550488468893163 (-3.49212922846462, 4.80262328097744)","-32.7143110239154 (-103.171214460532, -0.589465761201677)","1.30910769230573 (-2.91415629122973, 5.81006985169825)","0.805795078205841 (-3.2398136672192, 5.11844681149187)","0.181614785290972 (-3.78202620385167, 4.29026770553622)","27.6907020309206 (2.27057255826221, 98.8766989204364)","0.455117920739444 (-3.44432750326278, 4.51905779936454)","0.193174063215411 (-3.99467718553312, 4.38826159731817)","-0.181258316470075 (-4.08693982047706, 3.8139057546632)","1.3393076694877 (-3.39080065326187, 6.52314185495194)","-0.0676558005169136 (-4.26661523518946, 4.24472081895044)","23.6955593251341 (-0.21153253164378, 91.1527919912662)","23.7099043523665 (1.51188373316074, 72.0100767664449)","0.722437160470323 (-3.34699291574929, 4.95257805058358)","0.686963306181923 (-3.27548497375674, 4.80188186017048)","1.10474530168211 (-3.0612539959187, 5.47054673976025)","3.19604116206007 (-1.46084871901219, 8.41572304347372)","-0.271367303521621 (-4.1505007951635, 3.70038450432872)","0.664617478529184 (-3.74885027047336, 5.32234697602693)","2.35037057954607 (-1.58248840861014, 6.68414271251538)","1.01519706465566 (-3.53891731698737, 5.68720354705278)"
Afatinib_HMGCRi,"29.7055444258765 (1.33449220715532, 117.183079658696)","29.6803265452649 (0.965584326249924, 117.257564215788)",Afatinib_HMGCRi,"30.5858891647802 (2.066764931979, 117.933803999825)","30.8075833916612 (2.38202256195572, 118.331907551923)","29.8193571252509 (1.41970176634828, 117.375688642479)","29.2611760540387 (0.825139909339049, 116.735902416882)","29.5182054457785 (1.02379930206044, 117.17000684866)","29.8179866532891 (1.44176689206276, 117.369751361225)","30.2621784568988 (1.80684492980465, 117.762986905486)","0.185532555958286 (-79.9562555575172, 86.180853421673)","30.9477742449411 (2.4994992706965, 118.458360435405)","30.4801420627855 (2.08673804063668, 117.79447197425)","29.8474382439635 (1.46313240301795, 117.394943874454)","65.8093798099631 (11.9116311838314, 185.039318840067)","30.1289345199454 (1.74740817283622, 117.602976463955)","29.913262472216 (1.33235057331875, 117.453635298393)","29.5074120199511 (1.06903425395441, 116.883135676959)","31.0863057818971 (2.28049539537859, 118.561021599714)","29.5997518372577 (1.13465389151658, 117.08800462136)","58.379153945694 (9.13445800317339, 162.996374314751)","60.4406404721978 (12.375515644065, 170.654526015237)","30.3660665805779 (1.93661459003729, 117.757520288378)","30.3128551247286 (1.93517546674336, 117.824801678079)","30.7238139144925 (2.32411814371375, 118.262461899252)","32.7846829561856 (4.25172429841072, 120.909390106604)","29.4019980963293 (0.9924480651035, 116.884472618848)","30.401505179068 (1.87461928270322, 118.106491988379)","32.0426075877157 (3.62917160652463, 119.574957540233)","30.6606511252488 (2.1785463252894, 117.982505690104)"
Almonertinib,"-0.857022202811494 (-3.32514577340931, 1.31895508533339)","-0.910538999439534 (-5.43950993106862, 3.48539339369127)","-30.5858891647802 (-117.933803999825, -2.066764931979)",Almonertinib,"0.243674770180109 (-2.47177185402258, 2.92330200656035)","-0.725823450551364 (-3.14015299089499, 1.50621403062939)","-1.319637401908 (-3.89854986649983, 0.99276883739383)","-1.06486361115381 (-4.13680535685449, 1.92612469702743)","-0.736181541343012 (-3.14230554944725, 1.49770237011232)","-0.342094254713544 (-3.02623152277263, 2.3080249016606)","-33.7376533629889 (-103.858164916231, -1.63821045242361)","0.403575131504348 (-2.62501854586659, 3.61640728033731)","-0.0995099783859308 (-2.7742353183797, 2.72401600014789)","-0.701887916045808 (-3.28994616660516, 1.69310851849883)","26.6229447009267 (1.75981452719676, 97.8290655338023)","-0.425132033472907 (-2.93892667087718, 1.86933957190012)","-0.707657406397401 (-3.48933272054386, 1.86548530325846)","-1.06787412169946 (-3.31872088567243, 0.874158133570815)","0.410931960658769 (-3.00097273053386, 4.4326901335391)","-0.97261277805664 (-3.75870505000766, 1.88759548699606)","22.6727660092824 (-0.823044194109504, 90.5768782880062)","22.7213897430117 (0.865478386386316, 71.4907760679302)","-0.161166053730436 (-2.83435247027823, 2.35294730558504)","-0.204176493544927 (-2.70296470535585, 2.24685310957275)","0.219343660433973 (-2.61496306538992, 3.08831573331529)","2.21110575010391 (-1.07879991300946, 6.45586208492536)","-1.15305805536497 (-3.58807383535824, 1.00516267974215)","-0.234898080572133 (-3.47707195588297, 3.13087859187142)","1.4295694601181 (-1.05860337561669, 4.23561947750967)","0.0870185510241498 (-3.14248023619842, 3.50658948222784)"
Amivantamab_Lazertinib,"-1.10252230081651 (-2.98935111643895, 0.533625503215481)","-1.13957787906125 (-5.40311188771452, 2.97337898348104)","-30.8075833916612 (-118.331907551923, -2.38202256195572)","-0.243674770180109 (-2.92330200656035, 2.47177185402258)",Amivantamab_Lazertinib,"-0.982157154239167 (-2.69899131136326, 0.69069797052362)","-1.56341461128184 (-3.55897204840154, 0.189776217239334)","-1.28597032768353 (-3.91083152432864, 1.23207535578294)","-1.00156635438226 (-2.67952140585104, 0.657996249225558)","-0.601972147208362 (-2.68339346232195, 1.55091416399827)","-33.9531749953001 (-104.139629364502, -2.05027583590662)","0.142647915235835 (-2.34916786623288, 2.95493409213857)","-0.368596528151922 (-2.38548766428934, 1.9627173302902)","-0.948869644511676 (-2.94765242641852, 0.91056530975758)","26.4146806718731 (1.61660509912365, 97.4642488611844)","-0.679227737921921 (-2.53377185122226, 1.05378344181837)","-0.946161235559627 (-3.39750435041485, 1.32872865740607)","-1.31741332415524 (-3.12872205451631, 0.254348038014323)","0.162116487035864 (-2.99843003165928, 3.99105431582803)","-1.21757585875108 (-3.03395205061848, 0.700947128873321)","22.4106183602127 (-0.901608406970552, 90.3671711712811)","22.4564861459476 (0.748804440567546, 71.1868670831623)","-0.401949105872996 (-1.81730494843725, 0.860259716155453)","-0.464314795663725 (-1.70141299966566, 0.865922684043765)","-0.034965880172208 (-1.89910053857802, 1.94861610973578)","1.94585980698241 (-0.525472751440888, 5.70265822109928)","-1.40448452320812 (-3.13001399192384, 0.0975834555864718)","-0.470342174483646 (-3.25095927115905, 2.49372263867906)","1.16481811828688 (-0.644663618692762, 3.47866632277297)","-0.148466042626523 (-2.62770343106007, 2.51158338776557)"
Chemotherapy,"-0.122253146942211 (-1.22335052114568, 0.80081027682882)","-0.15719080449621 (-4.18473644259805, 3.70819639766011)","-29.8193571252509 (-117.375688642479, -1.41970176634828)","0.725823450551364 (-1.50621403062939, 3.14015299089499)","0.982157154239167 (-0.69069797052362, 2.69899131136326)",Chemotherapy,"-0.585606079750142 (-1.90545864486667, 0.581230672788936)","-0.302623986766858 (-2.43736544536023, 1.76816427212259)","-0.0148844059797797 (-0.75402159883213, 0.729878576589513)","0.392939926374068 (-1.05834676324493, 1.91216926279424)","-32.9709998514726 (-103.019773738831, -1.16724394250238)","1.12209239183612 (-0.862103161379043, 3.51960641158739)","0.626133358278029 (-0.817243013064989, 2.37772911149352)","0.0332011153760055 (-1.24099250927788, 1.20944959722688)","27.3484266268531 (2.72860538959406, 98.3909921548662)","0.304029939393827 (-0.737410954404635, 1.2631966298129)","0.0397524490222062 (-1.94276882288891, 1.88853164903029)","-0.339040219857177 (-1.41988468424767, 0.576677694645519)","1.11914842246594 (-1.66149033001638, 4.81663868960406)","-0.232806458166805 (-2.0217787238926, 1.69195275793642)","23.4104176592068 (0.0818876808420547, 91.3758037977515)","23.4444619523728 (1.78873067437627, 72.3179128505473)","0.568723281223461 (-1.02360829099128, 2.14937705405652)","0.518500082546927 (-0.664978952435234, 1.85191841708724)","0.942558017008643 (-0.880550202209187, 2.9457012910082)","2.93326688811853 (0.482893947150577, 6.71831500756621)","-0.424448440194655 (-1.45084931226363, 0.475782010419574)","0.501571937489326 (-1.84467289584601, 3.09806411135807)","2.14580982068886 (0.973095507266938, 3.88062902175762)","0.84700156171726 (-1.62759722948367, 3.51746661532879)"
Dacomitinib,"0.457700502530552 (-0.821744077705913, 1.73506737711508)","0.437407500250477 (-3.67239083305555, 4.39278305632755)","-29.2611760540387 (-116.735902416882, -0.825139909339049)","1.319637401908 (-0.99276883739383, 3.89854986649983)","1.56341461128184 (-0.189776217239334, 3.55897204840154)","0.585606079750142 (-0.581230672788936, 1.90545864486667)",Dacomitinib,"0.270973089421507 (-1.90273402145257, 2.56084570021591)","0.564391068055561 (-0.384973585383098, 1.72713164441006)","0.976832148801001 (-0.632068538477438, 2.83595716340634)","-32.3812164904093 (-102.473811868216, -0.518246593746852)","1.70575529738345 (-0.337067195028932, 4.27985748381441)","1.20849570147058 (-0.33831110446572, 3.23425053077209)","0.61729677516345 (-0.749275748080783, 2.09294383626002)","27.9710034135843 (3.27651257830317, 98.8377693377365)","0.886454391079393 (-0.296666348486703, 2.17457865242403)","0.621484318189714 (-1.4263577850967, 2.71970078901443)","0.245497587992418 (-1.03690636005529, 1.50151853743626)","1.7241700401502 (-1.17349235485911, 5.50974299041801)","0.351459959575439 (-1.52946533770555, 2.55131527643091)","24.0462362963487 (0.666877256508082, 91.94283119627)","24.0187004498303 (2.29894311610271, 72.8872942474165)","1.15688718375967 (-0.561884617881018, 2.97829216067215)","1.1007583000155 (-0.267040358597371, 2.7572618997711)","1.53036025532861 (-0.398112916951497, 3.76911961990878)","3.53848361155846 (0.985582752188993, 7.3901168006827)","0.16051533903271 (-0.942004648765754, 1.27263563776943)","1.09777746421724 (-1.29339219521535, 3.85751272029902)","2.73222262993841 (1.39583491241259, 4.77910393031614)","1.43559466244284 (-1.11198209561867, 4.31812534757271)"
DHFRi,"0.178347424620863 (-2.05102065451061, 2.29461936380095)","0.146073948074926 (-4.23729904375229, 4.51636069341528)","-29.5182054457785 (-117.17000684866, -1.02379930206044)","1.06486361115381 (-1.92612469702743, 4.13680535685449)","1.28597032768353 (-1.23207535578294, 3.91083152432864)","0.302623986766858 (-1.76816427212259, 2.43736544536023)","-0.270973089421507 (-2.56084570021591, 1.90273402145257)",DHFRi,"0.291003223177993 (-1.64565435816085, 2.29786750244787)","0.698682367565125 (-1.62306990815498, 3.15104621753367)","-32.6781364156167 (-102.828177314803, -0.782534575591081)","1.45370574804499 (-1.23170874872679, 4.48004040934861)","0.943107041909325 (-1.33256785677145, 3.4904506689348)","0.347483235928387 (-1.87531918265795, 2.52874053612455)","27.7118531139374 (2.89128764610905, 98.7185570816612)","0.613176826002844 (-1.48659329729307, 2.68822102110729)","0.350821857485872 (-2.45417510293604, 3.04944830265274)","-0.0258802187969999 (-2.27151296756167, 2.11910556465645)","1.47987624506646 (-1.9931671862548, 5.64337637123649)","0.0839899935496881 (-2.53974912543441, 2.86471638748646)","23.6684021624321 (0.186482058952514, 91.8057427608502)","23.7289700149854 (1.9721459737604, 72.7265723811146)","0.877689173748125 (-1.63422831973812, 3.38303328050074)","0.825038920433641 (-1.43183574421621, 3.23396761439359)","1.26292194113546 (-1.4091277787974, 4.07663917164612)","3.29244006400246 (0.136417802032848, 7.47382732631714)","-0.115140162562326 (-2.28244944322557, 1.95611764856003)","0.830167409401942 (-2.13152531989198, 3.99994728519052)","2.48342878276529 (0.365041288757551, 5.05797198441459)","1.16453222411716 (-1.98875163054295, 4.47445587200381)"
Erlotinib,"-0.103520596874715 (-1.11837481196896, 0.686250752394132)","-0.143032960470201 (-4.1655982815186, 3.69441545011181)","-29.8179866532891 (-117.369751361225, -1.44176689206276)","0.736181541343012 (-1.49770237011232, 3.14230554944725)","1.00156635438226 (-0.657996249225558, 2.67952140585104)","0.0148844059797797 (-0.729878576589513, 0.75402159883213)","-0.564391068055561 (-1.72713164441006, 0.384973585383098)","-0.291003223177993 (-2.29786750244787, 1.64565435816085)",Erlotinib,"0.409665620878664 (-0.923160858065817, 1.79202275548473)","-32.9725098842973 (-103.038794007505, -1.11508039015707)","1.1270143417894 (-0.686022460030817, 3.42137505982137)","0.638714486053687 (-0.599977049446971, 2.1961063118484)","0.0512461117107659 (-0.994699285399236, 0.968749236140717)","27.3395781594142 (2.74480866842241, 98.3236341565774)","0.320586150961984 (-0.408927837893867, 0.949113466655417)","0.0562625175714665 (-1.92160559285612, 1.89338845803596)","-0.319271268393656 (-1.3858779207556, 0.566581510016501)","1.13361412042007 (-1.64790448766918, 4.82144735536237)","-0.214571845173893 (-1.9949568132777, 1.67225730601018)","23.427775048684 (0.185902354023884, 91.3782059095721)","23.4281051468486 (1.80349651030415, 72.3265051325326)","0.585698686872912 (-0.993789564404712, 2.11766013975961)","0.535769115545411 (-0.616780251218838, 1.81857996295218)","0.963415766376189 (-0.863374959935804, 2.9126705803136)","2.94545681577694 (0.506822803467923, 6.6857200722013)","-0.403390140091566 (-1.28961469020188, 0.296799839077447)","0.521009366024617 (-1.70576542058695, 3.00921538369919)","2.15606159047711 (1.17060499621769, 3.72546124042236)","0.858733119699012 (-1.61394269568229, 3.53143537296789)"
