,Afatinib,Afatinib_Cetuximab,Almonertinib,Amivantamab_Lazertinib,Chemotherapy,Dacomitinib,DHFRi,Erlotinib,Erlotinib_Autophagyi,Erlotinib_chemotherapy,Erlotinib_COX2i,Erlotinib_ERi,Erlotinib_HER3i,Erlotinib_HGFi,Erlotinib_IGF_1Ri,Erlotinib_METi,Erlotinib_MMPi,Erlotinib_antiangio,Gefitinib,Gefitinib_chemotherapy,Gefitinib_Erlotinib,Lazertinib,Osimertinib,Osimertinib_chemotherapy,Osimertinib_antiangio,Placebo,Rociletinib,antiangio
Afatinib,Afatinib,"1.08237894789094 (-0.668437650151195, 3.25154734554412)","38.7772969794094 (3.835785843594, 100.709413469821)","1.34335753623283 (0.12161546505151, 2.57777647040239)","0.10974819625178 (-0.669363608144294, 0.873699981469509)","-0.383783873737278 (-1.35222231738887, 0.576862886741009)","-0.122978775481999 (-3.80958146290734, 3.83192251878677)","-0.179203117818485 (-0.853446417745883, 0.52813698505141)","-34.8014808527244 (-142.464808667855, -1.33951454115225)","-0.318302427398734 (-1.62232299073601, 1.03509438064041)","-37.2196313566724 (-112.670992369212, -2.49165578536059)","18.4353008642907 (0.893810391728135, 70.6900744058553)","-0.559383999024739 (-2.40653363430919, 1.37186892354013)","24.024556857773 (1.03224381427592, 85.00365320788)","1.86346753285138 (0.281859999614714, 4.04182739595418)","-0.253605117936191 (-1.14922472033078, 0.635532058193483)","-0.957673677657455 (-3.29779119082706, 1.02421304995073)","0.135578854112541 (-0.676631787754511, 0.952309419314081)","-0.511345118883479 (-1.32436383850893, 0.269507714211949)","0.733785629337948 (-0.814221567499683, 2.50285946304344)","-1.04396258039352 (-2.71147249131534, 0.515311110704584)","0.353835641135176 (-0.782462144763252, 1.49447855252336)","-0.0139749230802042 (-1.00212279005352, 0.978216087045757)","1.01009089345743 (-0.551765593650541, 2.65098900959929)","-0.801209925858529 (-3.21048641867191, 1.26149885825059)","-0.471943559179303 (-1.24655661596161, 0.259662893987285)","-0.131123480327139 (-4.02332235740185, 3.54023774260677)","0.454907713237124 (-0.5687300043951, 1.65656500049053)"
Afatinib_Cetuximab,"-1.08237894789094 (-3.25154734554412, 0.668437650151195)",Afatinib_Cetuximab,"37.555939399891 (2.63552173489241, 99.5255365471776)","0.246588693608281 (-2.21571010143733, 2.39136998200848)","-0.982636615439861 (-3.27461159363465, 0.939385636101099)","-1.47936771228731 (-3.80194157011336, 0.541791069959502)","-1.22838316503122 (-5.52301138867296, 3.11600539091129)","-1.27060396914205 (-3.51116982022708, 0.630861640089211)","-35.9495555978201 (-143.979449246316, -2.44176860312811)","-1.42725848564711 (-3.87922389474323, 0.832692366956721)","-38.2110533036502 (-113.972466248428, -3.60167768816167)","17.2602600705877 (-0.307993128671188, 69.8074946977466)","-1.65271516988751 (-4.46080029854104, 1.01092168309467)","22.8420441830363 (-0.286243457853201, 83.8449917243631)","0.808553189974005 (-1.84622034230563, 3.48144116446226)","-1.34743678374752 (-3.65359666257913, 0.625701608791531)","-2.07254153479298 (-5.17106057059004, 0.617695067922192)","-0.961435719346154 (-3.23835387804037, 1.00056874703481)","-1.60345696150649 (-3.89480745099253, 0.326455246858155)","-0.354625943786717 (-2.98156560026484, 2.15440804359904)","-2.15125108591201 (-4.83050648696811, 0.217501336113368)","-0.734996675708639 (-3.16338034842148, 1.35383914763943)","-1.10982983152632 (-3.4692397375729, 0.930407858520129)","-0.0834017575292919 (-2.72135298071208, 2.33421078660831)","-1.9273497778351 (-5.05887004400519, 0.835953446682405)","-1.57165707496519 (-3.82964288588952, 0.354629619168016)","-1.22478973361805 (-5.59648956008422, 2.84140370867354)","-0.627193055533311 (-2.98475051140378, 1.5029413998413)"
Almonertinib,"-38.7772969794094 (-100.709413469821, -3.835785843594)","-37.555939399891 (-99.5255365471776, -2.63552173489241)",Almonertinib,"-37.4002988506971 (-99.5198493252436, -2.45651618104328)","-38.6528523398972 (-100.695068939072, -3.74207111300386)","-39.1368123605688 (-101.174166019925, -4.19730035140609)","-38.7687899302349 (-101.055636365393, -3.59998388904594)","-38.9279463131665 (-100.930613013772, -4.01998568764657)","-77.3568324064024 (-169.072933823022, -15.9719436487621)","-39.0356792245113 (-101.120665509839, -4.1057338687523)","-77.8683452786977 (-186.127970764631, -17.065148454852)","-18.1706552440852 (-83.7265756653594, 53.4509503931418)","-39.2192215697262 (-101.403051342031, -4.50858303727732)","-15.3684470070293 (-83.5024469996468, 73.6866661729559)","-36.8147330420363 (-98.8162948932321, -1.90742350160978)","-39.0091410807663 (-100.989789570333, -4.1053183249893)","-39.7654160651886 (-101.815852458525, -4.78995576664155)","-38.6253030708953 (-100.655033445928, -3.69107350380768)","-39.293985164117 (-101.292728638649, -4.3825653052876)","-37.9437810226057 (-100.048544293401, -3.07933522577256)","-39.7713191800651 (-101.846516062236, -4.81998867553985)","-38.4140633046617 (-100.460475442649, -3.45377053809287)","-38.7625176367895 (-100.886788946249, -3.83918315483739)","-37.6374022189188 (-99.9039509373666, -2.80144551653995)","-39.5473936533665 (-101.636430885345, -4.5419464571154)","-39.2349864737205 (-101.334705886718, -4.37201367056143)","-38.9224118619212 (-100.812230878456, -3.48217821758588)","-38.2521873577893 (-100.231387684216, -3.35955501691731)"
Amivantamab_Lazertinib,"-1.34335753623283 (-2.57777647040239, -0.12161546505151)","-0.246588693608281 (-2.39136998200848, 2.21571010143733)","37.4002988506971 (2.45651618104328, 99.5198493252436)",Amivantamab_Lazertinib,"-1.23516884044812 (-2.40660929895511, -0.108992438510095)","-1.7339221310588 (-3.06016696480443, -0.396421695584849)","-1.46683157370182 (-5.2594975610661, 2.57445857677709)","-1.52435383850272 (-2.689711657721, -0.338526730693251)","-36.1902790140252 (-143.841339595302, -2.65813750147309)","-1.66740760189184 (-3.29505956378573, 0.00540186875700208)","-38.5187611163022 (-113.780152010295, -3.82178090019008)","17.023692502209 (-0.486935832280648, 69.3440736662275)","-1.89405944366077 (-4.0093775217978, 0.254096272750839)","22.7563182902398 (-0.340183356703777, 83.6973674452991)","0.525346652463113 (-1.33034343808061, 2.8849814330254)","-1.59970419225534 (-2.91721855665879, -0.301441413506126)","-2.31520315603927 (-4.85549229473332, -0.105174480903448)","-1.21351233609814 (-2.46383662657425, 0.0594619863303912)","-1.85661398823909 (-3.0286124490131, -0.713373490043737)","-0.610978563187889 (-2.38470111281095, 1.32708109590916)","-2.39225681580121 (-3.96384443108787, -0.914962861371797)","-0.987708876296217 (-1.89786776194833, -0.112201110429199)","-1.35635118643239 (-2.22138349678231, -0.51791457061217)","-0.333913198850832 (-1.83183499313674, 1.23819579183665)","-2.14992818492605 (-4.48987186742462, -0.123961702746593)","-1.8194120896981 (-2.99163190648357, -0.697392168183468)","-1.48193058960417 (-5.41527548961741, 2.30939869050153)","-0.881729110399569 (-2.27744963488884, 0.691889669653461)"
Chemotherapy,"-0.10974819625178 (-0.873699981469509, 0.669363608144294)","0.982636615439861 (-0.939385636101099, 3.27461159363465)","38.6528523398972 (3.74207111300386, 100.695068939072)","1.23516884044812 (0.108992438510095, 2.40660929895511)",Chemotherapy,"-0.488991093888171 (-1.41685251259603, 0.457810666417716)","-0.226037946459572 (-3.9036835859885, 3.71040667875029)","-0.287334678096171 (-0.902329327233718, 0.365493938236569)","-34.9629323382324 (-142.523306532569, -1.3956969783918)","-0.426541208638577 (-1.7156984417479, 0.896221211611121)","-37.3097046003731 (-112.76489053024, -2.586971346381)","18.2650995207873 (0.771644863219811, 70.5521435186194)","-0.665290497232958 (-2.49701740618721, 1.23403859638375)","23.9896576040094 (0.938994881140104, 84.9583665469131)","1.75568990821748 (0.184700980064376, 3.94100208080188)","-0.363313218570725 (-1.19649636358491, 0.478950136424452)","-1.06839239547219 (-3.39288001972234, 0.886884309271532)","0.0298430110543912 (-0.737014556697295, 0.804534164020327)","-0.622175118350728 (-1.4236891958019, 0.182728064654716)","0.634377063403893 (-0.922278574991889, 2.38578150667148)","-1.14656560516006 (-2.71922247803509, 0.347570343838714)","0.235956425271801 (-0.817512955774531, 1.34481242412384)","-0.126111257592774 (-0.976719877636339, 0.773571459509091)","0.899350044085145 (-0.56592253026854, 2.48798501770425)","-0.915048792749373 (-3.26452358649729, 1.14108917918453)","-0.587820543713154 (-1.33267163355327, 0.16912264739132)","-0.235579781472902 (-4.09463213240962, 3.458213489131)","0.352992546204702 (-0.639324399682161, 1.53341357843014)"
Dacomitinib,"0.383783873737278 (-0.576862886741009, 1.35222231738887)","1.47936771228731 (-0.541791069959502, 3.80194157011336)","39.1368123605688 (4.19730035140609, 101.174166019925)","1.7339221310588 (0.396421695584849, 3.06016696480443)","0.488991093888171 (-0.457810666417716, 1.41685251259603)",Dacomitinib,"0.265497272443962 (-3.47159896780767, 4.23661444372033)","0.203968809115663 (-0.556447763340838, 0.971692035164288)","-34.4587027292478 (-142.010558362503, -0.965318349364999)","0.0590041439569691 (-1.28344888516635, 1.47303623246165)","-36.766850127973 (-112.266933748542, -2.12139236845763)","18.8150690625663 (1.22719673932689, 71.0883216915474)","-0.178216191672411 (-2.07304405799865, 1.77441163530702)","24.4890498252568 (1.4222192319369, 85.3790931265552)","2.23932932557644 (0.650870722545085, 4.44997387471948)","0.129941186383291 (-0.822505774515486, 1.06521639080589)","-0.585456831721897 (-2.92919379381355, 1.43721640287779)","0.514349112093602 (-0.366543456010725, 1.40078746459325)","-0.127069328520677 (-1.14617216610742, 0.860121695528053)","1.12441105418089 (-0.549912052243964, 2.9739639075927)","-0.662156726679911 (-2.39407457579229, 0.981167719243625)","0.738216999622207 (-0.522614640161498, 1.99995426607284)","0.370095430335571 (-0.743775224444396, 1.4770617496091)","1.39440888771351 (-0.24612678236446, 3.10997269396984)","-0.425659182464698 (-2.87360215841301, 1.72381982337528)","-0.0922087922548476 (-0.942594358728595, 0.703884479617629)","0.251970066361817 (-3.6023568193087, 3.94246307882543)","0.840490704164863 (-0.228222328394354, 2.09118261798328)"
DHFRi,"0.122978775481999 (-3.83192251878677, 3.80958146290734)","1.22838316503122 (-3.11600539091129, 5.52301138867296)","38.7687899302349 (3.59998388904594, 101.055636365393)","1.46683157370182 (-2.57445857677709, 5.2594975610661)","0.226037946459572 (-3.71040667875029, 3.9036835859885)","-0.265497272443962 (-4.23661444372033, 3.47159896780767)",DHFRi,"-0.0568323030745945 (-3.95726732399502, 3.58478679430702)","-34.5876739863294 (-143.290681184219, -1.1442968728984)","-0.188177291705763 (-4.28213225427533, 3.58788660833093)","-37.045620161742 (-112.328860476305, -2.07165846391634)","18.6208820659937 (0.510430663417919, 71.4567124014047)","-0.420156093804257 (-4.68195961308518, 3.6285000048709)","24.3179831773452 (0.584028435079427, 85.1162127603514)","2.02881855769606 (-2.11467914226398, 6.13358829908333)","-0.135692254995734 (-4.07221026164378, 3.52314226943132)","-0.873415230735692 (-5.21421906588931, 3.28559983593164)","0.250802130073349 (-3.64897671032703, 3.93073578483854)","-0.393308223959381 (-4.35807699418856, 3.33461610780518)","0.893679463566347 (-3.35854205259537, 4.86269053329275)","-0.920507501513258 (-5.09972163123764, 3.0013450119162)","0.474173034038568 (-3.54922687445094, 4.27848879434196)","0.115360339349714 (-3.87547067377459, 3.84609251467423)","1.14783652844772 (-3.1307507590569, 5.0606487491091)","-0.699517020865471 (-5.18807440289152, 3.45022927781516)","-0.358233714219669 (-4.30526753010776, 3.32611994222319)","-0.0282950975298609 (-5.36086760399318, 5.29010009690317)","0.591889362601366 (-3.37598442308729, 4.37777774362021)"
Erlotinib,"0.179203117818485 (-0.52813698505141, 0.853446417745883)","1.27060396914205 (-0.630861640089211, 3.51116982022708)","38.9279463131665 (4.01998568764657, 100.930613013772)","1.52435383850272 (0.338526730693251, 2.689711657721)","0.287334678096171 (-0.365493938236569, 0.902329327233718)","-0.203968809115663 (-0.971692035164288, 0.556447763340838)","0.0568323030745945 (-3.58478679430702, 3.95726732399502)",Erlotinib,"-34.6358830082689 (-142.258353332459, -1.14598019919262)","-0.139589770192872 (-1.2655953735045, 1.01013636105032)","-37.0167973244623 (-112.41743187962, -2.31510333439674)","18.5443193487526 (1.07299312220299, 70.9169344319557)","-0.381257679076049 (-2.09514070244604, 1.40329438380563)","24.2682237545484 (1.2254627442755, 85.2335868627997)","2.0279735102632 (0.63731570539061, 4.10335406163707)","-0.0748560600910271 (-0.67144857235117, 0.472298969549276)","-0.780569704778463 (-3.0178152442442, 1.06949014235522)","0.315517991083147 (-0.137207348574278, 0.746103181804106)","-0.330654359592402 (-1.1717242747792, 0.45461649435632)","0.917687350919756 (-0.657083975554242, 2.65748050515499)","-0.865966650211094 (-2.47184126311822, 0.643404147741911)","0.530784864737628 (-0.57172478005464, 1.6400251331438)","0.157734155254292 (-0.754200165743809, 1.08900537863332)","1.19145882289155 (-0.321440571634951, 2.7819298790551)","-0.62358173633171 (-3.01395764822017, 1.4161845469962)","-0.298510783913827 (-0.9109163501221, 0.277667324974816)","0.0576346590834218 (-3.76448549199204, 3.70804908377841)","0.634751920373484 (-0.139768525214943, 1.57159725065366)"
Erlotinib_Autophagyi,"34.8014808527244 (1.33951454115225, 142.464808667855)","35.9495555978201 (2.44176860312811, 143.979449246316)","77.3568324064024 (15.9719436487621, 169.072933823022)","36.1902790140252 (2.65813750147309, 143.841339595302)","34.9629323382324 (1.3956969783918, 142.523306532569)","34.4587027292478 (0.965318349364999, 142.010558362503)","34.5876739863294 (1.1442968728984, 143.290681184219)","34.6358830082689 (1.14598019919262, 142.258353332459)",Erlotinib_Autophagyi,"34.5138269507061 (0.963338086538736, 142.089143944946)","-2.61534589307737 (-73.930200568045, 111.383735498788)","60.8972799649682 (10.6632108277699, 155.926473367658)","34.1905008110707 (0.802423936649489, 141.830447415032)","61.2522604302939 (9.90796565972076, 187.52681711753)","36.8273243769871 (3.18743392932771, 144.232691293424)","34.5716248032547 (1.11397211734687, 142.089567723716)","33.8204015360889 (0.169766886670657, 141.715047863701)","34.9494797790067 (1.44889220891931, 142.679037008608)","34.3534280071447 (0.839740986127655, 141.765895936169)","35.3587206023372 (2.102276472365, 142.607884099665)","33.8616393177223 (0.210278038373081, 141.465065703165)","35.1988295326861 (1.70550423869099, 142.857229074014)","34.8302658558758 (1.30837327337306, 142.554972195553)","35.893830502023 (2.27648984730748, 143.348622056695)","33.7720790071643 (0.556508251630132, 142.129201505347)","34.3140903561831 (0.926992106092491, 141.911943449146)","34.6924280819208 (1.05880328059861, 142.241279185759)","35.3274921903825 (1.77379920739539, 142.910360873073)"
