,Afatinib,Almonertinib,Amivantamab_Lazertinib,Chemotherapy,Dacomitinib,Erlotinib,Erlotinib_chemotherapy,Erlotinib_HER3i,Erlotinib_IGF_1Ri,Erlotinib_METi,Erlotinib_MMPi,Erlotinib_antiangio,Gefitinib,Gefitinib_chemotherapy,Gefitinib_Erlotinib,Gefitinib_PARPi,Icotinib,Lazertinib,Osimertinib,Osimertinib_chemotherapy,Osimertinib_antiangio,Placebo,antiangio
Afatinib,Afatinib,"-14.0006475543876 (-51.5751251314326, 3.5018124471548)","0.731306596928837 (-4.03574481585848, 6.80158915279344)","0.799236424194262 (-2.77960800124298, 5.13521131274161)","0.902019039350322 (-4.37830393313223, 6.68546747906792)","0.847140393565901 (-1.70979555621224, 3.99072583716534)","-0.0657126391937002 (-5.24045642184561, 5.11456903558593)","15.7796583369436 (0.574664409439041, 48.8581982580294)","0.882742800720675 (-4.46936605626321, 6.53162086854495)","1.31209441513654 (-2.24768272429055, 5.44416138784236)","15.5895611141993 (-0.0236186480431823, 51.9090418326654)","1.26596280098802 (-1.85445248944377, 5.10666553072405)","1.03292042558277 (-4.58552586309141, 7.7205311213705)","15.9491237685248 (-0.948346805554586, 50.3048194545524)","-0.97145608740718 (-6.41464192529859, 5.11143203244371)","17.1733252804505 (-0.897692828948676, 51.0388666955992)","16.9350520732399 (0.626014939597474, 54.2879646452653)","1.29283128879117 (-3.35190395935707, 7.29506205330162)","1.40256297733855 (-2.07911740503258, 5.95781727051601)","17.5871029257384 (2.27435534093355, 53.4723004460411)","16.995475111858 (1.41249048017167, 52.7486885417552)","-0.546283000565719 (-3.61554385753125, 2.28935875455645)","15.8667403066936 (1.82135722746642, 48.3186297115422)"
Almonertinib,"14.0006475543876 (-3.5018124471548, 51.5751251314326)",Almonertinib,"14.8610312377157 (-2.31037770098925, 52.2401348654144)","14.852689005878 (-2.03605812758134, 52.3119020676258)","15.0551959244729 (-3.32825608876477, 52.7117061516566)","14.9410960980692 (-2.53561574210498, 52.5226482240208)","13.9932787685503 (-4.24389342315275, 51.5369993939828)","32.4599265470495 (4.46186099585795, 79.7858786608681)","15.0067396677145 (-3.39120978319669, 52.8968484878272)","15.4280422171846 (-2.32655626778865, 52.9680899787526)","32.7044531081689 (3.57750459645764, 82.8563563901702)","15.3715096171997 (-2.14301126156783, 52.8507924517142)","14.9881922335465 (-0.528881927548579, 52.0918647284153)","32.5928864935876 (5.04280048585376, 80.6241137814687)","13.0985862147189 (-4.58365580596207, 50.5991880153747)","33.9410801499336 (5.42700044572012, 78.597693461369)","33.716529836572 (6.509418204984, 83.4026133163193)","15.3877736792405 (-1.39464517729835, 52.8392095973921)","15.4970091238876 (-1.43977376767696, 52.83255041779)","34.7793594220722 (6.75265142506064, 81.037809649979)","34.0139356793741 (5.77559122166112, 83.0142176176171)","13.4284711923413 (-3.98295191439908, 50.9926825496968)","32.6796842835124 (5.62282350369686, 77.4152209444927)"
Amivantamab_Lazertinib,"-0.731306596928837 (-6.80158915279344, 4.03574481585848)","-14.8610312377157 (-52.2401348654144, 2.31037770098925)",Amivantamab_Lazertinib,"0.0889957281503289 (-5.46648007420146, 4.76372779700289)","0.127157529266977 (-7.21075309710929, 6.94723737258595)","0.132050375182604 (-5.62575011048297, 5.04968362185337)","-0.854933837928194 (-8.20738106845379, 5.43644876886108)","14.9580018114357 (-1.38188531868904, 48.1457549877196)","0.102608337486257 (-7.39467820184916, 6.78624583671069)","0.597993146319473 (-5.7800865161756, 6.07177385028936)","14.7944859842425 (-1.88352110743336, 51.1381007420552)","0.557236630131208 (-5.45279498398868, 5.88958508189361)","0.298368890655947 (-5.95693336937487, 6.18852571079641)","15.0137456155969 (-1.89448629658513, 49.6671271860421)","-1.70998726981426 (-7.4178921943011, 3.36917285090971)","16.2211340889518 (-1.92348105917115, 50.0580256765994)","15.999683818126 (-0.367982046696995, 53.2069572690651)","0.546579372513439 (-3.35835295866909, 4.55387311598121)","0.671867133584414 (-3.0946844211803, 4.17593937706935)","16.6361350740315 (1.46396491045293, 52.4919486007866)","16.0995752151454 (0.537761554002962, 51.7796397663818)","-1.3026426467643 (-6.87557542995098, 2.91920874025702)","15.0400855327462 (-0.167286889086897, 47.584214084351)"
Chemotherapy,"-0.799236424194262 (-5.13521131274161, 2.77960800124298)","-14.852689005878 (-52.3119020676258, 2.03605812758134)","-0.0889957281503289 (-4.76372779700289, 5.46648007420146)",Chemotherapy,"0.101423999323503 (-6.12671669126931, 6.12153746986848)","0.0831487975977463 (-3.97588429412424, 3.78954198358915)","-0.887116778967938 (-6.94401768680224, 4.60959179504447)","14.9103507083904 (-0.68902697177756, 48.1499742822271)","0.0774909750202344 (-6.16250181619913, 6.02253898466009)","0.523679087033878 (-4.30167381462209, 5.01069304115365)","14.7763600157586 (-1.28322185619468, 51.1657965636179)","0.51174584238706 (-3.955119391138, 4.73775332728014)","0.161539982096405 (-4.71820447183535, 5.93227295518329)","15.0447125957645 (-1.4484870004165, 49.3123149006526)","-1.82274501699816 (-7.28888757365229, 3.87295167503113)","16.167504994999 (-1.39776789299094, 49.9843045621315)","16.0151919407251 (0.179069858052233, 53.2318933210281)","0.450986094643317 (-3.97800957382627, 5.87296662073952)","0.552436242258042 (-2.89889916281143, 4.73270993555733)","16.6973906537855 (1.40190232646036, 52.4669126193582)","16.0797327597037 (0.520019709134227, 51.9447304171374)","-1.38859608945038 (-5.67687835723697, 2.22035572777178)","14.9993461568104 (0.595372227934631, 47.4293466040308)"
Dacomitinib,"-0.902019039350322 (-6.68546747906792, 4.37830393313223)","-15.0551959244729 (-52.7117061516566, 3.32825608876477)","-0.127157529266977 (-6.94723737258595, 7.21075309710929)","-0.101423999323503 (-6.12153746986848, 6.12671669126931)",Dacomitinib,"-0.0278109944050342 (-4.81129546337855, 4.66567146788344)","-0.983853248705454 (-7.52275329048793, 5.24380527583172)","14.8992651447428 (-1.02707585644216, 48.0902520957204)","-0.0376014284065807 (-6.64519021340171, 6.57213446615698)","0.429623691307447 (-5.00195659227218, 5.8201104637056)","14.6671676652008 (-1.56772162068875, 51.1502557518953)","0.397584766726166 (-4.70755496285666, 5.57091675951922)","0.148637184634061 (-7.30563460054128, 8.08522367203881)","15.0550148097529 (-2.67674820497592, 49.6829135847196)","-1.88944715419123 (-9.17138890620401, 5.65502754879906)","16.2036314426002 (-2.61705374656762, 50.3110900584008)","16.0952978425119 (-1.21181177141875, 53.7210395546839)","0.408303816000552 (-6.31821213222539, 7.84427616280064)","0.533091625575014 (-5.45707423082268, 6.87965074188577)","16.6985367469234 (0.349507020209681, 52.7785201031567)","16.1340926133195 (-0.464856432389507, 52.1604772881455)","-1.48057035006713 (-7.40695504668433, 3.86318044122401)","14.9681748210785 (-0.0437297492354562, 47.625964740737)"
Erlotinib,"-0.847140393565901 (-3.99072583716534, 1.70979555621224)","-14.9410960980692 (-52.5226482240208, 2.53561574210498)","-0.132050375182604 (-5.04968362185337, 5.62575011048297)","-0.0831487975977463 (-3.78954198358915, 3.97588429412424)","0.0278109944050342 (-4.66567146788344, 4.81129546337855)",Erlotinib,"-0.922389092662098 (-5.51501854413958, 3.09869773147044)","14.8492486720383 (-0.0182162889416243, 47.8743080358318)","-0.00605974971376208 (-4.75377803771678, 4.71891207961917)","0.444891397875653 (-2.1436347642209, 3.07248231604956)","14.6445647648076 (-0.571855175817963, 50.8178360144847)","0.414180634080778 (-1.44048765460569, 2.48497371867657)","0.144634506693708 (-5.58794362034502, 6.56627756793261)","15.0118404840922 (-1.85824342852388, 49.4234118917621)","-1.86197656688031 (-7.45388510369969, 3.95414291573962)","16.2144444692737 (-1.87399815724221, 50.1073766962578)","15.9882261130147 (-0.248844211664202, 53.337700900211)","0.410774051762583 (-4.355930339105, 6.13935744064235)","0.540780382278299 (-3.15874381343092, 4.81892268541497)","16.6317807090547 (1.33697504317628, 52.5689665905443)","16.0784517310423 (0.483090653271996, 51.8367215437246)","-1.39408562083385 (-4.86667729317524, 1.20875676696083)","14.8666235169631 (1.28179423480456, 47.3467351830251)"
Erlotinib_chemotherapy,"0.0657126391937002 (-5.11456903558593, 5.24045642184561)","-13.9932787685503 (-51.5369993939828, 4.24389342315275)","0.854933837928194 (-5.43644876886108, 8.20738106845379)","0.887116778967938 (-4.60959179504447, 6.94401768680224)","0.983853248705454 (-5.24380527583172, 7.52275329048793)","0.922389092662098 (-3.09869773147044, 5.51501854413958)",Erlotinib_chemotherapy,"15.9161352200211 (0.197155633941973, 49.1609655217797)","0.952427198210528 (-5.2839935221913, 7.47477128545003)","1.40019555893121 (-3.4233708254697, 6.63706817858329)","15.6715345466562 (-0.388805875308122, 52.1493923852834)","1.37032562621687 (-3.09440171051441, 6.37732669616352)","1.13049401983706 (-5.85798896923242, 8.96676498675522)","16.1819683167351 (-1.52251183745452, 50.4839985723904)","-0.891070763789016 (-7.76693731604156, 6.47585779925675)","17.2054717570127 (-1.48111683611682, 51.3420411810557)","17.1168468749497 (0.0889381803419128, 54.3861443150889)","1.39623660059032 (-4.8033790097232, 8.70281356377558)","1.50240388163529 (-3.91050619270308, 7.73440583558897)","17.7320415812445 (1.52202690918101, 53.6216810123602)","17.171626093292 (0.791026587782543, 53.147544446902)","-0.49040643363928 (-5.87946266352097, 4.68596902151471)","15.9541862657705 (1.40570124218148, 48.5771654138255)"
Erlotinib_HER3i,"-15.7796583369436 (-48.8581982580294, -0.574664409439041)","-32.4599265470495 (-79.7858786608681, -4.46186099585795)","-14.9580018114357 (-48.1457549877196, 1.38188531868904)","-14.9103507083904 (-48.1499742822271, 0.68902697177756)","-14.8992651447428 (-48.0902520957204, 1.02707585644216)","-14.8492486720383 (-47.8743080358318, 0.0182162889416243)","-15.9161352200211 (-49.1609655217797, -0.197155633941973)",Erlotinib_HER3i,"-14.8989617808399 (-48.0905499931564, 0.993728002045833)","-14.4016614724574 (-47.5036835687753, 0.800859011922039)","-0.0368193068783789 (-37.0240692449678, 40.3075314040614)","-14.3984092891693 (-47.557995440194, 0.662511764901176)","-14.7565956430445 (-48.0766682825005, 1.95338519480093)","0.254387224631959 (-36.7694274707021, 38.2769821288557)","-16.8011396311944 (-49.9907006869481, -0.316488725438668)","0.907838105387276 (-37.4685431108113, 38.9130362047596)","1.21892267413032 (-34.6779935782346, 40.9831434093332)","-14.3930602131413 (-47.8130403229106, 1.91736733936474)","-14.2759164516803 (-47.5806367038718, 1.43095563906271)","1.8641671023847 (-35.0126609218009, 41.9743967720684)","1.38742411060694 (-35.9918149793444, 40.3956523218568)","-16.3938377113425 (-49.4756750191747, -1.05096503352541)","0.247068471887372 (-36.3019530360628, 38.0126918859375)"
Erlotinib_IGF_1Ri,"-0.882742800720675 (-6.53162086854495, 4.46936605626321)","-15.0067396677145 (-52.8968484878272, 3.39120978319669)","-0.102608337486257 (-6.78624583671069, 7.39467820184916)","-0.0774909750202344 (-6.02253898466009, 6.16250181619913)","0.0376014284065807 (-6.57213446615698, 6.64519021340171)","0.00605974971376208 (-4.71891207961917, 4.75377803771678)","-0.952427198210528 (-7.47477128545003, 5.2839935221913)","14.8989617808399 (-0.993728002045833, 48.0905499931564)",Erlotinib_IGF_1Ri,"0.451840822473927 (-4.93138028213517, 5.84644892265817)","14.7315302514325 (-1.55628328734137, 51.0487118082008)","0.43964374254937 (-4.61197953043097, 5.61800342945559)","0.161281427319932 (-7.14915080176778, 8.16567002269621)","15.1114555083185 (-2.60270144153461, 49.6063027606826)","-1.85581411016441 (-9.11936437776666, 5.68805003599859)","16.2298339957249 (-2.5964112561868, 50.3503578378777)","16.108885903747 (-1.07355766230264, 53.8496659550623)","0.428399618948343 (-6.20282445937898, 7.9782537194107)","0.555226140129957 (-5.35952258745767, 6.9715510708804)","16.7743904441783 (0.341464328142986, 52.7329124117391)","16.1785824974676 (-0.402446477508265, 52.0334979081425)","-1.43393798877429 (-7.28994258141838, 3.90170132665582)","15.0096392657399 (0.237235089076912, 47.5770810246216)"
