"Comparison","Number of studies","Within-study bias","Reporting bias","Indirectness","Imprecision","Heterogeneity","Incoherence","Confidence rating","Reason(s) for downgrading"
"Afatinib:Placebo",1,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Dacomitinib:Placebo",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib:Erlotinib + Onartuzumab",1,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib:Erlotinib + Tivantinib",2,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib:Placebo",3,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Gefitinib:Placebo",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Osimertinib:Placebo",2,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Afatinib:Dacomitinib",0,"Some concerns","Low risk","No concerns","No concerns","Major concerns","Major concerns","High","[]"
"Afatinib:Erlotinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Afatinib:Erlotinib + Onartuzumab",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Afatinib:Erlotinib + Tivantinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Afatinib:Gefitinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Afatinib:Osimertinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Dacomitinib:Erlotinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Dacomitinib:Erlotinib + Onartuzumab",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Dacomitinib:Erlotinib + Tivantinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Dacomitinib:Gefitinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Dacomitinib:Osimertinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib:Gefitinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib:Osimertinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib + Onartuzumab:Erlotinib + Tivantinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib + Onartuzumab:Gefitinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib + Onartuzumab:Osimertinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib + Onartuzumab:Placebo",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib + Tivantinib:Gefitinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib + Tivantinib:Osimertinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib + Tivantinib:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Gefitinib:Osimertinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
