"Comparison","Number of studies","Within-study bias","Reporting bias","Indirectness","Imprecision","Heterogeneity","Incoherence","Confidence rating","Reason(s) for downgrading"
"Afatinib:Placebo",1,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Dacomitinib:Placebo",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib:Erlotinib + Figitumumab",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib:Erlotinib + Teprotumumab",1,"No concerns","Low risk","Some concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib:Placebo",3,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Gefitinib:Placebo",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Osimertinib:Placebo",2,"No concerns","Low risk","No concerns","No concerns","Major concerns","Major concerns","High","[]"
"Afatinib:Dacomitinib",0,"Some concerns","Low risk","No concerns","No concerns","Major concerns","Major concerns","High","[]"
"Afatinib:Erlotinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Afatinib:Erlotinib + Figitumumab",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Afatinib:Erlotinib + Teprotumumab",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Afatinib:Gefitinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Afatinib:Osimertinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Dacomitinib:Erlotinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Dacomitinib:Erlotinib + Figitumumab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Dacomitinib:Erlotinib + Teprotumumab",0,"No concerns","Low risk","No concerns","Some concerns","Some concerns","Major concerns","High","[]"
"Dacomitinib:Gefitinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Dacomitinib:Osimertinib",0,"Some concerns","Low risk","No concerns","No concerns","Major concerns","Major concerns","High","[]"
"Erlotinib:Gefitinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib:Osimertinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib + Figitumumab:Erlotinib + Teprotumumab",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib + Figitumumab:Gefitinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib + Figitumumab:Osimertinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib + Figitumumab:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib + Teprotumumab:Gefitinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib + Teprotumumab:Osimertinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"Erlotinib + Teprotumumab:Placebo",0,"No concerns","Low risk","Some concerns","Major concerns","No concerns","Major concerns","High","[]"
"Gefitinib:Osimertinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
