Study,Serious events,Total events,Serious OR(95%CI),Total OR(95%CI),Cardiac_s,Vascular_s,Cardiac_t,Vascular_t,cardiac_lower_s,vascular_lower_s,cardiac_lower_t,vascular_lower_t,cardiac_higher_s,vascular_higher_s,cardiac_higher_t,vascular_higher_t
3rd-generation EGFR TKIs vs. 1st-generation EGFR TKIs,,,,,,,,,,,,,,,,
  Cardiac,30/867,140/1049,1.91(1.03 to 3.53),1.37(1.05 to 1.79),1.91,,1.37,,1.03,,1.05,,3.53,,1.79,
  Vascular,43/871,130/871,3.17(1.72 to 5.84),2.7(1.93 to 3.77),,3.17,,2.7,,1.72,,1.93,,5.84,,3.77
2nd-generation EGFR TKIs vs. 1st-generation EGFR TKIs,,,,,,,,,,,,,,,,
  Cardiac,35/1215,40/1215,0.89(0.56 to 1.42),0.81(0.53 to 1.24),0.89,,0.81,,0.56,,0.53,,1.42,,1.24,
  Vascular,38/1308,57/1308,1.23(0.76 to 1.99),1.06(0.72 to 1.55),,1.23,,1.06,,0.76,,0.72,,1.99,,1.55
3rd-generation EGFR TKIs vs. Placebo,,,,,,,,,,,,,,,,
  Cardiac,14/480,52/480,1.36(0.58 to 3.17),2.69(1.55 to 4.67),1.36,,2.69,,0.58,,1.55,,3.17,,4.67,
  Vascular,8/480,8/480,1.16(0.40 to 3.37),1.16(0.40 to 3.37),,1.16,,1.16,,0.4,,0.4,,3.37,,3.37
2nd-generation EGFR TKIs vs. Placebo,,,,,,,,,,,,,,,,
  Cardiac,19/867,19/867,1.19(0.52 to 2.75),1.19(0.52 to 2.75),1.19,,1.19,,0.52,,0.52,,2.75,,2.75,
  Vascular,27/867,27/867,1.96(0.85 to 4.54),1.96(0.85 to 4.54),,1.96,,1.96,,0.85,,0.85,,4.54,,4.54
1st-generation EGFR TKIs vs. Placebo,,,,,,,,,,,,,,,,
  Cardiac,24/1615,24/1615,1.44(0.74 to 2.79),1.44(0.74 to 2.79),1.44,,1.44,,0.74,,0.74,,2.79,,2.79,
  Vascular,21/1762,43/1762,0.77(0.43 to 1.40),0.99(0.63 to 1.54),,0.77,,0.99,,0.43,,0.63,,1.4,,1.54
