Study,Serious events,Total events,Serious OR(95%CI),Total OR(95%CI),Arrhythmias_s,Heart_Failure_s,Vascular_Toxicity_s,Hypertension_s,Arrhythmias_t,Heart_Failure_t,Vascular_Toxicity_t,Hypertension_t,Arrhythmias_lower_s,Heart_Failure_lower_s,Vascular_Toxicity_lower_s,Hypertension_lower_s,Arrhythmias_lower_t,Heart_Failure_lower_t,Vascular_Toxicity_lower_t,Hypertension_lower_t,Arrhythmias_higher_s,Heart_Failure_higher_s,Vascular_Toxicity_higher_s,Hypertension_higher_s,Arrhythmias_higher_t,Heart_Failure_higher_t,Vascular_Toxicity_higher_t,Hypertension_higher_t
3rd-generation EGFR TKIs vs. 1st-generation EGFR TKIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Arrhythmias,13/867,123/1049,1.45(0.62 to 3.42),1.27(0.96 to 1.68),1.45,,,,1.27,,,,0.62,,,,0.96,,,,3.42,,,,1.68,,,
  Heart Failure,8/689,8/689,4.04(0.85 to 19.07),4.04(0.85 to 19.07),,4.04,,,,4.04,,,,0.85,,,,0.85,,,,19.07,,,,19.07,,
  Vascular Toxicity,50/871,99/871,5.82(2.84 to 11.91),6.84(4.00 to 11.70),,,5.82,,,,6.84,,,,2.84,,,,4,,,,11.91,,,,11.7,
  Hypertension,0/475,38/689,0.2(0.01 to 4.15),1.12(0.70 to 1.81),,,,0.2,,,,1.12,,,,0.01,,,,0.7,,,,4.15,,,,1.81
2nd-generation EGFR TKIs vs. 1st-generation EGFR TKIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Arrhythmias,14/988,19/988,1.28(0.58 to 2.83),0.9(0.48 to 1.69),1.28,,,,0.9,,,,0.58,,,,0.48,,,,2.83,,,,1.69,,,
  Heart Failure,4/828,4/828,0.8(0.21 to 3.00),0.8(0.21 to 3.00),,0.8,,,,0.8,,,,0.21,,,,0.21,,,,3,,,,3,,
  Vascular Toxicity,43/1308,43/1308,1.11(0.71 to 1.72),1.11(0.71 to 1.72),,,1.11,,,,1.11,,,,0.71,,,,0.71,,,,1.72,,,,1.72,
  Hypertension,4/779,19/779,0.44(0.14 to 1.44),0.82(0.44 to 1.52),,,,0.44,,,,0.82,,,,0.14,,,,0.44,,,,1.44,,,,1.52
3rd-generation EGFR TKIs vs. Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Arrhythmias,3/480,41/480,2.61(0.27 to 25.19),3.79(1.87 to 7.67),2.61,,,,3.79,,,,0.27,,,,1.87,,,,25.19,,,,7.67,,,
  Heart Failure,3/480,3/480,0.87(0.17 to 4.31),0.87(0.17 to 4.31),,0.87,,,,0.87,,,,0.17,,,,0.17,,,,4.31,,,,4.31,,
  Vascular Toxicity,13/480,13/480,1.13(0.49 to 2.61),1.13(0.49 to 2.61),,,1.13,,,,1.13,,,,0.49,,,,0.49,,,,2.61,,,,2.61,
  Hypertension,1/337,1/337,1.02(0.06 to 16.34),1.02(0.06 to 16.34),,,,1.02,,,,1.02,,,,0.06,,,,0.06,,,,16.34,,,,16.34
2nd-generation EGFR TKIs vs. Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Arrhythmias,8/867,8/867,2.01(0.43 to 9.51),2.01(0.43 to 9.51),2.01,,,,2.01,,,,0.43,,,,0.43,,,,9.51,,,,9.51,,,
  Heart Failure,4/390,4/390,2.01(0.22 to 18.11),2.01(0.22 to 18.11),,2.01,,,,2.01,,,,0.22,,,,0.22,,,,18.11,,,,18.11,,
  Vascular Toxicity,26/867,26/867,2.21(0.90 to 5.40),2.21(0.90 to 5.40),,,2.21,,,,2.21,,,,0.9,,,,0.9,,,,5.4,,,,5.4,
  Hypertension,1/390,1/390,1.51(0.06 to 37.13),1.51(0.06 to 37.13),,,,1.51,,,,1.51,,,,0.06,,,,0.06,,,,37.13,,,,37.13
1st-generation EGFR TKIs vs. Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Arrhythmias,6/1366,6/1366,4.88(0.59 to 40.59),4.88(0.59 to 40.59),4.88,,,,4.88,,,,0.59,,,,0.59,,,,40.59,,,,40.59,,,
  Heart Failure,6/1615,10/2166,10.91(0.61 to 193.80),1.09(0.43 to 2.78),,10.91,,,,1.09,,,,0.61,,,,0.43,,,,193.8,,,,2.78,,
  Vascular Toxicity,24/1762,24/1762,0.85(0.48 to 1.50),0.85(0.48 to 1.50),,,0.85,,,,0.85,,,,0.48,,,,0.48,,,,1.5,,,,1.5,
  Hypertension,0/860,22/860,0.1(0.00 to 1.88),0.88(0.46 to 1.67),,,,0.1,,,,0.88,,,,0,,,,0.46,,,,1.88,,,,1.67
