"","group","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Serious Cardiac (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Serious Cardiac","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Serious Vascular (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Serious Vascular","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Total Cardiac (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Total Cardiac","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Total Vascular (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Total Vascular","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Arrhythmias (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Arrhythmias","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Heart Failure (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Heart Failure","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Hypertension (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Hypertension","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Vascular Toxicity (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Vascular Toxicity","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Arrhythmias (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Arrhythmias","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Heart Failure (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Heart Failure","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Hypertension (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Hypertension","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Vascular Toxicity (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Vascular Toxicity"
"1","antiangio",0.7928,0.7925,0.7384,0.7578,0.9222,0.8754,0.841,0.8752,0.8134,0.7505,0.8689,0.8667,0.6759,0.6364,0.5816,0.6515,0.9542,0.9422,0.9278,0.9256,0.8548,0.8679,0.6522,0.6993
"2","chemo",0.3776,0.4019,0.4959,0.5277,0.4759,0.4707,0.6187,0.642,0.5866,0.6182,0.3182,0.374,0.885,0.8777,0.4984,0.5098,0.6224,0.6325,0.3818,0.4292,0.6343,0.6832,0.5897,0.5675
"3","DHFRi",0.2905,0.3086,0.5216,0.5667,0.3704,0.3553,0.5893,0.6252,0.4814,0.4534,NA,NA,NA,NA,0.4103,0.4516,0.5269,0.5274,NA,NA,NA,NA,0.4641,0.4857
"4","I",0.314,NA,0.2845,NA,0.4191,NA,0.3354,NA,0.4438,NA,0.3194,NA,0.3371,NA,0.2849,NA,0.5024,NA,0.3819,NA,0.3016,NA,0.3507,NA
"5","I_antiangio",0.4451,NA,0.6594,NA,0.4107,NA,0.8075,NA,0.4878,NA,0.39,NA,0.5852,NA,0.4259,NA,0.3722,NA,0.4812,NA,0.7896,NA,0.3939,NA
"6","I_chemo",0.5537,NA,0.3714,NA,0.5731,NA,0.4329,NA,0.6815,NA,0.3654,NA,0.3264,NA,0.5792,NA,0.6885,NA,0.2992,NA,0.3557,NA,0.5812,NA
"7","I_COX2i",0.0289,NA,NA,NA,0.0615,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0326,NA,NA,NA,NA,NA,NA,NA,0.0353,NA
"8","I_HER3i",0.6642,NA,0.2723,NA,0.7486,NA,0.2609,NA,0.4956,NA,0.7979,NA,NA,NA,0.2898,NA,0.5424,NA,0.8709,NA,NA,NA,0.339,NA
"9","I_IGF_1Ri",0.5359,NA,0.7071,NA,0.4744,NA,0.762,NA,0.5059,NA,0.4253,NA,0.8365,NA,0.7462,NA,0.3817,NA,0.529,NA,0.6156,NA,0.8462,NA
"10","I_METi",0.2601,NA,0.3575,NA,0.3799,NA,0.3913,NA,0.2746,NA,0.3188,NA,0.8393,NA,0.4295,NA,0.3595,NA,0.3838,NA,0.9714,NA,0.4592,NA
