"","antiangio","chemo","DHFRi","I","I_antiangio","I_chemo","I_COX2i","I_HER3i","I_IGF_1Ri","I_METi","I_MMPi","I_PARPi","II","II_Cetuximab","II_HMGCRi","III","III_Amivantamab","III_antiangio","III_chemo","Placebo","Rociletinib","Zorifertinib"
"antiangio","antiangio","-1.5113811378623 (-2.72220832056924, -0.474483453698701)","-1.92987972976987 (-4.00621782747168, -0.0266779608008326)","-1.63766411838051 (-2.72152763781613, -0.756742507178476)","-1.35508691269202 (-2.55501947571234, -0.323148087567004)","-1.02896626466838 (-2.4367236367168, 0.326247005723995)","-33.2818497605823 (-76.7384866822782, -4.38357898141132)","-0.512734504562386 (-2.39274263721328, 1.73538056803114)","-1.07515831445797 (-2.52868992738822, 0.362852980506568)","-1.8182399142565 (-3.14991739105727, -0.695161858060263)","15.3231561563895 (0.331110469781408, 53.5706373244946)","14.257308714935 (-1.69800435222844, 50.1212163049442)","-1.7820838970906 (-2.97123888283897, -0.782590918719379)","-1.82640937443438 (-5.90544444591254, 1.99799054364938)","-31.421109572523 (-90.8918337624942, -2.79852633470308)","-1.12010170853776 (-2.32272539222513, -0.0675971861244532)","-0.890299326019014 (-2.3774681841699, 0.531858688696773)","1.27593452405692 (-1.13310311459498, 4.70614474298171)","-0.179558955569279 (-1.84529090840659, 1.45046336415789)","-1.82225427955213 (-3.02925180783781, -0.79348025090919)","-1.1234652933756 (-3.37405619496334, 1.20077708711556)","-0.564974964800358 (-2.33840260203599, 1.30634742295078)"
"chemo","1.5113811378623 (0.474483453698701, 2.72220832056924)","chemo","-0.412314402294786 (-2.26202003902901, 1.3823049328454)","-0.135600847170381 (-0.699212189804103, 0.425599430190668)","0.15232111993036 (-0.630989027004326, 0.95498171278564)","0.479518572400463 (-0.558220747725845, 1.62721855673979)","-31.7334658979921 (-75.1123351198181, -2.83124795792171)","0.992766611170352 (-0.667556898955911, 3.16868599259928)","0.429375794884803 (-0.682490225910751, 1.68946542911386)","-0.306599595063226 (-1.25666943228553, 0.590054052511308)","16.8645575176769 (1.91785336367336, 55.0787867846051)","15.7704562918534 (-0.144104904821047, 51.7077379937684)","-0.279177643009164 (-0.992620733913268, 0.435736951202343)","-0.285710661931795 (-4.32865541224147, 3.41634133276109)","-29.8668998953077 (-89.2933426576966, -1.32741692359382)","0.386990765581046 (-0.319249116798272, 1.14448714669265)","0.626043383943688 (-0.537981997115169, 1.84630124964251)","2.78809774316813 (0.606583342183678, 6.14559740711319)","1.33229236969602 (-0.0198268464554122, 2.80180088427743)","-0.316927712977787 (-1.06803741239178, 0.435380958089899)","0.384679640667688 (-1.65790902551266, 2.62649981189147)","0.949456000713934 (-0.574150892617863, 2.65561069439362)"
"DHFRi","1.92987972976987 (0.0266779608008326, 4.00621782747168)","0.412314402294786 (-1.3823049328454, 2.26202003902901)","DHFRi","0.272391942976506 (-1.41240180423359, 2.04706316562804)","0.551803969892572 (-1.19343237639296, 2.40119640067624)","0.894088521348391 (-1.02916432106228, 2.94001348386317)","-31.3541527976181 (-74.8339278424753, -2.40699678865594)","1.436247981245 (-0.913507410335221, 4.13132560918172)","0.851914608139405 (-1.123141358372, 2.94076354543242)","0.0910956410385725 (-1.74305065031074, 1.98845169405426)","17.2651670091729 (2.21693743483771, 55.6547492361483)","16.2953454263648 (-0.0692272744407422, 52.3119341565007)","0.127574821678151 (-1.63379625454682, 1.96929094534667)","0.128067479972582 (-4.19537606100576, 4.11631476298683)","-29.4428759310258 (-89.2741367971766, -0.767439998482503)","0.796892797056181 (-0.97341577475488, 2.67261131328558)","1.03844716859832 (-0.951956123470712, 3.14062950434019)","3.23361244718424 (0.49578362225609, 6.94713297095625)","1.75674880857482 (-0.353136730829254, 3.99941373069365)","0.0844882082410904 (-1.68799277281589, 1.94977450150345)","0.810573713003626 (-1.75571968489256, 3.53439246087377)","1.38742012089171 (-0.850828834851884, 3.75111148538535)"
"I","1.63766411838051 (0.756742507178476, 2.72152763781613)","0.135600847170381 (-0.425599430190668, 0.699212189804103)","-0.272391942976506 (-2.04706316562804, 1.41240180423359)","I","0.285290694974588 (-0.2617437567544, 0.826328993922787)","0.616452240683184 (-0.322911936594903, 1.6217288471055)","-31.6227648530717 (-74.9934243854045, -2.67521128173965)","1.12288118115886 (-0.412919828383798, 3.2237604821009)","0.56207249829952 (-0.419177530296526, 1.69283308989962)","-0.175712480421948 (-0.925549319363417, 0.528768114486007)","17.0148155960493 (2.0767262750229, 55.1969672363264)","15.962026831472 (0.0221102041809145, 51.7388281105028)","-0.141465448189324 (-0.63533506509725, 0.328257488830797)","-0.159343089872355 (-4.17650223498269, 3.51121168640595)","-29.7487980954201 (-89.09722617575, -1.18532277159111)","0.520696915917563 (-0.0103404494342237, 1.09302221978761)","0.757291234821747 (-0.294761190520514, 1.87295489581543)","2.90690435711509 (0.783043848633128, 6.25652243531773)","1.46364326335642 (0.19865558177641, 2.85880207311962)","-0.178285499173658 (-0.723156073965805, 0.338803284529961)","0.51908420167344 (-1.45646315667748, 2.6889310500738)","1.07639958153026 (-0.336110177784943, 2.71291083830899)"
"I_antiangio","1.35508691269202 (0.323148087567004, 2.55501947571234)","-0.15232111993036 (-0.95498171278564, 0.630989027004326)","-0.551803969892572 (-2.40119640067624, 1.19343237639296)","-0.285290694974588 (-0.826328993922787, 0.2617437567544)","I_antiangio","0.334194789745645 (-0.727993668450398, 1.47310755005232)","-31.9137468996082 (-75.2963108143864, -2.9983058512309)","0.841085376515187 (-0.803171491007897, 3.00490193022229)","0.279013372736346 (-0.835751130018334, 1.55977960832237)","-0.46374304659477 (-1.38517777002525, 0.437415902557334)","16.7017187368362 (1.78748233595409, 54.9647212233796)","15.6973356121235 (-0.326498470937108, 51.3894310982684)","-0.429272909203592 (-1.15173134054414, 0.291206418233969)","-0.446098084096624 (-4.4967277491885, 3.28614252870841)","-29.9920054681775 (-89.4394670876688, -1.40564272357444)","0.234066119238056 (-0.525995797528179, 1.02455851354238)","0.469132863290702 (-0.710223461362255, 1.72523782912581)","2.63308923535584 (0.422885997910211, 6.00657681516409)","1.17859844333794 (-0.202362339278396, 2.6790076267834)","-0.465704799321864 (-1.23463499657085, 0.288347263383671)","0.229245866360148 (-1.79535633070296, 2.46907741356486)","0.797911934379453 (-0.716451887914611, 2.54290812239344)"
"I_chemo","1.02896626466838 (-0.326247005723995, 2.4367236367168)","-0.479518572400463 (-1.62721855673979, 0.558220747725845)","-0.894088521348391 (-2.94001348386317, 1.02916432106228)","-0.616452240683184 (-1.6217288471055, 0.322911936594903)","-0.334194789745645 (-1.47310755005232, 0.727993668450398)","I_chemo","-32.2577587822926 (-75.593639970407, -3.2699079456924)","0.520459655211592 (-1.32619366264247, 2.76317284398374)","-0.0470277732553031 (-1.43735783973853, 1.43009349612652)","-0.796612292933837 (-2.06156386015354, 0.383449796714622)","16.365866543785 (1.38376423041012, 54.6537975977414)","15.3129231313564 (-0.536010087300086, 51.043245860772)","-0.761248319393834 (-1.87230523184392, 0.286249417289028)","-0.79801563887295 (-4.88710608660923, 3.01780665188392)","-30.345598182409 (-89.9063582196442, -1.71306988739568)","-0.0936843217988349 (-1.23962765914335, 0.990805191808637)","0.142788876256363 (-1.33324300514209, 1.5808424839475)","2.30582717205085 (-0.0722876611010888, 5.77072086165346)","0.849775717443622 (-0.80077124913951, 2.50596743797751)","-0.801643252737885 (-1.95033654316154, 0.273435026813108)","-0.0966685794591341 (-2.30514701997968, 2.24020452458242)","0.468471370453887 (-1.29504142034133, 2.31814954129981)"
"I_COX2i","33.2818497605823 (4.38357898141132, 76.7384866822782)","31.7334658979921 (2.83124795792171, 75.1123351198181)","31.3541527976181 (2.40699678865594, 74.8339278424753)","31.6227648530717 (2.67521128173965, 74.9934243854045)","31.9137468996082 (2.9983058512309, 75.2963108143864)","32.2577587822926 (3.2699079456924, 75.593639970407)","I_COX2i","32.8677150136614 (3.73338623112341, 76.2530677509393)","32.1929018246099 (3.28468814303011, 75.7752763577139)","31.4598729273294 (2.4416664537804, 74.7386746435065)","51.0230567468124 (14.1725909021809, 107.895917418493)","48.4065050247841 (10.9806601402132, 113.937447724206)","31.4565807444711 (2.51503449484634, 74.7576099529498)","31.4899700141836 (2.237340558248, 74.6476201087912)","-1.53655841812952 (-63.5916207070527, 58.9700413855145)","32.1594681351284 (3.19218426449828, 75.5077593712866)","32.4182268703292 (3.42421598408067, 75.8651833866538)","34.7132627290699 (5.40932688875624, 78.2938134261002)","33.0904100770023 (4.17806012621639, 76.622782392764)","31.436119140014 (2.50115803953286, 74.8596209877157)","32.1385177633961 (3.23594337428844, 75.8109695529815)","32.7676120911454 (3.71303699791559, 76.25106084996)"
"I_HER3i","0.512734504562386 (-1.73538056803114, 2.39274263721328)","-0.992766611170352 (-3.16868599259928, 0.667556898955911)","-1.436247981245 (-4.13132560918172, 0.913507410335221)","-1.12288118115886 (-3.2237604821009, 0.412919828383798)","-0.841085376515187 (-3.00490193022229, 0.803171491007897)","-0.520459655211592 (-2.76317284398374, 1.32619366264247)","-32.8677150136614 (-76.2530677509393, -3.73338623112341)","I_HER3i","-0.564147081709573 (-2.82751028554971, 1.38358621486081)","-1.31362205779384 (-3.52750133167257, 0.405863477606189)","15.6965295133833 (0.661306739207091, 54.1326397712293)","14.7502315692833 (-1.38360930855845, 50.6045261880825)","-1.27051229630383 (-3.42714427886012, 0.345058755248935)","-1.33685721113768 (-5.70979544300257, 2.67311743741503)","-30.9760161650072 (-90.6905340480425, -2.18540902274978)","-0.602710485906278 (-2.7661810697708, 1.03787978576832)","-0.374298794101242 (-2.72182682041131, 1.55190048533977)","1.77439671826727 (-1.18239631593265, 5.50032126074932)","0.327427625907496 (-2.13771883471976, 2.44691259409948)","-1.30675991834001 (-3.46904314297919, 0.315740059148191)","-0.611947185694932 (-3.4609192674051, 2.04283560604904)","-0.0605946774899662 (-2.58194975725219, 2.21518467214104)"
"I_IGF_1Ri","1.07515831445797 (-0.362852980506568, 2.52868992738822)","-0.429375794884803 (-1.68946542911386, 0.682490225910751)","-0.851914608139405 (-2.94076354543242, 1.123141358372)","-0.56207249829952 (-1.69283308989962, 0.419177530296526)","-0.279013372736346 (-1.55977960832237, 0.835751130018334)","0.0470277732553031 (-1.43009349612652, 1.43735783973853)","-32.1929018246099 (-75.7752763577139, -3.28468814303011)","0.564147081709573 (-1.38358621486081, 2.82751028554971)","I_IGF_1Ri","-0.739399826916174 (-2.12646730562625, 0.466320191993025)","16.4031512407829 (1.46289046206164, 54.6050934941256)","15.3633038269159 (-0.616170345312032, 51.1898356098666)","-0.709623260318278 (-1.94293746836643, 0.377103391392358)","-0.755769727554962 (-4.85292398694159, 3.02966765495769)","-30.3031861166215 (-89.5829232445062, -1.7774694565194)","-0.0404314486266935 (-1.28610968740535, 1.07879721129824)","0.188326082493608 (-1.35779563315653, 1.67172164187231)","2.35154325603496 (-0.0810497518639948, 5.82913424506809)","0.899135344676962 (-0.811744762158512, 2.58772851572213)","-0.746679295985353 (-1.99875616192945, 0.367685181894214)","-0.0521507154513338 (-2.29707231958225, 2.31460109113406)","0.518614697787941 (-1.30193922399836, 2.41482083818973)"
