"","Afatinib","Afatinib_Cetuximab","Afatinib_HMGCRi","Almonertinib","antiangio","chemo","Dacomitinib","DHFRi","Erlotinib","Erlotinib_antiangio","Erlotinib_chemo","Erlotinib_COX2i","Erlotinib_HER3i","Erlotinib_IGF_1Ri","Erlotinib_METi","Erlotinib_MMPi","Furmonertinib","Gefitinib","Gefitinib_chemo","Gefitinib_Erlotinib","Gefitinib_PARPi","Icotinib","Lazertinib","Lazertinib_Amivantamab","Osimertinib","Osimertinib_antiangio","Osimertinib_chemo","Placebo","Rociletinib","Zorifertinib"
"Afatinib","Afatinib","-0.00310325931737138 (-3.7239030731125, 3.84151280978545)","-21.6677113809441 (-66.9053754920329, -0.423560726536031)","1.00922838657505 (-1.03217559633347, 3.33429442798835)","1.66343138717306 (0.478381770169137, 3.14123486622393)","0.109474010307276 (-0.722830914364307, 0.978614598179824)","-0.485710974926226 (-1.57430915742003, 0.576951722076274)","-0.282029489358126 (-2.25679680432899, 1.69322372698388)","0.00123327305921789 (-0.69434266050304, 0.783471339394871)","0.283202918238664 (-0.636891651550599, 1.24101105879463)","0.516541191632317 (-0.753021118392218, 1.91488988274439)","-23.7086307624277 (-72.0429460315373, -0.51549673645489)","1.13067044814063 (-0.629923783376003, 3.39065783190272)","0.613207120180869 (-0.633922958631862, 2.12411313307825)","-0.191856475257647 (-1.284169569151, 0.915970061496173)","19.0992972509361 (2.54793410575755, 52.4672187054479)","0.340939338212012 (-1.31955369640109, 2.06758324777817)","-0.0371679626952079 (-0.940294935405582, 0.860330684536132)","1.38315142736682 (-1.14100913678486, 4.99114556271792)","-0.553302444530599 (-2.1459462541473, 1.08353036728335)","18.3633370264882 (0.176234716402069, 65.1128219478182)","20.5314741814253 (1.84188612817223, 78.5852866814989)","0.464950116435985 (-0.888140831994966, 1.86134107665651)","0.631293801995435 (-0.770686731847013, 2.12083796096099)","0.265127959456115 (-0.777249715494451, 1.40583397288552)","2.62010206710645 (0.321940872531032, 6.0970144064981)","1.2114559470335 (-0.408313302977083, 3.02189655063168)","-0.267797076331968 (-1.08128640111078, 0.507768729098192)","0.521359925245428 (-1.64060658591759, 2.9671307203542)","0.533257374396102 (-1.64806523669933, 2.9136003557418)"
"Afatinib_Cetuximab","0.00310325931737138 (-3.84151280978545, 3.7239030731125)","Afatinib_Cetuximab","-21.4395417896205 (-67.2403122488122, 0.171304492253078)","1.04401259906418 (-3.30106028170346, 5.31836446507871)","1.67423500275624 (-2.31907195825624, 5.66649321164658)","0.110549998274377 (-3.80890268960946, 3.90666543609571)","-0.478261339517138 (-4.45604526463735, 3.37894632552027)","-0.273025190478571 (-4.53642457283338, 3.89798933739637)","0.0108470593697924 (-3.89860575719487, 3.8165037324933)","0.284959056270673 (-3.6598917824065, 4.14697987149242)","0.534376131094195 (-3.58269380321357, 4.4730233710537)","-23.6613600367286 (-72.0493153439984, 0.0169804694509107)","1.15313688944024 (-3.05781462830026, 5.46432916277794)","0.641426184085373 (-3.42124296460232, 4.66701383509561)","-0.198202057577696 (-4.17928679810058, 3.69053119194794)","19.2385256858947 (1.90345617553461, 52.4395648474494)","0.362427648575629 (-3.88493200938848, 4.41373629247295)","-0.0321296478234794 (-3.98616369818554, 3.7831502812541)","1.43559771234221 (-3.21146543881293, 6.55314145789495)","-0.548916741625091 (-4.73726840015883, 3.54294858702922)","18.2846432330547 (-0.342238490200623, 65.1306427474327)","20.5111831869212 (1.48319908191379, 78.6540383028814)","0.469300973253315 (-3.61854232960896, 4.44332364433607)","0.655872315111024 (-3.47774210629422, 4.63095691138405)","0.281322562959528 (-3.71341106356115, 4.15774695104384)","2.69561349328065 (-1.82449013859282, 7.61330862873585)","1.24362454301531 (-2.93492520195605, 5.33800619737999)","-0.272496742234659 (-4.20176100670747, 3.53700197921624)","0.52729428869959 (-3.80281978576835, 4.91077754432613)","0.54792197286992 (-3.89304056241512, 4.91325935543313)"
"Afatinib_HMGCRi","21.6677113809441 (0.423560726536031, 66.9053754920329)","21.4395417896205 (-0.171304492253078, 67.2403122488122)","Afatinib_HMGCRi","22.6860165406465 (1.06427038754133, 68.3905412217229)","23.3770947030433 (2.05256464811075, 68.5611819260952)","21.7177750352127 (0.486025779378237, 67.1160772663403)","21.1523056008117 (-0.14875965290913, 66.6276790809788)","21.429540736583 (-0.0544502772384097, 66.8755309143427)","21.6741173365168 (0.399794346918829, 67.0764221355418)","21.953251908054 (0.67439446859438, 67.2907549912464)","22.1777794552293 (0.81275464026651, 67.6127475097391)","-1.70237441625582 (-50.6843525828619, 50.2480466688081)","22.8914774945721 (1.43797929326044, 68.4597118547038)","22.3391224299151 (0.982754832654421, 67.7500818026383)","21.4536618448553 (0.177964943208028, 66.837536716838)","43.90782173131 (9.08979909735363, 92.1284362877947)","22.0162671670441 (0.624909499096458, 67.500442925803)","21.6162695557036 (0.327247811256812, 66.9492535834693)","23.1281977244135 (1.3398951795849, 68.7966100806004)","21.0713964723022 (-0.260901150739842, 66.6088542333487)","44.9821605790101 (7.74394482332383, 102.977017165952)","45.4560304506764 (8.77458984838803, 107.45224284268)","22.13636878083 (0.743008658271637, 67.6763547854399)","22.3129078432445 (0.931533233720276, 67.8011587006064)","21.910391883635 (0.619196035037432, 67.4798871889528)","24.308143154306 (2.7900944020814, 69.9435334088309)","22.898767225542 (1.48814150582806, 68.5208783746681)","21.3773331007371 (0.108911778960014, 66.8477803959915)","22.26995019404 (0.745063779011789, 67.2915016696877)","22.2330855161967 (0.696131371408687, 67.805252054774)"
"Almonertinib","-1.00922838657505 (-3.33429442798835, 1.03217559633347)","-1.04401259906418 (-5.31836446507871, 3.30106028170346)","-22.6860165406465 (-68.3905412217229, -1.06427038754133)","Almonertinib","0.665939164222018 (-1.86053793174002, 3.03890745855051)","-0.90183530765149 (-3.21827073750071, 1.14587658335307)","-1.50286596406114 (-3.95324314186025, 0.655645452317658)","-1.31413332775296 (-4.22538987104994, 1.4399007653134)","-1.00449620702215 (-3.31114014122267, 1.03659589340258)","-0.726553244538751 (-3.11390720779613, 1.40770642643384)","-0.498222974267604 (-2.99703723584948, 1.86258926751158)","-24.7832734148177 (-73.048111719694, -1.31994810852012)","0.132195562619292 (-2.66354298327487, 3.04801636323819)","-0.389435292952165 (-2.92533506610388, 2.04265233481951)","-1.20325481232633 (-3.66919107112739, 0.98337898106976)","18.0503825643426 (1.26482494797548, 51.26035169768)","-0.665686942962987 (-3.21204738271434, 1.66055082725691)","-1.03791839269612 (-3.20204872012529, 0.760158801890471)","0.392345763780915 (-2.82998831463488, 4.23733266719705)","-1.57685207106848 (-4.22527765815481, 0.892049110300204)","17.4295363313894 (-1.00811516606271, 64.2378759631808)","19.4687915505334 (0.722730682384045, 77.1718963524891)","-0.559097682862307 (-3.03895098209787, 1.69093887227421)","-0.388856059937055 (-2.90954996942837, 1.94061306381208)","-0.742485451189311 (-3.14042455223993, 1.40726024481209)","1.61270044183066 (-1.50140671133465, 5.46220886084232)","0.203156634930168 (-2.52018191340543, 2.76690676010922)","-1.28452128204197 (-3.60866829787687, 0.734037284078942)","-0.48261573697503 (-3.61702894181915, 2.53693074989666)","-0.480182112020422 (-3.55289861467733, 2.51796854064027)"
"antiangio","-1.66343138717306 (-3.14123486622393, -0.478381770169137)","-1.67423500275624 (-5.66649321164658, 2.31907195825624)","-23.3770947030433 (-68.5611819260952, -2.05256464811075)","-0.665939164222018 (-3.03890745855051, 1.86053793174002)","antiangio","-1.56132935988073 (-2.94825851613723, -0.38463625466224)","-2.15300306114646 (-3.717759462335, -0.877561428066491)","-1.96624449687025 (-4.12853060923816, 0.112196734086439)","-1.65651090555349 (-2.86266289621803, -0.681076210457248)","-1.38187509185039 (-2.744001861142, -0.249831575746566)","-1.15675952882643 (-2.72700395044217, 0.348333559524406)","-25.4002759175805 (-73.6181261676487, -2.22055040286949)","-0.534432388951676 (-2.58171758763517, 1.7655597282722)","-1.05454192008483 (-2.60102852414827, 0.514944837653738)","-1.85704161245234 (-3.36353496665684, -0.608518156075484)","17.402621878252 (0.861152299355295, 50.6200680013664)","-1.33102882763472 (-3.44499558640259, 0.588098416216955)","-1.70849273782575 (-3.25430861777372, -0.40425876580879)","-0.287341062425389 (-3.13646441861678, 3.40640757873641)","-2.2270491056388 (-4.17713889617159, -0.414521016019386)","16.6674383177217 (-1.56984915815503, 63.4595981765714)","18.8458397368787 (0.156311544229382, 76.706324878527)","-1.2133058036644 (-3.00587123343396, 0.437326253606395)","-1.04157093517829 (-2.86012858051217, 0.646631243571249)","-1.40611513026229 (-2.91989901848304, 0.00354396812630311)","0.952594245586108 (-1.62718564197606, 4.46677972315985)","-0.454975824092237 (-2.46922361700496, 1.5176238908201)","-1.93905945736528 (-3.36127804719632, -0.777170060172215)","-1.15450630690104 (-3.54251614933768, 1.35619421555506)","-1.14000462053746 (-3.6443465803272, 1.35063247476494)"
"chemo","-0.109474010307276 (-0.978614598179824, 0.722830914364307)","-0.110549998274377 (-3.90666543609571, 3.80890268960946)","-21.7177750352127 (-67.1160772663403, -0.486025779378237)","0.90183530765149 (-1.14587658335307, 3.21827073750071)","1.56132935988073 (0.38463625466224, 2.94825851613723)","chemo","-0.595150042485957 (-1.66950461015491, 0.430100958740051)","-0.391948863838354 (-2.34151428014313, 1.5258709281424)","-0.105057518496895 (-0.747209351736001, 0.563744332047702)","0.17713712174782 (-0.710501043193773, 1.06561023584109)","0.417083741838797 (-0.806475240955441, 1.68359477279452)","-23.7207946449119 (-72.1545697796844, -0.612138495335424)","1.02498151610755 (-0.725632712792756, 3.22650374516376)","0.507064293286315 (-0.711957029269063, 1.92535351999571)","-0.294820901200392 (-1.37736699425677, 0.728060347306519)","18.9729375189285 (2.43470790007096, 52.2620622361605)","0.238124773889057 (-1.43830777052876, 1.91885137777829)","-0.142862103606588 (-1.05496925123516, 0.712727517882629)","1.26918032616031 (-1.27973450874002, 4.87946020686733)","-0.666898035016638 (-2.20926214160286, 0.900586428286115)","18.2325738460113 (0.0749006174001108, 64.9996913277145)","20.4258481101484 (1.73739813908813, 78.4504072464411)","0.354267402905607 (-0.970120434325385, 1.67727726687495)","0.519309439992016 (-0.824030146649672, 1.92173817066103)","0.151017352172105 (-0.811592121941691, 1.19766823294757)","2.50550098712634 (0.259212333766642, 5.94954203100253)","1.10575455108481 (-0.493835989659011, 2.84258757732639)","-0.376415578441646 (-1.22080915649137, 0.406236484137178)","0.418191106450319 (-1.743298376311, 2.82504148720695)","0.418822863151423 (-1.73209866223865, 2.77147445665152)"
"Dacomitinib","0.485710974926226 (-0.576951722076274, 1.57430915742003)","0.478261339517138 (-3.37894632552027, 4.45604526463735)","-21.1523056008117 (-66.6276790809788, 0.14875965290913)","1.50286596406114 (-0.655645452317658, 3.95324314186025)","2.15300306114646 (0.877561428066491, 3.717759462335)","0.595150042485957 (-0.430100958740051, 1.66950461015491)","Dacomitinib","0.202078472009474 (-1.83276689547762, 2.23406839761109)","0.488157311434904 (-0.340412005127738, 1.41846764283968)","0.770706824494665 (-0.255739273101031, 1.85653669341443)","1.00830590612949 (-0.350112946691286, 2.4860239140193)","-23.1520787035304 (-71.5738622211476, -0.00651494743036806)","1.62398793975624 (-0.207256838115862, 3.92459113018545)","1.10388494964433 (-0.228442688984436, 2.70174939744954)","0.302591458691154 (-0.893300533841755, 1.50699774137383)","19.6076043540269 (3.03658517109065, 52.8550169570483)","0.837553679228363 (-0.966536089324509, 2.67273010814326)","0.453424095408044 (-0.668151713117513, 1.57694138605213)","1.87548771678484 (-0.745411995166735, 5.51577753496909)","-0.0662535778050298 (-1.73283164255838, 1.67711168741192)","18.8275624502653 (0.656948779067443, 65.6284728508861)","20.9979472237046 (2.31795606462158, 79.1737760819984)","0.949349993081506 (-0.514665268266277, 2.48564734033515)","1.11488186097111 (-0.369466346739776, 2.72201790313592)","0.745950709191437 (-0.42284229329546, 2.03582256575116)","3.10189134472814 (0.743048643453935, 6.63311791844346)","1.70082450164536 (-0.0216311588550211, 3.5972363262922)","0.21719613564808 (-0.720532661541355, 1.16325016583938)","1.01434674651081 (-1.21354293133173, 3.49578297018347)","1.02505289441504 (-1.23172209392834, 3.47808536414416)"
"DHFRi","0.282029489358126 (-1.69322372698388, 2.25679680432899)","0.273025190478571 (-3.89798933739637, 4.53642457283338)","-21.429540736583 (-66.8755309143427, 0.0544502772384097)","1.31413332775296 (-1.4399007653134, 4.22538987104994)","1.96624449687025 (-0.112196734086439, 4.12853060923816)","0.391948863838354 (-1.5258709281424, 2.34151428014313)","-0.202078472009474 (-2.23406839761109, 1.83276689547762)","DHFRi","0.291771907663865 (-1.52300698762164, 2.13778995934789)","0.573157111866881 (-1.34220211966017, 2.49435408246009)","0.80217364714424 (-1.28972530866186, 2.96298852004374)","-23.4952309658517 (-71.8946334293166, -0.129449826176044)","1.44535793523624 (-1.00365281128035, 4.18021499692728)","0.906998334952866 (-1.13086661284784, 3.12079372704633)","0.0967009575059911 (-1.8954642342361, 2.05846487379109)","19.3998519438814 (2.7386437902289, 52.6546874624719)","0.637606960197542 (-1.84052834562299, 3.11512540725296)","0.252262347026332 (-1.78975747040082, 2.27737960115943)","1.69251139350489 (-1.46227416444225, 5.66762190022498)","-0.267286790042434 (-2.60402451848122, 2.12144313702009)","18.6256384079918 (0.237256337074712, 65.4674396749184)","20.7770411880068 (2.01547858384863, 78.9802861158949)","0.740862537111414 (-1.45653224418963, 3.02224017912703)","0.911286648983095 (-1.30903995185232, 3.24895968376739)","0.547528940801921 (-1.48094698284788, 2.66909608074774)","2.92757350359609 (0.00358090958830554, 6.74717425754787)","1.50949833887608 (-0.896288906275276, 4.00927822991736)","0.0124885843735504 (-1.94978677618893, 1.97060889731232)","0.815045881397298 (-1.90639706211125, 3.72380685445642)","0.839239548701156 (-2.00247368209373, 3.72167310476844)"
"Erlotinib","-0.00123327305921789 (-0.783471339394871, 0.69434266050304)","-0.0108470593697924 (-3.8165037324933, 3.89860575719487)","-21.6741173365168 (-67.0764221355418, -0.399794346918829)","1.00449620702215 (-1.03659589340258, 3.31114014122267)","1.65651090555349 (0.681076210457248, 2.86266289621803)","0.105057518496895 (-0.563744332047702, 0.747209351736001)","-0.488157311434904 (-1.41846764283968, 0.340412005127738)","-0.291771907663865 (-2.13778995934789, 1.52300698762164)","Erlotinib","0.281299950445715 (-0.335347799664815, 0.865700754789944)","0.511727741460633 (-0.571744983686653, 1.66040091521719)","-23.6615085166562 (-71.9998594953683, -0.544362857395359)","1.12044617787521 (-0.514524129942984, 3.24087720798245)","0.61086569729401 (-0.429073075166862, 1.856259470923)","-0.194183004866778 (-1.05623849012622, 0.587254410800126)","19.0801955452689 (2.57733597569403, 52.3309502462084)","0.343423883225824 (-1.35887248231234, 2.01761120508539)","-0.0381595612974448 (-0.958995949787025, 0.811044142149297)","1.38250002666778 (-1.1691631629155, 4.93832886704071)","-0.556652172644312 (-2.09953987452821, 0.989771227445123)","18.3328586811134 (0.169441451575512, 65.1390579277565)","20.5228122745959 (1.84250192683707, 78.4800203085934)","0.457250779275155 (-0.866430884157891, 1.76512610025995)","0.621953716152843 (-0.731522439240115, 2.00364731887679)","0.258881513320749 (-0.702415466627536, 1.28064447681772)","2.61807540635474 (0.357358685103958, 6.04385965869573)","1.20657974132812 (-0.38419556133488, 2.92766608303606)","-0.27115977159399 (-0.989917374513043, 0.358416404045419)","0.515481382785799 (-1.54309145312489, 2.82051156818393)","0.532194445249375 (-1.62909517582754, 2.84681488633701)"
