"","antiangio","chemo","DHFRi","I","I_antiangio","I_Autophagyi","I_chemo","I_ERi","I_HER3i","I_HGFi","I_IGF_1Ri","I_METi","I_MMPi","II","II_Cetuximab","III","III_Amivantamab","III_antiangio","III_chemo","Placebo","Rociletinib"
"antiangio","antiangio","-1.30014520173293 (-3.26936765993955, 0.534471628699392)","-1.13709146597889 (-5.09657454696095, 3.23718431132529)","-2.1013761722105 (-3.88220978622557, -0.550953399275403)","-0.570878889051116 (-2.37189123720903, 1.07706486135159)","-39.0590041240585 (-124.672507307529, -3.50761595741368)","-1.82212155064045 (-3.97368352855135, 0.160602772885893)","25.2118844510599 (-0.677880015684962, 94.6215058010964)","-2.82649577623254 (-6.29651635388626, 0.484977228692114)","25.561558495119 (-0.909725842699919, 93.3604207592418)","-0.0554424190965066 (-2.9154936479074, 3.04128568597112)","-1.89615501238443 (-4.18456835435021, 0.139603054941948)","-44.5494075859819 (-143.51987050864, -5.71455794669673)","-1.68242229447834 (-3.73924209885115, 0.182832974622539)","-0.852028050108637 (-4.32443005049165, 2.54359384646053)","-1.0980072519649 (-3.16821260758772, 0.836508675751166)","-0.0653456772731355 (-3.31241605928372, 3.01352274224025)","0.0811652902866432 (-2.595016206953, 2.70067626008835)","0.297785997644991 (-2.8533239849064, 3.50046853064813)","-1.96915569996036 (-4.04924668431357, -0.120228322224659)","-42.4445556101817 (-133.729745027794, -3.4487885057233)"
"chemo","1.30014520173293 (-0.534471628699392, 3.26936765993955)","chemo","0.167164949552161 (-3.53117074212507, 4.38206619502816)","-0.806552065900934 (-1.78220177762867, 0.110653162758539)","0.732200691638882 (-0.464288022355166, 1.91942645610094)","-37.7034342463541 (-123.35377230601, -2.24424333429964)","-0.51550326502679 (-2.03077434629775, 0.95245098810808)","26.477605648496 (0.704961627033255, 95.8818217168381)","-1.51557432364777 (-4.66263315929757, 1.55681398972617)","26.9138428754544 (0.482041732908413, 94.7440189803231)","1.24477381770484 (-1.18972456472604, 4.10186119917643)","-0.592160167757968 (-2.29337496558016, 1.00281277733985)","-43.2000518108337 (-142.198232345617, -4.41911545405369)","-0.385758928158532 (-1.64807564291012, 0.839109858342885)","0.442668524569482 (-2.62211849233611, 3.56200053906169)","0.20238345261056 (-1.12157182418979, 1.53558585232979)","1.23276197818148 (-1.57308841013675, 4.0253385677757)","1.38092512134911 (-0.781350718835597, 3.63934015998014)","1.59488317116971 (-1.1109026802327, 4.50387070639483)","-0.668930686361558 (-2.03777235512707, 0.62837520854186)","-41.1437310021046 (-132.31812293122, -2.15179730757292)"
"DHFRi","1.13709146597889 (-3.23718431132529, 5.09657454696095)","-0.167164949552161 (-4.38206619502816, 3.53117074212507)","DHFRi","-0.971033841161606 (-5.08932399733729, 2.55593407600511)","0.573043732911886 (-3.6083388746565, 4.18595824656216)","-37.9809803180176 (-123.507034877334, -2.0826695617426)","-0.692105034015234 (-4.9483318028491, 3.06524835117978)","26.2753741332746 (-0.0168862340885789, 95.796986729156)","-1.71433848482709 (-6.70993232322493, 2.91317922078202)","26.7187923121832 (-0.129272351657668, 94.8168737837343)","1.0988597710048 (-3.52109414376087, 5.5726288195924)","-0.769616817387497 (-5.09593003840688, 3.00627476033026)","-43.4540697524922 (-142.207783618332, -4.27674364399425)","-0.554541271287191 (-4.74562983875696, 3.11437095225147)","0.252933064929546 (-4.78194494271232, 4.94525688035572)","0.03601071361249 (-4.18981805572356, 3.78148342073093)","1.04318094227368 (-3.73871545058091, 5.54900622496177)","1.20412182808045 (-3.32734429279733, 5.39792098250026)","1.42603315462984 (-3.39681625969753, 5.97781260055363)","-0.833253713292429 (-5.06492118536599, 2.84266382290118)","-41.4589775098191 (-132.424478558292, -2.09586703274674)"
"I","2.1013761722105 (0.550953399275403, 3.88220978622557)","0.806552065900934 (-0.110653162758539, 1.78220177762867)","0.971033841161606 (-2.55593407600511, 5.08932399733729)","I","1.53619108803943 (0.822867482302919, 2.29981329623971)","-36.8866523099595 (-122.550037525919, -1.4836699922497)","0.287054066716968 (-0.924392245804578, 1.52265054995087)","27.302699485255 (1.58668274843938, 96.7311739052262)","-0.707094823790427 (-3.69195806399526, 2.24089996686018)","27.7148018709218 (1.33139015161746, 95.5348110661679)","2.04846255220708 (-0.186217827580931, 4.77858712311848)","0.215142212317891 (-1.1434410384311, 1.52573001399779)","-42.4015701076532 (-141.440039658768, -3.63661040004252)","0.422173569423757 (-0.571469963421113, 1.43900693379847)","1.25640632084103 (-1.6840646071403, 4.30944439188367)","1.00784884843435 (-0.0707447379760737, 2.15838569309885)","2.04092243591021 (-0.617360871560098, 4.76506755544101)","2.18982560055574 (0.169281244430343, 4.34850383293857)","2.40430805275967 (-0.19102831403576, 5.2347224624251)","0.137925094106578 (-0.888314611163138, 1.13999405530196)","-40.3306790643455 (-131.447949684695, -1.3742890292881)"
"I_antiangio","0.570878889051116 (-1.07706486135159, 2.37189123720903)","-0.732200691638882 (-1.91942645610094, 0.464288022355166)","-0.573043732911886 (-4.18595824656216, 3.6083388746565)","-1.53619108803943 (-2.29981329623971, -0.822867482302919)","I_antiangio","-38.4245682148095 (-124.219839414714, -2.99789773453805)","-1.24826390194088 (-2.67298002362855, 0.148555825398172)","25.7854018425055 (0.0138996647920121, 95.1712964734658)","-2.24732064174159 (-5.33017693424215, 0.789789003031674)","26.1848418470256 (-0.228658565261962, 94.0034847747937)","0.510544819345547 (-1.85247202008608, 3.31472603201946)","-1.32238622262937 (-2.9105047565557, 0.168186526367482)","-43.9484375362588 (-142.927981449924, -5.16137109909596)","-1.11512620431779 (-2.38030611593482, 0.118753706183236)","-0.277446799192044 (-3.32657932358571, 2.84860914215918)","-0.525280563472356 (-1.8449116495831, 0.821483036378458)","0.505037812373893 (-2.28436527056706, 3.28674722073837)","0.654251634730839 (-1.51276169034278, 2.9158314945702)","0.87090659439886 (-1.85863636737792, 3.76285484905787)","-1.39924118534819 (-2.68627196075068, -0.173739110664)","-41.8676166542049 (-133.030303122797, -2.89208537744795)"
"I_Autophagyi","39.0590041240585 (3.50761595741368, 124.672507307529)","37.7034342463541 (2.24424333429964, 123.35377230601)","37.9809803180176 (2.0826695617426, 123.507034877334)","36.8866523099595 (1.4836699922497, 122.550037525919)","38.4245682148095 (2.99789773453805, 124.219839414714)","I_Autophagyi","37.1941217780632 (1.72289340995626, 122.736330892223)","70.5195889080747 (12.5317736810993, 170.262192481694)","36.212472903503 (0.500789282822625, 121.931452902314)","70.5561053816675 (14.0757454849908, 176.372964424404)","39.0225730872106 (3.38354362436392, 124.6975640261)","37.0887931071039 (1.61963609526552, 122.770943428695)","-5.94735452934623 (-108.193092432015, 94.5140145409374)","37.2957669901777 (1.86250003084508, 122.928645306026)","38.2044335188324 (2.46949494154422, 123.743900250673)","37.8787929541357 (2.43878149254434, 123.615908764076)","38.9333958829646 (3.31962166593578, 124.517137979229)","39.0712512383419 (3.56562245583751, 124.805206075003)","39.3252979411642 (3.74874308235171, 125.131139653159)","37.0329171547432 (1.56951663715926, 122.752871309143)","-1.64253178262249 (-109.229973717787, 93.8710576806859)"
"I_chemo","1.82212155064045 (-0.160602772885893, 3.97368352855135)","0.51550326502679 (-0.95245098810808, 2.03077434629775)","0.692105034015234 (-3.06524835117978, 4.9483318028491)","-0.287054066716968 (-1.52265054995087, 0.924392245804578)","1.24826390194088 (-0.148555825398172, 2.67298002362855)","-37.1941217780632 (-122.736330892223, -1.72289340995626)","I_chemo","27.0148738504589 (1.25047737631703, 96.4882827412776)","-0.997551641506097 (-4.23220027789499, 2.15775106703227)","27.4308298124583 (1.00516689345106, 95.2437401674219)","1.76667119576178 (-0.789606303732095, 4.74316105600164)","-0.073159615458025 (-1.92123737993079, 1.68801724540462)","-42.7011423913762 (-141.729890119728, -3.87498435035205)","0.136531881607297 (-1.42773896031209, 1.70043443419374)","0.969127104546764 (-2.23235690144853, 4.24741146130898)","0.721059638429826 (-0.91495167948013, 2.39197418091658)","1.7534635780239 (-1.19146163538587, 4.714555951388)","1.90329380288018 (-0.45448964348531, 4.38031674151724)","2.12171164467435 (-0.743246872044211, 5.16545652862558)","-0.152412718196185 (-1.75661767006074, 1.41553058810852)","-40.5972876955456 (-131.747800639915, -1.61353553884644)"
"I_ERi","-25.2118844510599 (-94.6215058010964, 0.677880015684962)","-26.477605648496 (-95.8818217168381, -0.704961627033255)","-26.2753741332746 (-95.796986729156, 0.0168862340885789)","-27.302699485255 (-96.7311739052262, -1.58668274843938)","-25.7854018425055 (-95.1712964734658, -0.0138996647920121)","-70.5195889080747 (-170.262192481694, -12.5317736810993)","-27.0148738504589 (-96.4882827412776, -1.25047737631703)","I_ERi","-28.024247063238 (-97.6924854771213, -1.98121966137034)","-0.637983359005916 (-67.9183785787994, 74.9186200682347)","-25.1684529514094 (-94.6790631351251, 0.828810620716305)","-27.0781284864416 (-96.6707712712592, -1.29576690908159)","-75.1661434995098 (-188.515915773123, -16.7048858584489)","-26.8701931050127 (-96.2708066556565, -1.13598696525333)","-26.0839806083006 (-95.4408562268189, 0.0874714425161783)","-26.2918020196897 (-95.6663262014754, -0.521101890695791)","-25.265523766978 (-94.7886185183385, 0.730747954884807)","-25.1121631605124 (-94.5097948929146, 0.808328941686262)","-24.8986018193571 (-94.5700543701105, 1.19012744891517)","-27.1366405287041 (-96.5306724463412, -1.41730721501631)","-73.0893120055554 (-180.481959767652, -13.1645921316029)"
"I_HER3i","2.82649577623254 (-0.484977228692114, 6.29651635388626)","1.51557432364777 (-1.55681398972617, 4.66263315929757)","1.71433848482709 (-2.91317922078202, 6.70993232322493)","0.707094823790427 (-2.24089996686018, 3.69195806399526)","2.24732064174159 (-0.789789003031674, 5.33017693424215)","-36.212472903503 (-121.931452902314, -0.500789282822625)","0.997551641506097 (-2.15775106703227, 4.23220027789499)","28.024247063238 (1.98121966137034, 97.6924854771213)","I_HER3i","28.4808919550094 (1.83130065351873, 96.4267949263648)","2.78161628977453 (-0.917800557216544, 6.80567096625356)","0.916431839026089 (-2.33591531692141, 4.14748958752445)","-41.6891404796867 (-140.698522141812, -2.68449209056152)","1.13297325773287 (-1.97029458318851, 4.28383144152754)","1.9638122610743 (-2.19911820015261, 6.23191641231436)","1.72438942929493 (-1.42069981812391, 4.91705298190596)","2.74915969849774 (-1.18452592373651, 6.77346520803345)","2.91115124513262 (-0.667122362967531, 6.59377689204428)","3.13959492168809 (-0.854739601793645, 7.23425749814002)","0.850034647911013 (-2.26605778410975, 3.97818790989191)","-39.6186730511659 (-130.841816106319, -0.457659484376569)"
