"","Afatinib","Afatinib_Cetuximab","Almonertinib","antiangio","chemo","Dacomitinib","DHFRi","Erlotinib","Erlotinib_antiangio","Erlotinib_Autophagyi","Erlotinib_chemo","Erlotinib_ERi","Erlotinib_HER3i","Erlotinib_HGFi","Erlotinib_IGF_1Ri","Erlotinib_METi","Erlotinib_MMPi","Gefitinib","Gefitinib_antiangio","Gefitinib_chemo","Gefitinib_Erlotinib","Lazertinib","Lazertinib_Amivantamab","Osimertinib","Osimertinib_antiangio","Osimertinib_chemo","Placebo","Rociletinib"
"Afatinib","Afatinib","0.835115198669005 (-1.76673260567766, 3.55147536013422)","38.8992429813247 (3.60052964224673, 134.6265056623)","1.62289181141579 (-0.308058137848969, 3.82222073746903)","0.262469142442716 (-1.07942245181831, 1.6998663753393)","-0.124405877733996 (-1.94748917293648, 1.77975967926429)","0.703061628400956 (-2.94059178369651, 4.95674029529584)","-0.271338259143242 (-1.59575817673613, 1.11903674964538)","0.957545646978204 (-0.529044009768777, 2.57099919582136)","-37.2948670992902 (-123.546816372913, -1.83283951105091)","-0.329783258994828 (-2.53459819687904, 1.90059648339977)","28.7464635016891 (1.66736481680863, 94.0205851557711)","-0.98183476127073 (-4.09352746037488, 2.16142769099339)","28.0008965552006 (0.847969937164179, 91.812245533673)","1.73368034615167 (-0.787554797671647, 4.71926017976272)","-0.0192280682320618 (-1.86113061286492, 1.80988225044396)","-41.3610519873022 (-143.304654468593, -3.70152522376811)","-0.665776798884749 (-2.20026826945636, 0.812655703389744)","3.28483500828773 (0.677489591385884, 6.05383775884292)","-0.196067088975732 (-2.34453868802225, 1.9241001623427)","-0.957507824545699 (-4.02776892603087, 2.08639272385915)","-0.254112627026756 (-2.47055685379846, 1.97799435355214)","0.686899364171143 (-1.96393401814509, 3.35343892006826)","-0.404055727688781 (-2.24008490744236, 1.46341144995657)","0.740753347301267 (-1.6946663445598, 3.30674584559209)","0.953337979327626 (-1.92048978519807, 4.02387094557922)","-0.483013956261545 (-1.92827102243545, 0.943620845909611)","-39.480725158919 (-120.756827804983, -1.69148039164556)"
"Afatinib_Cetuximab","-0.835115198669005 (-3.55147536013422, 1.76673260567766)","Afatinib_Cetuximab","38.1058796546497 (2.60004516354592, 133.77265529486)","0.798273808119362 (-2.51073964775839, 4.24230338419317)","-0.571858234095336 (-3.56871692006553, 2.46130161999032)","-0.96350787816194 (-4.2108645077667, 2.29077664001176)","-0.117901994419279 (-4.67882829315088, 4.86047147156075)","-1.09952291892316 (-4.10527678492098, 1.88434942069986)","0.129928299133665 (-2.95330229934065, 3.21412386765212)","-38.1589544537844 (-124.131225526259, -2.49256626905458)","-1.16612666113992 (-4.6746982628168, 2.29206286629959)","27.8970260271726 (0.564144838008969, 93.2685826261874)","-1.82815909061549 (-5.9142516267071, 2.28518978675823)","27.1731770916462 (-0.279887452357843, 90.9863403786372)","0.905180951556513 (-2.78588622655881, 4.90849317627383)","-0.857784215357649 (-4.15109051408972, 2.32484900551135)","-42.1946497553308 (-144.095638986598, -4.33960094675257)","-1.50682846104975 (-4.61264022637935, 1.51137539679134)","2.44965013026899 (-1.30064417914427, 6.25849963603666)","-1.03790196830773 (-4.4732848255472, 2.34964774021636)","-1.79063735100401 (-5.87897801122768, 2.23598429140303)","-1.09069445310747 (-4.59746960449228, 2.35124045091862)","-0.153539739302505 (-3.94469046335199, 3.58422403000097)","-1.23218791931306 (-4.48582158661828, 1.99332130168223)","-0.0861573754836957 (-3.74312108258045, 3.59344429150655)","0.124011430937076 (-3.82729947238467, 4.14502441294476)","-1.31904182005737 (-4.39634927001772, 1.67693063003847)","-40.3890274427959 (-121.646457923315, -2.40014563677077)"
"Almonertinib","-38.8992429813247 (-134.6265056623, -3.60052964224673)","-38.1058796546497 (-133.77265529486, -2.60004516354592)","Almonertinib","-37.2675171339417 (-132.935202863842, -1.93387988969843)","-38.6314183492779 (-134.412739243081, -3.34014451811255)","-38.9954113029083 (-134.666826287235, -3.72734390817372)","-38.1661749823063 (-133.995588487141, -2.52627183769812)","-39.16012432483 (-134.962182793742, -3.85062653795332)","-37.9436404136582 (-133.587863493541, -2.62921480532063)","-85.1005622129017 (-200.689833312472, -18.0121746088305)","-39.2479415215186 (-134.901435519394, -3.87726418746295)","-10.2682379343481 (-103.512207465372, 65.9477014138268)","-39.8710208238127 (-135.569443245567, -4.3289633559035)","-10.7074251703248 (-103.515014632163, 65.7374470766385)","-37.1841782691273 (-132.93064287496, -1.69005743646767)","-38.9341484558408 (-134.579714376615, -3.62893503271967)","-92.5449032825881 (-200.006491164192, -20.7845525144794)","-39.5520280731188 (-135.271033337651, -4.32534655753822)","-35.5957687115602 (-131.38565093241, -0.236380138800192)","-39.0983090859029 (-134.622673980861, -3.78622834933365)","-39.8948077397101 (-135.619545774685, -4.37131577309786)","-39.1680847864183 (-134.758505848542, -3.82300733159777)","-38.2221289717404 (-134.107817930899, -2.79695808641806)","-39.2809632759945 (-135.063826259402, -3.99625738860963)","-38.0668418105493 (-133.95554036843, -2.75854321782962)","-37.9312972417071 (-133.745563070395, -2.47576141415823)","-39.3851868955407 (-135.168439355351, -4.13033349110611)","-86.8294266208726 (-195.692888614101, -16.857479172503)"
"antiangio","-1.62289181141579 (-3.82222073746903, 0.308058137848969)","-0.798273808119362 (-4.24230338419317, 2.51073964775839)","37.2675171339417 (1.93387988969843, 132.935202863842)","antiangio","-1.35988768606729 (-3.27515642450233, 0.376970778090325)","-1.75559191485535 (-3.96016759975381, 0.275992896021028)","-0.925001069176547 (-4.77099977569204, 3.34188588022218)","-1.89398466061376 (-3.60743759538241, -0.430236196060777)","-0.666884774770303 (-2.38190322240594, 0.882895304319181)","-38.9700369756133 (-125.234663617711, -3.48645180614411)","-1.96978238110708 (-4.4398111898462, 0.341138230174758)","27.0868718042451 (-0.0454519294570169, 92.335014519112)","-2.61354204099165 (-5.91076581752981, 0.497457094494226)","26.3392754925248 (-0.79071880740585, 90.1601128487406)","0.102409031408579 (-2.6351813466685, 3.07270081636037)","-1.64467886494554 (-3.83820864385251, 0.235673867925783)","-43.0721547125469 (-144.807876084272, -5.3042980732796)","-2.29020651177593 (-4.48821474929547, -0.426062295300466)","1.663129953542 (-1.39829077512017, 4.60866225216565)","-1.82446701594005 (-4.4885531772017, 0.560451386421493)","-2.5751021854987 (-6.01273767792666, 0.559140370694138)","-1.88308098198909 (-4.59978961143701, 0.553684420754796)","-0.935439835729359 (-4.0142522874017, 1.88344984285321)","-2.02544947930603 (-4.38205011758401, 0.0696379277228661)","-0.878440018657328 (-3.73938607995531, 1.83818747860776)","-0.676071802445103 (-3.87121292948152, 2.49749144148083)","-2.10760992660989 (-4.15537954454188, -0.350048285110932)","-41.1962283775017 (-122.416510253243, -3.37073619168725)"
"chemo","-0.262469142442716 (-1.6998663753393, 1.07942245181831)","0.571858234095336 (-2.46130161999032, 3.56871692006553)","38.6314183492779 (3.34014451811255, 134.412739243081)","1.35988768606729 (-0.376970778090325, 3.27515642450233)","chemo","-0.388449376473983 (-2.0628806742821, 1.27739296742067)","0.438776321256518 (-3.1073896656709, 4.55695677933904)","-0.533767311104851 (-1.54493734934651, 0.446944969676335)","0.695223285701728 (-0.52923579443375, 1.91871535031442)","-37.5857139398857 (-123.807833583393, -2.12947037334576)","-0.597756527303664 (-2.61170856078108, 1.35410353127195)","28.4652983129342 (1.41671184389632, 93.7455156819126)","-1.25033679989678 (-4.23943284530888, 1.70622288082384)","27.7450781168317 (0.618706700018781, 91.433992346942)","1.46617777276889 (-0.896240322440539, 4.25600109560414)","-0.284416173740213 (-1.93815554488258, 1.27320850399221)","-41.6366800589705 (-143.551517716983, -3.99718073155503)","-0.930816542774069 (-2.38087970673973, 0.369323081372636)","3.01814869687072 (0.42295830680937, 5.67197852839737)","-0.458818059555275 (-2.5472839376471, 1.50964606500556)","-1.2125029541966 (-4.15451607084178, 1.61388916920148)","-0.51144673939001 (-2.66183588140525, 1.48740782780834)","0.423538224118518 (-2.13426030365455, 2.87541604777994)","-0.663986795602671 (-2.27468691831743, 0.87770482100286)","0.484170800769641 (-1.80816474034313, 2.81029724729509)","0.692218268308298 (-2.04912163620697, 3.53986412742054)","-0.747887347433628 (-2.08109244675261, 0.483073482146744)","-39.8020926314659 (-120.864992353048, -1.96639880509343)"
"Dacomitinib","0.124405877733996 (-1.77975967926429, 1.94748917293648)","0.96350787816194 (-2.29077664001176, 4.2108645077667)","38.9954113029083 (3.72734390817372, 134.666826287235)","1.75559191485535 (-0.275992896021028, 3.96016759975381)","0.388449376473983 (-1.27739296742067, 2.0628806742821)","Dacomitinib","0.835738532590852 (-2.89506837082123, 5.09291150408599)","-0.142191768899477 (-1.6048237524548, 1.28362558683353)","1.08363214959786 (-0.527878178562003, 2.71078842420294)","-37.2115474984013 (-123.388449529254, -1.70559698391261)","-0.208086312589778 (-2.54014710438822, 2.08307570909181)","28.8518982513547 (1.7770487203069, 94.2095733131426)","-0.852587939663049 (-4.01112660087528, 2.28217922715715)","28.0940621207392 (0.978637214572049, 91.9900932445825)","1.84939713009718 (-0.73492049540802, 4.8520435644338)","0.101656200886089 (-1.85711134697522, 1.96799821671441)","-41.292764291036 (-143.192818659252, -3.5821461784695)","-0.540235874215492 (-2.39631201012107, 1.18248570413087)","3.41334141165254 (0.581492017292258, 6.28405212813577)","-0.0743330082972752 (-2.45899673831016, 2.22466712789254)","-0.824154960956706 (-4.03877117448374, 2.25607405251579)","-0.129555598505606 (-2.57526494810598, 2.21385554375621)","0.818427170788675 (-1.99918399178271, 3.54679197363751)","-0.273689871490425 (-2.32014523721824, 1.69655145577012)","0.870485139336018 (-1.71517701586529, 3.50221054947878)","1.08694746792419 (-1.91565477358218, 4.1922100201018)","-0.361240105435883 (-1.94935663773006, 1.14568312742744)","-39.3753479173464 (-120.569559161904, -1.57542494315118)"
"DHFRi","-0.703061628400956 (-4.95674029529584, 2.94059178369651)","0.117901994419279 (-4.86047147156075, 4.67882829315088)","38.1661749823063 (2.52627183769812, 133.995588487141)","0.925001069176547 (-3.34188588022218, 4.77099977569204)","-0.438776321256518 (-4.55695677933904, 3.1073896656709)","-0.835738532590852 (-5.09291150408599, 2.89506837082123)","DHFRi","-0.964042125954976 (-4.9969036394603, 2.43601995262304)","0.263317790589884 (-3.82122120129167, 3.75519566698902)","-38.1380458456596 (-124.228648921064, -2.32016032593564)","-1.05085357250363 (-5.45886797848405, 2.82901720029453)","27.9985856471059 (0.471805340303432, 93.4525663053432)","-1.70521761847446 (-6.58516937462525, 2.71516895325566)","27.2295685155833 (-0.314081399218106, 91.2064728593421)","1.03694702990098 (-3.49998493535836, 5.36047294017408)","-0.729899092403224 (-4.95663704626472, 2.87313377323458)","-42.1555731474799 (-143.844025465424, -4.22174994879256)","-1.37933396522002 (-5.66272320098958, 2.27464842205876)","2.57138273056227 (-2.19833296441713, 6.90145137403345)","-0.918930768838877 (-5.4142305798698, 3.05840157033184)","-1.68762446650781 (-6.60650407969328, 2.8067025890848)","-0.969364563892377 (-5.48812438101794, 2.99520337679765)","-0.0357860257978251 (-4.77969669953334, 4.19896645520606)","-1.10543453195438 (-5.44727374375642, 2.65607860039844)","0.0411795052117682 (-4.58454332600885, 4.18169656972493)","0.237306773666433 (-4.61958927489437, 4.73638621319128)","-1.18679823966022 (-5.36752574844813, 2.3718224268222)","-40.3489035781622 (-121.608529921763, -2.19227017796528)"
"Erlotinib","0.271338259143242 (-1.11903674964538, 1.59575817673613)","1.09952291892316 (-1.88434942069986, 4.10527678492098)","39.16012432483 (3.85062653795332, 134.962182793742)","1.89398466061376 (0.430236196060777, 3.60743759538241)","0.533767311104851 (-0.446944969676335, 1.54493734934651)","0.142191768899477 (-1.28362558683353, 1.6048237524548)","0.964042125954976 (-2.43601995262304, 4.9969036394603)","Erlotinib","1.22557097134675 (0.521443046149213, 1.98047210652103)","-37.0644777366157 (-123.275168992286, -1.62225612051526)","-0.0634070432353796 (-1.90318327581634, 1.75381850073684)","28.9893004013883 (2.00370365551918, 94.2684461286275)","-0.714694586813457 (-3.52113418210187, 2.09730877345473)","28.2749689905977 (1.20580745673059, 92.0372937270826)","1.98990639193095 (-0.136604142489621, 4.6297011056164)","0.250281257724512 (-1.04768206341126, 1.4606004137392)","-41.11711173778 (-143.006828086254, -3.49931338492613)","-0.394056491673378 (-1.83260140962701, 0.92204499398997)","3.54979565084117 (0.984830426046956, 6.23829865935272)","0.0734041559625644 (-1.99179903879689, 2.06202394777247)","-0.680508798518734 (-3.62488175712491, 2.19599097613433)","0.0219838408001529 (-2.11865537077647, 2.06211788319657)","0.964280858866448 (-1.5848985150396, 3.45484978299412)","-0.131589572204353 (-1.751305929411, 1.46575291989466)","1.02204661819195 (-1.27433981525701, 3.37016042240118)","1.23153612382244 (-1.51580669102241, 4.11656042874197)","-0.216268162569662 (-1.33156629333337, 0.844195489165452)","-39.2549499685645 (-120.390972081079, -1.49675255525337)"
"Erlotinib_antiangio","-0.957545646978204 (-2.57099919582136, 0.529044009768777)","-0.129928299133665 (-3.21412386765212, 2.95330229934065)","37.9436404136582 (2.62921480532063, 133.587863493541)","0.666884774770303 (-0.882895304319181, 2.38190322240594)","-0.695223285701728 (-1.91871535031442, 0.52923579443375)","-1.08363214959786 (-2.71078842420294, 0.527878178562003)","-0.263317790589884 (-3.75519566698902, 3.82122120129167)","-1.22557097134675 (-1.98047210652103, -0.521443046149213)","Erlotinib_antiangio","-38.2749220757804 (-124.530888158111, -2.8241651263983)","-1.29083217371013 (-3.27568361325099, 0.640092682167362)","27.7717356844621 (0.758790226503835, 92.9578327265974)","-1.94470412643247 (-4.85155247569252, 0.934963838639301)","27.0462388988515 (-0.0362044415619661, 90.8278988063506)","0.762211814444588 (-1.49228153898359, 3.49395553312936)","-0.977126702999578 (-2.49589605217085, 0.415042343151154)","-42.3583059296377 (-144.179033214814, -4.68243883875252)","-1.62390415938269 (-3.26668668383349, -0.154281426050793)","2.32628522642981 (-0.366988754330578, 5.07622589806627)","-1.1549047240792 (-3.35663767699182, 0.929333197199995)","-1.9076240025562 (-4.95701138927751, 1.02569172968651)","-1.20835428333648 (-3.48649803994475, 0.940618254347354)","-0.268396319103579 (-2.94373284209272, 2.31818017615125)","-1.36050914184678 (-3.16071452653313, 0.382895194998933)","-0.209221175488616 (-2.62881445812363, 2.22947301013329)","-7.82129243026564e-06 (-2.84724844884404, 2.94147570828455)","-1.44256379379979 (-2.81074240302531, -0.196144335788483)","-40.4771370040492 (-121.665763943405, -2.68696802451688)"
