"","antiangio","chemo","chemo_antiangio","DHFRi","I","I_antiangio","I_Autophagyi","I_chemo","I_COX2i","I_HER3i","I_HGFi","I_IGF_1Ri","I_METi","I_MMPi","I_PARPi","II","II_Cetuximab","II_HMGCRi","III","III_Amivantamab","III_antiangio","III_chemo","III_PD_L1i","Placebo","Rociletinib","Zorifertinib"
"antiangio","antiangio","-2.00458098301232 (-3.09511199311673, -1.08781663650293)","-36.0867178888289 (-74.9199654396749, -5.03206214080682)","-2.4111024372849 (-4.41305337090709, -0.570831818874189)","-2.11388660276631 (-3.07492948733959, -1.32891641378)","-2.13271729709416 (-3.17676149406986, -1.27886123386766)","-1.50241576854203 (-3.36223044676481, 0.477928607033088)","-1.77567237569723 (-2.96087419454923, -0.694314313314988)","-39.4561912426519 (-103.78149404861, -4.00294711055197)","-1.00937752227423 (-2.81914128855724, 1.18891042814971)","-40.0169226312503 (-112.244049471617, -4.39112600591948)","-1.99503280895731 (-3.16557168727537, -0.866627851821635)","-2.2344667942306 (-3.441687532448, -1.16656368500095)","-0.830329202708369 (-2.75724638716474, 1.46586219235803)","23.6584466811659 (-1.24864674749683, 73.9494092180073)","-2.3934652939733 (-3.46974601768907, -1.48786335903703)","-2.37780286952127 (-3.88020713700783, -0.982080254909107)","-2.01943369063367 (-3.85261438832761, -0.202047386136571)","-1.71666050886144 (-2.72831462089599, -0.860005863482355)","-1.47318511257233 (-2.86128813068753, -0.199519346149723)","-0.569564249336137 (-1.84331440455572, 0.58831252570383)","-1.18589464813657 (-2.35901535408972, -0.0777369796642656)","-41.3654980539425 (-111.317680897719, -4.64443258989064)","-2.60990751136356 (-3.68197273541557, -1.69833174442671)","-0.34667121046098 (-1.7897884896044, 0.996549804878211)","-1.99040674732788 (-3.25519601648965, -0.865096480318831)"
"chemo","2.00458098301232 (1.08781663650293, 3.09511199311673)","chemo","-34.0285528512312 (-72.9695998749538, -3.01045957249371)","-0.402931472286461 (-2.21306700789272, 1.33506084736103)","-0.111192015519001 (-0.599781913188242, 0.384710875650339)","-0.129596706557008 (-0.773961644732131, 0.493956942483228)","0.521469924354202 (-1.21014500055751, 2.39825078668542)","0.231708579738949 (-0.610482080031468, 1.10226917703937)","-37.465223382048 (-101.708554778561, -1.92351311594539)","0.996795491549864 (-0.628900498258601, 3.14963540291689)","-38.0194569431023 (-110.179602428657, -2.36518334172563)","0.00343166151494746 (-0.84055899625747, 0.982657448008284)","-0.222919468318389 (-1.11280603469796, 0.650214410040219)","1.19004934807788 (-0.560497377338424, 3.41327988954771)","25.6285171914772 (0.822738521336855, 75.8267140275784)","-0.38514375942691 (-1.04631096082546, 0.258286409476331)","-0.361799836610823 (-1.60260501611257, 0.883074627281171)","-0.0116477126547165 (-1.63717552200962, 1.69094136504349)","0.284373183696227 (-0.277013008511857, 0.883913463355592)","0.534364295969992 (-0.554570943279279, 1.66273809828402)","1.44255342748165 (0.488052291544519, 2.42477096676208)","0.813934711480501 (-0.0124077107075653, 1.78668294551401)","-39.2936872989345 (-109.210889792845, -2.65154680254318)","-0.604601576346564 (-1.27341850737168, 0.0733423520775124)","1.66011808650467 (0.494187473426643, 2.86569522926964)","0.0172927782112105 (-0.926664045544047, 0.972426244363234)"
"chemo_antiangio","36.0867178888289 (5.03206214080682, 74.9199654396749)","34.0285528512312 (3.01045957249371, 72.9695998749538)","chemo_antiangio","33.6515535954806 (2.5969190630043, 72.5968528256102)","33.9532970871267 (2.90785845074916, 72.8719746557088)","33.9166497649334 (2.88848679346182, 72.8334947286796)","34.5364601502099 (3.4928752172612, 73.7422257653288)","34.3157664192858 (3.23539239887837, 73.2739466768073)","-5.49039765594206 (-80.9131569855449, 54.5996138325854)","35.1786420827665 (3.98915045273599, 74.0919346995154)","-1.43266031389316 (-97.9569847864566, 54.1295669499229)","34.0999700447961 (3.01524793604348, 73.0077541661252)","33.8093745027894 (2.73266936753035, 72.8044173407166)","35.338415557728 (4.04675551365638, 74.3032859420535)","60.7197152686211 (14.0805642171715, 115.722428567432)","33.6652645877616 (2.60882153918885, 72.6422911152252)","33.699306025296 (2.58776058040452, 72.8059560190945)","34.0694274514844 (2.92371814430291, 72.9040096351452)","34.348630353351 (3.27942966412086, 73.2498074804158)","34.5896329119065 (3.54817160915798, 73.4885537304338)","35.5097583141122 (4.40156219013463, 74.4464707400709)","34.8947318445795 (3.83498823653456, 73.8943803432713)","-1.7600769343071 (-93.0027479342846, 49.7829788416464)","33.4647957652764 (2.38041287830813, 72.3903393857372)","35.7334172604712 (4.62217508103368, 74.6833478129741)","34.0757557904341 (3.0193180356668, 73.1205589774731)"
"DHFRi","2.4111024372849 (0.570831818874189, 4.41305337090709)","0.402931472286461 (-1.33506084736103, 2.21306700789272)","-33.6515535954806 (-72.5968528256102, -2.5969190630043)","DHFRi","0.281685251919738 (-1.38110809591023, 2.0529400200088)","0.261018199054209 (-1.43995918216519, 2.06581887977212)","0.917257751910918 (-1.41238346635432, 3.41943243035568)","0.629575412623236 (-1.16600304362863, 2.53595010038958)","-36.9419868099821 (-101.240944428916, -1.45905267824118)","1.42446892931675 (-0.9329871654326, 4.06572611282024)","-37.6007792551472 (-109.752977248442, -1.87986258286252)","0.413064957147185 (-1.38455013513107, 2.35121533245593)","0.169284907504492 (-1.65014878662597, 2.06230454486888)","1.60522459201866 (-0.804206650890266, 4.33789015360715)","25.9973524920069 (1.09525436016006, 76.1795950245412)","0.00601913740092042 (-1.71947341437574, 1.84007552196343)","0.0380412327058783 (-1.99050299170741, 2.15717865170571)","0.386988114949824 (-1.88379140795264, 2.81897829562309)","0.677557911420043 (-1.00223277274295, 2.4853933631474)","0.931929559701197 (-1.00655929974506, 2.94958343585685)","1.83473890787036 (-0.00875471515239802, 3.7846482265014)","1.22490516681562 (-0.57967027227954, 3.16911165739049)","-38.8565873983122 (-108.932351292609, -2.14342963063234)","-0.210320600524989 (-1.92825029015241, 1.6213389829832)","2.05311841416459 (0.0735632197533585, 4.14614649753188)","0.409177850968047 (-1.4247979764391, 2.35724329592658)"
"I","2.11388660276631 (1.32891641378, 3.07492948733959)","0.111192015519001 (-0.384710875650339, 0.599781913188242)","-33.9532970871267 (-72.8719746557088, -2.90785845074916)","-0.281685251919738 (-2.0529400200088, 1.38110809591023)","I","-0.0153683612977354 (-0.438483767956463, 0.366321548186214)","0.623638022063619 (-1.01313979325154, 2.43691429097126)","0.344012714530516 (-0.368947341836336, 1.07750878082729)","-37.3051058301157 (-101.596360441449, -1.85798507855225)","1.1046068458145 (-0.449026066662275, 3.20220356053895)","-37.9197714130798 (-110.119323068597, -2.27369117822123)","0.112270234894696 (-0.57703117254186, 0.938897272716296)","-0.110388024054895 (-0.847988085221469, 0.605359543497062)","1.29888795616463 (-0.380465207091834, 3.46646498472857)","25.729288786904 (0.916831103170842, 75.9026174230463)","-0.277127913334344 (-0.747516895952666, 0.180135908055837)","-0.253585241125245 (-1.40816246806162, 0.903103855724347)","0.101484554977639 (-1.46684367043367, 1.74905723217474)","0.395468783055255 (0.0588625416226781, 0.756599361593823)","0.644074154801253 (-0.353156474021665, 1.66978142526064)","1.5485539592353 (0.73073378421411, 2.41455467702556)","0.925241675431185 (0.234790412696814, 1.76538373953201)","-39.2134747306132 (-109.127548847791, -2.52216584086081)","-0.488594423634453 (-0.983666497133338, -0.017803222726602)","1.76979935991313 (0.70818128616881, 2.87492893120538)","0.127346635082818 (-0.681373844885456, 0.944992284361033)"
"I_antiangio","2.13271729709416 (1.27886123386766, 3.17676149406986)","0.129596706557008 (-0.493956942483228, 0.773961644732131)","-33.9166497649334 (-72.8334947286796, -2.88848679346182)","-0.261018199054209 (-2.06581887977212, 1.43995918216519)","0.0153683612977354 (-0.366321548186214, 0.438483767956463)","I_antiangio","0.642248055597746 (-1.02124950641339, 2.50817919315074)","0.36388712941447 (-0.44854407710079, 1.21248743414057)","-37.3045774289032 (-101.61115920588, -1.8238122927383)","1.1272836910735 (-0.47426089541312, 3.25607787663181)","-37.8823323750717 (-110.062645003535, -2.25220197061219)","0.128906531743917 (-0.658081353358629, 1.09817023624412)","-0.0948848970342253 (-0.912503103647751, 0.745489251730057)","1.32224963595058 (-0.400643565157897, 3.52617472313293)","25.7597395734302 (0.94808214559824, 75.9195999634648)","-0.260087131139725 (-0.862450497958569, 0.359010889531138)","-0.235281043935321 (-1.44813027232317, 0.99543587766292)","0.115990840951914 (-1.47834183527038, 1.81412364653277)","0.410774176818092 (-0.0928140652305517, 0.986115714921516)","0.662303125885081 (-0.397707657552409, 1.78523594278969)","1.56581159819457 (0.664608689522337, 2.54196326247383)","0.940145336049734 (0.159440496283999, 1.91876905334122)","-39.1648122599334 (-109.081432552726, -2.48868705694264)","-0.475140940800669 (-1.09012369991272, 0.165015304529928)","1.786509874561 (0.655616435663277, 2.98058660752955)","0.142404500488182 (-0.749179844216498, 1.07830192025342)"
"I_Autophagyi","1.50241576854203 (-0.477928607033088, 3.36223044676481)","-0.521469924354202 (-2.39825078668542, 1.21014500055751)","-34.5364601502099 (-73.7422257653288, -3.4928752172612)","-0.917257751910918 (-3.41943243035568, 1.41238346635432)","-0.623638022063619 (-2.43691429097126, 1.01313979325154)","-0.642248055597746 (-2.50817919315074, 1.02124950641339)","I_Autophagyi","-0.287604616650949 (-2.2092489983343, 1.51596634378957)","-37.9497075159767 (-102.276807778963, -2.45345758311323)","0.499748808405245 (-1.88956327773196, 3.11184566820844)","-38.6505228035404 (-110.776196779693, -2.79856284326765)","-0.499032206190949 (-2.44251232146819, 1.35131270729195)","-0.735334987483469 (-2.68577315862033, 1.04948341758042)","0.678988792682536 (-1.77961137283863, 3.41447213916573)","25.1578131561664 (0.212749331207182, 75.1053129378465)","-0.904211815642517 (-2.77977003736892, 0.793076819106392)","-0.877319419615553 (-3.01890520772719, 1.10442488213951)","-0.529887347312085 (-2.9141899738635, 1.83541906892644)","-0.228711202732531 (-2.07408913523502, 1.46450735932661)","0.0166077827859282 (-2.05795601651007, 1.96026002587136)","0.924007287069312 (-1.05315328806179, 2.78214294228528)","0.307982560348262 (-1.63380339178261, 2.15213670398773)","-39.7759717546774 (-109.857566099599, -3.13961117530171)","-1.11667028564523 (-2.98479702835489, 0.595351889946512)","1.13881372449556 (-0.934773471516858, 3.10740886317064)","-0.494135013648871 (-2.50397826417375, 1.32417158756461)"
"I_chemo","1.77567237569723 (0.694314313314988, 2.96087419454923)","-0.231708579738949 (-1.10226917703937, 0.610482080031468)","-34.3157664192858 (-73.2739466768073, -3.23539239887837)","-0.629575412623236 (-2.53595010038958, 1.16600304362863)","-0.344012714530516 (-1.07750878082729, 0.368947341836336)","-0.36388712941447 (-1.21248743414057, 0.44854407710079)","0.287604616650949 (-1.51596634378957, 2.2092489983343)","I_chemo","-37.6400357712998 (-101.962344489888, -2.16701266672651)","0.76973973026398 (-0.9710536855946, 2.96741145378282)","-38.2736221808908 (-110.322869415493, -2.62060702733941)","-0.223319444043799 (-1.22613018649478, 0.858833495201547)","-0.464082436918598 (-1.4831988649063, 0.54985837286768)","0.960206025536395 (-0.910727502941914, 3.21183966970773)","25.3360962906674 (0.545019001501334, 75.561984922597)","-0.621778370841115 (-1.49418102833459, 0.227182641605068)","-0.59828320111213 (-1.977027384555, 0.774802203116767)","-0.24254079895495 (-1.98328474493066, 1.54827409838221)","0.051963702605697 (-0.753139418490829, 0.847780593778967)","0.304734748214851 (-0.938440571619326, 1.53539697179181)","1.2054225807617 (0.102228807941212, 2.30603847091191)","0.587932078194984 (-0.428068358784106, 1.67646167566052)","-39.5549889666721 (-109.570334274554, -2.83112720510905)","-0.834841510627518 (-1.71946878616674, 0.0160670870318445)","1.42918076636029 (0.120782038783006, 2.72866926096377)","-0.215980187880366 (-1.32348662419157, 0.863919803519131)"
"I_COX2i","39.4561912426519 (4.00294711055197, 103.78149404861)","37.465223382048 (1.92351311594539, 101.708554778561)","5.49039765594206 (-54.5996138325854, 80.9131569855449)","36.9419868099821 (1.45905267824118, 101.240944428916)","37.3051058301157 (1.85798507855225, 101.596360441449)","37.3045774289032 (1.8238122927383, 101.61115920588)","37.9497075159767 (2.45345758311323, 102.276807778963)","37.6400357712998 (2.16701266672651, 101.962344489888)","I_COX2i","38.4888616756227 (2.92770998898072, 102.862616478779)","1.97578958218415 (-95.0792898392589, 78.7582226235234)","37.4492773223025 (1.94785908406464, 101.727308721777)","37.1772228474333 (1.72449586505017, 101.523972556036)","38.6193393566525 (3.00314166102696, 103.183050650992)","65.8650571262118 (13.2051213176612, 146.363766981141)","37.0209503787224 (1.57680703294922, 101.352374173219)","37.0717905622001 (1.55705479365376, 101.377986910892)","37.3068979060359 (1.85269519051421, 101.750947170034)","37.7109726671711 (2.25612635960412, 101.969906202286)","37.9299738297635 (2.46599694996078, 102.324878945456)","38.8700543782065 (3.37848023810579, 103.197998119789)","38.2544885092616 (2.77766017225332, 102.583565039853)","-1.69200259178515 (-91.6304803692346, 83.5944147415861)","36.8135945234602 (1.37435683373501, 101.09548638148)","39.0564989449895 (3.59274077078398, 103.346236157889)","37.4628275959323 (1.97966726389886, 101.741852534793)"
