"","Afatinib","Afatinib_Cetuximab","Afatinib_HMGCRi","Almonertinib","antiangio","Befotertinib","chemo","chemo_antiangio","Dacomitinib","DHFRi","Erlotinib","Erlotinib_antiangio","Erlotinib_Autophagyi","Erlotinib_chemo","Erlotinib_COX2i","Erlotinib_HER3i","Erlotinib_HGFi","Erlotinib_IGF_1Ri","Erlotinib_METi","Erlotinib_MMPi","Furmonertinib","Gefitinib","Gefitinib_chemo","Gefitinib_Erlotinib","Gefitinib_PARPi","Icotinib","Lazertinib","Lazertinib_Amivantamab","Osimertinib","Osimertinib_antiangio","Osimertinib_chemo","Osimertinib_PD_L1i","Placebo","Rociletinib","Zorifertinib"
"Afatinib","Afatinib","0.0201335450529049 (-1.10845188074289, 1.1426924777378)","0.380014297013776 (-1.15813042240114, 2.00323576018824)","-0.0371128065422844 (-1.23380002776696, 1.12495249255894)","2.16004007180363 (1.11921498038281, 3.41445088375977)","22.9990571947552 (2.61921247856358, 60.7372886377728)","0.168898632836515 (-0.596946287515925, 0.983203997913653)","-28.0583667965121 (-81.9922834187205, -2.56262560313074)","-0.545286645321074 (-1.53766098240545, 0.418298102602424)","-0.222445455106319 (-2.13487426389161, 1.67581974487448)","0.065285918435077 (-0.594567375980802, 0.8065657215243)","0.0410691525500629 (-0.754742890673611, 0.862381099524488)","0.692900044783161 (-1.06089708095476, 2.66965431422336)","0.461514503498631 (-0.647157557554215, 1.6573869162296)","-35.0602441572615 (-86.2286530522198, -2.12975740675423)","1.20211957876475 (-0.497874101966728, 3.43195312319465)","-49.3155121659545 (-118.542331834934, -3.25270438495968)","0.198587258535337 (-0.767222264407398, 1.46775067157461)","-0.0473367591405393 (-1.04358842177174, 1.01999357675917)","1.36186820681021 (-0.428689030758005, 3.57373038915143)","-0.00604015667521876 (-1.31140889672267, 1.29404800696621)","-0.152352600207731 (-0.995850632690467, 0.670657469774796)","0.141397143625674 (-1.3368057575995, 1.67079775685248)","-0.231055112712916 (-1.5091402456617, 1.09184680181454)","29.7938772175461 (0.967235657822437, 96.5700354640669)","22.867673582547 (2.52993753027714, 60.601906699502)","0.76381731901779 (-0.521556078374914, 2.06583149394381)","1.00713620183919 (-0.29098609234307, 2.3301826068838)","0.693767021886024 (-0.224958852224536, 1.67598219619587)","1.84295406944224 (0.631449246195586, 3.11533791345325)","1.23975186039229 (0.126467243244455, 2.60239495285591)","-47.7949607985665 (-105.777804949173, -3.34584982591278)","-0.351706400334053 (-1.11323839332472, 0.396191318712772)","1.83647955919455 (0.557192921127423, 3.21428744262379)","-0.108296875594715 (-1.63357936454891, 1.4871277062197)"
"Afatinib_Cetuximab","-0.0201335450529049 (-1.1426924777378, 1.10845188074289)","Afatinib_Cetuximab","0.362882541621681 (-1.55933757718536, 2.35276256023421)","-0.059338248739098 (-1.6891667631243, 1.57827357161804)","2.14432285212843 (0.648520119513819, 3.83628986383717)","22.974157981627 (2.54341000508408, 60.7141711856705)","0.152117279599524 (-1.18916007707377, 1.53010438900802)","-28.0902466275614 (-82.0410712440677, -2.55418772215566)","-0.563974864864467 (-2.04923540629813, 0.894803462155038)","-0.237906369713658 (-2.45261939209069, 1.93738686468569)","0.0478801775922625 (-1.23334063788829, 1.38966489151971)","0.0191599478692335 (-1.34083868693657, 1.3870140695727)","0.672444220576777 (-1.42477731179273, 2.93777101001289)","0.444005302813018 (-1.10940638622738, 2.06372277398804)","-35.0664937472339 (-86.256121290701, -2.1231499951901)","1.19275206361595 (-0.861652819511314, 3.63865391002965)","-49.3182479775724 (-118.636767397274, -3.25197554658472)","0.182718153760627 (-1.26633639465052, 1.88546493276823)","-0.0702180253568002 (-1.53421304303639, 1.47808996212692)","1.3677302497719 (-0.785947320350066, 3.7852132737155)","-0.0245049683179379 (-1.74769804654247, 1.69921830736721)","-0.171359086825864 (-1.56712588065869, 1.22003846728601)","0.131391596972051 (-1.73183480255121, 2.02117913599337)","-0.25412111836223 (-1.92185062618779, 1.49111588269978)","29.7658508825862 (0.929208640096409, 96.5673522198045)","22.8620362087561 (2.39575815073944, 60.6185685878054)","0.736515934904148 (-0.946013797696303, 2.47083553961112)","0.982497192956377 (-0.706946930692015, 2.73065482578228)","0.671064850756859 (-0.775362759200674, 2.16501524921252)","1.82444781773218 (0.174259725286284, 3.50386397202352)","1.21721154015012 (-0.340859010471841, 2.99213230594151)","-47.8899914371392 (-105.900010530557, -3.37029743305735)","-0.379393915453451 (-1.72860756521912, 0.981031151777895)","1.82101566939846 (0.127398937360202, 3.57326395207595)","-0.12445173254597 (-2.01196662303402, 1.82894970406271)"
"Afatinib_HMGCRi","-0.380014297013776 (-2.00323576018824, 1.15813042240114)","-0.362882541621681 (-2.35276256023421, 1.55933757718536)","Afatinib_HMGCRi","-0.426374936241792 (-2.43777603710225, 1.52197330519975)","1.79939171798204 (-0.128779745820767, 3.76714510788065)","22.5900641532361 (2.16782827344973, 60.4269106018253)","-0.211711929378048 (-1.98707654162231, 1.53284498543151)","-28.4475740356753 (-82.3233067725799, -2.80621712724136)","-0.922574008736589 (-2.81661688033764, 0.890476920677945)","-0.610765212806244 (-3.08247573366711, 1.85762430453633)","-0.306713832997472 (-2.06921456634033, 1.4092324659359)","-0.33660865055215 (-2.14294566587724, 1.41426710907301)","0.30823587173668 (-2.14200479838684, 2.8413702944005)","0.086927455722222 (-1.90346795553798, 2.06008464282225)","-35.4778948716618 (-86.7294015985463, -2.39731675915678)","0.838817221485471 (-1.52453541734397, 3.52225366737672)","-49.7557991662311 (-119.112317647945, -3.60874186225251)","-0.162634684356661 (-2.06884888282431, 1.83047527922363)","-0.427967083936024 (-2.3328642888427, 1.45218258014148)","0.996344107019882 (-1.45272564524055, 3.69904789107469)","-0.389788644096023 (-2.47674090505353, 1.61272120349328)","-0.534899885931161 (-2.35642061714554, 1.21379512263882)","-0.240073914142361 (-2.42117389500459, 1.94185218760101)","-0.6144264386511 (-2.66266448676152, 1.4059518234974)","29.4551809707405 (0.550177056797402, 96.16450950698)","22.4681264748509 (2.11666410249694, 60.2888076627539)","0.380464434022159 (-1.69111588308262, 2.40180235509903)","0.625809738744673 (-1.4504357001467, 2.64836146590598)","0.312379781411481 (-1.54796754433194, 2.14048715739178)","1.46368717478672 (-0.551240521667306, 3.47328322659433)","0.86895887040018 (-1.09153222527837, 2.91635202093209)","-48.1724152255077 (-106.189089984545, -3.83027632576017)","-0.740646733938471 (-2.5101223322247, 0.989165882273946)","1.45312632706411 (-0.600364069275503, 3.53462793428518)","-0.489583071725903 (-2.69705604896556, 1.755196533081)"
"Almonertinib","0.0371128065422844 (-1.12495249255894, 1.23380002776696)","0.059338248739098 (-1.57827357161804, 1.6891667631243)","0.426374936241792 (-1.52197330519975, 2.43777603710225)","Almonertinib","2.19333304971941 (0.926713775931321, 3.75428236350852)","23.0231361856089 (2.65367921487063, 60.8015027003714)","0.205415737228182 (-0.905757296472671, 1.39791466259599)","-27.98840752364 (-81.9797038691111, -2.51819264603494)","-0.507411839210447 (-1.80838010456237, 0.807295639260183)","-0.184860329635987 (-2.30203793427332, 1.95395726408103)","0.098415124140159 (-0.986367746315423, 1.31535682421393)","0.0798726208397317 (-1.1130225774973, 1.31955133272148)","0.731700725218229 (-1.21837153469883, 2.94836894757583)","0.506456533295122 (-0.929413811223404, 2.0271881164801)","-35.0104352771874 (-86.2927849305095, -2.05431446046091)","1.2456139281119 (-0.685959685091178, 3.64704201865389)","-49.2542606843832 (-118.541251133532, -3.2298952592605)","0.234228713752827 (-1.02668854371439, 1.85814966000534)","-0.0106320255455116 (-1.33216100972831, 1.41993883166971)","1.40251250417851 (-0.606573971222905, 3.81108226300252)","0.0331773228103333 (-1.24776170646663, 1.33994204865247)","-0.113888520429626 (-0.957247833317806, 0.727853350182462)","0.177787514518351 (-1.28588727079185, 1.73411547736972)","-0.185852148166197 (-1.69528625281861, 1.3938034728618)","29.8208189161898 (1.02601365284467, 96.6271641769162)","22.8971439838071 (2.54815822992172, 60.6490009621296)","0.806882839390537 (-0.666188626596804, 2.31086768620673)","1.0445137219425 (-0.454364266457788, 2.61137271035238)","0.730135702189767 (-0.50251259368769, 2.03980436502098)","1.87951100827503 (0.420706534827708, 3.41808323525633)","1.27577099588214 (-0.0936320407408241, 2.90378273827897)","-47.7416430751668 (-105.686166521976, -3.31156976395036)","-0.315936069113933 (-1.47422179020304, 0.857918338947019)","1.87985255475737 (0.327857645409851, 3.55970474779689)","-0.0635572015663411 (-1.79933349366546, 1.76229829521074)"
"antiangio","-2.16004007180363 (-3.41445088375977, -1.11921498038281)","-2.14432285212843 (-3.83628986383717, -0.648520119513819)","-1.79939171798204 (-3.76714510788065, 0.128779745820767)","-2.19333304971941 (-3.75428236350852, -0.926713775931321)","antiangio","20.8260213587387 (0.400175898162197, 58.563659817749)","-1.98741317830178 (-3.1541952944828, -1.0232429223902)","-30.2338855969784 (-84.1206393754333, -4.76473535273346)","-2.70063465002837 (-4.04400089887835, -1.62388232872571)","-2.39297010293594 (-4.46126968096035, -0.480883199459475)","-2.08703380190411 (-3.09973443669912, -1.2628192127518)","-2.11458739794245 (-3.22835449631359, -1.22607218190136)","-1.47835718389196 (-3.43145271334207, 0.523197401403539)","-1.69678258913731 (-3.06551766516626, -0.464056196357862)","-37.3000581440375 (-88.5040083748641, -4.27677912927512)","-0.969675351402769 (-2.84735009455396, 1.28705700582776)","-51.4853842855575 (-120.808639367693, -5.41277348203936)","-1.9522718495749 (-3.16119699083902, -0.75263081441181)","-2.2088589830081 (-3.47940121868806, -1.09628379030763)","-0.797736236135126 (-2.78190234563175, 1.39087118890948)","-2.16569547039208 (-3.79236899152054, -0.763364678190115)","-2.31047807393175 (-3.57070126929648, -1.3004370656925)","-2.02235827872992 (-3.78073456861775, -0.359912932912206)","-2.39554838609503 (-4.00770770714511, -0.974569183714991)","27.6255573883988 (-1.14310937618448, 94.2995716242188)","20.7092015472703 (0.283222730938892, 58.4533819704346)","-1.40590856178758 (-3.01444301229177, 0.0300805467999204)","-1.15303980869601 (-2.77392003605215, 0.271047145935237)","-1.4723011043558 (-2.7879792707088, -0.322319260282544)","-0.320230958806004 (-1.85862880630921, 1.07922228503186)","-0.915576674395911 (-2.35912493823855, 0.478586420017264)","-49.9771038772989 (-108.088512987781, -5.57619570775478)","-2.52210093853861 (-3.72920709565332, -1.50964929717294)","-0.324964858523055 (-1.8501532110142, 1.10793314272088)","-2.26506832863018 (-4.10866134261448, -0.598620134692215)"
"Befotertinib","-22.9990571947552 (-60.7372886377728, -2.61921247856358)","-22.974157981627 (-60.7141711856705, -2.54341000508408)","-22.5900641532361 (-60.4269106018253, -2.16782827344973)","-23.0231361856089 (-60.8015027003714, -2.65367921487063)","-20.8260213587387 (-58.563659817749, -0.400175898162197)","Befotertinib","-22.8664393016667 (-60.6220851565085, -2.44188850795275)","-55.6664959628996 (-111.93598731957, -12.9302760132771)","-23.5534397861561 (-61.2752035535745, -3.15681273336657)","-23.3019129122751 (-60.9031126855042, -2.71431174491848)","-22.9434425780255 (-60.6324767300356, -2.52082630826955)","-22.973546100618 (-60.6943433904142, -2.54284046038517)","-22.3415993351155 (-60.0004118620115, -1.82335476653136)","-22.5530541863224 (-60.3026431621351, -2.10496591619731)","-61.4635719585406 (-122.561786258734, -13.9058914180231)","-21.8236509248363 (-59.6440831299946, -1.13587713522512)","-74.9990413949934 (-154.513926635619, -13.9757739240877)","-22.7765772265934 (-60.5740566441266, -2.32566997698377)","-23.0255220851439 (-60.6518329060592, -2.65137297784624)","-21.5815046066886 (-59.1431157401337, -1.00536919273548)","-23.0108966463379 (-60.7682571718145, -2.5946697883063)","-23.1488449333739 (-60.988479723437, -2.77173852281125)","-22.8757286341983 (-60.6002700584235, -2.51450028422698)","-23.2255035523581 (-60.9210330561461, -2.79242244919584)","7.74526785392465 (-43.0933308956239, 77.0423436116305)","-0.115187482537308 (-0.948850115778724, 0.713229048827011)","-22.2862677695142 (-59.9860309094389, -1.81492211362834)","-22.0228971126939 (-59.729513331983, -1.60080355512175)","-22.3245397655022 (-60.0550015560032, -1.90640362812545)","-21.1665915216785 (-58.8900572631212, -0.731951450832925)","-21.7678020377877 (-59.3607158154578, -1.33597297202072)","-73.5551891824825 (-140.907705822474, -16.8890540476318)","-23.3702426566784 (-61.1245667656691, -2.97689404575944)","-21.1756692380819 (-58.8911439051913, -0.687586412073728)","-23.1122385147359 (-60.7850763536546, -2.60603087629807)"
"chemo","-0.168898632836515 (-0.983203997913653, 0.596946287515925)","-0.152117279599524 (-1.53010438900802, 1.18916007707377)","0.211711929378048 (-1.53284498543151, 1.98707654162231)","-0.205415737228182 (-1.39791466259599, 0.905757296472671)","1.98741317830178 (1.0232429223902, 3.1541952944828)","22.8664393016667 (2.44188850795275, 60.6220851565085)","chemo","-28.1789638404477 (-82.3052689685669, -2.7525119236022)","-0.709684168210851 (-1.66885934804413, 0.163352952766282)","-0.393322577802399 (-2.29343325946454, 1.45039686047782)","-0.106805077407 (-0.643299762542731, 0.47963244212065)","-0.133123552570525 (-0.839796056079723, 0.565811215995199)","0.520124310396604 (-1.21533785118785, 2.45038725343214)","0.298045014060875 (-0.759652743881676, 1.36101310845454)","-35.2217934726052 (-86.4372195213381, -2.28730158913308)","1.02437760466495 (-0.63850233199046, 3.20517626631408)","-49.5207839300955 (-118.698670083672, -3.40165373908881)","0.0254689237568351 (-0.860873666804566, 1.19392136479503)","-0.217950187384603 (-1.14877664054971, 0.735910259044107)","1.19720405731795 (-0.583726333787973, 3.34785419344462)","-0.178011216145635 (-1.48917823118217, 1.06941685219672)","-0.32312420355069 (-1.16212042354983, 0.452010651496868)","-0.0298465151730258 (-1.50546517265221, 1.46808028580711)","-0.401656604586406 (-1.65024804841147, 0.853973368228462)","29.5787330720306 (0.86069075351973, 96.3683302824114)","22.7025997030198 (2.33708859988884, 60.435582383266)","0.591407636743411 (-0.683268881323825, 1.84442106426358)","0.834091203033203 (-0.429255608567388, 2.09798464210425)","0.516201219291729 (-0.35442321364215, 1.43269914291214)","1.67020721828477 (0.493061247933182, 2.86956080629194)","1.06605089269065 (-0.0155118031221495, 2.34453867518014)","-48.0204444741483 (-105.875747976688, -3.50400343746733)","-0.528282545011077 (-1.29074103393544, 0.209902287019779)","1.66178823412276 (0.443822439082656, 2.97192650620993)","-0.28116541092395 (-1.80021953992205, 1.27409744166456)"
"chemo_antiangio","28.0583667965121 (2.56262560313074, 81.9922834187205)","28.0902466275614 (2.55418772215566, 82.0410712440677)","28.4475740356753 (2.80621712724136, 82.3233067725799)","27.98840752364 (2.51819264603494, 81.9797038691111)","30.2338855969784 (4.76473535273346, 84.1206393754333)","55.6664959628996 (12.9302760132771, 111.93598731957)","28.1789638404477 (2.7525119236022, 82.3052689685669)","chemo_antiangio","27.5155970610243 (2.02596799048118, 81.6728890092274)","27.7427900233165 (2.23364515505717, 81.8004299322158)","28.1083565379032 (2.64349316473301, 82.1215321484135)","28.0675883126103 (2.62485140265166, 82.1494586098195)","28.665683266346 (3.29733922610885, 83.1075580926633)","28.5655840083754 (2.98058104139429, 82.4486937424266)","-6.58650769445328 (-70.9461877487856, 69.2153626199241)","29.3555975953824 (3.656963758062, 83.3627481874022)","-20.4194195464577 (-97.574753495598, 55.8784675222108)","28.2453193699547 (2.80087839995629, 82.1493635289076)","27.980086517465 (2.53894010330139, 81.9454367949349)","29.48123703433 (3.75673188132527, 83.8690512042247)","27.998902698315 (2.49467873114787, 82.0938165101189)","27.8728329321917 (2.41612448989506, 81.8867371998373)","28.2714864006664 (2.59363181408939, 82.3955030488102)","27.8171353400117 (2.34790961199373, 81.6843029397358)","64.4024357051877 (12.1890738422208, 127.698418606018)","55.5285605703808 (12.8553840061085, 111.91312419037)","28.8009441049353 (3.32801245413461, 82.7479348184873)","29.0659178780639 (3.53363395423448, 82.9538720577015)","28.7472114184782 (3.28820798619592, 82.5952348810139)","29.8855262301915 (4.40386453905196, 83.8756528338499)","29.2992380277831 (3.81355753912117, 83.2494368403827)","-17.1069399136604 (-94.8008501429201, 55.3910400891766)","27.6864144151329 (2.20848719851797, 81.6672588519305)","29.8508374359289 (4.38890348341698, 83.8858856951874)","27.9456353877714 (2.47353843317053, 81.9750010158912)"
"Dacomitinib","0.545286645321074 (-0.418298102602424, 1.53766098240545)","0.563974864864467 (-0.894803462155038, 2.04923540629813)","0.922574008736589 (-0.890476920677945, 2.81661688033764)","0.507411839210447 (-0.807295639260183, 1.80838010456237)","2.70063465002837 (1.62388232872571, 4.04400089887835)","23.5534397861561 (3.15681273336657, 61.2752035535745)","0.709684168210851 (-0.163352952766282, 1.66885934804413)","-27.5155970610243 (-81.6728890092274, -2.02596799048118)","Dacomitinib","0.321268790843841 (-1.62404216748289, 2.24810874517723)","0.604222114661505 (-0.106198486060872, 1.4423430243893)","0.581273746942419 (-0.262407472904219, 1.48815203275087)","1.23647404518478 (-0.560331693086506, 3.26356592841877)","1.00923053634839 (-0.152522292312755, 2.25821254832426)","-34.5430359960935 (-85.699068110378, -1.55546567085038)","1.74890779030228 (0.0275623871890229, 4.01212645419833)","-48.8299088506422 (-118.00547129518, -2.69705740731445)","0.74211670827634 (-0.262884302458172, 2.0828333996379)","0.493628418593777 (-0.538692363996534, 1.63298924270797)","1.91978649590015 (0.0725090216390075, 4.18224988601841)","0.541726158094284 (-0.89282427026486, 1.95659347476974)","0.392630999004064 (-0.629702521556482, 1.41088713058451)","0.692920072985424 (-0.904360511359552, 2.31597077538362)","0.318832403150226 (-1.03701012601692, 1.72652163120978)","30.274443201225 (1.55871450256168, 97.1562216590586)","23.4285160747334 (3.04001782143723, 61.1827038145144)","1.30649411946606 (-0.0664909442088994, 2.70002051930674)","1.55155088007061 (0.185607294397859, 2.96869101949704)","1.24014003032192 (0.209638592935037, 2.33568598298986)","2.38541346742373 (1.09578470986855, 3.75529299355997)","1.78226900653165 (0.576025250510638, 3.23816993956071)","-47.2664154250524 (-105.183547118487, -2.74494694937567)","0.188352997586235 (-0.678369838068778, 1.07335285274927)","2.38005566674896 (1.07059674386938, 3.81052295757243)","0.439702977604203 (-1.15359412613751, 2.12531695739632)"
