"","Afatinib","Afatinib_Cetuximab","Almonertinib","antiangio","chemo","Dacomitinib","DHFRi","Erlotinib","Erlotinib_antiangio","Erlotinib_Autophagyi","Erlotinib_chemo","Erlotinib_ERi","Erlotinib_HER3i","Erlotinib_HGFi","Erlotinib_IGF_1Ri","Erlotinib_METi","Erlotinib_MMPi","Gefitinib","Gefitinib_antiangio","Gefitinib_chemo","Gefitinib_ERi","Gefitinib_Erlotinib","Lazertinib","Lazertinib_Amivantamab","Osimertinib","Osimertinib_antiangio","Osimertinib_chemo","Osimertinib_PD_L1i","Placebo","Rociletinib"
"Afatinib","Afatinib","-0.0504863257889547 (-1.5279078772221, 1.41462697270906)","0.472095526456018 (-1.32707435692818, 2.25427069664014)","1.67301824967159 (0.458487914971316, 2.96691766117868)","0.513935779263468 (-0.379419566588637, 1.44696303850612)","-0.33955117698694 (-1.53312078418678, 0.824885805248071)","0.710945336329258 (-2.31846936537611, 4.48960944985236)","-0.233780106258366 (-1.11075617357022, 0.649890633480541)","1.39435767294638 (0.420927003180494, 2.40086025983795)","-1.66682199609031 (-3.61599826676163, 0.246327302786691)","-0.031519345584059 (-1.55443009577012, 1.50037539917382)","0.690752851546924 (-0.98393716117701, 2.3605341357417)","-0.937648675520244 (-3.31946319995282, 1.43278689405296)","-0.354433730026447 (-3.96517529073044, 3.64389846969709)","1.29482551249451 (-0.175758343280775, 2.95275276284789)","-0.0419410604013826 (-1.29638731812439, 1.14876787232953)","-2.13145147522569 (-4.66093493776954, 0.0498088953073203)","-0.348183878014948 (-1.32309895717144, 0.598727737328032)","2.46282302104728 (0.891063918321768, 4.1672675600495)","-0.0788867716878139 (-1.31173713909048, 1.16016001341096)","1.18020584796118 (-0.451829077284571, 2.81211302948539)","-0.778573468708317 (-2.70717217341873, 1.15113805522046)","-0.00193211352228928 (-1.42482278990511, 1.38082955271663)","1.51829760659152 (-0.164904991936539, 3.19185245238699)","-0.291826616067245 (-1.5243718445102, 0.941678596725982)","1.94108870915178 (0.373378794582444, 3.52647011581853)","0.259490292852513 (-1.57634527841095, 2.13798279773789)","-1.43924506335617 (-5.25619213788481, 1.61420349340145)","-0.409727337770371 (-1.41344865443295, 0.543601709828112)","-46.7413273000334 (-158.972649269059, -2.44723732395006)"
"Afatinib_Cetuximab","0.0504863257889547 (-1.41462697270906, 1.5279078772221)","Afatinib_Cetuximab","0.528302124188964 (-1.80164962427292, 2.83619729421291)","1.72521793466112 (-0.172907810298127, 3.71641224629918)","0.561076966180192 (-1.14484008853272, 2.34076902059973)","-0.293715231728972 (-2.19233815723973, 1.58909401629816)","0.771459338264132 (-2.59983159490724, 4.80618258655741)","-0.182489187999103 (-1.88586648877009, 1.55048198075572)","1.44214877080615 (-0.300029034712763, 3.26175378750196)","-1.61089784962002 (-4.04904982241342, 0.810172953851332)","0.0158967358269949 (-2.09467913262126, 2.17212753557689)","0.745588320233537 (-1.49622155349354, 2.97692024845022)","-0.885145090651317 (-3.69603601141568, 1.89924953004769)","-0.304161645665465 (-4.21240750882416, 3.9458401345381)","1.34599810230533 (-0.715880286243223, 3.57522172993556)","0.00809265175060253 (-1.94660137833503, 1.8954242989028)","-2.09343352827786 (-4.99149230367165, 0.597139369966029)","-0.297032898250707 (-2.07040421361113, 1.46136669697973)","2.52261019745729 (0.381280141582832, 4.78790269978496)","-0.0286625482799822 (-1.94549978141993, 1.9094943804268)","1.23318006271128 (-0.965690329775266, 3.43381101729899)","-0.730181970560577 (-3.1483952641651, 1.70381144483019)","0.0453954855547502 (-1.99794130385943, 2.0625607616416)","1.56755726949708 (-0.65929634028258, 3.81001731969253)","-0.241937742329493 (-2.16332202249501, 1.69762591848105)","1.99433558654116 (-0.156763351280037, 4.17976996932133)","0.31011919714932 (-2.03012345160702, 2.71142930741165)","-1.39902249456736 (-5.44931634169752, 2.01464369617064)","-0.3603842605107 (-2.15507089710065, 1.40104210745783)","-46.6653089665976 (-158.925953035194, -2.38876932597072)"
"Almonertinib","-0.472095526456018 (-2.25427069664014, 1.32707435692818)","-0.528302124188964 (-2.83619729421291, 1.80164962427292)","Almonertinib","1.20570670160616 (-0.644267322020819, 3.11898388905004)","0.0403317412222899 (-1.66248400211065, 1.80938899513568)","-0.811052989522551 (-2.62590040978135, 0.981829280023781)","0.257255102578041 (-3.1419304943509, 4.27438574962978)","-0.7025126923441 (-2.39760475907115, 1.00731900064689)","0.921621228829733 (-0.814449319798658, 2.70895129081007)","-2.14174108595726 (-4.54237117320085, 0.27217120907264)","-0.507258187193306 (-2.59590422512319, 1.62037714270894)","0.215294173965642 (-1.9114384335107, 2.35872299092368)","-1.420762707854 (-4.19872172320399, 1.35384837417248)","-0.827066710058814 (-4.75326575042554, 3.42538674640528)","0.817552366716315 (-1.23685046708592, 3.06785559206448)","-0.51277365936619 (-2.44552992903013, 1.35534999939661)","-2.61618270658719 (-5.49093875083864, 0.0378160244801921)","-0.819771888166419 (-2.34906063949772, 0.67632021560895)","1.989708546997 (0.0528440038965937, 4.09005300877963)","-0.548084824638552 (-2.27285345819574, 1.15902403584843)","0.707585820068723 (-1.38487741078397, 2.80317567779639)","-1.25804837958994 (-3.63935373544532, 1.12074549935278)","-0.480505870494796 (-2.38746341548824, 1.41225074280459)","1.04513314412696 (-1.10806054122315, 3.18952724815934)","-0.763618790932533 (-2.62227310303198, 1.10835112762314)","1.47068689118486 (-0.624529371948585, 3.58891532748965)","-0.210585231593901 (-2.50045138007946, 2.12649715331709)","-1.92797690067074 (-5.94045723525901, 1.44282631451798)","-0.882531870654158 (-2.63562286557152, 0.842162709712961)","-47.1647922274787 (-159.434903395766, -2.93480144559133)"
"antiangio","-1.67301824967159 (-2.96691766117868, -0.458487914971316)","-1.72521793466112 (-3.71641224629918, 0.172907810298127)","-1.20570670160616 (-3.11898388905004, 0.644267322020819)","antiangio","-1.16222495603063 (-2.2871493744021, -0.0619118929608385)","-2.01684006275123 (-3.34226932091542, -0.771412254216826)","-0.971248025181314 (-4.02480986936681, 2.79830964922219)","-1.90859888427487 (-2.87230266216951, -1.01793377768849)","-0.283302711642304 (-1.27798040910678, 0.68345769690188)","-3.34323898014975 (-5.33714420051931, -1.44114013166007)","-1.71280065341927 (-3.31187974724037, -0.179795941622509)","-0.985608284158303 (-2.75073867418492, 0.730941814336063)","-2.62250359127859 (-5.03836124349806, -0.254531858959613)","-2.04141808601415 (-5.68709264329696, 1.97303710308448)","-0.385983802919376 (-1.90617422654603, 1.25501883958762)","-1.71745420720316 (-3.06168258312095, -0.510224632000369)","-3.81476930261516 (-6.36590026819616, -1.62910214832842)","-2.02315214398864 (-3.20890753607619, -0.955719936726271)","0.790889930356616 (-0.914383646372083, 2.54819308157942)","-1.7514312445062 (-3.17922067208333, -0.431132346495212)","-0.498392724074777 (-2.21547203781014, 1.17400184789515)","-2.45208545769845 (-4.53574176276237, -0.479790701553851)","-1.68108187802458 (-3.25626406230628, -0.211469097654536)","-0.155813536351599 (-1.99502901040715, 1.58449829876055)","-1.96516103570644 (-3.38693778083959, -0.636066052766002)","0.268262453499009 (-1.44855713858762, 1.94075135335265)","-1.41631367118333 (-3.37894695437465, 0.513225845832231)","-3.11872111932687 (-6.98423625471762, -0.0189162929983803)","-2.08671321723719 (-3.30870439660248, -0.984917564715147)","-48.4030239807058 (-160.619418120636, -4.10118651178603)"
"chemo","-0.513935779263468 (-1.44696303850612, 0.379419566588637)","-0.561076966180192 (-2.34076902059973, 1.14484008853272)","-0.0403317412222899 (-1.80938899513568, 1.66248400211065)","1.16222495603063 (0.0619118929608385, 2.2871493744021)","chemo","-0.85309961496014 (-1.95564636133068, 0.181214424169131)","0.192241726636372 (-2.78696237632831, 3.932369057653)","-0.745922527766932 (-1.43565837549983, -0.0949811666656796)","0.882690217769003 (0.0761644507307001, 1.67995498620202)","-2.1805546709772 (-4.05090885861121, -0.362311573755587)","-0.54355265021456 (-1.96730717384272, 0.830095842700385)","0.179141193269327 (-1.42602598231638, 1.75251573953929)","-1.45308569917886 (-3.78905681623666, 0.833316478197034)","-0.876177691688406 (-4.45778849062965, 3.08533600492583)","0.780167803086967 (-0.585528472553121, 2.28107072415864)","-0.556210976671216 (-1.69958571871243, 0.485728560131806)","-2.64354525915142 (-5.12541769238488, -0.564442511028329)","-0.861189859482931 (-1.74022091323271, -0.0504701840086947)","1.95654223982128 (0.425320996964695, 3.55984111627005)","-0.593075246439261 (-1.77125708042744, 0.53777555504719)","0.665266564763822 (-0.897443111944339, 2.21260675062493)","-1.29245564689886 (-3.13817036935136, 0.499195895628069)","-0.516201537449107 (-1.84020956257679, 0.722204716363614)","1.00725272083031 (-0.591162195758758, 2.54509406272141)","-0.804521856978372 (-1.87254887691296, 0.219762735355674)","1.4298707156142 (-0.000142967893710997, 2.85182005031272)","-0.256339419995915 (-1.98073199910038, 1.47793703413099)","-1.95769932411458 (-5.73595120148799, 1.01898113011814)","-0.923955919067778 (-1.84191903352405, -0.0765814842282454)","-47.259668481214 (-159.469999977894, -2.96146555487247)"
"Dacomitinib","0.33955117698694 (-0.824885805248071, 1.53312078418678)","0.293715231728972 (-1.58909401629816, 2.19233815723973)","0.811052989522551 (-0.981829280023781, 2.62590040978135)","2.01684006275123 (0.771412254216826, 3.34226932091542)","0.85309961496014 (-0.181214424169131, 1.95564636133068)","Dacomitinib","1.0514696814465 (-1.98549972223496, 4.83780930050113)","0.110024109673731 (-0.812829102892341, 1.0494570687549)","1.73793565351861 (0.733288290549593, 2.80138841919372)","-1.32658609685833 (-3.25848856654827, 0.614629248843429)","0.309791483631917 (-1.2545408327872, 1.89219296692255)","1.03876574986704 (-0.657568507317578, 2.74599552713202)","-0.594906155232684 (-2.99124013796826, 1.78993546807577)","-0.013421759932223 (-3.63446400900456, 3.99266234429665)","1.63445541187107 (0.136558724321127, 3.31752907406474)","0.298413940444114 (-0.972554901043597, 1.54556055860681)","-1.79268977679647 (-4.32960847538128, 0.442919526677909)","-0.00943285686856438 (-0.993532000498276, 0.968484612905856)","2.80753875379076 (1.23142785887323, 4.53014799659698)","0.263798086444207 (-0.989178714261665, 1.52413184594191)","1.51994274027584 (-0.11688054225262, 3.19398615776823)","-0.440676110215186 (-2.39738332496449, 1.52496515478257)","0.334479274166797 (-1.10292997851713, 1.77590013955456)","1.85680470797548 (0.14252934166333, 3.59801631121987)","0.0548796342142599 (-1.23875362612808, 1.34106047724011)","2.28848009641452 (0.670237076250717, 3.92439744316395)","0.601775601471226 (-1.26967899051451, 2.53975022666433)","-1.09934485672357 (-4.90248492672236, 1.97847697840611)","-0.069659756194938 (-1.07846168142677, 0.921465483484226)","-46.3961378715082 (-158.550686688678, -2.07893387680045)"
"DHFRi","-0.710945336329258 (-4.48960944985236, 2.31846936537611)","-0.771459338264132 (-4.80618258655741, 2.59983159490724)","-0.257255102578041 (-4.27438574962978, 3.1419304943509)","0.971248025181314 (-2.79830964922219, 4.02480986936681)","-0.192241726636372 (-3.932369057653, 2.78696237632831)","-1.0514696814465 (-4.83780930050113, 1.98549972223496)","DHFRi","-0.935864355199808 (-4.60789451882669, 1.95381887512217)","0.694094137167273 (-3.00148734888942, 3.63827134884362)","-2.39234271434503 (-6.43960167243895, 0.979146348833812)","-0.752540830650335 (-4.6140596175615, 2.42057200951195)","-0.0275691297138951 (-3.96696762960417, 3.25280133358761)","-1.67215915256346 (-5.90949580767432, 1.99572385373704)","-1.09019612748792 (-6.12729828593731, 3.79739813521165)","0.590012507418505 (-3.23558775883933, 3.80117224650328)","-0.757204597398905 (-4.54458670902131, 2.24135105858964)","-2.88824013563435 (-7.20185615358239, 0.694830168596717)","-1.06077296933774 (-4.80481952973491, 1.93260832701343)","1.75104175128429 (-2.15224011236353, 5.07988133609401)","-0.794486755559489 (-4.60547661794387, 2.31495471147)","0.463759458400816 (-3.47462418739807, 3.7208051461243)","-1.50952901908306 (-5.5841994833705, 1.93861666015621)","-0.726306000527033 (-4.59442232543578, 2.4404648839553)","0.787293500984387 (-3.17424115845391, 4.08420196570966)","-1.00193698366633 (-4.8105438747801, 2.07951577713283)","1.22101437357966 (-2.69258098060487, 4.48171919413671)","-0.457961039102324 (-4.48281635894535, 2.95017897593481)","-2.23117115866903 (-7.34696224280873, 2.03550132674094)","-1.12129724309782 (-4.86766054734195, 1.85323403138897)","-47.5694566389216 (-159.783611288601, -3.11317373984418)"
"Erlotinib","0.233780106258366 (-0.649890633480541, 1.11075617357022)","0.182489187999103 (-1.55048198075572, 1.88586648877009)","0.7025126923441 (-1.00731900064689, 2.39760475907115)","1.90859888427487 (1.01793377768849, 2.87230266216951)","0.745922527766932 (0.0949811666656796, 1.43565837549983)","-0.110024109673731 (-1.0494570687549, 0.812829102892341)","0.935864355199808 (-1.95381887512217, 4.60789451882669)","Erlotinib","1.62608008709109 (1.19901716945689, 2.09787788185262)","-1.43385981947792 (-3.16276861957864, 0.263039980696816)","0.20226552820117 (-1.0728776218027, 1.47150649770985)","0.922604733048246 (-0.579978775320009, 2.42688196971126)","-0.704102465919844 (-2.91921443479099, 1.49050538467714)","-0.128677339305855 (-3.64082535753945, 3.80363335987927)","1.52286485377149 (0.336021756087095, 2.90407925283644)","0.191220964878845 (-0.685806958923807, 1.00119891457362)","-1.89290167340759 (-4.28629515084551, 0.10561142677096)","-0.114514789961757 (-0.905670334451867, 0.647861284860264)","2.69793308065696 (1.22840210435441, 4.29689626120339)","0.152775809051443 (-0.957817318780465, 1.26122940524402)","1.41130202360623 (-0.0375657540364222, 2.87535926408751)","-0.545241517655895 (-2.3885010045061, 1.27542380639663)","0.226140806478131 (-1.05756067279982, 1.46584128207976)","1.75178114481906 (0.166010092615008, 3.31495497089962)","-0.0582880181593555 (-1.12629299080022, 1.00509492863452)","2.17783329942258 (0.733436904246721, 3.63153598971622)","0.493061216983747 (-1.23794433473966, 2.26220190375965)","-1.20606765920985 (-4.98436466513892, 1.77742946026172)","-0.179592656261174 (-0.932939720036821, 0.545298300424994)","-46.4963353873674 (-158.692592413621, -2.22720816044405)"
"Erlotinib_antiangio","-1.39435767294638 (-2.40086025983795, -0.420927003180494)","-1.44214877080615 (-3.26175378750196, 0.300029034712763)","-0.921621228829733 (-2.70895129081007, 0.814449319798658)","0.283302711642304 (-0.68345769690188, 1.27798040910678)","-0.882690217769003 (-1.67995498620202, -0.0761644507307001)","-1.73793565351861 (-2.80138841919372, -0.733288290549593)","-0.694094137167273 (-3.63827134884362, 3.00148734888942)","-1.62608008709109 (-2.09787788185262, -1.19901716945689)","Erlotinib_antiangio","-3.06092703779691 (-4.84991398272943, -1.3254480605221)","-1.42717517795799 (-2.79789877255282, -0.102499098428901)","-0.704562681980856 (-2.28075884159288, 0.844439833711203)","-2.33568876632858 (-4.59899731244031, -0.110152334651658)","-1.76344394482157 (-5.29935451891419, 2.18580516065603)","-0.102593488049274 (-1.37028212155804, 1.31894241883956)","-1.43549738560249 (-2.46259799560151, -0.521476000157969)","-3.52159579363449 (-5.95006793629085, -1.49125589736998)","-1.7421272199887 (-2.66824963705826, -0.880811205558167)","1.07413263634144 (-0.46533189180628, 2.698710365352)","-1.47531339511289 (-2.68869239156479, -0.30240519539892)","-0.213705557217674 (-1.74444023063873, 1.30100716233402)","-2.17491890057159 (-4.09341695549651, -0.305343654337911)","-1.40179541557612 (-2.77846341832536, -0.0944908318077973)","0.12562923249571 (-1.53482807840021, 1.72085839047274)","-1.68563467175967 (-2.86507226538901, -0.550177865859036)","0.550829606506134 (-0.977474109463707, 2.06389834246372)","-1.13625323591993 (-2.94037654325169, 0.662240309665515)","-2.83974933493482 (-6.64486971798758, 0.174362824924091)","-1.80533057400311 (-2.70435558396281, -0.977507932084326)","-48.1255266614708 (-160.325554290019, -3.85527532772377)"
