"","x"
"Afatinib",0.3619
"Afatinib_Cetuximab",0.4194
"Afatinib_HMGCRi",0.023
"Almonertinib",0.6352
"antiangio",0.7925
"chemo",0.4019
"Dacomitinib",0.1976
"DHFRi",0.3086
"Erlotinib",0.3553
"Erlotinib_antiangio",0.4729
"Erlotinib_chemo",0.5384
"Erlotinib_COX2i",0.0295
"Erlotinib_HER3i",0.6732
"Erlotinib_IGF_1Ri",0.5725
"Erlotinib_METi",0.2888
"Erlotinib_MMPi",0.963
"Furmonertinib",0.4766
"Gefitinib",0.3432
"Gefitinib_chemo",0.6782
"Gefitinib_Erlotinib",0.2128
"Gefitinib_PARPi",0.9438
"Icotinib",0.9499
"Lazertinib",0.5146
"Lazertinib_Amivantamab",0.5696
"Osimertinib",0.4569
"Osimertinib_antiangio",0.8442
"Osimertinib_chemo",0.7028
"Placebo",0.2461
"Rociletinib",0.509
"Zorifertinib",0.5186
