"","x"
"Afatinib",0.4545
"Afatinib_Cetuximab",0.5989
"Almonertinib",0.9681
"antiangio",0.7578
"chemo",0.5277
"Dacomitinib",0.4248
"DHFRi",0.5667
"Erlotinib",0.3781
"Erlotinib_antiangio",0.676
"Erlotinib_Autophagyi",0.047
"Erlotinib_chemo",0.3827
"Erlotinib_ERi",0.9471
"Erlotinib_HER3i",0.2988
"Erlotinib_HGFi",0.9417
"Erlotinib_IGF_1Ri",0.7445
"Erlotinib_METi",0.448
"Erlotinib_MMPi",0.036
"Gefitinib",0.2865
"Gefitinib_antiangio",0.8598
"Gefitinib_chemo",0.4133
"Gefitinib_Erlotinib",0.2942
"Lazertinib",0.3979
"Lazertinib_Amivantamab",0.5913
"Osimertinib",0.3522
"Osimertinib_antiangio",0.6067
"Osimertinib_chemo",0.6281
"Placebo",0.3256
"Rociletinib",0.046
