[1] "Serious Vascular[2025-04-25 10:25:49]: mtc.nodesplit"
Node-splitting analysis of inconsistency
========================================

   comparison                      p.value  CrI                  
1  d.Afatinib.chemo                0.571425                      
2  -> direct                                0.78 (-1.5, 3.2)     
3  -> indirect                              -0.022 (-1.8, 1.8)   
4  -> network                               0.27 (-1.1, 1.7)     
5  d.Afatinib.Erlotinib            0.944675                      
6  -> direct                                -0.21 (-2.6, 2.2)    
7  -> indirect                              -0.31 (-2.0, 1.5)    
8  -> network                               -0.28 (-1.6, 1.1)    
9  d.Afatinib.Gefitinib            0.806600                      
10 -> direct                                -0.44 (-3.0, 2.1)    
11 -> indirect                              -0.82 (-2.8, 1.1)    
12 -> network                               -0.66 (-2.2, 0.82)   
13 d.Afatinib.Placebo              0.339500                      
14 -> direct                                -1.6 (-4.4, 1.1)     
15 -> indirect                              -0.058 (-1.8, 1.7)   
16 -> network                               -0.48 (-1.9, 0.94)   
17 d.antiangio.Erlotinib           0.030950                      
18 -> direct                                -1.4 (-3.3, 0.30)    
19 -> indirect                              -32. (-1.0e+02, -2.4)
20 -> network                               -1.9 (-3.6, -0.45)   
21 d.antiangio.Erlotinib_antiangio 0.055700                      
22 -> direct                                -2.1 (-4.5, 0.19)    
23 -> indirect                              0.88 (-1.1, 2.7)     
24 -> network                               -0.68 (-2.4, 0.87)   
25 d.antiangio.Gefitinib           0.028375                      
26 -> direct                                -44. (-1.8e+02, -3.3)
27 -> indirect                              -1.9 (-4.3, 0.13)    
28 -> network                               -2.3 (-4.5, -0.45)   
29 d.chemo.Erlotinib               0.511025                      
30 -> direct                                -0.36 (-1.6, 0.83)   
31 -> indirect                              -1.1 (-3.1, 0.79)    
32 -> network                               -0.54 (-1.6, 0.44)   
33 d.chemo.Erlotinib_chemo         0.904425                      
34 -> direct                                -0.91 (-4.9, 2.5)    
35 -> indirect                              -0.67 (-3.1, 1.7)    
36 -> network                               -0.61 (-2.6, 1.3)    
37 d.chemo.Gefitinib               0.498300                      
38 -> direct                                -1.6 (-4.3, 0.56)    
39 -> indirect                              -0.61 (-2.4, 1.1)    
40 -> network                               -0.93 (-2.4, 0.39)   
41 d.chemo.Osimertinib             0.730450                      
42 -> direct                                -0.35 (-2.8, 2.1)    
43 -> indirect                              -0.90 (-3.1, 1.2)    
44 -> network                               -0.67 (-2.3, 0.90)   
45 d.Dacomitinib.Erlotinib         0.473050                      
46 -> direct                                0.25 (-1.6, 2.1)     
47 -> indirect                              -0.81 (-3.4, 1.6)    
48 -> network                               -0.15 (-1.6, 1.3)    
49 d.Dacomitinib.Gefitinib         0.013900                      
50 -> direct                                -36. (-1.2e+02, -2.1)
51 -> indirect                              -0.011 (-2.0, 1.9)   
52 -> network                               -0.53 (-2.4, 1.2)    
53 d.Dacomitinib.Placebo           0.900000                      
54 -> direct                                -0.25 (-2.8, 2.3)    
55 -> indirect                              -0.44 (-2.6, 1.5)    
56 -> network                               -0.35 (-2.0, 1.2)    
57 d.Erlotinib.Placebo             0.112800                      
58 -> direct                                0.56 (-0.91, 2.0)    
59 -> indirect                              -1.2 (-2.9, 0.41)    
60 -> network                               -0.21 (-1.3, 0.86)   
61 d.Gefitinib.Lazertinib          0.725150                      
62 -> direct                                0.15 (-2.3, 2.7)     
63 -> indirect                              0.84 (-2.2, 4.0)     
64 -> network                               0.41 (-1.5, 2.3)     
65 d.Gefitinib.Placebo             0.171025                      
66 -> direct                                -1.0 (-3.4, 1.2)     
67 -> indirect                              0.92 (-0.80, 2.8)    
68 -> network                               0.18 (-1.2, 1.5)     
69 d.Lazertinib.Osimertinib        0.726475                      
70 -> direct                                -0.38 (-2.8, 2.0)    
71 -> indirect                              0.31 (-2.9, 3.5)     
72 -> network                               -0.15 (-2.0, 1.7)    
73 d.Osimertinib.Placebo           0.961400                      
74 -> direct                                -0.061 (-2.0, 1.9)   
75 -> indirect                              -0.13 (-2.5, 2.2)    
76 -> network                               -0.085 (-1.6, 1.4)   
