"","x"
"Afatinib",0.391
"Afatinib_Cetuximab",0.4147
"Afatinib_HMGCRi",0.5124
"Almonertinib",0.3873
"antiangio",0.8754
"Befotertinib",0.9689
"chemo",0.4707
"chemo_antiangio",0.0546
"Dacomitinib",0.2132
"DHFRi",0.3553
"Erlotinib",0.4204
"Erlotinib_antiangio",0.407
"Erlotinib_Autophagyi",0.598
"Erlotinib_chemo",0.5557
"Erlotinib_COX2i",0.0392
"Erlotinib_HER3i",0.7157
"Erlotinib_HGFi",0.0456
"Erlotinib_IGF_1Ri",0.4737
"Erlotinib_METi",0.3767
"Erlotinib_MMPi",0.7429
"Furmonertinib",0.3997
"Gefitinib",0.3303
"Gefitinib_chemo",0.4497
"Gefitinib_Erlotinib",0.3199
"Gefitinib_PARPi",0.9433
"Icotinib",0.9607
"Lazertinib",0.6354
"Lazertinib_Amivantamab",0.6998
"Osimertinib",0.6319
"Osimertinib_antiangio",0.8425
"Osimertinib_chemo",0.7563
"Osimertinib_PD_L1i",0.0554
"Placebo",0.2532
"Rociletinib",0.8333
"Zorifertinib",0.3703
