[1] "Total Cardiac[2025-05-26 01:59:19]: mtc.nodesplit"
Node-splitting analysis of inconsistency
========================================

   comparison                      p.value  CrI                 
1  d.Afatinib.chemo                0.208600                     
2  -> direct                                1.3 (-0.71, 3.4)    
3  -> indirect                              0.0014 (-0.93, 0.84)
4  -> network                               0.18 (-0.58, 0.98)  
5  d.Afatinib.Erlotinib            0.935075                     
6  -> direct                                0.043 (-0.93, 1.0)  
7  -> indirect                              0.11 (-0.92, 1.2)   
8  -> network                               0.082 (-0.61, 0.81) 
9  d.Afatinib.Gefitinib            0.760925                     
10 -> direct                                0.029 (-1.4, 1.4)   
11 -> indirect                              -0.24 (-1.4, 0.83)  
12 -> network                               -0.15 (-1.0, 0.68)  
13 d.Afatinib.Placebo              0.227225                     
14 -> direct                                -1.0 (-2.7, 0.31)   
15 -> indirect                              -0.029 (-0.99, 0.96)
16 -> network                               -0.34 (-1.1, 0.41)  
17 d.antiangio.Erlotinib           0.004475                     
18 -> direct                                -1.8 (-2.9, -0.91)  
19 -> indirect                              -22. (-56., -3.9)   
20 -> network                               -2.1 (-3.1, -1.3)   
21 d.antiangio.Erlotinib_antiangio 0.723800                     
22 -> direct                                -2.4 (-5.6, -0.27)  
23 -> indirect                              -1.9 (-3.2, -0.92)  
24 -> network                               -2.1 (-3.2, -1.2)   
25 d.antiangio.Gefitinib           0.008975                     
26 -> direct                                -30. (-76., -3.3)   
27 -> indirect                              -1.8 (-3.1, -0.65)  
28 -> network                               -2.3 (-3.6, -1.3)   
29 d.chemo.Erlotinib               0.841025                     
30 -> direct                                -0.14 (-0.81, 0.55) 
31 -> indirect                              -0.022 (-1.1, 1.2)  
32 -> network                               -0.11 (-0.65, 0.47) 
33 d.chemo.Erlotinib_chemo         0.892825                     
34 -> direct                                0.067 (-2.2, 2.3)   
35 -> indirect                              0.24 (-0.91, 1.5)   
36 -> network                               0.27 (-0.73, 1.4)   
37 d.chemo.Gefitinib               0.384150                     
38 -> direct                                0.11 (-1.3, 1.4)    
39 -> indirect                              -0.65 (-1.7, 0.43)  
40 -> network                               -0.33 (-1.2, 0.44)  
41 d.chemo.Osimertinib             0.662550                     
42 -> direct                                0.88 (-0.83, 3.0)   
43 -> indirect                              0.44 (-0.70, 1.5)   
44 -> network                               0.49 (-0.34, 1.4)   
45 d.Dacomitinib.Erlotinib         0.311700                     
46 -> direct                                0.43 (-0.50, 1.4)   
47 -> indirect                              1.3 (-0.20, 2.9)    
48 -> network                               0.62 (-0.12, 1.4)   
49 d.Dacomitinib.Gefitinib         0.821825                     
50 -> direct                                0.044 (-3.3, 3.7)   
51 -> indirect                              0.41 (-0.66, 1.6)   
52 -> network                               0.42 (-0.68, 1.4)   
53 d.Dacomitinib.Placebo           0.245125                     
54 -> direct                                0.91 (-0.59, 2.5)   
55 -> indirect                              -0.12 (-1.3, 0.88)  
56 -> network                               0.20 (-0.70, 1.1)   
57 d.Erlotinib.Placebo             0.859150                     
58 -> direct                                -0.49 (-1.5, 0.39)  
59 -> indirect                              -0.38 (-1.3, 0.49)  
60 -> network                               -0.42 (-1.1, 0.17)  
61 d.Gefitinib.Lazertinib          0.615575                     
62 -> direct                                0.54 (-1.5, 2.9)    
63 -> indirect                              1.2 (-0.41, 2.8)    
64 -> network                               0.91 (-0.28, 2.1)   
65 d.Gefitinib.Placebo             0.684975                     
66 -> direct                                0.027 (-1.5, 1.5)   
67 -> indirect                              -0.34 (-1.3, 0.74)  
68 -> network                               -0.19 (-1.0, 0.63)  
69 d.Lazertinib.Osimertinib        0.638225                     
70 -> direct                                -0.21 (-1.3, 0.96)  
71 -> indirect                              0.45 (-2.0, 2.8)    
72 -> network                               -0.092 (-1.0, 0.95) 
73 d.Osimertinib.Placebo           0.947850                     
74 -> direct                                -1.1 (-1.9, -0.32)  
75 -> indirect                              -1.0 (-2.8, 0.48)   
76 -> network                               -1.0 (-1.7, -0.40)  
