"","x"
"Afatinib",0.4723
"Afatinib_Cetuximab",0.4543
"Almonertinib",0.6002
"antiangio",0.8752
"chemo",0.6414
"Dacomitinib",0.3554
"DHFRi",0.6282
"Erlotinib",0.3863
"Erlotinib_antiangio",0.8298
"Erlotinib_Autophagyi",0.1317
"Erlotinib_chemo",0.4585
"Erlotinib_ERi",0.6577
"Erlotinib_HER3i",0.268
"Erlotinib_HGFi",0.4191
"Erlotinib_IGF_1Ri",0.7992
"Erlotinib_METi",0.4571
"Erlotinib_MMPi",0.1012
"Gefitinib",0.3401
"Gefitinib_antiangio",0.9549
"Gefitinib_chemo",0.4467
"Gefitinib_ERi",0.7736
"Gefitinib_Erlotinib",0.272
"Lazertinib",0.4687
"Lazertinib_Amivantamab",0.8345
"Osimertinib",0.3724
"Osimertinib_antiangio",0.9026
"Osimertinib_chemo",0.5442
"Osimertinib_PD_L1i",0.2214
"Placebo",0.324
"Rociletinib",0.009
