[1] "Total Vascular[2025-05-26 03:44:49]: mtc.nodesplit"
Node-splitting analysis of inconsistency
========================================

   comparison                      p.value  CrI                  
1  d.Afatinib.chemo                0.493425                      
2  -> direct                                0.88 (-0.51, 2.3)    
3  -> indirect                              0.25 (-0.93, 1.5)    
4  -> network                               0.51 (-0.37, 1.4)    
5  d.Afatinib.Erlotinib            0.972300                      
6  -> direct                                -0.21 (-1.8, 1.3)    
7  -> indirect                              -0.25 (-1.4, 0.86)   
8  -> network                               -0.24 (-1.1, 0.65)   
9  d.Afatinib.Gefitinib            0.751775                      
10 -> direct                                -0.13 (-1.8, 1.6)    
11 -> indirect                              -0.46 (-1.7, 0.74)   
12 -> network                               -0.36 (-1.3, 0.59)   
13 d.Afatinib.Placebo              0.190600                      
14 -> direct                                -1.5 (-3.9, 0.39)    
15 -> indirect                              -0.042 (-1.2, 1.1)   
16 -> network                               -0.41 (-1.4, 0.55)   
17 d.antiangio.Erlotinib           0.325725                      
18 -> direct                                -1.7 (-2.8, -0.64)   
19 -> indirect                              -3.1 (-6.7, -0.60)   
20 -> network                               -1.9 (-2.9, -1.0)    
21 d.antiangio.Erlotinib_antiangio 0.587500                      
22 -> direct                                -0.59 (-2.3, 1.1)    
23 -> indirect                              -0.024 (-1.4, 1.3)   
24 -> network                               -0.28 (-1.3, 0.67)   
25 d.antiangio.Gefitinib           0.322750                      
26 -> direct                                -3.1 (-6.7, -0.82)   
27 -> indirect                              -1.8 (-3.1, -0.49)   
28 -> network                               -2.0 (-3.2, -0.96)   
29 d.chemo.Erlotinib               0.156400                      
30 -> direct                                -0.41 (-1.3, 0.40)   
31 -> indirect                              -1.4 (-2.7, -0.29)   
32 -> network                               -0.74 (-1.4, -0.098) 
33 d.chemo.Erlotinib_chemo         0.845075                      
34 -> direct                                -0.87 (-4.5, 2.0)    
35 -> indirect                              -0.55 (-2.1, 1.0)    
36 -> network                               -0.54 (-2.0, 0.84)   
37 d.chemo.Gefitinib               0.144125                      
38 -> direct                                -1.9 (-4.0, -0.33)   
39 -> indirect                              -0.48 (-1.5, 0.50)   
40 -> network                               -0.87 (-1.7, -0.052) 
41 d.chemo.Osimertinib             0.800150                      
42 -> direct                                -0.67 (-2.2, 0.87)   
43 -> indirect                              -0.94 (-2.5, 0.52)   
44 -> network                               -0.80 (-1.9, 0.23)   
45 d.Dacomitinib.Erlotinib         0.856350                      
46 -> direct                                0.20 (-1.1, 1.6)     
47 -> indirect                              0.032 (-1.3, 1.4)    
48 -> network                               0.11 (-0.80, 1.1)    
49 d.Dacomitinib.Gefitinib         0.962650                      
50 -> direct                                0.015 (-1.5, 1.5)    
51 -> indirect                              -0.030 (-1.4, 1.3)   
52 -> network                               -0.0078 (-0.98, 0.97)
53 d.Dacomitinib.Placebo           0.806525                      
54 -> direct                                -0.25 (-2.0, 1.5)    
55 -> indirect                              0.0091 (-1.2, 1.3)   
56 -> network                               -0.065 (-1.1, 0.92)  
57 d.Erlotinib.Gefitinib           0.484700                      
58 -> direct                                0.46 (-1.4, 2.4)     
59 -> indirect                              -0.25 (-1.1, 0.59)   
60 -> network                               -0.12 (-0.91, 0.64)  
61 d.Erlotinib.Placebo             0.095675                      
62 -> direct                                0.37 (-0.60, 1.3)    
63 -> indirect                              -0.85 (-2.0, 0.21)   
64 -> network                               -0.18 (-0.93, 0.53)  
65 d.Gefitinib.Lazertinib          0.885550                      
66 -> direct                                0.28 (-1.2, 1.8)     
67 -> indirect                              0.46 (-1.5, 2.4)     
68 -> network                               0.35 (-0.79, 1.5)    
69 d.Gefitinib.Placebo             0.323225                      
70 -> direct                                -0.79 (-2.6, 0.87)   
71 -> indirect                              0.19 (-0.81, 1.2)    
72 -> network                               -0.056 (-0.92, 0.78) 
73 d.Lazertinib.Osimertinib        0.873250                      
74 -> direct                                -0.34 (-1.8, 1.1)    
75 -> indirect                              -0.16 (-2.1, 1.8)    
76 -> network                               -0.28 (-1.4, 0.86)   
77 d.Osimertinib.Placebo           0.913075                      
78 -> direct                                -0.075 (-1.6, 1.4)   
79 -> indirect                              -0.20 (-1.8, 1.3)    
80 -> network                               -0.12 (-1.2, 0.90)   
