"","group","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Serious Cardiac (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Serious Cardiac","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Serious Vascular (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Serious Vascular","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Total Cardiac (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Total Cardiac","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Total Vascular (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/primary/Total Vascular"
"1","antiangio",0.7928,0.7925,0.7384,0.7578,0.9222,0.8754,0.841,0.8752
"2","chemo",0.3776,0.4019,0.4959,0.5277,0.4759,0.4707,0.6187,0.642
"3","DHFRi",0.2905,0.3086,0.5216,0.5667,0.3704,0.3553,0.5893,0.6252
"4","I",0.314,NA,0.2845,NA,0.4191,NA,0.3354,NA
"5","I_antiangio",0.4451,NA,0.6594,NA,0.4107,NA,0.8075,NA
"6","I_chemo",0.5537,NA,0.3714,NA,0.5731,NA,0.4329,NA
"7","I_COX2i",0.0289,NA,NA,NA,0.0615,NA,NA,NA
"8","I_HER3i",0.6642,NA,0.2723,NA,0.7486,NA,0.2609,NA
"9","I_IGF_1Ri",0.5359,NA,0.7071,NA,0.4744,NA,0.762,NA
"10","I_METi",0.2601,NA,0.3575,NA,0.3799,NA,0.3913,NA
"11","I_MMPi",0.9696,NA,0.0472,NA,0.7816,NA,0.1157,NA
"12","I_PARPi",0.941,NA,NA,NA,0.9825,NA,NA,NA
"13","II",0.2573,NA,0.3996,NA,0.302,NA,0.3997,NA
"14","II_Cetuximab",0.3749,NA,0.5671,NA,0.3553,NA,0.4032,NA
"15","II_HMGCRi",0.0305,NA,NA,NA,0.4739,NA,NA,NA
"16","III",0.5346,NA,0.5364,NA,0.6031,NA,0.5847,NA
"17","III_Amivantamab",0.5946,NA,0.697,NA,0.6554,NA,0.8934,NA
"18","III_antiangio",0.876,NA,0.7392,NA,0.8543,NA,0.9612,NA
"19","III_chemo",0.7513,NA,0.748,NA,0.7461,NA,0.7058,NA
"20","Placebo",0.2453,0.2461,0.3286,0.3256,0.2341,0.2532,0.3478,0.3238
"21","Rociletinib",0.5029,0.509,0.0565,0.046,0.8772,0.8333,0.0075,0.0077
"22","Zorifertinib",0.6593,0.5186,NA,NA,0.4804,0.3703,NA,NA
"23","Afatinib",NA,0.3619,NA,0.4545,NA,0.391,NA,0.4728
"24","Afatinib_Cetuximab",NA,0.4194,NA,0.5989,NA,0.4147,NA,0.4553
"25","Afatinib_HMGCRi",NA,0.023,NA,NA,NA,0.5124,NA,NA
"26","Almonertinib",NA,0.6352,NA,0.9681,NA,0.3873,NA,0.5998
"27","Dacomitinib",NA,0.1976,NA,0.4248,NA,0.2132,NA,0.3554
"28","Erlotinib",NA,0.3553,NA,0.3781,NA,0.4204,NA,0.3868
"29","Erlotinib_antiangio",NA,0.4729,NA,0.676,NA,0.407,NA,0.8305
"30","Erlotinib_chemo",NA,0.5384,NA,0.3827,NA,0.5557,NA,0.4588
"31","Erlotinib_COX2i",NA,0.0295,NA,NA,NA,0.0392,NA,NA
