"","antiangio","chemo","DHFRi","I","I_antiangio","I_chemo","I_HER3i","I_IGF_1Ri","I_METi","II","II_Cetuximab","II_HMGCRi","III","III_Amivantamab","III_antiangio","III_chemo","Placebo","Rociletinib","Zorifertinib"
"antiangio","antiangio","-1.00998822824039 (-2.88338231792249, 0.724496927228178)","-1.40197624278009 (-4.3968418541215, 1.42232688536035)","-1.43202762094018 (-3.08154681890327, -0.127709254351393)","-1.35079831029924 (-3.27204421237811, 0.500990363513411)","-0.539220582512228 (-3.18643065190869, 2.14546076009326)","-1.3280271859284 (-3.97461451830566, 1.3783120134595)","-1.27342201493037 (-3.52162701826511, 0.985509329384061)","-2.14393614884815 (-4.45058485210965, -0.288397000067248)","-1.48881481346083 (-3.65884176792253, 0.0747268418481811)","-22.7564694045447 (-69.2973711026268, -1.91853775364542)","-21.0759952005779 (-62.2977050822398, -1.89866591957236)","-1.03445232320729 (-2.93921969339211, 0.584347825869326)","-1.33076541184457 (-4.49709050430995, 1.65737201252959)","9.43191531473297 (0.453601899978646, 32.3189061080628)","-0.164990305497603 (-3.55708489834143, 3.78024034393495)","-2.56860761726572 (-4.89396784490459, -0.766898596607689)","-1.42203502253119 (-5.64048771288086, 2.61490789965246)","-0.35666491805129 (-2.78438283876742, 1.94232100947876)"
"chemo","1.00998822824039 (-0.724496927228178, 2.88338231792249)","chemo","-0.396983262106708 (-3.17637568413505, 2.30155950638666)","-0.434758596690238 (-1.57292427747677, 0.614694824282881)","-0.333614514025293 (-1.91791812376274, 1.29614554235943)","0.495811425205013 (-1.82333217207125, 2.86359576767947)","-0.313121727647102 (-2.72474313661577, 2.24367485536458)","-0.253377128754417 (-2.25586934200359, 1.83055667746154)","-1.14258249230155 (-3.08612507793408, 0.547398606787263)","-0.495773245058002 (-2.17213165203328, 0.87619622342498)","-21.76531862183 (-68.1035151414334, -0.938000975150462)","-20.0354426325853 (-61.1783580882285, -0.908234422993814)","-0.0349321206338127 (-1.4347200310436, 1.27523570408299)","-0.299533397452108 (-3.22024344262391, 2.50420676467405)","10.462448684224 (1.55255910173227, 33.4280901136556)","0.846227034231489 (-2.2981607826236, 4.64759015193071)","-1.55656659889994 (-3.49023174724886, -0.00578669421855495)","-0.403276324190883 (-4.46109835811466, 3.50620181250913)","0.656862782702645 (-1.47340738012302, 2.79052565919419)"
"DHFRi","1.40197624278009 (-1.42232688536035, 4.3968418541215)","0.396983262106708 (-2.30155950638666, 3.17637568413505)","DHFRi","-0.0470458828109594 (-2.5585169095495, 2.47517618251709)","0.0650117417020289 (-2.66584262132298, 2.90131625753234)","0.895564794690506 (-2.40812717156599, 4.27776394893348)","0.0701077798657834 (-3.20059605903169, 3.53115723948827)","0.130462242916841 (-2.83546955100999, 3.25588322932611)","-0.759143343895347 (-3.71419771048841, 2.07276088703258)","-0.108112784074581 (-2.9526196933071, 2.51242503741167)","-21.3738599498835 (-67.9004382941114, -0.306354131215172)","-19.5704249214252 (-60.7022743186238, -0.329354087268958)","0.356790789050258 (-2.35146939525754, 3.04110513052724)","0.0910046193188923 (-3.61157481666478, 3.72117467891151)","10.8842762239073 (1.56551271742077, 33.8889755190146)","1.26935500098859 (-2.62451652431211, 5.62883369321259)","-1.17028656572516 (-4.14430962045898, 1.57505997362614)","0.00198839464880807 (-4.59370925269089, 4.55567649927675)","1.06255236299353 (-2.03039898574121, 4.18371978683871)"
"I","1.43202762094018 (0.127709254351393, 3.08154681890327)","0.434758596690238 (-0.614694824282881, 1.57292427747677)","0.0470458828109594 (-2.47517618251709, 2.5585169095495)","I","0.0954622788382895 (-1.04834150345081, 1.40823913238896)","0.914340361778406 (-1.2389572624387, 3.22473405606581)","0.110332652331848 (-1.98733523435785, 2.51086973755243)","0.16481447177288 (-1.44540935030204, 2.03771981168416)","-0.697689974547809 (-2.24640792836488, 0.626421947439983)","-0.0544229197038582 (-1.26644047947573, 0.868283744026623)","-21.2953972355283 (-67.7747323701729, -0.561321631607442)","-19.607650907359 (-60.7380734813646, -0.469769876060805)","0.396572680649165 (-0.573983001034982, 1.37638564441088)","0.129013090557674 (-2.59137075707438, 2.81817924761867)","10.8812621379573 (2.09719533829294, 33.8373876387318)","1.27665274193422 (-1.68754111703592, 4.99813621143044)","-1.11319349739252 (-2.66874923941975, 0.0896773954108513)","0.0393958689798306 (-3.8360643721847, 3.85499077621244)","1.08061625590141 (-0.667012228422337, 2.99545304945954)"
"I_antiangio","1.35079831029924 (-0.500990363513411, 3.27204421237811)","0.333614514025293 (-1.29614554235943, 1.91791812376274)","-0.0650117417020289 (-2.90131625753234, 2.66584262132298)","-0.0954622788382895 (-1.40823913238896, 1.04834150345081)","I_antiangio","0.818644852265419 (-1.69550969024196, 3.37511074191679)","0.0186300514188926 (-2.48734158990919, 2.65539145820387)","0.0783494829508187 (-1.97407969325216, 2.19221533001044)","-0.802104918447598 (-2.88932281007095, 0.928276752573465)","-0.149053074410674 (-2.06261017129239, 1.29929606960106)","-21.4248571208307 (-67.9060568817291, -0.587058076694794)","-19.7051785851855 (-60.8911131170826, -0.473922356295098)","0.306996335013986 (-1.35340111882763, 1.80275142972273)","0.0239414090122371 (-3.02060811469254, 2.93058928503432)","10.776996746553 (1.85688229147938, 33.7764071202041)","1.17896204848553 (-2.10366010841369, 5.01267293516907)","-1.22205815710336 (-3.32077985873396, 0.47498968125097)","-0.0558515712503819 (-4.14971316733803, 3.91413713691451)","0.990642850846073 (-1.24018253082637, 3.16165060839146)"
"I_chemo","0.539220582512228 (-2.14546076009326, 3.18643065190869)","-0.495811425205013 (-2.86359576767947, 1.82333217207125)","-0.895564794690506 (-4.27776394893348, 2.40812717156599)","-0.914340361778406 (-3.22473405606581, 1.2389572624387)","-0.818644852265419 (-3.37511074191679, 1.69550969024196)","I_chemo","-0.801656731682614 (-3.95836304237615, 2.40474467345649)","-0.744184449461294 (-3.57422726358113, 2.05059048227455)","-1.63434393185347 (-4.46940275087421, 0.864759534608855)","-0.99565405115411 (-3.65109724750351, 1.33571563965972)","-22.2816892699704 (-68.6814905256525, -1.36525352003668)","-20.4752912988605 (-61.59321575989, -1.22696034252967)","-0.522250615345264 (-3.0229314313857, 1.83345714952772)","-0.795691576443473 (-4.33635914308976, 2.62071795885174)","9.96711507634782 (0.772289660409389, 33.1131915522086)","0.386119528215628 (-3.43069616410022, 4.56130577373653)","-2.06988148807509 (-4.86638938816392, 0.389818014981984)","-0.87842345550827 (-5.34120140537976, 3.44710942233491)","0.175499911623795 (-2.73782592632827, 3.02907099071243)"
"I_HER3i","1.3280271859284 (-1.3783120134595, 3.97461451830566)","0.313121727647102 (-2.24367485536458, 2.72474313661577)","-0.0701077798657834 (-3.53115723948827, 3.20059605903169)","-0.110332652331848 (-2.51086973755243, 1.98733523435785)","-0.0186300514188926 (-2.65539145820387, 2.48734158990919)","0.801656731682614 (-2.40474467345649, 3.95836304237615)","I_HER3i","0.0632796856536726 (-2.80410682646826, 2.88375132814707)","-0.831753051115524 (-3.6498609694821, 1.61105394364734)","-0.180371836983207 (-2.8959517294347, 2.08236979173492)","-21.451703187723 (-67.8610599456813, -0.522494141972658)","-19.7381532528199 (-60.8572731488752, -0.515891971876764)","0.278079937668008 (-2.29377855871469, 2.58618451733927)","5.10364209885539e-05 (-3.62988420432502, 3.45824128269687)","10.7397839707503 (1.55675277265426, 33.8262422413881)","1.17618090544582 (-2.59177333522217, 5.44897574978603)","-1.2581131755247 (-4.09038702202345, 1.16432496776849)","-0.0917434366316689 (-4.63748470567004, 4.2627936514739)","0.970391567002763 (-1.97348345941241, 3.78830135883686)"
"I_IGF_1Ri","1.27342201493037 (-0.985509329384061, 3.52162701826511)","0.253377128754417 (-1.83055667746154, 2.25586934200359)","-0.130462242916841 (-3.25588322932611, 2.83546955100999)","-0.16481447177288 (-2.03771981168416, 1.44540935030204)","-0.0783494829508187 (-2.19221533001044, 1.97407969325216)","0.744184449461294 (-2.05059048227455, 3.57422726358113)","-0.0632796856536726 (-2.88375132814707, 2.80410682646826)","I_IGF_1Ri","-0.878412304477887 (-3.33688781766875, 1.20514097362835)","-0.234146579397932 (-2.55283383383968, 1.60431032597737)","-21.4752206564937 (-68.1117970099732, -0.627036269560161)","-19.8216146292501 (-60.9678311299511, -0.596441842976583)","0.233982678289703 (-1.88864392731886, 2.11119291657845)","-0.0525969972080318 (-3.34900886369056, 3.042811162542)","10.7038173226072 (1.61682667310474, 33.6970063603727)","1.09384399167213 (-2.42643550456827, 5.14691804200554)","-1.29894747780081 (-3.80152639728406, 0.736267414571407)","-0.133622310970706 (-4.42037423888128, 3.96091287792264)","0.92249607627003 (-1.67080260254531, 3.3588423790675)"
"I_METi","2.14393614884815 (0.288397000067248, 4.45058485210965)","1.14258249230155 (-0.547398606787263, 3.08612507793408)","0.759143343895347 (-2.07276088703258, 3.71419771048841)","0.697689974547809 (-0.626421947439983, 2.24640792836488)","0.802104918447598 (-0.928276752573465, 2.88932281007095)","1.63434393185347 (-0.864759534608855, 4.46940275087421)","0.831753051115524 (-1.61105394364734, 3.6498609694821)","0.878412304477887 (-1.20514097362835, 3.33688781766875)","I_METi","0.643236255726917 (-1.14361766770509, 2.37793526586767)","-20.6148831882479 (-66.9795571615706, 0.258896643677955)","-18.8394091131958 (-60.0145593172152, 0.321767737790329)","1.1009169917956 (-0.529714043550799, 2.94573925546088)","0.850779828589799 (-2.1489444059599, 3.9149256555649)","11.6094956734227 (2.66899025063524, 34.6323878685727)","2.00376932043433 (-1.24008751432331, 6.08298154546744)","-0.417074450683951 (-2.44240696609048, 1.50491123088591)","0.76330411824775 (-3.34021603042205, 4.88851995151089)","1.79511993875285 (-0.385611925126033, 4.2442133720321)"
