"","Afatinib","Afatinib_Cetuximab","Afatinib_HMGCRi","Almonertinib","antiangio","chemo","Dacomitinib","DHFRi","Erlotinib","Erlotinib_antiangio","Erlotinib_chemo","Erlotinib_HER3i","Erlotinib_IGF_1Ri","Erlotinib_METi","Furmonertinib","Gefitinib","Gefitinib_Erlotinib","Lazertinib","Lazertinib_Amivantamab","Osimertinib","Osimertinib_antiangio","Osimertinib_chemo","Placebo","Rociletinib","Zorifertinib"
"Afatinib","Afatinib","-18.6771947529827 (-67.6518304297152, -0.0975397320838747)","-20.6386617930057 (-75.3724630811081, -0.336980603540037)","1.85056114660222 (-2.17570145031166, 6.83573608677856)","1.16398206151885 (-0.924670438778419, 4.39420129474721)","0.468794517711881 (-1.3355748243092, 3.0177716474041)","-1.10925127728581 (-3.4843361993336, 1.45593173255855)","-0.276893610404829 (-3.37598777795779, 3.30410444226651)","-0.341448143238616 (-1.80934642036457, 1.67515147619995)","-0.166421606119736 (-2.09105618908631, 2.71140874959801)","0.765693426695624 (-1.93417952368658, 4.12841020734061)","-0.223448595360653 (-3.00546953572783, 3.26385359442576)","-0.0910524726557729 (-2.41174169107665, 3.19036060432512)","-1.09276248676305 (-3.383367878036, 1.38085527749628)","1.20700170865343 (-1.90890909962985, 5.1302841940087)","0.837677445155902 (-1.5850949270591, 3.9898036103363)","-0.804361086371998 (-4.33894870767861, 3.06979651749312)","0.627313931848712 (-2.87906929252748, 4.31334032901734)","0.346859691915484 (-3.33099277534152, 4.30804186023641)","0.00364582640601899 (-2.40791326910524, 2.86961231435438)","12.8031541241693 (1.60131729795803, 36.4059048720616)","0.932550338939613 (-3.04235598729991, 5.60809884489358)","-1.52521296897955 (-3.54996777818979, 0.346238038566256)","-0.284660497146883 (-4.55063564599695, 4.20390616460899)","0.280826374309123 (-3.85070824863788, 4.84470178816991)"
"Afatinib_Cetuximab","18.6771947529827 (0.0975397320838747, 67.6518304297152)","Afatinib_Cetuximab","-1.4480673933125 (-58.2454703591247, 53.2682494516278)","20.8510308004618 (1.15799199633572, 70.1127564860843)","20.0073817712127 (1.0965717414033, 69.0559663971398)","19.3045840827149 (0.465862808655095, 68.5326573356633)","17.6188620604137 (-1.24128465859366, 66.6159424850596)","18.4744684588987 (-0.500814439635638, 67.4071408854445)","18.406986474999 (-0.289821281939533, 67.3123352364311)","18.6336016268524 (-0.183494372312258, 67.6140002403376)","19.5569916695161 (0.545329263053853, 68.5002100957013)","18.5573128895968 (-0.403662167451525, 67.4975411342444)","18.7196350923655 (-0.1813050095957, 67.7434122754444)","17.5949751399462 (-1.18491409119731, 66.5868954204002)","20.0817277127216 (0.94201129281584, 69.2340657631284)","19.7232072055026 (0.70852910068435, 68.7939088020832)","18.0504133391472 (-1.26440111463273, 67.3672948551883)","19.409475306891 (0.206016845964828, 68.9201062300597)","19.1832209882479 (-0.197430258447428, 68.650381481189)","18.8235356933965 (-0.176935350966679, 68.2232278359103)","33.9990453267828 (7.17203478289573, 86.7596135259806)","19.8075576904294 (0.305677101136363, 69.0675771328986)","17.1936830688521 (-1.61289316194544, 66.0827129330038)","18.5471598513408 (-0.990744996088388, 67.7002633208337)","19.148077667736 (-0.293222708963297, 68.4214041642541)"
"Afatinib_HMGCRi","20.6386617930057 (0.336980603540037, 75.3724630811081)","1.4480673933125 (-53.2682494516278, 58.2454703591247)","Afatinib_HMGCRi","22.7445374874394 (1.32924508752843, 77.4184873865409)","22.0763396111403 (1.22568497571397, 76.7545839676201)","21.2766699735839 (0.586616182898674, 76.1745039493011)","19.577279066671 (-1.09419869884871, 74.343449874417)","20.4908854841675 (-0.418743916974849, 75.5105135121999)","20.4326987100955 (-0.102768616297746, 75.1298865223514)","20.6711233105058 (-0.0475269841702998, 75.3748627288267)","21.5998124666476 (0.710573622571405, 76.5615061699078)","20.5816890721358 (-0.214047747126957, 75.8002407126644)","20.8241949878952 (-0.0654215622039064, 75.3879782205968)","19.6222703056897 (-1.00794707922817, 74.3368328119859)","22.0097375365841 (1.05414612678725, 76.9457647324362)","21.6072179159285 (0.861197678669309, 76.6012336915821)","19.9488470694838 (-1.19724692819356, 74.6365998700176)","21.40253645595 (0.321746782270143, 76.1049518087665)","21.1310614650873 (-0.102149809188394, 75.8279835913466)","20.7616102248402 (-0.0571725520784959, 75.2838130511046)","36.3228976462259 (7.35088223065852, 90.0258470153485)","21.6764476792995 (0.453424598034452, 76.4417510819979)","19.1336700311593 (-1.46792688415417, 73.9728910966604)","20.4799536362053 (-0.717485731582511, 75.3722713267064)","21.0680998877358 (-0.276851818555159, 75.769282601195)"
"Almonertinib","-1.85056114660222 (-6.83573608677856, 2.17570145031166)","-20.8510308004618 (-70.1127564860843, -1.15799199633572)","-22.7445374874394 (-77.4184873865409, -1.32924508752843)","Almonertinib","-0.622313326736226 (-5.51797920686283, 3.91131680075669)","-1.33515685487965 (-5.68341974110796, 2.53362938751766)","-2.95673425634736 (-8.11958044959494, 1.3987614010697)","-2.12560106370542 (-7.52488083374918, 2.75216924960116)","-2.16876407091267 (-6.80362894491907, 1.86175526638933)","-1.96437989677319 (-6.70084043356494, 2.41855617590768)","-1.0570222772656 (-6.10785670867647, 3.5725684005723)","-2.03781423713812 (-7.2752922215606, 2.79214994166462)","-1.88472359789839 (-6.84734778333342, 2.74128553179086)","-2.95243312911538 (-7.99954085650447, 1.35136695108043)","-0.589326782101847 (-4.99446953257005, 3.29737056702396)","-0.946747545626746 (-4.85070166115587, 2.25878536100482)","-2.64370697744026 (-8.20625358530697, 2.23621318273655)","-1.23403292616615 (-6.51926181791043, 3.34439964199659)","-1.49889801796081 (-7.04448437204716, 3.36916158528016)","-1.83378049253554 (-6.66654575873693, 2.35541307687217)","10.9365044202003 (-1.23625527159745, 34.8157520700107)","-0.925716731907073 (-6.71520904194879, 4.60593079500502)","-3.40535562847981 (-8.32522047307202, 0.700429702144863)","-2.18145756956019 (-8.25572186788139, 3.44803988330675)","-1.54897873604779 (-7.55119628572578, 3.81612833257507)"
"antiangio","-1.16398206151885 (-4.39420129474721, 0.924670438778419)","-20.0073817712127 (-69.0559663971398, -1.0965717414033)","-22.0763396111403 (-76.7545839676201, -1.22568497571397)","0.622313326736226 (-3.91131680075669, 5.51797920686283)","antiangio","-0.738465818551654 (-3.19093781602901, 1.61341970711276)","-2.2846782088528 (-5.549784646219, 0.0659170730145555)","-1.48479264641737 (-5.12567750878496, 1.7616225077806)","-1.49486609649576 (-3.74313934458384, 0.107059956999447)","-1.34325480434784 (-3.75498473328702, 1.01635178452766)","-0.456139234428699 (-3.57612623992409, 2.63764114966173)","-1.40855217846116 (-4.79931178887448, 1.73827305144426)","-1.27011622324531 (-4.03877120798761, 1.53312125285644)","-2.27516014976757 (-5.3105285909058, -0.0967891833966852)","-0.00798694258375332 (-3.79061285841317, 3.80169241355516)","-0.38085218418525 (-3.4898367915535, 2.69077989746783)","-2.01319216531367 (-6.21357594933556, 1.72944314418)","-0.582736139073698 (-4.80025582307875, 3.1108183870131)","-0.851333154292322 (-5.2144885738696, 3.04014452723292)","-1.20839265406966 (-4.4189625436506, 1.62641501586757)","11.5060800072285 (0.197239568910303, 35.2688045406532)","-0.303858077646454 (-4.90353149780286, 4.28035128052995)","-2.71842731725598 (-5.87350669711849, -0.628901986062766)","-1.53152329462453 (-6.16163820582083, 2.78272705536321)","-0.915539619441887 (-5.72629692426522, 3.42899992396436)"
"chemo","-0.468794517711881 (-3.0177716474041, 1.3355748243092)","-19.3045840827149 (-68.5326573356633, -0.465862808655095)","-21.2766699735839 (-76.1745039493011, -0.586616182898674)","1.33515685487965 (-2.53362938751766, 5.68341974110796)","0.738465818551654 (-1.61341970711276, 3.19093781602901)","chemo","-1.57254238774771 (-4.43777846254134, 0.621022313769556)","-0.754562553438178 (-4.14042249250569, 2.39078059656668)","-0.798366647210341 (-2.51733042585669, 0.620528923297883)","-0.610997734560496 (-2.73262875488684, 1.48791302490983)","0.271880115941159 (-2.36128562633924, 2.95767639544233)","-0.686777472727223 (-3.79678811766727, 2.33545783149129)","-0.550593972329595 (-3.06768018859713, 2.08629134862232)","-1.5630186512742 (-4.21975346882298, 0.509330236504906)","0.732841734831958 (-2.28226099663932, 3.77435340177768)","0.345389785146707 (-1.72173486689293, 2.5283563679427)","-1.27792917039611 (-4.86767674730656, 1.89722962364119)","0.132963048544499 (-3.36203687481307, 3.2923703927809)","-0.135825382257948 (-3.84803653990702, 3.24320255562142)","-0.48624436361588 (-2.75774163626132, 1.6391746598499)","12.2378003437019 (1.2017600086991, 35.9192021162451)","0.409833473091756 (-3.5774384351369, 4.64662673029911)","-2.03028252929724 (-4.52108391151368, -0.191502431255877)","-0.806347737377723 (-5.21064246916579, 3.39336388862865)","-0.176218186650068 (-4.47303053065502, 3.69820652248284)"
"Dacomitinib","1.10925127728581 (-1.45593173255855, 3.4843361993336)","-17.6188620604137 (-66.6159424850596, 1.24128465859366)","-19.577279066671 (-74.343449874417, 1.09419869884871)","2.95673425634736 (-1.3987614010697, 8.11958044959494)","2.2846782088528 (-0.0659170730145555, 5.549784646219)","1.57254238774771 (-0.621022313769556, 4.43777846254134)","Dacomitinib","0.833480897567946 (-2.4690541325088, 4.45198302933847)","0.76624627497231 (-1.00705102046716, 2.94207376258594)","0.956275446604153 (-1.21897218147389, 3.88564418597731)","1.8794298224875 (-1.02409980225007, 5.35137245760657)","0.902143365365095 (-2.11690383861343, 4.44115707525233)","1.02689325013774 (-1.48608951896784, 4.36463551748313)","0.00663895441633267 (-2.51741179000058, 2.62272273584183)","2.30885469616331 (-1.18339570626784, 6.46692030687149)","1.94151849468193 (-0.933411479060206, 5.41315353205849)","0.306754816461102 (-3.5157628587131, 4.35000626379704)","1.74398920278221 (-2.06881400969085, 5.64902872559394)","1.47014088086007 (-2.50032953091112, 5.60652919386022)","1.10621356247346 (-1.6433229634841, 4.23319286934812)","13.9050563993403 (2.57289751192726, 37.6112819693922)","2.03232622529963 (-2.20591066344745, 6.85569049865698)","-0.427105466420999 (-2.79597645497141, 1.7451626422232)","0.80703378722879 (-3.56801964955237, 5.3600295868021)","1.39568152462502 (-2.99667427216595, 6.02434403203198)"
"DHFRi","0.276893610404829 (-3.30410444226651, 3.37598777795779)","-18.4744684588987 (-67.4071408854445, 0.500814439635638)","-20.4908854841675 (-75.5105135121999, 0.418743916974849)","2.12560106370542 (-2.75216924960116, 7.52488083374918)","1.48479264641737 (-1.7616225077806, 5.12567750878496)","0.754562553438178 (-2.39078059656668, 4.14042249250569)","-0.833480897567946 (-4.45198302933847, 2.4690541325088)","DHFRi","-0.0494004727819204 (-2.92869799419635, 2.80832709197236)","0.140799655796404 (-2.94410817818431, 3.51096944606535)","1.03904834353171 (-2.6577158790424, 4.95460220332866)","0.073953574242108 (-3.73069120661894, 4.00459768492459)","0.209498343200767 (-3.1498162140884, 3.94008194288506)","-0.828465754100947 (-4.28681120631779, 2.37011078085379)","1.48802296508824 (-2.68744955600536, 5.98074445808607)","1.11306074760797 (-2.58133689167293, 5.00377772864633)","-0.532950815377857 (-5.12408412066208, 3.89306427261339)","0.891362561521079 (-3.67142739266233, 5.27009317131593)","0.625389970337479 (-4.00068773555305, 5.1622111645906)","0.281231943404276 (-3.42232941053902, 3.96393932660824)","13.0290698946965 (1.33262351456138, 36.8750285698299)","1.20336608890426 (-3.74042446083237, 6.37160978719641)","-1.27428496045435 (-4.78325396021974, 1.86158446088685)","-0.0409681106181526 (-4.95464118623723, 4.87252827025468)","0.560016128139445 (-4.54308027198546, 5.53165344504715)"
"Erlotinib","0.341448143238616 (-1.67515147619995, 1.80934642036457)","-18.406986474999 (-67.3123352364311, 0.289821281939533)","-20.4326987100955 (-75.1298865223514, 0.102768616297746)","2.16876407091267 (-1.86175526638933, 6.80362894491907)","1.49486609649576 (-0.107059956999447, 3.74313934458384)","0.798366647210341 (-0.620528923297883, 2.51733042585669)","-0.76624627497231 (-2.94207376258594, 1.00705102046716)","0.0494004727819204 (-2.80832709197236, 2.92869799419635)","Erlotinib","0.175679385500292 (-1.14066410582065, 1.92944029066739)","1.07148312745278 (-1.23283550975903, 3.74366337569138)","0.113190325003129 (-2.37925127350933, 2.88665007699719)","0.245724973422349 (-1.60155200520229, 2.58795070306394)","-0.757045696031915 (-2.67012821144483, 0.770442578374316)","1.53123591060101 (-1.59098197189722, 5.00494134451585)","1.14994093239597 (-1.16207073277325, 3.80533488015853)","-0.477969533913138 (-3.9717378366154, 2.96875048779064)","0.945912294187952 (-2.5589201796947, 4.30954805069546)","0.66488998333119 (-2.98595379691154, 4.29084452992045)","0.310072577446459 (-1.96819999541732, 2.72994235670153)","13.0757477058396 (1.95214419009363, 36.7088337290373)","1.23575204862181 (-2.72665445284656, 5.60982191441138)","-1.19902912098486 (-3.16413449079605, 0.228443564769328)","0.0135758284785483 (-4.02393942701699, 4.03617990397682)","0.614500791050084 (-3.5649820136076, 4.74207280810027)"
