"","antiangio","chemo","I","I_antiangio","I_chemo","I_HER3i","I_IGF_1Ri","I_METi","I_MMPi","I_PARPi","II","III","III_Amivantamab","III_antiangio","III_chemo","Placebo"
"antiangio","antiangio","-24.3604388180085 (-73.0226649496491, -1.98271276576047)","-24.2979729141245 (-72.9891951474957, -2.27879218792903)","-23.8327842615762 (-72.4793966431443, -1.74512629609351)","-23.8669211121904 (-72.7052791188087, -1.47657148404651)","-8.37339519951329 (-60.3073381822113, 33.230134417641)","-23.3453522017455 (-72.2128627170445, -0.563286236439217)","-24.3058158701093 (-72.9884503928911, -2.05296561753888)","-8.83290911374985 (-62.5140451235727, 34.5782526637888)","-8.50461124893331 (-61.2636034420467, 34.6498557022383)","-25.1556939121368 (-73.8763797613822, -2.95769172556914)","-23.8103591347603 (-72.5068656704056, -1.62938989803376)","-24.6136221359894 (-73.3788229689034, -1.87382114832096)","-8.47572225641814 (-61.1159858146887, 32.9783084618329)","-5.59038396518913 (-56.5996859219265, 35.9067992562687)","-26.1714550675449 (-75.0068853509594, -3.91423831655619)"
"chemo","24.3604388180085 (1.98271276576047, 73.0226649496491)","chemo","0.0271019149502049 (-2.88638162151881, 3.13284836763818)","0.464554745104138 (-3.03055323466003, 4.19702731362898)","0.39751465890935 (-3.8967685964565, 5.15651686422667)","14.9409979729537 (-0.369383669279206, 48.8407083979611)","0.974116599161818 (-3.99090510394195, 6.4324157866342)","0.0167421824876052 (-3.86137338633433, 4.0311546871572)","14.6198316007632 (-1.02159596260909, 51.0122525914426)","14.7363417255816 (-0.92047574870015, 51.376155147748)","-0.769725020785283 (-4.26775078395287, 2.48865332575129)","0.496756177335704 (-2.63563863856408, 3.88443913312036)","-0.24331381116167 (-5.06938854726812, 4.66881013433446)","14.766894771642 (0.529283227218601, 48.9312830213051)","17.8424532315866 (1.63581563647025, 54.0693853013195)","-1.76715516333621 (-5.60663297963184, 1.60305184193998)"
"I","24.2979729141245 (2.27879218792903, 72.9891951474957)","-0.0271019149502049 (-3.13284836763818, 2.88638162151881)","I","0.421764250241839 (-1.44562484396397, 2.44831595430504)","0.357544921951584 (-2.86234915021206, 3.93595536927694)","14.8379580549895 (-0.0169412253683528, 48.6809936304021)","0.927873385359475 (-3.11237267912214, 5.45607757119807)","-0.00892687756782341 (-2.58895479490524, 2.55703749113111)","14.5309895169284 (-0.622097494326273, 50.8551806704982)","14.6617252206435 (-0.540129153841009, 51.2299419605651)","-0.795382934646409 (-3.27667477758249, 1.2505523990295)","0.493694833425307 (-1.70378706652046, 2.63880737799974)","-0.266406486118334 (-4.61352398410898, 3.92158871866984)","14.624898923719 (0.790151383164085, 48.7167169696627)","17.7555036441376 (1.90944391807233, 54.0070704057865)","-1.77660394438584 (-4.60828250131693, 0.193776291399572)"
"I_antiangio","23.8327842615762 (1.74512629609351, 72.4793966431443)","-0.464554745104138 (-4.19702731362898, 3.03055323466003)","-0.421764250241839 (-2.44831595430504, 1.44562484396397)","I_antiangio","-0.0709799136999033 (-3.85484325737857, 3.96359266744585)","14.4259229281916 (-0.667816104559798, 48.2347864558779)","0.512068498723043 (-4.0387099966811, 5.36476540229786)","-0.426971269946766 (-3.76197158112017, 2.68865168780195)","14.082735446309 (-1.21177219262695, 50.3480052731827)","14.2409143698268 (-1.1542863179805, 50.6990174741985)","-1.22584474590596 (-4.52358928990053, 1.51335671126486)","0.0661832524198294 (-2.95841772445204, 2.89343498110484)","-0.693415937887248 (-5.51845006391428, 3.83620723395666)","14.2182054840392 (0.119907191046636, 48.4379558281067)","17.3118597457779 (1.24691133639854, 53.4947303889981)","-2.20435448446644 (-5.79217049742932, 0.461185231468019)"
"I_chemo","23.8669211121904 (1.47657148404651, 72.7052791188087)","-0.39751465890935 (-5.15651686422667, 3.8967685964565)","-0.357544921951584 (-3.93595536927694, 2.86234915021206)","0.0709799136999033 (-3.96359266744585, 3.85484325737857)","I_chemo","14.495201191067 (-1.03168097899792, 48.5132443510717)","0.592765991207832 (-4.86382323936585, 6.05942057639131)","-0.355303205202878 (-4.83272742706466, 3.70816326084195)","14.202685267629 (-1.6703603274887, 50.5668280363453)","14.2882980321002 (-1.52508894604363, 50.9927346101687)","-1.16966551833044 (-5.65134294559757, 2.61773525794539)","0.133657417613653 (-4.10791589513169, 3.98490034469352)","-0.629783697812465 (-6.28415437642907, 4.57425919566824)","14.3181887023958 (-0.224543556553956, 48.4422838775767)","17.3496805361001 (0.823736037253584, 53.6274334088822)","-2.15429637497895 (-6.89574862952688, 1.58846271367586)"
"I_HER3i","8.37339519951329 (-33.230134417641, 60.3073381822113)","-14.9409979729537 (-48.8407083979611, 0.369383669279206)","-14.8379580549895 (-48.6809936304021, 0.0169412253683528)","-14.4259229281916 (-48.2347864558779, 0.667816104559798)","-14.495201191067 (-48.5132443510717, 1.03168097899792)","I_HER3i","-13.9759334627249 (-47.9882805101164, 1.88898749022643)","-14.8785907874793 (-48.9210135905345, 0.316005523606807)","-0.295875330298812 (-38.7074226525889, 38.8571062768427)","-0.308119360650801 (-38.5572407452107, 39.2584219043291)","-15.7201732433424 (-49.6225347652939, -0.60548347385008)","-14.3889806748165 (-48.3310163896556, 0.727484461867853)","-15.2340489110892 (-49.3179664144283, 0.511631901938112)","-0.05420223933654 (-37.9118191837526, 37.6870460861827)","2.67390354228382 (-36.410187179439, 41.7678458599338)","-16.7691687733542 (-50.6826759513155, -1.64949439983558)"
"I_IGF_1Ri","23.3453522017455 (0.563286236439217, 72.2128627170445)","-0.974116599161818 (-6.4324157866342, 3.99090510394195)","-0.927873385359475 (-5.45607757119807, 3.11237267912214)","-0.512068498723043 (-5.36476540229786, 4.0387099966811)","-0.592765991207832 (-6.05942057639131, 4.86382323936585)","13.9759334627249 (-1.88898749022643, 47.9882805101164)","I_IGF_1Ri","-0.948612647077935 (-6.12138618266635, 3.83630498972116)","13.6697100230211 (-2.5276518494356, 50.1190894788857)","13.7479707310039 (-2.34131279079306, 50.4256448756458)","-1.76153594207967 (-6.94756453913657, 2.68543426153557)","-0.450050924093434 (-5.47313779527462, 4.10813500642094)","-1.22735353473801 (-7.43126364214415, 4.6155840417641)","13.7137791916451 (-1.17748640337861, 47.9077634037236)","16.820708330872 (0.0767692618287599, 53.2897313773652)","-2.74108292903028 (-8.13555040400093, 1.62755635308973)"
"I_METi","24.3058158701093 (2.05296561753888, 72.9884503928911)","-0.0167421824876052 (-4.0311546871572, 3.86137338633433)","0.00892687756782341 (-2.55703749113111, 2.58895479490524)","0.426971269946766 (-2.68865168780195, 3.76197158112017)","0.355303205202878 (-3.70816326084195, 4.83272742706466)","14.8785907874793 (-0.316005523606807, 48.9210135905345)","0.948612647077935 (-3.83630498972116, 6.12138618266635)","I_METi","14.5674178297378 (-0.898894986590018, 51.0263681130612)","14.7138906435523 (-0.84073549534347, 51.246413810496)","-0.793334330679639 (-4.43043344870668, 2.43717186059964)","0.504226971335812 (-2.86794588818604, 3.83302046644174)","-0.265620212911436 (-5.3395607315358, 4.65447889983264)","14.6975356203639 (0.465399315111874, 48.8448115977873)","17.7403722851485 (1.56373831141615, 54.0662320404993)","-1.76558479330026 (-5.69277539058513, 1.30731910642496)"
"I_MMPi","8.83290911374985 (-34.5782526637888, 62.5140451235727)","-14.6198316007632 (-51.0122525914426, 1.02159596260909)","-14.5309895169284 (-50.8551806704982, 0.622097494326273)","-14.082735446309 (-50.3480052731827, 1.21177219262695)","-14.202685267629 (-50.5668280363453, 1.6703603274887)","0.295875330298812 (-38.8571062768427, 38.7074226525889)","-13.6697100230211 (-50.1190894788857, 2.5276518494356)","-14.5674178297378 (-51.0263681130612, 0.898894986590018)","I_MMPi","0.0494201707248205 (-38.1262736178532, 39.1214076644811)","-15.4342312534288 (-51.8703109554066, 0.02681348861372)","-14.0986426373365 (-50.5163760950069, 1.36361886320304)","-14.9106653742181 (-51.3813950812972, 1.18270442791053)","0.367199729734571 (-38.1879917570782, 36.9484780341212)","3.02456579606784 (-37.4723903068006, 43.1653437920692)","-16.4931921310445 (-52.9748468427393, -0.963581562277889)"
