"","Afatinib","Almonertinib","antiangio","chemo","Dacomitinib","Erlotinib","Erlotinib_antiangio","Erlotinib_chemo","Erlotinib_HER3i","Erlotinib_IGF_1Ri","Erlotinib_METi","Erlotinib_MMPi","Gefitinib","Gefitinib_chemo","Gefitinib_Erlotinib","Gefitinib_PARPi","Icotinib","Lazertinib","Lazertinib_Amivantamab","Osimertinib","Osimertinib_antiangio","Osimertinib_chemo","Placebo"
"Afatinib","Afatinib","-11.5795357913126 (-48.296442466578, 4.83768489324143)","24.1040177910062 (2.87086924993816, 74.7465439421788)","1.23416850553635 (-2.38336693724908, 5.62619950276731)","1.06281777856614 (-4.42812327515884, 6.88873907385546)","1.03401200119452 (-1.67665567579646, 4.21011764369589)","1.49027733436798 (-1.84954184731428, 5.37912776794783)","0.11467289422248 (-5.24513800367747, 5.42446896436383)","16.0430691125118 (0.719019741642712, 49.8932045173938)","2.00706354296575 (-2.94894828782159, 7.62591614132437)","1.01816516626638 (-2.77071162002488, 5.21341065095394)","15.6073445074766 (0.0531749731770954, 50.4940334432581)","2.44084898903916 (-2.17839353890203, 8.59532603189009)","18.6249148218464 (1.06372369691653, 53.2542418481341)","-0.733659124530764 (-6.33733144410813, 5.44842294096182)","17.8558680850099 (0.934308383703969, 55.3850162410167)","20.5832045396514 (2.85503986857402, 54.4338431627936)","1.92871003204678 (-2.87230005642255, 7.85186731676765)","1.15227268270633 (-3.78002865741441, 7.20524656171151)","1.65062203995521 (-2.04138318386482, 6.25497564096407)","17.5917024999589 (1.69875528267495, 55.9523513296052)","18.6274758087221 (2.43955875159015, 61.7790622193288)","-0.800772963685997 (-4.00609998274108, 2.12048460502486)"
"Almonertinib","11.5795357913126 (-4.83768489324143, 48.296442466578)","Almonertinib","39.1810471709783 (5.87300288920399, 97.2578192435343)","12.8039248820141 (-3.20850524060033, 49.5385609687727)","12.817891375503 (-4.67341120856941, 49.6436173438486)","12.6809174145886 (-3.69999788954085, 49.2236868325803)","13.1242223280362 (-3.31053137553109, 49.8888110006268)","11.8087018109499 (-5.53392182480234, 48.621784638947)","30.7404874267893 (3.45696674394914, 75.4125968867142)","13.7271472957922 (-3.44800797162913, 50.5352472949911)","12.6639645841034 (-4.00025373525853, 49.4270180378207)","30.3567233404049 (2.60895549457988, 76.7616167138441)","14.1111348988282 (-0.754775082100395, 50.5661574787989)","32.9816001905346 (5.04118595727297, 81.1733688062201)","10.927305026198 (-5.78013288566788, 47.6569760557096)","32.6964516880006 (4.87232457590955, 79.583944322664)","34.7518741153061 (7.15526596232104, 81.3761630949566)","13.5951787670374 (-2.39914375623843, 50.288371130318)","12.8586245730153 (-3.53042478429886, 49.6077129867653)","13.2792963333652 (-2.66544273957231, 49.9386220064316)","32.183482685692 (4.68549250164767, 82.7192853725227)","33.7206179436041 (5.15024584864409, 86.098832184767)","10.7236840179342 (-5.51019613109424, 47.3633761439851)"
"antiangio","-24.1040177910062 (-74.7465439421788, -2.87086924993816)","-39.1810471709783 (-97.2578192435343, -5.87300288920399)","antiangio","-22.8000483281804 (-73.4698766556569, -1.24988294999637)","-23.0025182516559 (-73.6564005050462, -1.20515524245227)","-22.9932343871788 (-73.564703284151, -2.05399179787052)","-22.5124368760453 (-73.1113604914636, -1.44622663698652)","-23.9590271721167 (-74.661875303297, -2.3773497353886)","-7.37002312722205 (-61.5266268949249, 33.4877313420578)","-21.9933480401705 (-72.4896285793767, -0.262068309697428)","-22.9995814838732 (-73.5885840140809, -1.74328994005577)","-7.67018621215281 (-60.6565264385644, 33.4053616644071)","-21.4588814925103 (-72.4177352762522, 0.606161400145969)","-5.16940131527932 (-59.1551402524708, 36.4475396727003)","-24.7988126697286 (-75.8533871742387, -2.63005303690575)","-5.44150576229573 (-59.5378695694196, 37.8391198671655)","-3.57589978469127 (-57.076319999182, 37.8668886257554)","-22.0109540571306 (-72.9247214295667, -0.0049052127130084)","-22.8423850896935 (-73.8508194004268, -0.71752688652616)","-22.3014570823361 (-73.2271704296031, -0.815594696416102)","-5.77734360514458 (-59.6118181596451, 37.496127747363)","-4.4198778695088 (-59.8637649046386, 43.008435212006)","-24.8890503981092 (-75.6064720567363, -3.59569036871801)"
"chemo","-1.23416850553635 (-5.62619950276731, 2.38336693724908)","-12.8039248820141 (-49.5385609687727, 3.20850524060033)","22.8000483281804 (1.24988294999637, 73.4698766556569)","chemo","-0.187036241651953 (-6.59257182065244, 5.97479229778536)","-0.166165598542135 (-4.29975847352643, 3.55507705798548)","0.276801677143274 (-4.27682032144009, 4.55469129025401)","-1.12910041298885 (-7.34592092290372, 4.50581918598507)","14.6850184097269 (-0.948542017750788, 48.7874440665744)","0.754709152529308 (-5.09850860514633, 6.68310898386663)","-0.193629362561918 (-5.15216367987178, 4.38641708326025)","14.3188273568799 (-1.63570960463687, 49.2348241948669)","1.15133250915553 (-3.09000479653596, 6.60208438587716)","17.2367163156825 (-0.0189613905984201, 51.8580719969382)","-1.99385039142645 (-7.61574321301186, 3.82446288564885)","16.5306654991756 (-0.185459532968188, 53.9698390632658)","19.3103031123727 (1.77445776769434, 53.0068464895574)","0.618097825237541 (-3.94163428510677, 6.07115988506629)","-0.123295156542754 (-5.00707013324183, 5.47449120548619)","0.352045955981033 (-3.16873915331822, 4.64312746299232)","16.2254116984282 (0.378657247090674, 54.7021742481666)","17.3023313362985 (1.23964195400371, 60.2948840262898)","-2.07850556265783 (-6.33364933315516, 1.51911119669318)"
"Dacomitinib","-1.06281777856614 (-6.88873907385546, 4.42812327515884)","-12.817891375503 (-49.6436173438486, 4.67341120856941)","23.0025182516559 (1.20515524245227, 73.6564005050462)","0.187036241651953 (-5.97479229778536, 6.59257182065244)","Dacomitinib","6.56064647770183e-05 (-4.8788828680029, 4.83849401462483)","0.450577556170155 (-4.81378008402607, 5.71403395441081)","-0.96637819911356 (-7.61706858915892, 5.43772007996305)","14.9727750678801 (-1.15235758349944, 49.0442204160445)","0.959577130028913 (-5.42427409084466, 7.57061316279134)","-0.029596717296004 (-5.58671017993572, 5.50718555992881)","14.5603694440349 (-1.78397305037241, 49.6762959231177)","1.40917355870313 (-5.35254329588528, 8.99935631893337)","17.6106817632897 (-0.972768455308324, 52.2868149136343)","-1.79096073561615 (-9.23950745166762, 5.88521525519072)","16.8851856097399 (-1.00151420432165, 54.4922557670198)","19.5825284899844 (0.87777817792314, 53.5626616860549)","0.851292976222416 (-5.83091019418783, 8.34820757802468)","0.118681962666342 (-6.78949946212816, 7.67918908666946)","0.635084461153802 (-5.49900891111195, 7.09265883456994)","16.5699261148128 (-0.434809234566661, 55.2137708498853)","17.5905322428505 (0.372555209521722, 60.7396748956641)","-1.88442496736394 (-7.8358574680325, 3.60532186221885)"
"Erlotinib","-1.03401200119452 (-4.21011764369589, 1.67665567579646)","-12.6809174145886 (-49.2236868325803, 3.69999788954085)","22.9932343871788 (2.05399179787052, 73.564703284151)","0.166165598542135 (-3.55507705798548, 4.29975847352643)","-6.56064647770183e-05 (-4.83849401462483, 4.8788828680029)","Erlotinib","0.435723036164149 (-1.53319636010143, 2.55381126645219)","-0.912193473761291 (-5.55751112344297, 3.26784788649984)","14.8894005204673 (-0.0259466888170872, 48.7625849341845)","0.929246467775181 (-3.23807712116765, 5.56187460080519)","-0.0194365318881406 (-2.72972232220991, 2.66692533568411)","14.5128179434061 (-0.635725771067815, 49.4009597705573)","1.36283567652035 (-3.32584315876009, 7.27208299797032)","17.5026703935978 (-0.070561244738493, 52.2393382917721)","-1.7715216356432 (-7.49190481829501, 4.14453543133231)","16.7664431411613 (-0.165900551960621, 54.2837708234346)","19.4539640312849 (1.78540638310616, 53.2237319871936)","0.847615679475331 (-3.93277413977421, 6.49016107721701)","0.109390536841868 (-4.95136447635869, 5.91855929448591)","0.589484233565282 (-3.18227582947146, 4.89589142945384)","16.4412474332551 (0.609787338247702, 54.7427011908475)","17.4456577570271 (1.34538660761513, 60.5713806309157)","-1.8269964024593 (-5.33771626559064, 0.783723335165604)"
"Erlotinib_antiangio","-1.49027733436798 (-5.37912776794783, 1.84954184731428)","-13.1242223280362 (-49.8888110006268, 3.31053137553109)","22.5124368760453 (1.44622663698652, 73.1113604914636)","-0.276801677143274 (-4.55469129025401, 4.27682032144009)","-0.450577556170155 (-5.71403395441081, 4.81378008402607)","-0.435723036164149 (-2.55381126645219, 1.53319636010143)","Erlotinib_antiangio","-1.37469405375791 (-6.4755988934781, 3.25806888467217)","14.4524756913995 (-0.679266434964117, 48.3526205251002)","0.496935375266031 (-4.19939834474761, 5.50754126075843)","-0.456808364612273 (-3.91740555748318, 2.84572055571496)","14.0691391936598 (-1.30492672484499, 48.927611052068)","0.921678053279907 (-4.22863864247304, 7.13080611273771)","17.0797090747006 (-0.65942914732964, 51.8486324368057)","-2.21185830446242 (-8.31827138174652, 3.97862966472146)","16.3164050509079 (-0.758642436797681, 53.7725854109142)","18.9667561853767 (1.18036213155002, 52.8163595993364)","0.391648817980192 (-4.78423716833045, 6.35536703446964)","-0.335120612564928 (-5.80798590012337, 5.7477681221663)","0.155587774419561 (-4.16943377444141, 4.84990816004921)","15.999644680089 (-0.0305331500294344, 54.3721523551124)","17.0345915568754 (0.742464103712939, 60.0491413550845)","-2.28967036604111 (-6.38539084404921, 0.980250793917463)"
"Erlotinib_chemo","-0.11467289422248 (-5.42446896436383, 5.24513800367747)","-11.8087018109499 (-48.621784638947, 5.53392182480234)","23.9590271721167 (2.3773497353886, 74.661875303297)","1.12910041298885 (-4.50581918598507, 7.34592092290372)","0.96637819911356 (-5.43772007996305, 7.61706858915892)","0.912193473761291 (-3.26784788649984, 5.55751112344297)","1.37469405375791 (-3.25806888467217, 6.4755988934781)","Erlotinib_chemo","15.9481642249701 (0.00766326412778763, 50.0914103663226)","1.90368468776308 (-4.0677734586304, 8.36744100755429)","0.904345785478296 (-4.08532614395284, 6.26584228859822)","15.5512539559913 (-0.556321564236512, 50.6030991692245)","2.37608481983103 (-3.98703151375092, 9.78221952474153)","18.5808183506778 (0.182325036878758, 53.4020881542321)","-0.830598439723911 (-7.86053996067946, 6.67648349231555)","17.8097358953189 (0.147558383981554, 55.5101235512675)","20.5003278710725 (2.03850606016039, 54.4593208836173)","1.81657657429299 (-4.52018079379257, 9.13269236566955)","1.05858961093844 (-5.42652140198916, 8.50427969800847)","1.55107138294978 (-4.05984089955294, 7.82777603250977)","17.5104663338784 (0.749597813949246, 55.9264140680825)","18.5958609656061 (1.45222596586196, 61.6644444703085)","-0.927526902412466 (-6.41165402734265, 4.39451524301335)"
"Erlotinib_HER3i","-16.0430691125118 (-49.8932045173938, -0.719019741642712)","-30.7404874267893 (-75.4125968867142, -3.45696674394914)","7.37002312722205 (-33.4877313420578, 61.5266268949249)","-14.6850184097269 (-48.7874440665744, 0.948542017750788)","-14.9727750678801 (-49.0442204160445, 1.15235758349944)","-14.8894005204673 (-48.7625849341845, 0.0259466888170872)","-14.4524756913995 (-48.3526205251002, 0.679266434964117)","-15.9481642249701 (-50.0914103663226, -0.00766326412778763)","Erlotinib_HER3i","-13.993662244018 (-48.010391652797, 1.9285835401304)","-14.9237640687098 (-48.8737602092382, 0.398177320600068)","-0.278040145681664 (-37.7026720536156, 37.6507976740984)","-13.4840227294366 (-47.5790862429686, 2.93298582977165)","2.31859482684087 (-36.8407655439017, 41.8356393229244)","-16.8128023214703 (-50.9066587968, -0.10104935084004)","1.69260480079919 (-35.8020995276572, 41.942380181525)","4.06979635809336 (-34.6832261607345, 42.6146637769016)","-14.0067328597127 (-48.2801903610379, 2.38146909518756)","-14.7522356509625 (-48.9808981599252, 1.68275298926114)","-14.2663902359032 (-48.3240555678259, 1.53738431524846)","1.59814802919521 (-37.877928266374, 42.3770330962792)","2.94517224389029 (-33.9487179152721, 47.1624256179218)","-16.8650995829982 (-50.7810462066347, -1.48980380469164)"
