"","antiangio","chemo","I","I_antiangio","I_chemo","I_IGF_1Ri","I_METi","II","II_Cetuximab","III","III_antiangio","III_chemo","Placebo"
"antiangio","antiangio","30.6167527258745 (-3.67929945905126, 112.107861805846)","-4.39271272248913 (-7.96835882000234, -1.51632120604157)","-1.71256623948133 (-5.12141321151461, 1.40707693936115)","-4.52253477444621 (-9.33348047442661, -0.373851562490577)","18.0428971282985 (-4.99761407762154, 75.3793183315399)","18.844588257879 (-4.86339856161576, 76.9824598560132)","-5.81010822585495 (-12.1139195129303, -0.886197178853369)","-38.8965969747682 (-114.35695569927, -5.81804256929617)","-6.36062036724488 (-12.9158478091435, -1.55236493249151)","-3.82274875073464 (-10.7805165087403, 2.23993981696848)","16.5693874880841 (-7.57895706149952, 71.2892903854593)","-4.02824668827436 (-9.21155216245344, 0.509111715658817)"
"chemo","-30.6167527258745 (-112.107861805846, 3.67929945905126)","chemo","-35.0648156700744 (-116.650298362785, -1.07613176487478)","-32.3603930405071 (-113.901862651801, 1.68700263653403)","-35.199751901388 (-116.925090287908, -0.938304839516714)","-10.6266655965964 (-98.9391954567655, 55.1649372008765)","-10.0815514732398 (-96.4643549706821, 55.2278632624787)","-36.6299465629227 (-118.355567699232, -1.96814029090047)","-76.9414259336595 (-173.680757404012, -14.9476299481329)","-37.2412205514792 (-118.769981033282, -2.54901230031159)","-34.6457447344302 (-116.30536676012, 0.269748037998363)","-12.6864256667301 (-98.3703301972147, 50.697801017121)","-34.7682397807297 (-116.321965248925, -0.270916108184611)"
"I","4.39271272248913 (1.51632120604157, 7.96835882000234)","35.0648156700744 (1.07613176487478, 116.650298362785)","I","2.67639280306879 (1.44083227735941, 4.37494361208646)","-0.108083214914099 (-3.23133662597527, 2.92621451627989)","22.4355925947176 (-0.12365577796428, 79.8129990781391)","23.3359674174936 (-0.00446627586905697, 81.6002873178021)","-1.34693723805245 (-6.4692472828852, 2.65619819697972)","-34.3905293443118 (-109.805808737558, -1.61996349119966)","-1.8950781802968 (-7.30844994261077, 1.94581391071019)","0.612572847427199 (-5.31314327154869, 6.01170174315098)","21.0451530931101 (-2.72468865330323, 75.7674019329403)","0.381162092898963 (-3.2400756240696, 3.98650251759163)"
"I_antiangio","1.71256623948133 (-1.40707693936115, 5.12141321151461)","32.3603930405071 (-1.68700263653403, 113.901862651801)","-2.67639280306879 (-4.37494361208646, -1.44083227735941)","I_antiangio","-2.7794440068377 (-6.48567862276565, 0.343701976516201)","19.7305804464794 (-2.92748057796442, 77.049249518347)","20.6090183722787 (-2.83631834631463, 78.8400538519344)","-4.04961824774301 (-9.57600785841801, 0.0882879681111095)","-37.1348782692762 (-112.451535504382, -4.26908773220688)","-4.60751622718576 (-10.4588672661114, -0.582702599829644)","-2.07642083768697 (-8.37823559129616, 3.29191385537395)","18.2708852507123 (-5.51718229367551, 73.046482236576)","-2.31020118790662 (-6.48234227640542, 1.41051892899574)"
"I_chemo","4.52253477444621 (0.373851562490577, 9.33348047442661)","35.199751901388 (0.938304839516714, 116.925090287908)","0.108083214914099 (-2.92621451627989, 3.23133662597527)","2.7794440068377 (-0.343701976516201, 6.48567862276565)","I_chemo","22.5569387918364 (-0.298545583940004, 80.0466318302149)","23.4189862107058 (-0.291481889845497, 81.6433466840226)","-1.24881793040744 (-7.18098322317848, 3.75161980264808)","-34.3159534876752 (-109.555565810693, -1.33345054677599)","-1.7919790940878 (-7.98751049400451, 3.02072187429446)","0.726925493226755 (-5.89411285812826, 6.91597139365567)","21.1573086368147 (-2.85168903366236, 75.9527640818263)","0.510159072772445 (-4.26537654686794, 5.14089300020044)"
"I_IGF_1Ri","-18.0428971282985 (-75.3793183315399, 4.99761407762154)","10.6266655965964 (-55.1649372008765, 98.9391954567655)","-22.4355925947176 (-79.8129990781391, 0.12365577796428)","-19.7305804464794 (-77.049249518347, 2.92748057796442)","-22.5569387918364 (-80.0466318302149, 0.298545583940004)","I_IGF_1Ri","0.772584530556104 (-62.66667075826, 63.6096411589019)","-23.9827380794184 (-81.2330347177331, -0.695400976417531)","-63.1399608025553 (-149.998239726472, -11.2448539038978)","-24.6261433088345 (-82.0407632595426, -1.28636307668797)","-22.0206599978028 (-79.4307505331144, 1.7364754523404)","-1.54364577132093 (-64.707322083332, 58.7777404687936)","-22.105087462055 (-79.4949540733511, 0.968745807087928)"
"I_METi","-18.844588257879 (-76.9824598560132, 4.86339856161576)","10.0815514732398 (-55.2278632624787, 96.4643549706821)","-23.3359674174936 (-81.6002873178021, 0.00446627586905697)","-20.6090183722787 (-78.8400538519344, 2.83631834631463)","-23.4189862107058 (-81.6433466840226, 0.291481889845497)","-0.772584530556104 (-63.6096411589019, 62.66667075826)","I_METi","-24.9119769655299 (-83.408073035961, -0.833627655857141)","-62.9993283546594 (-150.224679497268, -11.7955377225705)","-25.468643880755 (-83.7728330868592, -1.41200597340132)","-22.8318448366645 (-81.236133049848, 1.61188681962354)","-1.67904735650653 (-66.4179657916426, 57.2221335622747)","-23.0011856963211 (-81.1837724582907, 0.796019813541885)"
"II","5.81010822585495 (0.886197178853369, 12.1139195129303)","36.6299465629227 (1.96814029090047, 118.355567699232)","1.34693723805245 (-2.65619819697972, 6.4692472828852)","4.04961824774301 (-0.0882879681111095, 9.57600785841801)","1.24881793040744 (-3.75161980264808, 7.18098322317848)","23.9827380794184 (0.695400976417531, 81.2330347177331)","24.9119769655299 (0.833627655857141, 83.408073035961)","II","-32.8659050776964 (-108.01830729235, -0.693403795388205)","-0.556499408538364 (-6.76013424572079, 5.24344872361101)","2.00956470380035 (-4.73590773617081, 9.0306424089683)","22.5232353773799 (-1.65245279079608, 77.3411328288741)","1.82181058527639 (-2.79277338565171, 6.88760015132539)"
"II_Cetuximab","38.8965969747682 (5.81804256929617, 114.35695569927)","76.9414259336595 (14.9476299481329, 173.680757404012)","34.3905293443118 (1.61996349119966, 109.805808737558)","37.1348782692762 (4.26908773220688, 112.451535504382)","34.3159534876752 (1.33345054677599, 109.555565810693)","63.1399608025553 (11.2448539038978, 149.998239726472)","62.9993283546594 (11.7955377225705, 150.224679497268)","32.8659050776964 (0.693403795388205, 108.01830729235)","II_Cetuximab","32.3167122279103 (-0.912376878454185, 107.585314888914)","34.9357855723479 (1.43829650076472, 110.206231013715)","60.9263882293537 (9.19306256399217, 146.838420386762)","34.8128833778648 (1.9353477726248, 110.160565586126)"
"III","6.36062036724488 (1.55236493249151, 12.9158478091435)","37.2412205514792 (2.54901230031159, 118.769981033282)","1.8950781802968 (-1.94581391071019, 7.30844994261077)","4.60751622718576 (0.582702599829644, 10.4588672661114)","1.7919790940878 (-3.02072187429446, 7.98751049400451)","24.6261433088345 (1.28636307668797, 82.0407632595426)","25.468643880755 (1.41200597340132, 83.7728330868592)","0.556499408538364 (-5.24344872361101, 6.76013424572079)","-32.3167122279103 (-107.585314888914, 0.912376878454185)","III","2.47323147502554 (-0.360171477511609, 6.4991466797706)","23.068287828143 (0.152735880318649, 77.710675722518)","2.33478818258667 (-1.59594996678942, 7.36033891292183)"
