"","Afatinib","Afatinib_Cetuximab","Almonertinib","antiangio","chemo","Dacomitinib","DHFRi","Erlotinib","Erlotinib_antiangio","Erlotinib_Autophagyi","Erlotinib_chemo","Erlotinib_COX2i","Erlotinib_ERi","Erlotinib_HER3i","Erlotinib_HGFi","Erlotinib_IGF_1Ri","Erlotinib_METi","Erlotinib_MMPi","Gefitinib","Gefitinib_chemo","Gefitinib_Erlotinib","Lazertinib","Lazertinib_Amivantamab","Osimertinib","Osimertinib_antiangio","Osimertinib_chemo","Placebo","Rociletinib"
"Afatinib","Afatinib","1.09811220009378 (-0.816909998519586, 3.37300790312951)","32.2990749733764 (4.0830689811764, 98.9742449387656)","0.539753274109922 (-0.676700474238956, 1.98418843663152)","0.0772354426965588 (-0.793502842488398, 0.948459738062699)","-0.32619326648505 (-1.44891913198465, 0.797232113896718)","-0.157174784858342 (-3.9799979616285, 3.78156391390716)","-0.20157975888286 (-0.994862453789359, 0.64942836902055)","0.145986825718979 (-0.818456411613637, 1.14435488917977)","-37.0413234251643 (-108.788221086129, -2.44508190156626)","0.216661749886069 (-1.28347673682802, 1.83805454639662)","-33.3314038492793 (-112.910496393496, -1.68623406344234)","23.7723543371909 (1.87406333996108, 69.6811851857895)","-0.572734767697386 (-2.6250725670159, 1.56624016678188)","25.0081102290774 (1.14182089492178, 74.8439053528809)","1.46329640328162 (-0.311048466653089, 3.69767467119096)","0.191763797791401 (-0.915170341735721, 1.25259144705889)","-1.01631126170928 (-3.45391987555655, 1.20241401265103)","-0.532755842774008 (-1.4816815500483, 0.374188484529201)","0.742973744546097 (-0.959917977190541, 2.67463986126287)","-1.5147422955684 (-3.49189627961917, 0.316942587322373)","0.212344604069769 (-1.10473199447631, 1.54018569232823)","1.14202370436159 (-0.332482036755568, 2.61416963150352)","-0.230724257102231 (-1.34078487112158, 0.849290039324747)","-1.05621652492471 (-3.60270596577345, 1.22460983212383)","0.80269094766165 (-1.00293248551325, 2.66936438450419)","-0.3803626706734 (-1.27941241142842, 0.474770081267668)","-0.205699462236349 (-3.97919582571745, 3.65033497258998)"
"Afatinib_Cetuximab","-1.09811220009378 (-3.37300790312951, 0.816909998519586)","Afatinib_Cetuximab","31.1879806700025 (2.8576920461113, 97.699975079497)","-0.562451804480424 (-3.11617070036663, 1.86806341925802)","-1.02508717758415 (-3.44699851593269, 1.09092460801973)","-1.43043708472733 (-3.95228916397846, 0.80330003727915)","-1.28798002822194 (-5.71289831051649, 3.13863153250894)","-1.30220140630322 (-3.69156129489209, 0.814276748913988)","-0.957474813761562 (-3.4165726797958, 1.21599644253908)","-38.1966225111374 (-110.128985631142, -3.51923829391745)","-0.90192373435577 (-3.5617226001103, 1.67036639030351)","-34.4815429058187 (-113.942162209925, -2.72509900137614)","22.703084009324 (0.606489237862994, 68.7139458477614)","-1.68316184556116 (-4.73539380254397, 1.19366425512322)","23.8223380330741 (-0.179754753959518, 73.9809510479507)","0.370435828250907 (-2.49233573672285, 3.33917919341999)","-0.915422791400837 (-3.42328721832182, 1.26171366946678)","-2.14766499907463 (-5.4311599153808, 0.840680936706552)","-1.64248073508072 (-4.10093627746037, 0.501985352795978)","-0.360605287740677 (-3.2005954784947, 2.37207821316573)","-2.63568924632686 (-5.62128055146477, 0.0697834852681491)","-0.899222583885657 (-3.49266017544209, 1.46053024153882)","0.0318374207669923 (-2.6651265637099, 2.47340265692601)","-1.33609560151406 (-3.85628393368741, 0.893902776040627)","-2.18678676372326 (-5.53886120011012, 0.842160463256003)","-0.308105680940096 (-3.18919060545378, 2.41203496184215)","-1.48432411150869 (-3.91329730022001, 0.621613527109221)","-1.32266868287333 (-5.67486108532768, 3.01118107286382)"
"Almonertinib","-32.2990749733764 (-98.9742449387656, -4.0830689811764)","-31.1879806700025 (-97.699975079497, -2.8576920461113)","Almonertinib","-31.7189454631867 (-98.3657566424087, -3.45480823970828)","-32.2429140232035 (-98.9454453733718, -4.00008004106381)","-32.6241923735522 (-99.400511413235, -4.36050940261887)","-32.5111299361177 (-98.7136830537349, -3.81442085222323)","-32.4699359813597 (-99.1773426274526, -4.26892972417899)","-32.126100052968 (-98.8376657079414, -3.9187899483445)","-75.5651611081992 (-163.684408164578, -19.4837199385088)","-32.1204710587327 (-98.7163401343588, -3.79382954354045)","-70.1493527359501 (-166.454985839958, -14.5048778069857)","-8.356507813244 (-72.7520729267449, 44.4268811796365)","-32.8972127499395 (-99.5511687318196, -4.53593356417568)","-6.37141382490606 (-81.5232589482159, 48.2633900839127)","-30.8394411594257 (-97.5645595638703, -2.4740576533099)","-32.1069328673242 (-98.8411323648664, -3.86208567813622)","-33.3557531102551 (-99.9285921198327, -5.01567428296028)","-32.8056986714312 (-99.5469271942889, -4.64803412349799)","-31.4944543118496 (-98.228280597169, -3.30893200756796)","-33.8537055965786 (-100.545015759369, -5.55327526557424)","-32.0364910335538 (-98.7109281456323, -3.86121803292355)","-31.119718281436 (-97.8739191667496, -2.91104685590458)","-32.5225420221285 (-99.2558628443439, -4.3277250293571)","-33.3267242029099 (-100.063431747983, -5.01373524712547)","-31.4583486849668 (-98.1720006137655, -3.22614449397425)","-32.6639866069036 (-99.393645363961, -4.45841402259321)","-32.5536946357991 (-99.1401489523699, -3.82088482726633)"
"antiangio","-0.539753274109922 (-1.98418843663152, 0.676700474238956)","0.562451804480424 (-1.86806341925802, 3.11617070036663)","31.7189454631867 (3.45480823970828, 98.3657566424087)","antiangio","-0.465491475856368 (-1.82362201746616, 0.703702056548438)","-0.870378806540475 (-2.36142139553184, 0.399180405360803)","-0.712279083302152 (-4.62038799496084, 3.21891725341174)","-0.739831335382337 (-1.8647565048121, 0.206639514781384)","-0.394973812257629 (-1.61317250551778, 0.632221911350712)","-37.6417884268205 (-109.335376346876, -3.03556027690165)","-0.329475612209203 (-1.99048601889265, 1.29210944297327)","-33.9191856811668 (-113.477773318809, -2.25121036072493)","23.2058232662122 (1.2427142082298, 69.1507343179846)","-1.12431568469627 (-3.33126983554569, 1.03371197875914)","24.4111419708919 (0.560827138839156, 74.3188230338468)","0.905972453012113 (-0.999847965859581, 3.16730295893846)","-0.346552797033821 (-1.77026875666494, 0.802813280855756)","-1.56337206907885 (-4.17069228652538, 0.676059857347604)","-1.07690016546507 (-2.59801756174692, 0.201354072606349)","0.199413692168115 (-1.88353993893715, 2.29837686218206)","-2.05466143753386 (-4.32370509334505, -0.109731792042264)","-0.329735732904869 (-2.09054082267917, 1.20972266489902)","0.60463302165998 (-1.27107163480438, 2.23580700349647)","-0.772017862687824 (-2.34685240497452, 0.56653611673132)","-1.61436129192898 (-4.37423661649031, 0.80350818496874)","0.262979242902432 (-1.87445782786664, 2.24711581305426)","-0.920382789233552 (-2.3080708206646, 0.210911165152116)","-0.76043504070986 (-4.6151440514875, 3.12177769401852)"
"chemo","-0.0772354426965588 (-0.948459738062699, 0.793502842488398)","1.02508717758415 (-1.09092460801973, 3.44699851593269)","32.2429140232035 (4.00008004106381, 98.9454453733718)","0.465491475856368 (-0.703702056548438, 1.82362201746616)","chemo","-0.402138928078404 (-1.46891752895759, 0.657191617669983)","-0.238661175689289 (-4.019031025803, 3.67288727619673)","-0.277589936243973 (-0.96180915511335, 0.446054253402359)","0.0726851324845991 (-0.805086878503906, 0.9671233751883)","-37.1147515311108 (-108.973834549354, -2.50131626032648)","0.14216147031852 (-1.28754681538582, 1.68361554684853)","-33.4011643954659 (-112.9280369952, -1.73033956855409)","23.7098487890727 (1.79525417642311, 69.6087152755529)","-0.650869218167957 (-2.65627652494104, 1.44650993137118)","24.9025585016996 (1.05047019878297, 74.7958907761295)","1.38187004424814 (-0.344963355001379, 3.57807333264257)","0.113492059497944 (-0.911127884070628, 1.09636709478047)","-1.0879935456405 (-3.51731244203821, 1.08968816556898)","-0.610128967623978 (-1.52518978529447, 0.269985042656826)","0.666435148472832 (-1.03250600020444, 2.58154906881618)","-1.58461556609692 (-3.48301567481357, 0.163299134064276)","0.135922862151446 (-1.11069208390684, 1.38000284751104)","1.06739158902592 (-0.326937694065693, 2.44814505769894)","-0.310426174556713 (-1.27785837172453, 0.635442127633237)","-1.12801348473931 (-3.64129098661019, 1.09808309307879)","0.726591376491494 (-1.01039921376482, 2.51616826821796)","-0.455784785092964 (-1.31453214560272, 0.365413199042176)","-0.280255372105573 (-4.01101696126866, 3.57149492587205)"
"Dacomitinib","0.32619326648505 (-0.797232113896718, 1.44891913198465)","1.43043708472733 (-0.80330003727915, 3.95228916397846)","32.6241923735522 (4.36050940261887, 99.400511413235)","0.870378806540475 (-0.399180405360803, 2.36142139553184)","0.402138928078404 (-0.657191617669983, 1.46891752895759)","Dacomitinib","0.173733678833431 (-3.65290065720947, 4.10604591287631)","0.125977504379698 (-0.732502486952816, 1.04129537809482)","0.471980518460033 (-0.541762071458591, 1.52496435664169)","-36.706178610999 (-108.618736696757, -2.12033783496677)","0.541738843732129 (-0.967461887362405, 2.19361700198752)","-33.0008713518922 (-112.576096249621, -1.33256855701731)","24.0938284792607 (2.17867561180291, 69.9978897379277)","-0.251656225201073 (-2.31539086131061, 1.91710868520234)","25.3078821823558 (1.45964854339228, 75.1654261410744)","1.78585163843969 (-0.0203672740376065, 4.05976465816829)","0.515436621041829 (-0.632771562389817, 1.63343353807371)","-0.690170748869834 (-3.15740267737345, 1.5575416172385)","-0.207257561841262 (-1.35958141301075, 0.908853258288672)","1.06780700595704 (-0.768620079617443, 3.10484863350634)","-1.19155260901276 (-3.21300805542388, 0.713115504077237)","0.53889887173538 (-0.890830230418936, 1.97105320873045)","1.4671514579007 (-0.0998791422660712, 3.03926355989275)","0.0963534323309825 (-1.12079717164209, 1.28147023401504)","-0.721267779559495 (-3.32074122308291, 1.61907768569882)","1.13087132189107 (-0.754771679363942, 3.06938024831723)","-0.0527623417506732 (-1.01507202448978, 0.868259745833078)","0.118718176865071 (-3.63655161682545, 4.00214422047062)"
"DHFRi","0.157174784858342 (-3.78156391390716, 3.9799979616285)","1.28798002822194 (-3.13863153250894, 5.71289831051649)","32.5111299361177 (3.81442085222323, 98.7136830537349)","0.712279083302152 (-3.21891725341174, 4.62038799496084)","0.238661175689289 (-3.67288727619673, 4.019031025803)","-0.173733678833431 (-4.10604591287631, 3.65290065720947)","DHFRi","-0.0428815877980884 (-3.88286942744194, 3.70337894987516)","0.304647583527179 (-3.57477190907297, 4.1007309795334)","-37.0007122242889 (-108.969251503119, -2.06423006054774)","0.378469827983168 (-3.63930653874121, 4.36369798120673)","-33.2378018167579 (-113.017162176096, -1.16374334743246)","23.8629292948304 (1.4007551063186, 70.1552631284206)","-0.412606064405314 (-4.69949606332417, 3.83026718340167)","25.107737704621 (0.804696317079868, 75.4866117852848)","1.65293421634767 (-2.45220996724038, 5.85504433498077)","0.341365864458943 (-3.57490822670372, 4.14192397895464)","-0.884291378427692 (-5.31256263992275, 3.39103925205158)","-0.385131619653511 (-4.35253452463669, 3.44286480112532)","0.916353479190743 (-3.30733957542526, 5.06023628947063)","-1.36680646809932 (-5.6348327111311, 2.72691120238768)","0.35795219068566 (-3.66006834086009, 4.28921214162365)","1.29209494543066 (-2.78113375603718, 5.28274382098861)","-0.0860644855085365 (-4.03642620140822, 3.77159263778904)","-0.940963687706635 (-5.44469363949604, 3.46775210155751)","0.971075058649731 (-3.26961024767028, 5.07205912772299)","-0.226961994692848 (-4.13062363422546, 3.55067441767547)","-0.045658649668012 (-5.32263708906291, 5.22966802882676)"
"Erlotinib","0.20157975888286 (-0.64942836902055, 0.994862453789359)","1.30220140630322 (-0.814276748913988, 3.69156129489209)","32.4699359813597 (4.26892972417899, 99.1773426274526)","0.739831335382337 (-0.206639514781384, 1.8647565048121)","0.277589936243973 (-0.446054253402359, 0.96180915511335)","-0.125977504379698 (-1.04129537809482, 0.732502486952816)","0.0428815877980884 (-3.70337894987516, 3.88286942744194)","Erlotinib","0.348595425969952 (-0.197392718001741, 0.879261017549573)","-36.847676208904 (-108.634543882851, -2.25557250637968)","0.416001122549753 (-0.842422574614202, 1.76247762625872)","-33.133153623864 (-112.734012955267, -1.47256158065611)","23.9750129905533 (2.05597616815011, 69.8705921305349)","-0.379273121207998 (-2.26956527837908, 1.58785520253331)","25.1742338973498 (1.32185228369477, 75.0722453980926)","1.65112138878879 (0.0845641446302594, 3.7408013936446)","0.392727557871706 (-0.379967699197573, 1.06974735447705)","-0.807554934609364 (-3.1492661850214, 1.22579041215974)","-0.332470789097236 (-1.2928752690811, 0.548450162902874)","0.942362628295872 (-0.789140073482333, 2.85106589665807)","-1.30965745112571 (-3.23868898301743, 0.425379709417186)","0.415738657931551 (-0.869538355595607, 1.65710823440715)","1.34398085301837 (-0.0955415908262229, 2.72248572578811)","-0.0330821184771605 (-1.04120421723843, 0.924965608992874)","-0.852207196029892 (-3.35691706692366, 1.36993750950035)","1.00208678241372 (-0.761954067585404, 2.79060896397983)","-0.178216358273761 (-0.902107974656817, 0.458940127413661)","-0.00981970845391721 (-3.68586300653936, 3.76960422559826)"
"Erlotinib_antiangio","-0.145986825718979 (-1.14435488917977, 0.818456411613637)","0.957474813761562 (-1.21599644253908, 3.4165726797958)","32.126100052968 (3.9187899483445, 98.8376657079414)","0.394973812257629 (-0.632221911350712, 1.61317250551778)","-0.0726851324845991 (-0.9671233751883, 0.805086878503906)","-0.471980518460033 (-1.52496435664169, 0.541762071458591)","-0.304647583527179 (-4.1007309795334, 3.57477190907297)","-0.348595425969952 (-0.879261017549573, 0.197392718001741)","Erlotinib_antiangio","-37.1878089671375 (-109.001345390903, -2.60630789702115)","0.0685534307963983 (-1.28413472566128, 1.52546511658412)","-33.5012878535624 (-113.106654449223, -1.82962587215997)","23.6395953082865 (1.70697716239847, 69.5206209703481)","-0.731963913093848 (-2.68832824736868, 1.32371393756443)","24.8348828623651 (0.973964214932926, 74.7532620200939)","1.30735308319094 (-0.361226787071972, 3.45934941551094)","0.0428426167678918 (-0.885674956342357, 0.90948376562626)","-1.16439954761552 (-3.53718593557373, 0.957787790570055)","-0.681081159334954 (-1.76779914073909, 0.352439421704527)","0.596780869698044 (-1.21403678891007, 2.56697961045072)","-1.66009769916754 (-3.6627855997526, 0.160297337332123)","0.0629185341851317 (-1.30728508903601, 1.4307018552646)","0.992934646381409 (-0.515616006394752, 2.48559930364892)","-0.381055017609727 (-1.51349858233762, 0.717266468426999)","-1.20301559882918 (-3.75980523789147, 1.09055872587833)","0.65678114507908 (-1.1681072485111, 2.53079452564106)","-0.52750211817594 (-1.42108243141201, 0.305430340670897)","-0.359310669199246 (-4.0658324926508, 3.45964380419777)"
