"","antiangio","chemo","chemo_antiangio","DHFRi","I","I_antiangio","I_Autophagyi","I_chemo","I_HER3i","I_IGF_1Ri","I_METi","I_MMPi","II","II_Cetuximab","II_HMGCRi","III","III_Amivantamab","III_antiangio","III_chemo","III_PD_L1i","Placebo","Rociletinib","Zorifertinib"
"antiangio","antiangio","-1.77802045870426 (-3.22470694037915, -0.513890208200964)","-29.8062403848511 (-79.0101798440416, -5.0295733872152)","-2.03393122392342 (-4.73240360736629, 0.605129653325401)","-2.06335585512897 (-3.35085844493255, -1.07356655171654)","-2.40376109838728 (-3.81647024725117, -1.21271752877833)","-2.05495030395362 (-4.78368192890998, 0.571880836672663)","-1.52983510581906 (-3.2530070557587, 0.0524795494514635)","-1.97472322422405 (-4.24478698075831, 0.428364396353904)","-2.43636583766726 (-4.02349449959199, -0.974892441389969)","-2.52513043142617 (-4.3099657946886, -0.988067980700614)","-2.99305923709422 (-6.71760471540712, -0.119164348754159)","-2.28371178265421 (-3.81662670263784, -1.06142864870184)","-2.80583337541392 (-4.93315793791532, -0.974288446403427)","-1.93496908324354 (-4.1211792169837, 0.1338627254038)","-1.8008415206545 (-3.17348583996108, -0.728179627358601)","-2.10084006159057 (-4.78412227408263, 0.49073479810822)","-0.923383413757799 (-2.5540787290482, 0.479961503558507)","-1.50437683664586 (-3.02688280133192, -0.0708241774407642)","-43.0628080469615 (-97.0548285936375, -4.14970981142966)","-3.27725626081384 (-4.86176771944239, -1.99662912094092)","0.150200626199682 (-1.65753530355554, 1.8391701355883)","-1.94111860290587 (-3.57031096191102, -0.58054880863369)"
"chemo","1.77802045870426 (0.513890208200964, 3.22470694037915)","chemo","-27.9815614990085 (-77.0206317593394, -3.27068777689355)","-0.241401728804414 (-2.78249335580979, 2.27682430417367)","-0.296138379702369 (-1.13571859971394, 0.474862910200648)","-0.624556298751547 (-1.68061857965062, 0.356088502488794)","-0.263753378392088 (-2.81393020892894, 2.27240711511807)","0.250014272885247 (-1.15493457589775, 1.66677073564278)","-0.187211484894568 (-2.26855099352434, 2.12532386862897)","-0.655936603101029 (-1.95873085863977, 0.659474943495633)","-0.740045945419465 (-2.23307667229265, 0.631382546615643)","-1.19657346428808 (-4.81333368988414, 1.61476515419912)","-0.510732655215254 (-1.65901686472877, 0.519990581201508)","-1.02691447514477 (-2.88910157868939, 0.665172878778446)","-0.140634648646138 (-2.13198301730549, 1.78768979326852)","-0.0306476380154018 (-0.966666640427979, 0.825241404593192)","-0.300238517676523 (-2.83993688614493, 2.16468918235072)","0.853269552072425 (-0.448451170448014, 2.08792986627559)","0.274682506665616 (-0.91148640983561, 1.55300341111349)","-41.3569155322186 (-95.437910902318, -2.35724406318824)","-1.49653015545571 (-2.73604410792653, -0.390577202743011)","1.93623241343948 (0.374697861029267, 3.49652714456479)","-0.16065230085628 (-1.47327547987483, 1.03143928159138)"
"chemo_antiangio","29.8062403848511 (5.0295733872152, 79.0101798440416)","27.9815614990085 (3.27068777689355, 77.0206317593394)","chemo_antiangio","27.7036119248323 (2.79888460092422, 76.9055426439086)","27.676794696925 (2.95034118856196, 76.7166471509023)","27.3671611281455 (2.62024024053773, 76.3662328147464)","27.7256631976244 (2.79239528215514, 76.4835887905281)","28.2042422585416 (3.43938424259325, 77.2302013802065)","27.8475595894227 (2.89773675948383, 77.1349189233598)","27.3160406714563 (2.56615518495742, 76.3836331505526)","27.2075219734935 (2.43877027020731, 76.4670703980718)","26.7934442141145 (1.79555010067547, 75.8603984115083)","27.4205072669108 (2.69071870406889, 76.5252407424579)","26.8844791646615 (2.13507397212029, 76.0793125928576)","27.8980956088766 (2.92532720530005, 77.0970104197647)","27.9559836231752 (3.19297654885369, 77.0111403892489)","27.6875566825511 (2.82953905610071, 76.9417958698565)","28.8492797595123 (4.04797628139799, 77.8576444901297)","28.2529020313662 (3.4835031088909, 77.3759130565013)","-11.0506866644218 (-75.9210533551477, 52.2810119186385)","26.4837707106601 (1.65605312827034, 75.5665842647875)","30.0056570062229 (5.18091180616427, 79.0866541169086)","27.7962681754732 (3.04202853600731, 76.9131096495901)"
"DHFRi","2.03393122392342 (-0.605129653325401, 4.73240360736629)","0.241401728804414 (-2.27682430417367, 2.78249335580979)","-27.7036119248323 (-76.9055426439086, -2.79888460092422)","DHFRi","-0.0571198299305674 (-2.46962229215659, 2.3409159229737)","-0.392731774494171 (-2.88925483740934, 2.09011800155191)","-0.0279213065411926 (-3.43922437486736, 3.3458640812244)","0.499807709028361 (-2.19649668121, 3.14527990208831)","0.0626032430751342 (-3.04577353806035, 3.29108548128766)","-0.413046065232794 (-3.02060880775551, 2.24749483120484)","-0.511225875644076 (-3.21530179550304, 2.17138901732738)","-0.980445030919172 (-5.18921574619268, 2.70697840336943)","-0.283669747072319 (-2.80676278674816, 2.2269669388911)","-0.793595739225722 (-3.68270371931342, 2.04341817254589)","0.0928429486767292 (-2.87216729462501, 3.108548127463)","0.20531093142895 (-2.24199536582364, 2.6436114487455)","-0.069411966389519 (-3.42792475229245, 3.33754106152504)","1.0920849128342 (-1.49796985212459, 3.68747397573855)","0.516439230029576 (-2.06831723214792, 3.18692557968743)","-41.1591269901645 (-94.9442208713824, -2.01965489947385)","-1.2680766436639 (-3.82202831896448, 1.25262923189623)","2.18327832511677 (-0.580685723460403, 4.94045407686183)","0.0644720419365217 (-2.53282534516114, 2.65593813108097)"
"I","2.06335585512897 (1.07356655171654, 3.35085844493255)","0.296138379702369 (-0.474862910200648, 1.13571859971394)","-27.676794696925 (-76.7166471509023, -2.95034118856196)","0.0571198299305674 (-2.3409159229737, 2.46962229215659)","I","-0.337309387583398 (-0.958982870139665, 0.318034858676456)","0.0313819714556618 (-2.35814801681618, 2.45173112162467)","0.545666693619592 (-0.618546712827007, 1.78731260461183)","0.100221240482148 (-1.79214344200927, 2.32582348218449)","-0.36106433188935 (-1.35695431246783, 0.750603187436446)","-0.440769671139408 (-1.67015090143264, 0.715108141501542)","-0.884809955242256 (-4.41014987189387, 1.79701294361214)","-0.216274386632079 (-0.98224491101134, 0.518926136888018)","-0.726002179387715 (-2.37196930816375, 0.824749955928757)","0.149768008178836 (-1.59900795671822, 1.96108589949542)","0.261721470349665 (-0.182798669049626, 0.718274937461562)","-0.0159015482919646 (-2.37819051119531, 2.39054379488519)","1.14658010461773 (0.15808506286409, 2.16689199278971)","0.556640114650199 (-0.301973158448957, 1.69878401329041)","-41.0605758139685 (-95.058649271786, -2.0672117051915)","-1.19974761326222 (-2.08860718720244, -0.407472088357858)","2.22531918271393 (0.950696000094308, 3.62691803815299)","0.128049646015045 (-0.83901327381903, 1.09868281879886)"
"I_antiangio","2.40376109838728 (1.21271752877833, 3.81647024725117)","0.624556298751547 (-0.356088502488794, 1.68061857965062)","-27.3671611281455 (-76.3662328147464, -2.62024024053773)","0.392731774494171 (-2.09011800155191, 2.88925483740934)","0.337309387583398 (-0.318034858676456, 0.958982870139665)","I_antiangio","0.368353597282274 (-2.1269060909946, 2.86919520025493)","0.880687261589289 (-0.456034455305754, 2.26314872167618)","0.442370435095095 (-1.57525723359065, 2.71922620840177)","-0.0266533712477543 (-1.20424616247304, 1.2455507701713)","-0.108693236735455 (-1.49180437279035, 1.20491976221106)","-0.560047661975071 (-4.12665563263174, 2.19233108739532)","0.120469041914726 (-0.906974545007073, 1.07112906556172)","-0.390478528953189 (-2.18229995824306, 1.27147990686904)","0.487453758690673 (-1.38382630397638, 2.38830550426778)","0.601688079180307 (-0.194352742510043, 1.35478112510476)","0.324866980454371 (-2.13538391035068, 2.7997314332687)","1.48491418106402 (0.292632827610144, 2.67334917953145)","0.898148969277279 (-0.16274592999162, 2.16550313863769)","-40.7205792213432 (-94.7573474847534, -1.72321818589545)","-0.867426436928973 (-1.98745755635863, 0.140897788261535)","2.56042194233159 (1.11846724269894, 4.08735051295953)","0.465719484547147 (-0.725994840040625, 1.60333763021835)"
"I_Autophagyi","2.05495030395362 (-0.571880836672663, 4.78368192890998)","0.263753378392088 (-2.27240711511807, 2.81393020892894)","-27.7256631976244 (-76.4835887905281, -2.79239528215514)","0.0279213065411926 (-3.3458640812244, 3.43922437486736)","-0.0313819714556618 (-2.45173112162467, 2.35814801681618)","-0.368353597282274 (-2.86919520025493, 2.1269060909946)","I_Autophagyi","0.51707072821727 (-2.14738388713896, 3.24816001937105)","0.0854106634186921 (-2.95797104543092, 3.31113775761554)","-0.390168731281595 (-2.98165389999243, 2.2595983939004)","-0.482833613480633 (-3.1969416183463, 2.17530647896051)","-0.94381200916311 (-5.24000642405624, 2.66406378498387)","-0.251979333001474 (-2.77275459401464, 2.2342074104347)","-0.772836156703061 (-3.65158361864281, 2.06048510017552)","0.118475986351088 (-2.85634549203376, 3.08809749121373)","0.228562502206085 (-2.22990071824444, 2.65645656180146)","-0.035381464083028 (-3.39937171478662, 3.30572801838553)","1.12419599515912 (-1.49406950522231, 3.68725355825019)","0.541125253699866 (-2.01855622307559, 3.18592263516525)","-41.0665878847715 (-95.2633335643075, -1.9950388730824)","-1.22974370339488 (-3.80496554804694, 1.2778790180768)","2.20746497130507 (-0.536958409658643, 4.97404293290013)","0.101062143051855 (-2.53242339541148, 2.69065236176505)"
"I_chemo","1.52983510581906 (-0.0524795494514635, 3.2530070557587)","-0.250014272885247 (-1.66677073564278, 1.15493457589775)","-28.2042422585416 (-77.2302013802065, -3.43938424259325)","-0.499807709028361 (-3.14527990208831, 2.19649668121)","-0.545666693619592 (-1.78731260461183, 0.618546712827007)","-0.880687261589289 (-2.26314872167618, 0.456034455305754)","-0.51707072821727 (-3.24816001937105, 2.14738388713896)","I_chemo","-0.443031339336324 (-2.72166256318736, 2.03036156780661)","-0.906188394587024 (-2.47857608028362, 0.707412039379846)","-0.999384764555921 (-2.73190108439038, 0.648800941186838)","-1.45264430538714 (-5.15378169044128, 1.52291120170687)","-0.764725860533561 (-2.23841518447925, 0.613102889295526)","-1.28023015871704 (-3.3533115618863, 0.646540171466314)","-0.397496502531875 (-2.58245928353921, 1.74651278053463)","-0.287474691405694 (-1.60066409810314, 0.96351445396989)","-0.565001683549611 (-3.25694022988749, 2.09753839644372)","0.601393505755069 (-1.00855779147667, 2.14267094842043)","0.024477656694507 (-1.49147950856869, 1.62325708636881)","-41.6558209100683 (-95.5705662466781, -2.6782367039338)","-1.75690288180032 (-3.2776401814411, -0.348583463630425)","1.68607604677515 (-0.116810042053514, 3.5026871692957)","-0.418078139266872 (-1.9992263834247, 1.07983333027201)"
"I_HER3i","1.97472322422405 (-0.428364396353904, 4.24478698075831)","0.187211484894568 (-2.12532386862897, 2.26855099352434)","-27.8475595894227 (-77.1349189233598, -2.89773675948383)","-0.0626032430751342 (-3.29108548128766, 3.04577353806035)","-0.100221240482148 (-2.32582348218449, 1.79214344200927)","-0.442370435095095 (-2.71922620840177, 1.57525723359065)","-0.0854106634186921 (-3.31113775761554, 2.95797104543092)","0.443031339336324 (-2.03036156780661, 2.72166256318736)","I_HER3i","-0.463139778725177 (-2.8617792817695, 1.73514064633597)","-0.557014907271694 (-3.08252282357309, 1.67850154457101)","-1.06070539633849 (-5.09656387516833, 2.33305262274371)","-0.324689954654082 (-2.66538869199048, 1.7107069800673)","-0.847046357039332 (-3.59413147707497, 1.60668397876278)","0.0346128270883352 (-2.76331381817383, 2.69023546628676)","0.160334651476906 (-2.09774930121391, 2.10202082853634)","-0.140083951672312 (-3.35325843634555, 2.95803015642025)","1.03650008811511 (-1.37428225083877, 3.1910815314627)","0.467347405290789 (-1.90085403409238, 2.66860374600336)","-41.1323971076072 (-95.4342938239291, -2.15315259112767)","-1.31319469844725 (-3.70824352730163, 0.738155639336973)","2.12521427584065 (-0.424464446632889, 4.47866821610612)","0.0165696697509673 (-2.39376089097423, 2.15491116136999)"
