"","Afatinib","Afatinib_Cetuximab","Afatinib_HMGCRi","Almonertinib","antiangio","chemo","chemo_antiangio","Dacomitinib","DHFRi","Erlotinib","Erlotinib_antiangio","Erlotinib_Autophagyi","Erlotinib_chemo","Erlotinib_HER3i","Erlotinib_IGF_1Ri","Erlotinib_METi","Erlotinib_MMPi","Furmonertinib","Gefitinib","Gefitinib_chemo","Gefitinib_Erlotinib","Lazertinib","Lazertinib_Amivantamab","Osimertinib","Osimertinib_antiangio","Osimertinib_chemo","Osimertinib_PD_L1i","Placebo","Rociletinib","Zorifertinib"
"Afatinib","Afatinib","-0.517815347628697 (-2.25337310550875, 1.16165222337824)","0.377494487534818 (-1.46054952229295, 2.26277707386014)","-0.480763712588642 (-2.66276339359679, 2.36624151789289)","1.81593940323798 (0.111552611919069, 4.46421065315122)","0.0214215533607421 (-1.43463354315135, 2.03136646121693)","-32.4414165929118 (-92.3210585619, -3.61003989311694)","-1.0769594228405 (-2.88171261782381, 0.795362353806488)","-0.233349815711766 (-3.01046909788668, 2.77483682605266)","-0.29414651805732 (-1.53882284973353, 1.24296287367626)","-0.622806210910844 (-2.07112813336264, 1.23413432391382)","-0.288237978678441 (-3.12015932251554, 2.76591385745982)","0.413676975299857 (-1.61766715032082, 2.81895292547505)","-0.18566585118869 (-2.563403917675, 2.68469172774219)","-0.618136499312928 (-2.26378430778799, 1.83878766865897)","-0.745494360692297 (-2.54325450405363, 1.32406985522017)","-1.17111505059143 (-4.93812625566058, 2.0677938731377)","-0.377770861389672 (-2.64451158023204, 2.51268545448446)","-0.49846890398967 (-2.42899079769027, 1.85917728259847)","-0.101822513000741 (-2.9015943502436, 3.41671040246213)","-1.08465893512522 (-3.29911617132152, 1.34251004507828)","0.213341979667749 (-2.8058223458599, 3.2697178101457)","0.0349404451024161 (-3.08133011291258, 3.16498488134611)","-0.169811076481124 (-2.0018055405249, 1.73925805707657)","0.715891847505772 (-1.39304273470621, 2.98007105030002)","0.200842898321723 (-1.81248383470046, 2.8864608683424)","-35.9822386965861 (-113.346452350264, -2.24944929482925)","-1.58550411424761 (-3.3137752861555, 0.0132169512425629)","1.93229536476012 (0.0156736871553936, 4.29055628041976)","-0.963810744571974 (-3.52619713624447, 1.85947094766288)"
"Afatinib_Cetuximab","0.517815347628697 (-1.16165222337824, 2.25337310550875)","Afatinib_Cetuximab","0.896895391165047 (-1.57730422313216, 3.44091405533676)","0.0384694879599727 (-2.64362257780051, 3.41967281174681)","2.34810385765085 (0.0582786025851939, 5.61598843143402)","0.528831573960371 (-1.57356738755689, 3.31305802630128)","-31.9002025443026 (-91.8556965159392, -3.0317296038296)","-0.55990781988537 (-2.99746232564968, 2.00869938008634)","0.280209131978146 (-2.88750129441059, 3.75616176419018)","0.215959623916727 (-1.79771193399558, 2.59096017712995)","-0.108547884739185 (-2.23248816604834, 2.48778466459057)","0.240910786163235 (-3.01836762546248, 3.74205612456991)","0.926243265200882 (-1.62216726127794, 3.93524487356077)","0.329741215665406 (-2.50350446077994, 3.70894816115824)","-0.0945896148558611 (-2.33965645021408, 2.94310045772062)","-0.238941696032696 (-2.63933680890193, 2.51986684530282)","-0.677655776806107 (-4.73561443043332, 3.01177504940136)","0.140743894857649 (-2.61502562722839, 3.55998641277743)","0.00466464394167762 (-2.47725656566792, 3.04267224800855)","0.419539067750489 (-2.79133374302041, 4.40464326076207)","-0.56953130995776 (-3.32395899386797, 2.45403867307009)","0.728502628970723 (-2.72123367100045, 4.249007716699)","0.549603617505085 (-2.97618888736071, 4.15937769468345)","0.340446022903269 (-2.0974865951611, 2.98832619788773)","1.22632499775224 (-1.43833842234626, 4.10528127598114)","0.71598011331709 (-1.84177783863826, 3.99311932925209)","-35.4355709589899 (-112.611893829814, -1.69226847148965)","-1.08449213415297 (-3.46446363615491, 1.30116015068485)","2.45222689543363 (-0.0565291501496704, 5.40667044113093)","-0.44207275004456 (-3.47981448364846, 2.8691959756531)"
"Afatinib_HMGCRi","-0.377494487534818 (-2.26277707386014, 1.46054952229295)","-0.896895391165047 (-3.44091405533676, 1.57730422313216)","Afatinib_HMGCRi","-0.879245940842154 (-3.67791361737899, 2.57964879841276)","1.43618372737455 (-0.983197182884623, 4.77989606921091)","-0.375466058555807 (-2.59619945829544, 2.49757234337211)","-32.8101237826744 (-92.698872883013, -3.88991022111979)","-1.4710139960568 (-4.06396583855295, 1.17363553856594)","-0.619428451573375 (-3.96261882287609, 2.92469055944745)","-0.691909865819707 (-2.83832943994075, 1.77637353765047)","-1.01251778399959 (-3.26013289499689, 1.65844398626435)","-0.663105522810014 (-4.02816767087065, 2.92735733738668)","0.0152029672077203 (-2.65738924386559, 3.11459904458764)","-0.569745960575212 (-3.56297558078036, 2.86999385753157)","-0.991387622285126 (-3.37166645616788, 2.14383853325068)","-1.13524626548471 (-3.66533557709526, 1.67159504686507)","-1.57421934273126 (-5.70452584323069, 2.17506073988146)","-0.76564740586895 (-3.65373445064055, 2.7053480700504)","-0.907084116282681 (-3.49691473405658, 2.18147688611067)","-0.479107600773137 (-3.76334944389935, 3.51546582783287)","-1.47625458673153 (-4.32598446944385, 1.62853266683855)","-0.172549637265407 (-3.70604396687605, 3.38350476605201)","-0.351463045060705 (-3.93778095751834, 3.28906483966196)","-0.567508256355947 (-3.11679303995524, 2.13497576179148)","0.321152423851434 (-2.42697417971814, 3.29977420796684)","-0.177594391277261 (-2.85539517136692, 3.16956135581202)","-36.4285573115206 (-113.678054527172, -2.54136468776707)","-1.98989335265678 (-4.47911937898703, 0.492175692969702)","1.5574371234738 (-1.07743809066415, 4.57874680937903)","-1.35238456638072 (-4.48516706441153, 2.07218639392544)"
"Almonertinib","0.480763712588642 (-2.36624151789289, 2.66276339359679)","-0.0384694879599727 (-3.41967281174681, 2.64362257780051)","0.879245940842154 (-2.57964879841276, 3.67791361737899)","Almonertinib","2.28192534582296 (0.280630033743311, 4.76600893640274)","0.486090528692664 (-1.58200474531883, 2.59936350610003)","-32.021188442762 (-91.9448033494942, -3.08489424553065)","-0.589064978171059 (-3.52053964719493, 1.68414737328934)","0.225701124515513 (-3.26382699826619, 3.41600349204719)","0.180065103690905 (-2.15828104510108, 2.18539375151514)","-0.139168148595929 (-2.56873759208227, 2.03875563756654)","0.169664457628955 (-3.30690638075776, 3.43840712393189)","0.859982602339309 (-1.88920426526971, 3.48183786584774)","0.292856325418304 (-2.90014020589905, 3.33730065838598)","-0.120521596440697 (-2.61076749977778, 2.42284375907642)","-0.270915309656347 (-2.99105903100358, 2.1010787321574)","-0.736169039053221 (-5.01389666129017, 2.71516863495218)","0.104620297945245 (-1.91343494259016, 2.10241519711802)","-0.0449040152833841 (-1.41297084919898, 1.34443111047199)","0.348703075848458 (-2.06251864025912, 3.19196579293799)","-0.607833784462987 (-3.69767790105767, 2.02070868300869)","0.661761381446302 (-2.7930581052293, 3.80751753147572)","0.493764243424344 (-3.156630480965, 3.74455351608946)","0.280176924503034 (-2.40750331592775, 2.59050086052342)","1.18120267634507 (-1.72991829028298, 3.69941830586599)","0.68139905085337 (-2.01547948335629, 3.4222994857415)","-35.5551540308854 (-113.178651455128, -1.7819794318153)","-1.13659725264241 (-3.90631823921574, 1.0880967391155)","2.41789708745721 (-0.458610621813711, 4.99089657272245)","-0.467520931437038 (-3.89712173222548, 2.43881246775038)"
"antiangio","-1.81593940323798 (-4.46421065315122, -0.111552611919069)","-2.34810385765085 (-5.61598843143402, -0.0582786025851939)","-1.43618372737455 (-4.77989606921091, 0.983197182884623)","-2.28192534582296 (-4.76600893640274, -0.280630033743311)","antiangio","-1.80128261338936 (-3.61995022142359, -0.334593524668078)","-34.3364424240479 (-94.2399401425129, -5.49699885988439)","-2.89345667129827 (-5.52101014007724, -1.24841303842199)","-2.09787922813042 (-5.28116969492427, 0.680896730535707)","-2.10987952653011 (-3.99241145947857, -0.917299902588254)","-2.43976151079795 (-4.43113940080231, -1.03632899861713)","-2.14729563583722 (-5.35329255579975, 0.691765509424554)","-1.44069599509808 (-3.8526556656461, 0.592084710596403)","-2.03211906427159 (-4.87977097849271, 0.565593258508736)","-2.41350669913449 (-4.51982958513334, -0.649201184305146)","-2.57358393031049 (-4.95069645156719, -0.841241270205591)","-3.0544307114084 (-7.14552846026603, 0.0317422551289023)","-2.18310715250363 (-4.67961143470836, -0.109550795625422)","-2.32193690005747 (-4.34245649298893, -0.744775824939419)","-1.93928216978493 (-4.79112879013922, 0.965281443915759)","-2.91318610861657 (-5.83909687329846, -0.720021088147398)","-1.65645815086146 (-5.0825227642443, 1.37689287111781)","-1.83110518019073 (-5.42608868696959, 1.20280644174692)","-2.02348231110907 (-4.51103369522978, -0.160583504969051)","-1.13193425446735 (-3.89705200368769, 0.979234248734199)","-1.62754116023552 (-4.10748654286855, 0.611819628745845)","-37.9438575572609 (-115.356618875047, -4.14600564220732)","-3.447220245319 (-5.96470464288906, -1.70410366166291)","0.115371997328369 (-2.47380219417055, 2.05821157019926)","-2.77133680758287 (-6.10146009921066, -0.290579078690824)"
"chemo","-0.0214215533607421 (-2.03136646121693, 1.43463354315135)","-0.528831573960371 (-3.31305802630128, 1.57356738755689)","0.375466058555807 (-2.49757234337211, 2.59619945829544)","-0.486090528692664 (-2.59936350610003, 1.58200474531883)","1.80128261338936 (0.334593524668078, 3.61995022142359)","chemo","-32.5543752031887 (-92.1495392601774, -3.6854918194468)","-1.07505984202046 (-3.19172697264994, 0.332059692105451)","-0.274698553955772 (-3.12583373645392, 2.3787983601444)","-0.308025561960258 (-1.56505977470769, 0.600262295182104)","-0.63463584366655 (-2.08342029130014, 0.537627717021345)","-0.321870259098761 (-3.19492768415876, 2.39787244472264)","0.364375467947365 (-1.53381455355558, 2.20970574839922)","-0.218164540719684 (-2.74266697115088, 2.28563957890981)","-0.607164295046467 (-2.25035517654242, 1.05205385780473)","-0.763956116078237 (-2.65199160280492, 0.782033517977083)","-1.22891167546351 (-5.04042354094609, 1.74100317611818)","-0.386082348089678 (-2.56544768149519, 1.75099634360228)","-0.524794376143815 (-2.19858387222101, 1.0562297240093)","-0.125695530040978 (-2.76840331897841, 2.79154646923794)","-1.1021968820768 (-3.48698263278338, 0.837589951601411)","0.155224664097989 (-2.86980950686037, 3.01544942147545)","-0.0201961206868465 (-3.19525771766099, 2.82793230865664)","-0.207916849567864 (-2.02148975391491, 1.29412098874908)","0.688801305088642 (-1.47892151632808, 2.51127037063214)","0.181351580022898 (-1.75030714204092, 2.198700233843)","-36.0484948782297 (-113.688575673848, -2.39605650528176)","-1.63537916575131 (-3.52550846820762, -0.210216487227222)","1.92505719387987 (-0.205302864430575, 3.7354415720193)","-0.961432121393831 (-3.78478842963025, 1.31532576147225)"
"chemo_antiangio","32.4414165929118 (3.61003989311694, 92.3210585619)","31.9002025443026 (3.0317296038296, 91.8556965159392)","32.8101237826744 (3.88991022111979, 92.698872883013)","32.021188442762 (3.08489424553065, 91.9448033494942)","34.3364424240479 (5.49699885988439, 94.2399401425129)","32.5543752031887 (3.6854918194468, 92.1495392601774)","chemo_antiangio","31.4509627081987 (2.56461083011576, 91.1255714019524)","32.3163709525583 (3.29179568819566, 92.2066063869986)","32.2189369818249 (3.35456098871145, 92.0293100372909)","31.9081471920895 (3.05723054651888, 91.5548186415922)","32.2056399184847 (3.23386679639437, 91.758760294965)","32.9877087129973 (3.96242752847022, 92.5766192986229)","32.3470902253045 (3.44930612990055, 92.3547643082947)","31.931820219819 (3.05295350714436, 91.6352666962717)","31.7368003933418 (2.98285339903714, 91.4387091896263)","31.1568367775217 (2.23549173438647, 91.3997122916117)","32.1722760334409 (3.17567748816668, 92.0202460333787)","31.9914911744823 (3.09803783019403, 91.9231364324769)","32.2816731533358 (3.43731008280053, 92.1740993774557)","31.3916297176115 (2.57567528033908, 91.0972114125542)","32.7474392601147 (3.62466346303663, 92.3617164353524)","32.4827795039699 (3.46378468160549, 92.1452615083027)","32.2312268114414 (3.51931472216778, 91.9772761400065)","33.0945293614026 (4.35702734940148, 93.1565980887573)","32.6453809464243 (3.93553109652588, 92.3128942005323)","-6.3129819891569 (-83.5824391947825, 68.7954008064756)","30.8096148635598 (2.08431712072606, 90.5193711079285)","34.4495901379548 (5.56486130149101, 94.2860688339175)","31.5831504405077 (2.64726664433657, 91.2971005334545)"
"Dacomitinib","1.0769594228405 (-0.795362353806488, 2.88171261782381)","0.55990781988537 (-2.00869938008634, 2.99746232564968)","1.4710139960568 (-1.17363553856594, 4.06396583855295)","0.589064978171059 (-1.68414737328934, 3.52053964719493)","2.89345667129827 (1.24841303842199, 5.52101014007724)","1.07505984202046 (-0.332059692105451, 3.19172697264994)","-31.4509627081987 (-91.1255714019524, -2.56461083011576)","Dacomitinib","0.84823510130659 (-1.95197995431384, 3.81344879898032)","0.768577810156778 (-0.45134211844672, 2.31142592099612)","0.44562784663344 (-0.926292331003289, 2.28619401988911)","0.793530403916317 (-2.04941296829088, 3.83669115836968)","1.47589124430062 (-0.504479945046874, 3.86202199648385)","0.888628107563096 (-1.51459142515877, 3.74174330521826)","0.457896213321075 (-1.15876802953562, 2.84678781596653)","0.333267007848938 (-1.46158881937746, 2.34532938816177)","-0.0997172737538215 (-3.86604568663314, 3.11114222399239)","0.706650894752963 (-1.64805903247574, 3.65621881212019)","0.563917843588358 (-1.43627734111156, 3.0581642299663)","0.979887847284022 (-1.87940714712577, 4.54027408556074)","-0.00626981117979164 (-2.33409601076279, 2.47364917918006)","1.28845628529821 (-1.79825805877079, 4.44996177624454)","1.10896974620365 (-2.0675212857308, 4.30065690797182)","0.904857414470778 (-0.997052302584399, 2.91728254127158)","1.78209891103131 (-0.391320458896952, 4.11350821708022)","1.27774247232465 (-0.770200047452871, 4.00954493646635)","-34.8794386083564 (-112.319703934933, -1.18731971013993)","-0.515483287425798 (-2.31948865674774, 1.21709678055278)","3.00319469279056 (1.04300084212116, 5.3203308393673)","0.115664909281082 (-2.54532822445459, 2.95225468757304)"
"DHFRi","0.233349815711766 (-2.77483682605266, 3.01046909788668)","-0.280209131978146 (-3.75616176419018, 2.88750129441059)","0.619428451573375 (-2.92469055944745, 3.96261882287609)","-0.225701124515513 (-3.41600349204719, 3.26382699826619)","2.09787922813042 (-0.680896730535707, 5.28116969492427)","0.274698553955772 (-2.3787983601444, 3.12583373645392)","-32.3163709525583 (-92.2066063869986, -3.29179568819566)","-0.84823510130659 (-3.81344879898032, 1.95197995431384)","DHFRi","-0.0505272787918759 (-2.59907358274612, 2.46913609371295)","-0.373432469537547 (-3.01793893652299, 2.31726819759299)","-0.0616986420585476 (-3.69141441469448, 3.57250837851049)","0.651086952227363 (-2.34407706464802, 3.76900422060246)","0.0606260174894531 (-3.24570217934595, 3.5556395041133)","-0.349071218876971 (-3.1283033082487, 2.68412354808719)","-0.506182632540256 (-3.36992485333726, 2.36092311348649)","-0.989582605501009 (-5.2636059895083, 2.83641594413941)","-0.121019920049903 (-3.34837783832393, 3.40349510201266)","-0.258083153748293 (-3.22066327504311, 2.937080407587)","0.154591550779633 (-3.46049763678951, 4.20489584831953)","-0.855249662393091 (-4.14315574325457, 2.40177648013264)","0.444408811360716 (-3.39390273141246, 4.20669856797865)","0.256499676410043 (-3.65857976921844, 4.05747984076818)","0.0573063362609522 (-2.96145307468438, 2.99787061193241)","0.942118946458943 (-2.27293546074409, 4.10360164476247)","0.458012787525318 (-2.65207809402772, 3.82547744336948)","-35.6992679215983 (-113.15593206267, -1.84221134842934)","-1.36553642783914 (-4.36499926367703, 1.44193124650597)","2.18977453251653 (-0.802191678199483, 5.24258768564678)","-0.713886000226823 (-4.28337468936897, 2.79405419048386)"
