"","antiangio","chemo","I","I_antiangio","I_chemo","I_HER3i","I_HGFi","I_IGF_1Ri","I_METi","I_MMPi","I_PARPi","II","III","III_Amivantamab","III_antiangio","III_chemo","Placebo"
"antiangio","antiangio","-23.7106735649725 (-72.0699856429023, -2.61184880307997)","-23.686065243332 (-71.8674431905572, -2.83075661786833)","-23.1628792697619 (-71.423706653048, -2.19932087842492)","-24.355964411651 (-72.6709443740471, -3.09759448195938)","-7.38597860193733 (-57.9020609835741, 36.7299955897417)","-51.561490759658 (-115.06899690967, -12.4877773945211)","-22.6269772480435 (-70.8347017102926, -1.26709882389012)","-23.7078206650274 (-71.950532386088, -2.61979517293788)","-8.4180671671123 (-58.8105028836488, 33.6613043079408)","-7.65284841064936 (-59.5837480628278, 34.7675384859103)","-24.5293056881624 (-72.886131019681, -3.50784788185942)","-23.238095653057 (-71.4168983176194, -2.15049778243114)","-23.9964081775894 (-72.4341654749675, -2.47897827727692)","-20.2071836687308 (-68.5414996351164, 1.44360541249818)","-22.3309839164852 (-70.6847218434321, -0.927371711691895)","-25.543045759636 (-73.7568264609296, -4.49776754197742)"
"chemo","23.7106735649725 (2.61184880307997, 72.0699856429023)","chemo","0.0316025032823841 (-2.9238276268379, 3.07825805624958)","0.569706559323544 (-2.79779533375087, 4.06582699978604)","-0.591932592771985 (-4.68347659237675, 3.54252736908912)","15.5941499644332 (-0.343379412415001, 54.1079978415868)","-23.2971284982842 (-75.2518295429719, -1.16121031099399)","1.1105675244515 (-3.39981097115494, 5.80914072285562)","0.0370342967548228 (-3.8138590832803, 3.99112305339983)","15.0371618967085 (-0.873868300184083, 49.5396027497707)","15.3336092791965 (-0.837500288569422, 51.7388994542492)","-0.756975037721036 (-4.25250867592316, 2.42058620495265)","0.50020831750104 (-2.64128013474201, 3.82796732622103)","-0.244395298726663 (-5.06202092697533, 4.61354665745104)","3.51598743030646 (-1.31378282394424, 8.8537472221003)","1.4240179134947 (-3.00302438012822, 5.94390721090069)","-1.75003160209824 (-5.59451763460846, 1.54206954541284)"
"I","23.686065243332 (2.83075661786833, 71.8674431905572)","-0.0316025032823841 (-3.07825805624958, 2.9238276268379)","I","0.526420342361853 (-1.12474856731927, 2.29554553353849)","-0.616835064744439 (-3.56116321424611, 2.18521901016502)","15.505424829125 (0.0859171412738791, 54.1705169488496)","-23.3761078038818 (-75.3151988816238, -1.61567471819647)","1.05952822230334 (-2.38708506771613, 4.64206850957205)","-0.00379468341433498 (-2.5515257983032, 2.50330503337466)","14.9423016456486 (-0.450513032743165, 49.3769025899005)","15.2222551992116 (-0.458000163534898, 51.4675655212405)","-0.786901612896437 (-3.22080117531881, 1.23248752519896)","0.478622186057899 (-1.67175217207352, 2.57524546820926)","-0.27788667374147 (-4.53402251617137, 3.84161280291513)","3.47166417449417 (-0.778921627027591, 8.16552546305253)","1.39137504873569 (-2.44453830893806, 5.15592128308571)","-1.74087342093146 (-4.56827847957081, 0.168809447435421)"
"I_antiangio","23.1628792697619 (2.19932087842492, 71.423706653048)","-0.569706559323544 (-4.06582699978604, 2.79779533375087)","-0.526420342361853 (-2.29554553353849, 1.12474856731927)","I_antiangio","-1.16075801964625 (-4.59342258239508, 2.13003867336377)","14.9712759538133 (-0.634757749768017, 53.6575641460205)","-23.9190560028725 (-75.8757624311834, -2.03075855844432)","0.528409796448379 (-3.33455700929883, 4.4616448017394)","-0.534740311430558 (-3.63748296070875, 2.44651759659536)","14.4031286342444 (-1.16754813226045, 48.8926096144357)","14.6771103945232 (-1.12978192040633, 50.9784859861122)","-1.32175129945875 (-4.37239304262676, 1.25915581839653)","-0.0462345462525485 (-2.85474516457365, 2.61920769292821)","-0.807277721746407 (-5.42759412118734, 3.61441518498824)","2.94434265800709 (-1.70213631729964, 7.89923266021317)","0.868216902577255 (-3.39250621209757, 4.95674447418903)","-2.27880258307068 (-5.70565023893592, 0.21347461294579)"
"I_chemo","24.355964411651 (3.09759448195938, 72.6709443740471)","0.591932592771985 (-3.54252736908912, 4.68347659237675)","0.616835064744439 (-2.18521901016502, 3.56116321424611)","1.16075801964625 (-2.13003867336377, 4.59342258239508)","I_chemo","16.1849404735131 (0.329988945192637, 54.7746039041515)","-22.7193904962618 (-74.7422598530764, -0.636890920185062)","1.70506865624426 (-2.78072294089852, 6.31238648401647)","0.629703621967175 (-3.1547393650966, 4.44223869894128)","15.6447355343458 (-0.200582418536782, 50.0618933954163)","15.9070239799902 (-0.286511014580354, 52.345916131374)","-0.180130834631386 (-3.93273762102392, 3.33733623132014)","1.11558175808901 (-2.4348705142061, 4.69712262122454)","0.355553763897107 (-4.73253434231159, 5.38195471685154)","4.11971864459816 (-1.02964127235676, 9.6070849271286)","2.02079245168874 (-2.76749911267115, 6.6989625202715)","-1.14299530236472 (-5.21153297299917, 2.26762529224551)"
"I_HER3i","7.38597860193733 (-36.7299955897417, 57.9020609835741)","-15.5941499644332 (-54.1079978415868, 0.343379412415001)","-15.505424829125 (-54.1705169488496, -0.0859171412738791)","-14.9712759538133 (-53.6575641460205, 0.634757749768017)","-16.1849404735131 (-54.7746039041515, -0.329988945192637)","I_HER3i","-42.4600830627531 (-102.450421895067, -8.66759076166527)","-14.4726056706413 (-53.1723706846715, 1.59029838298288)","-15.5714012348739 (-54.1951248409762, 0.211781399422979)","-0.674266531240777 (-41.9598637095933, 37.0540982794895)","-0.42477641698554 (-41.4127075972093, 38.3411478195305)","-16.3948958159434 (-54.9189505564693, -0.727215752308755)","-15.0648461414262 (-53.676992787021, 0.595264516746351)","-15.8532000726722 (-54.5400509284265, 0.313189647688965)","-12.0762283966305 (-50.830076551444, 4.31743438516823)","-14.2173732634418 (-52.8553665499515, 1.88173033403775)","-17.4078899506882 (-55.9456165561888, -1.6386124994155)"
"I_HGFi","51.561490759658 (12.4877773945211, 115.06899690967)","23.2971284982842 (1.16121031099399, 75.2518295429719)","23.3761078038818 (1.61567471819647, 75.3151988816238)","23.9190560028725 (2.03075855844432, 75.8757624311834)","22.7193904962618 (0.636890920185062, 74.7422598530764)","42.4600830627531 (8.66759076166527, 102.450421895067)","I_HGFi","24.447447811257 (2.19892680456529, 76.3231140620002)","23.3195940956792 (1.33693772910614, 75.2984013966039)","42.1465095762553 (8.46451287373093, 99.3766064252362)","41.7268154357092 (8.24924410193488, 101.712549757807)","22.581746197233 (0.515496581484356, 74.5043123591892)","23.9048979124584 (1.87283303137272, 75.7163420126591)","23.1252281936419 (0.566931666269136, 75.0406583318244)","27.0245477134743 (4.3574867856795, 78.9357416345122)","24.8199335866211 (2.45254810940706, 76.7252278438598)","21.5406486551014 (-0.550163670418183, 73.3860038778164)"
"I_IGF_1Ri","22.6269772480435 (1.26709882389012, 70.8347017102926)","-1.1105675244515 (-5.80914072285562, 3.39981097115494)","-1.05952822230334 (-4.64206850957205, 2.38708506771613)","-0.528409796448379 (-4.4616448017394, 3.33455700929883)","-1.70506865624426 (-6.31238648401647, 2.78072294089852)","14.4726056706413 (-1.59029838298288, 53.1723706846715)","-24.447447811257 (-76.3231140620002, -2.19892680456529)","I_IGF_1Ri","-1.07571631121611 (-5.47711420306925, 3.16843415287806)","13.9190802245403 (-2.04941116924865, 48.4801417645002)","14.1511251287399 (-2.1483549691573, 50.4648793250367)","-1.85317841477988 (-6.24926341492688, 2.04239841915858)","-0.582503515073046 (-4.784207781131, 3.44704003761002)","-1.35851421292138 (-6.90846642510309, 4.01174063341485)","2.41761901857649 (-3.18499174654523, 8.19442736347834)","0.327330437835767 (-4.94251027977896, 5.38778136522966)","-2.81703084677638 (-7.50809920947843, 0.937477746915723)"
"I_METi","23.7078206650274 (2.61979517293788, 71.950532386088)","-0.0370342967548228 (-3.99112305339983, 3.8138590832803)","0.00379468341433498 (-2.50330503337466, 2.5515257983032)","0.534740311430558 (-2.44651759659536, 3.63748296070875)","-0.629703621967175 (-4.44223869894128, 3.1547393650966)","15.5714012348739 (-0.211781399422979, 54.1951248409762)","-23.3195940956792 (-75.2984013966039, -1.33693772910614)","1.07571631121611 (-3.16843415287806, 5.47711420306925)","I_METi","14.9811266258435 (-0.776549447199754, 49.4576166961132)","15.2357979669458 (-0.76537525888415, 51.5827459460755)","-0.779208074898507 (-4.34677584414093, 2.35510582082865)","0.490773434998519 (-2.81802809398786, 3.75246985763138)","-0.276633323597037 (-5.21788421538583, 4.54904599140723)","3.48864131608787 (-1.47363885726402, 8.77612137172478)","1.39808104709366 (-3.17387794666993, 5.90454278792519)","-1.73375799138065 (-5.63337765001857, 1.26707288984523)"
