"","Afatinib","Almonertinib","antiangio","chemo","Dacomitinib","Erlotinib","Erlotinib_antiangio","Erlotinib_chemo","Erlotinib_HER3i","Erlotinib_HGFi","Erlotinib_IGF_1Ri","Erlotinib_METi","Erlotinib_MMPi","Gefitinib","Gefitinib_chemo","Gefitinib_Erlotinib","Gefitinib_PARPi","Icotinib","Lazertinib","Lazertinib_Amivantamab","Osimertinib","Osimertinib_antiangio","Osimertinib_chemo","Placebo"
"Afatinib","Afatinib","-11.6765143323093 (-46.6755560292177, 4.91503474193455)","24.6947221900766 (3.49253064548423, 73.5836471469728)","1.26603078347586 (-2.39996432996769, 5.65850802239226)","1.11456509694 (-4.46879307402167, 6.96831771552916)","1.0956937515558 (-1.69512609206921, 4.26918454713166)","1.63954980599909 (-1.67770023038027, 5.37523597936194)","0.160796846762051 (-5.21878029618726, 5.53840065914759)","16.346157540598 (0.563884445602768, 52.0419284981324)","-21.7060214394932 (-73.6615014534612, 0.234766241935197)","2.16035545009536 (-2.45455568931141, 7.25451465700603)","1.06651982396611 (-2.81246118909259, 5.34119679323495)","15.9665958648982 (0.0514741286962661, 50.6826731721234)","2.49457683647447 (-2.24051288439163, 8.72619142738133)","2.20092009288339 (-4.40100819615266, 9.87077279721171)","-0.669855839709279 (-6.46837209609046, 5.57180607393567)","17.0177074926139 (0.697793881476749, 52.5386571411024)","18.7014665295118 (2.25857366603996, 54.3017177346917)","2.0400812740837 (-2.83132214663461, 7.9775421526095)","1.274802876693 (-3.86688352459916, 7.34743979066891)","1.72836592264866 (-2.06264719154916, 6.36967059179366)","4.76881850907449 (-0.692716093792764, 11.2745210277157)","2.60399125938095 (-2.37286734737934, 8.54587988927165)","-0.808255827097242 (-4.07027668543671, 2.17778286329625)"
"Almonertinib","11.6765143323093 (-4.91503474193455, 46.6755560292177)","Almonertinib","39.1638814079325 (6.64076396649204, 97.710114768012)","12.9393509731373 (-3.20106389185585, 48.1612511105274)","12.9168343952963 (-4.6312499732157, 48.1753902216522)","12.8222735459644 (-3.681563351532, 47.7376572779995)","13.3741662031527 (-3.2479663273368, 48.3869817675836)","11.8500912830887 (-5.48582327771686, 47.0019719691815)","30.8563139900355 (3.3000827481262, 76.3705818182395)","-9.45761175400538 (-63.4635872415462, 32.0410355697472)","13.9078646877059 (-3.23481618807206, 49.1190541208758)","12.7944342905118 (-3.99952424127258, 47.9031940002906)","30.1790324877562 (2.45437785660367, 75.9649165472038)","14.2059167114119 (-0.752686073592063, 49.108471596228)","13.9447774407722 (-2.05158373486454, 48.9792570045116)","11.1143623208071 (-5.7686276518829, 46.3099018715617)","31.2900165897227 (4.52219859597819, 77.4794427180129)","33.2585250283394 (6.53664188381332, 77.6035024229147)","13.795492082443 (-2.28737178328065, 48.9156331388044)","13.0743191188723 (-3.4504710669527, 48.2234940541733)","13.4697920101525 (-2.65193170178152, 48.4781990559826)","16.6187220358698 (-0.320941204370091, 51.6708764549191)","14.392707025157 (-2.20351420521705, 49.6194644162121)","10.8047134764531 (-5.53926506412536, 45.8067785508841)"
"antiangio","-24.6947221900766 (-73.5836471469728, -3.49253064548423)","-39.1638814079325 (-97.710114768012, -6.64076396649204)","antiangio","-23.3590745195168 (-72.312975109753, -1.86496223274109)","-23.5339609124958 (-72.6197370961073, -1.77435370149105)","-23.5437566020317 (-72.381106148948, -2.71196009434561)","-22.995994051992 (-71.855629045464, -2.04013765318011)","-24.5530928738903 (-73.4429306016956, -2.90544909400438)","-7.73987608507489 (-59.2969819178064, 33.9113949714183)","-50.2991995008099 (-116.770109647385, -11.546553924768)","-22.4681193143967 (-71.3374013748915, -1.04317170241219)","-23.5720815741363 (-72.3903875727963, -2.47083774440376)","-7.80533719952278 (-60.8574666005246, 32.3302968743548)","-22.0272942992768 (-71.2416102017599, -0.0305303605096261)","-22.5042199564028 (-71.9104117866219, 0.414077641929066)","-25.357810900255 (-74.7149340369524, -3.18891907411567)","-6.69861449014651 (-60.2490653618745, 33.592921943264)","-5.34352184848729 (-57.9267919791717, 35.2173559632678)","-22.5349792259768 (-71.6755953764236, -0.575442332224691)","-23.3506664453871 (-72.4525739292669, -1.28731318078909)","-22.8572294586704 (-72.0220979432816, -1.38351605824178)","-19.7607948880179 (-69.2031176835575, 2.29897592103743)","-21.9535978807925 (-71.2410471175498, -0.08201357806963)","-25.5272256748048 (-74.5237125530667, -4.31924336460365)"
"chemo","-1.26603078347586 (-5.65850802239226, 2.39996432996769)","-12.9393509731373 (-48.1612511105274, 3.20106389185585)","23.3590745195168 (1.86496223274109, 72.312975109753)","chemo","-0.194045373205162 (-6.53821458228166, 6.01088377876524)","-0.169034480131194 (-4.35169471175274, 3.62161344331079)","0.385851861643607 (-4.16212611064645, 4.58397395211678)","-1.13930423808803 (-7.37034475044406, 4.59453408248102)","14.9642524765125 (-1.16592837164378, 50.8110227412037)","-23.0582053977495 (-75.0383275841633, -0.938246176512224)","0.923031304465787 (-4.72800255515816, 6.2734604898233)","-0.187219137011706 (-5.19123552362261, 4.47328267493613)","14.5763002908015 (-1.74907793423022, 49.2556399237327)","1.16811982377513 (-3.10540891635006, 6.71566769529845)","0.880819101746342 (-5.4348955287443, 8.00146524021213)","-1.96763163021828 (-7.76203850386314, 3.92600174848811)","15.6229709174862 (-0.472169809184034, 51.1037203369024)","17.3215103018661 (1.17096029514868, 52.8074655118155)","0.712181075154023 (-3.93079535343936, 6.18505336073804)","-0.0521979953539774 (-5.03396055069284, 5.64373847229987)","0.395919266608504 (-3.23381960517777, 4.73159487031538)","3.4471876151968 (-1.96954833837672, 9.66594748557761)","1.29787733916861 (-3.66376519192494, 6.87160302348501)","-2.13007798609771 (-6.38944195577155, 1.56224464447399)"
"Dacomitinib","-1.11456509694 (-6.96831771552916, 4.46879307402167)","-12.9168343952963 (-48.1753902216522, 4.6312499732157)","23.5339609124958 (1.77435370149105, 72.6197370961073)","0.194045373205162 (-6.01088377876524, 6.53821458228166)","Dacomitinib","-0.0113769518425653 (-4.8746647114692, 4.84108793450585)","0.532066083281023 (-4.6682050494254, 5.74482296685844)","-0.988513410184073 (-7.68155997296669, 5.5387518939115)","15.2332395355054 (-1.22248536029751, 51.0916067391715)","-22.9098298955045 (-74.8086309458559, -0.427461896834025)","1.07468908809386 (-5.08666905560698, 7.25864695597739)","-0.0275053714124464 (-5.64503109521946, 5.55262589838815)","14.8626487096037 (-1.74741444618512, 49.6462107320349)","1.42667137632615 (-5.41722603906842, 9.17463861603651)","1.09527366525214 (-7.12139798589634, 10.0234995231136)","-1.7759914047893 (-9.37341968243284, 5.9344806474256)","15.9457744723805 (-1.33593117306479, 51.588339151755)","17.5984587366203 (0.166395852406679, 53.318363250091)","0.926977074689093 (-5.83131320171898, 8.4421414332122)","0.148897821900021 (-6.92956117028033, 7.80695555420566)","0.636974577963147 (-5.55150835067448, 7.1676981189404)","3.67811188301471 (-3.69505074760189, 11.6499532172293)","1.52192898484328 (-5.48004233804068, 9.00073681452755)","-1.92695659256883 (-7.9359241907625, 3.59365023514848)"
"Erlotinib","-1.0956937515558 (-4.26918454713166, 1.69512609206921)","-12.8222735459644 (-47.7376572779995, 3.681563351532)","23.5437566020317 (2.71196009434561, 72.381106148948)","0.169034480131194 (-3.62161344331079, 4.35169471175274)","0.0113769518425653 (-4.84108793450585, 4.8746647114692)","Erlotinib","0.543362604288968 (-1.2756047306811, 2.45862440474808)","-0.921126334505089 (-5.64727761435291, 3.32149981518189)","15.170268357699 (-0.116321363862056, 50.7573467557762)","-22.8206350559334 (-74.6333940937709, -1.24891211561807)","1.08017223221071 (-2.72046154190807, 4.97795078535412)","-0.0211605210209794 (-2.76713626542448, 2.74950489780326)","14.7623849521513 (-0.704470860306979, 49.3308727753622)","1.40183561459673 (-3.41939449879415, 7.39979826850169)","1.08863985416508 (-5.56810820446692, 8.591751081888)","-1.75562959989282 (-7.64597356089188, 4.2366986444531)","15.8618825970274 (-0.485162928703365, 51.2669817085688)","17.526969580922 (1.17583010281828, 53.2669609549981)","0.936663598612975 (-3.95909910705605, 6.63269982148791)","0.167054729213339 (-5.02802306440627, 6.04545924618197)","0.641659351249717 (-3.26224226772643, 4.99135389214192)","3.67088834389832 (-1.90232600006517, 9.9614658093866)","1.51881957527896 (-3.61009432621825, 7.18989143307761)","-1.88114268405656 (-5.42966074222077, 0.854777391990376)"
"Erlotinib_antiangio","-1.63954980599909 (-5.37523597936194, 1.67770023038027)","-13.3741662031527 (-48.3869817675836, 3.2479663273368)","22.995994051992 (2.04013765318011, 71.855629045464)","-0.385851861643607 (-4.58397395211678, 4.16212611064645)","-0.532066083281023 (-5.74482296685844, 4.6682050494254)","-0.543362604288968 (-2.45862440474808, 1.2756047306811)","Erlotinib_antiangio","-1.48984135468811 (-6.55256209770788, 3.16650997936827)","14.6008490192646 (-0.88622084631334, 50.3522518168923)","-23.3816454613895 (-75.1010201610777, -1.66923787827309)","0.54163595437228 (-3.71776475006533, 4.83309560543393)","-0.559017065262179 (-3.90853039685605, 2.76730343430997)","14.1936942319418 (-1.40384384019955, 48.8570717253228)","0.855030248136854 (-4.31478619359089, 7.09391093464594)","0.539796185923909 (-6.3504376011922, 8.24194237496038)","-2.31246064143616 (-8.46313985528331, 3.95684186079723)","15.3281834794466 (-1.17799303404282, 50.7845964893696)","16.9968224544028 (0.469295499446625, 52.7092382633101)","0.389195177256936 (-4.85847505335773, 6.34340256531947)","-0.374550582948447 (-5.88159189481445, 5.78263818995349)","0.0866909366229657 (-4.2007660064429, 4.83227834113239)","3.11868465758039 (-2.73571096516551, 9.67267678362635)","0.965589110527879 (-4.48009941068831, 6.93278036682836)","-2.44422410849678 (-6.48438256147761, 0.839667356268577)"
"Erlotinib_chemo","-0.160796846762051 (-5.53840065914759, 5.21878029618726)","-11.8500912830887 (-47.0019719691815, 5.48582327771686)","24.5530928738903 (2.90544909400438, 73.4429306016956)","1.13930423808803 (-4.59453408248102, 7.37034475044406)","0.988513410184073 (-5.5387518939115, 7.68155997296669)","0.921126334505089 (-3.32149981518189, 5.64727761435291)","1.48984135468811 (-3.16650997936827, 6.55256209770788)","Erlotinib_chemo","16.2350978777018 (-0.094145875359772, 52.0684838735162)","-21.9455288948594 (-73.6727256321172, 0.440986491829666)","2.03850014660962 (-3.68199198837619, 8.05783631227238)","0.924481940705773 (-4.18111821211529, 6.32415413316947)","15.800450263352 (-0.574911322263406, 50.5874196957072)","2.41226376146237 (-4.09969420681715, 9.8569070324719)","2.0895828255084 (-5.88496781640596, 10.8763313184136)","-0.796851422603385 (-8.04427345761668, 6.82653091555422)","16.9869413894638 (-0.246519414347946, 52.5509602659426)","18.6457831159753 (1.44538955666399, 54.4033840444585)","1.8974435753039 (-4.52207766728014, 9.24924128244191)","1.14991582354465 (-5.61673503320265, 8.62701183832035)","1.60521169034647 (-4.15420873121195, 7.98822744771327)","4.65270651306215 (-2.41541817105336, 12.4923786661357)","2.4936980966166 (-4.20278064918076, 9.8074102681747)","-0.976452981252744 (-6.56946631216553, 4.39460344158117)"
"Erlotinib_HER3i","-16.346157540598 (-52.0419284981324, -0.563884445602768)","-30.8563139900355 (-76.3705818182395, -3.3000827481262)","7.73987608507489 (-33.9113949714183, 59.2969819178064)","-14.9642524765125 (-50.8110227412037, 1.16592837164378)","-15.2332395355054 (-51.0916067391715, 1.22248536029751)","-15.170268357699 (-50.7573467557762, 0.116321363862056)","-14.6008490192646 (-50.3522518168923, 0.88622084631334)","-16.2350978777018 (-52.0684838735162, 0.094145875359772)","Erlotinib_HER3i","-41.5497709393263 (-100.2366003267, -7.94967742782708)","-14.1073262023748 (-49.8642024174179, 1.90792520489318)","-15.2127247828864 (-50.8094133570534, 0.466485501752407)","-0.551500673361823 (-38.6586073754881, 37.6116813069642)","-13.7605411603591 (-49.8185195799723, 3.15029121149784)","-14.1600592638502 (-50.3709826950039, 3.64521145952847)","-16.9865237502731 (-53.1058846971384, 0.0315423355923482)","0.807558799245205 (-38.5102883807352, 38.6362675715645)","2.35577485727706 (-38.0282251064742, 42.0717968486023)","-14.2477095464797 (-50.1695006932884, 2.54589748383434)","-14.9844133323831 (-50.9776030153217, 1.86888080032711)","-14.528781604368 (-50.3032919972588, 1.71879989465222)","-11.5283636149356 (-47.5796388069805, 5.55289674723899)","-13.6733700406203 (-49.5096908911608, 3.13223941173119)","-17.1783058771656 (-53.003484577092, -1.35709072131756)"
