"","Afatinib","Afatinib_Cetuximab","Almonertinib","antiangio","chemo","Dacomitinib","Erlotinib","Erlotinib_antiangio","Erlotinib_Autophagyi","Erlotinib_IGF_1Ri","Erlotinib_METi","Gefitinib","Gefitinib_antiangio","Gefitinib_chemo","Gefitinib_Erlotinib","Lazertinib","Lazertinib_Amivantamab","Osimertinib","Osimertinib_antiangio","Osimertinib_chemo","Osimertinib_PD_L1i","Placebo"
"Afatinib","Afatinib","-0.515241589325014 (-1.85147736530826, 0.80143542334538)","0.314397776168645 (-2.0667313835602, 2.64799329612801)","2.19859472102811 (0.402619464961462, 4.02276483099849)","1.04166475546991 (-0.150157761888363, 2.34962413069683)","-0.0616998989215246 (-2.39879878322221, 2.21214050645346)","-0.031297586139261 (-1.71732536002188, 1.6251682113575)","1.84332157043188 (0.129989284336118, 3.55809201041623)","-0.707233405375744 (-3.07198879837896, 1.59870071575452)","1.08714420765729 (-1.2417574790619, 3.45186475665999)","24.5088195639429 (0.613572523807533, 96.2996880159295)","0.0630149072299251 (-1.85872717967112, 1.93489169283752)","2.76919241625442 (0.590930277266188, 5.08645784345475)","0.181124210351016 (-1.87289427083454, 2.20635930627913)","-0.43021912459165 (-2.58204127147697, 1.79832719370516)","0.0569123381609203 (-1.84343292424557, 1.96015851620964)","0.00165221463300796 (-1.99688284636401, 2.05888331369665)","-0.10919464260222 (-1.75954351182281, 1.61209086130329)","2.24119247673902 (0.358451872819356, 4.21802832241025)","0.249390369884113 (-1.81732916409873, 2.46983272460742)","-44.0704936219286 (-154.284363681216, -1.54025681516497)","0.206520108405477 (-1.6583562811968, 2.03317832179705)"
"Afatinib_Cetuximab","0.515241589325014 (-0.80143542334538, 1.85147736530826)","Afatinib_Cetuximab","0.826674783290078 (-1.88527106514244, 3.51405840933383)","2.71017071768807 (0.491176124201179, 4.98990433009815)","1.55203495806934 (-0.196029621395022, 3.4599503919605)","0.455095472460029 (-2.22046390467897, 3.09473312125074)","0.485254401912324 (-1.6533197688735, 2.60572604253089)","2.35502884947125 (0.208555239080018, 4.54197284867105)","-0.196173443151404 (-2.89988444484211, 2.46370101383781)","1.60389642455833 (-1.05822952535952, 4.297663653171)","25.046221471716 (1.06052186250999, 96.807241126341)","0.578746015321607 (-1.74520017568295, 2.87243087752015)","3.28464116535435 (0.775378775802834, 5.96310339519985)","0.696859533863171 (-1.72610700533239, 3.12894869168723)","0.0783703989006725 (-2.41960732649368, 2.69484300689189)","0.571473031695358 (-1.73437177765966, 2.90177987799842)","0.513516617128954 (-1.86938798188454, 2.98874329511453)","0.402514926433519 (-1.69090044098988, 2.58570786205201)","2.75050789904537 (0.474570971093686, 5.14155849686694)","0.76042889324146 (-1.65699771386649, 3.35933253500092)","-43.5474964989658 (-153.855327453417, -0.988004769829856)","0.723403201185451 (-1.56011874156572, 2.9798049828334)"
"Almonertinib","-0.314397776168645 (-2.64799329612801, 2.0667313835602)","-0.826674783290078 (-3.51405840933383, 1.88527106514244)","Almonertinib","1.87113672403188 (-0.137795926749985, 4.06129380517492)","0.724626255437198 (-1.38074930963974, 2.99321246213065)","-0.37553483338003 (-2.29125239221036, 1.52074962342247)","-0.357480288295044 (-2.41519728321272, 1.80899207616671)","1.513718101825 (-0.552875050699639, 3.73647138923643)","-1.0349533510897 (-3.66832051474197, 1.64549028999478)","0.759313973166546 (-1.87057431488275, 3.50238161115158)","24.2084523434576 (0.244212700021571, 95.8509728756122)","-0.253826827853368 (-1.64039187071272, 1.12457041870188)","2.44850704104682 (0.751629989889774, 4.38970551841845)","-0.130325613056789 (-1.6949244253251, 1.45109446592726)","-0.752866196795246 (-3.20836315977357, 1.83006115166375)","-0.252549931318435 (-2.15968351053232, 1.66259113629778)","-0.307946581885197 (-2.49658967661815, 1.94811204447964)","-0.422531753966238 (-2.45422128335446, 1.71563910875533)","1.92455680942613 (-0.284736504758422, 4.2860353136677)","-0.0664957402916495 (-2.40912550438937, 2.48820106621696)","-44.3017183362621 (-154.681709905398, -1.81545149399811)","-0.119522748897479 (-2.33093003523263, 2.15243254311033)"
"antiangio","-2.19859472102811 (-4.02276483099849, -0.402619464961462)","-2.71017071768807 (-4.98990433009815, -0.491176124201179)","-1.87113672403188 (-4.06129380517492, 0.137795926749985)","antiangio","-1.15591099062833 (-2.6695424966835, 0.458124563172154)","-2.24285308474059 (-4.40223166971985, -0.309099536831733)","-2.22311498494139 (-3.14866135503714, -1.39060566402121)","-0.357014680895244 (-1.26905544874555, 0.55530142455038)","-2.9032524510306 (-4.79472128144711, -1.11489872795377)","-1.11600920908858 (-2.98455765431353, 0.780586455852138)","22.3308342545442 (-1.4937182198759, 94.1485926794921)","-2.11576101797336 (-3.80904587834371, -0.647600979230734)","0.590891548077839 (-1.3687904898805, 2.55235734026567)","-1.99758071305277 (-3.8352586581117, -0.343585845854017)","-2.62427255661731 (-4.80676218052197, -0.437804595918554)","-2.13205660933671 (-3.9343912227742, -0.440869330985056)","-2.18638720265787 (-4.18356892417706, -0.257541346388134)","-2.30503737454943 (-3.98731928822585, -0.619018087493358)","0.0468356487788829 (-1.85399224352841, 1.98846755641616)","-1.9455927055536 (-4.00734995490669, 0.196902856784194)","-46.2472485584956 (-156.507561778698, -3.68464490543961)","-1.98953662820923 (-3.4628604638635, -0.606418584397972)"
"chemo","-1.04166475546991 (-2.34962413069683, 0.150157761888363)","-1.55203495806934 (-3.4599503919605, 0.196029621395022)","-0.724626255437198 (-2.99321246213065, 1.38074930963974)","1.15591099062833 (-0.458124563172154, 2.6695424966835)","chemo","-1.10359626686544 (-3.34051768420023, 0.948169373058082)","-1.06898110347562 (-2.56025953448882, 0.255280439014897)","0.80590759035299 (-0.707743654045905, 2.19872706086898)","-1.75325877049471 (-3.98039413466549, 0.315000301170289)","0.0385866914180727 (-2.15646355982846, 2.19772109117884)","23.475520958428 (-0.430919846771212, 95.1926347372621)","-0.979707715883195 (-2.75810963888332, 0.649112936517024)","1.73141579574988 (-0.289131217964829, 3.78862698123292)","-0.858238784399932 (-2.77937283446766, 0.926591191107213)","-1.473487169543 (-3.40190695128187, 0.380568162180141)","-0.98282856935198 (-2.65867613656747, 0.571211811658587)","-1.03494603159214 (-2.81554167540999, 0.653454173496678)","-1.15249412569587 (-2.46468060127297, 0.0940903484621758)","1.19853613784584 (-0.388898927591004, 2.76956322203036)","-0.791445530237566 (-2.58560698822045, 1.04595797614941)","-45.1272306761678 (-155.41574906665, -2.61134851982513)","-0.83528397029281 (-2.54795027132063, 0.743783102502865)"
"Dacomitinib","0.0616998989215246 (-2.21214050645346, 2.39879878322221)","-0.455095472460029 (-3.09473312125074, 2.22046390467897)","0.37553483338003 (-1.52074962342247, 2.29125239221036)","2.24285308474059 (0.309099536831733, 4.40223166971985)","1.10359626686544 (-0.948169373058082, 3.34051768420023)","Dacomitinib","0.0230061767246647 (-1.98889938913722, 2.13971964119052)","1.89350083121793 (-0.111802522873065, 4.07146214589632)","-0.649972846053094 (-3.24651242593186, 1.99192875208753)","1.14583046915477 (-1.45108138555633, 3.83011310059948)","24.5981997213732 (0.652806083264672, 96.4159040267472)","0.127392368172046 (-1.18415147762388, 1.44144039097952)","2.82765879719508 (1.17492528652071, 4.73747926329845)","0.247017654313505 (-1.24372034933969, 1.78201793239104)","-0.372382752748864 (-2.77123979388491, 2.17100622068574)","0.126264560109013 (-1.71547858036998, 1.99677612511838)","0.0726001938876774 (-2.07416852318514, 2.2808899026468)","-0.0470620710440763 (-2.02617892512988, 2.05866616535231)","2.30301891676392 (0.149063624536015, 4.61667662490605)","0.311661203355152 (-2.00668479031699, 2.82771984778855)","-43.9904387210804 (-154.286948779867, -1.42542892055768)","0.264533779832543 (-1.89821511191448, 2.49663279552012)"
"Erlotinib","0.031297586139261 (-1.6251682113575, 1.71732536002188)","-0.485254401912324 (-2.60572604253089, 1.6533197688735)","0.357480288295044 (-1.80899207616671, 2.41519728321272)","2.22311498494139 (1.39060566402121, 3.14866135503714)","1.06898110347562 (-0.255280439014897, 2.56025953448882)","-0.0230061767246647 (-2.13971964119052, 1.98889938913722)","Erlotinib","1.86888739629395 (1.48559801966243, 2.32973940708119)","-0.675916161065914 (-2.32311030470379, 0.92075002550958)","1.10850402478729 (-0.494667334037409, 2.82611451361982)","24.5662734588337 (0.761034434194612, 96.3312375663462)","0.108599464473992 (-1.55248161231887, 1.64219663036867)","2.81233437618733 (0.871981289167429, 4.84596502636817)","0.226353419948703 (-1.57688520915385, 1.94424069952615)","-0.400740613150252 (-2.46470759722322, 1.73864020467771)","0.0924212021253264 (-1.6202651796182, 1.77950646325709)","0.0418195538771943 (-1.84595905188313, 1.95224283729832)","-0.0771128374438945 (-1.62121678863809, 1.54006839742132)","2.2707392154918 (0.498886896844233, 4.16350009388962)","0.280103641824736 (-1.68506954217811, 2.40447092182455)","-44.0167583371238 (-154.352274574073, -1.45044000821119)","0.235717685854291 (-0.940742155833234, 1.41366512467007)"
"Erlotinib_antiangio","-1.84332157043188 (-3.55809201041623, -0.129989284336118)","-2.35502884947125 (-4.54197284867105, -0.208555239080018)","-1.513718101825 (-3.73647138923643, 0.552875050699639)","0.357014680895244 (-0.55530142455038, 1.26905544874555)","-0.80590759035299 (-2.19872706086898, 0.707743654045905)","-1.89350083121793 (-4.07146214589632, 0.111802522873065)","-1.86888739629395 (-2.32973940708119, -1.48559801966243)","Erlotinib_antiangio","-2.55031733171634 (-4.26412554335627, -0.934667882143123)","-0.766651263015215 (-2.44107831069089, 0.985332766658813)","22.685753680281 (-1.12128521327628, 94.5343104185441)","-1.76375226188401 (-3.49176551893417, -0.22013391749268)","0.939672078649965 (-1.05571890538397, 2.9637782770027)","-1.64350524940879 (-3.50465662049329, 0.0720752702874077)","-2.27259539212276 (-4.39575876409452, -0.125620680744515)","-1.77975391216297 (-3.55387142850055, -0.0860692583282006)","-1.83116115963834 (-3.78133463201744, 0.0812037523676954)","-1.95259870509871 (-3.5603242859271, -0.312885714660514)","0.399421451209505 (-1.43238991899721, 2.30505628070737)","-1.59430868224451 (-3.60831892192756, 0.529005734585561)","-45.9215327750808 (-156.279105399806, -3.34756105604011)","-1.63143155532532 (-2.92319099930764, -0.427747163657163)"
"Erlotinib_Autophagyi","0.707233405375744 (-1.59870071575452, 3.07198879837896)","0.196173443151404 (-2.46370101383781, 2.89988444484211)","1.0349533510897 (-1.64549028999478, 3.66832051474197)","2.9032524510306 (1.11489872795377, 4.79472128144711)","1.75325877049471 (-0.315000301170289, 3.98039413466549)","0.649972846053094 (-1.99192875208753, 3.24651242593186)","0.675916161065914 (-0.92075002550958, 2.32311030470379)","2.55031733171634 (0.934667882143123, 4.26412554335627)","Erlotinib_Autophagyi","1.79207337490743 (-0.475946590397407, 4.1494098620636)","25.235742488039 (1.31744042118442, 97.2292628826878)","0.778429869554722 (-1.50318805567581, 3.02353642902199)","3.48744761120629 (1.01601714710702, 6.12385596715623)","0.899652675087176 (-1.49491421355063, 3.27203397649326)","0.283953143022199 (-2.33888664526856, 2.98373992650249)","0.770597451426946 (-1.56199023797385, 3.11232402242584)","0.71439458133198 (-1.73645411554213, 3.25092677715693)","0.604410700814584 (-1.6103166200127, 2.90812015436458)","2.95164227237492 (0.576113143565914, 5.46357180859547)","0.96326129601861 (-1.55863932257439, 3.67370022959788)","-43.344823569667 (-153.775871840687, -0.713970144515712)","0.917981478963746 (-1.06962744806892, 2.92510308235947)"
