"","Afatinib","Afatinib_Cetuximab","Almonertinib","antiangio","chemo","Dacomitinib","DHFRi","Erlotinib","Erlotinib_antiangio","Erlotinib_Autophagyi","Erlotinib_chemo","Erlotinib_COX2i","Erlotinib_ERi","Erlotinib_HER3i","Erlotinib_HGFi","Erlotinib_IGF_1Ri","Erlotinib_METi","Erlotinib_MMPi","Gefitinib","Gefitinib_chemo","Gefitinib_ERi","Gefitinib_Erlotinib","Lazertinib","Lazertinib_Amivantamab","Osimertinib","Osimertinib_antiangio","Osimertinib_chemo","Placebo","Rociletinib"
"Afatinib","Afatinib","0.414174684304393 (-1.26666589703009, 2.15550335089911)","31.6529394225111 (3.63983146736764, 92.1844963448838)","0.554324922534031 (-0.746095304548158, 2.01801108951857)","0.112952573946571 (-0.789147524965991, 1.05981831242253)","-0.332814115915712 (-1.55019388030127, 0.879794274509868)","-0.138260301017601 (-4.02565317855088, 3.78245146034705)","-0.185574569068044 (-1.03491793854332, 0.717081783869797)","-0.0903109065109511 (-1.10911144799914, 0.929636440862576)","-36.8280495424797 (-105.884549479283, -3.23989264659957)","-0.246811122137005 (-1.73050229879338, 1.41632680151938)","-33.0750727442668 (-117.99660254893, -1.60841109372229)","0.594246200262764 (-0.954439359171246, 2.19089245570431)","-0.555163118068022 (-2.69748408023827, 1.69297219632314)","-0.349756920094837 (-3.91568088574218, 3.72250412198985)","1.39911205298256 (-0.106189177566216, 3.19042498812932)","0.0777442934566966 (-1.11971733749821, 1.21968779961374)","-0.828960062781449 (-2.83357293960805, 1.15113333482319)","-0.573226873082465 (-1.52681940588616, 0.355684874576798)","0.342114714070114 (-1.07222154051749, 1.8709352777806)","1.08459237810077 (-0.435624765706513, 2.64250799179739)","-1.51715853822401 (-3.62420773010253, 0.484612945245794)","0.188250100388997 (-1.1556510027219, 1.52389183847233)","1.69722021078721 (0.114869530923138, 3.25091910475348)","-0.220748324123926 (-1.41448313017722, 0.943084625834109)","-1.03301915670471 (-3.70610628164646, 1.38088688860049)","0.529456704249989 (-1.38922556711211, 2.46069389046593)","-0.391136034888054 (-1.35642950968197, 0.533195094129287)","-0.158867941858198 (-4.04920911011034, 3.74497143219119)"
"Afatinib_Cetuximab","-0.414174684304393 (-2.15550335089911, 1.26666589703009)","Afatinib_Cetuximab","31.24170899185 (3.13167316838323, 91.8328131284029)","0.140937672469205 (-2.02405655926621, 2.38818074801821)","-0.299929328204258 (-2.25382037780531, 1.65214129210385)","-0.747276208258062 (-2.85861540276264, 1.33924518667537)","-0.558339745038098 (-4.77746954817211, 3.71267661692547)","-0.598871313008543 (-2.521153617357, 1.33996724242922)","-0.505923786857867 (-2.53239143072455, 1.47494388619243)","-37.2506912498751 (-106.348008271045, -3.58407493556337)","-0.654533905602205 (-2.90399583532423, 1.73413733609063)","-33.4864942175617 (-118.424082396191, -1.97381519762178)","0.175485985546669 (-2.13659183267413, 2.51565918305395)","-0.968941741925697 (-3.73225084880973, 1.84968669914859)","-0.761249262338703 (-4.72895001961254, 3.67145856859505)","0.987904945394392 (-1.28826064493437, 3.48516840072118)","-0.3378019389554 (-2.45726452039347, 1.708963205033)","-1.24996820891145 (-3.88084674175538, 1.38474669754202)","-0.987212696826073 (-2.97808291619073, 0.94169432944986)","-0.0727773862552993 (-2.30712767155012, 2.21042799690549)","0.668622863034385 (-1.63137432158179, 2.967778913959)","-1.94106666686912 (-4.66088192296776, 0.674552914442123)","-0.228769609274549 (-2.42243362642403, 1.92215652064957)","1.27658590071189 (-1.0601198121699, 3.6022904493324)","-0.641620768082037 (-2.75151671973373, 1.41099759766486)","-1.45989352593786 (-4.61817637081719, 1.49508130806744)","0.109945288775944 (-2.48112153666837, 2.69580383149987)","-0.806985807009201 (-2.79408504545798, 1.11724220015468)","-0.5903821278307 (-4.80376850859517, 3.67921254850401)"
"Almonertinib","-31.6529394225111 (-92.1844963448838, -3.63983146736764)","-31.24170899185 (-91.8328131284029, -3.13167316838323)","Almonertinib","-31.0860793676502 (-91.5901303461877, -3.07025519581699)","-31.5247653966796 (-92.0821015100171, -3.53541845495423)","-32.0042482911686 (-92.5289060174853, -3.9735876357573)","-31.7796265439624 (-92.5589563956194, -3.39192600959211)","-31.8478556175187 (-92.348496786059, -3.81252526821933)","-31.7294300334659 (-92.28165927934, -3.73387911030372)","-73.6988003841389 (-159.899053580741, -16.6457341874461)","-31.8328097423978 (-92.4803558310412, -3.85030594709979)","-72.1380403112109 (-161.787131886907, -17.660521063083)","-31.0497517986944 (-91.6759047996326, -3.01365444162175)","-32.1430649830241 (-92.7527987438582, -4.05300174756672)","-31.895387884744 (-92.7746195110109, -3.51499087368239)","-30.1885523841807 (-90.7089688159101, -2.21937505843865)","-31.5603652245712 (-92.0803052321843, -3.57960104663084)","-32.4886421602535 (-93.0930117490629, -4.39077503746815)","-32.2266640592341 (-92.7622552129182, -4.23727918887753)","-31.2706626341692 (-91.8284148452646, -3.30874728954242)","-30.5224723813974 (-91.044266690059, -2.53371293973416)","-33.1770772853741 (-93.8296772176775, -5.11140199793363)","-31.4559341741185 (-92.0452439810777, -3.47284260697087)","-29.9567322912337 (-90.4808621106698, -1.92201339961442)","-31.8862315765913 (-92.4450058166997, -3.88477955650208)","-32.6774562552153 (-93.3325859977394, -4.56470191349412)","-31.131324401225 (-91.6896355543985, -3.05039889135574)","-32.034469993515 (-92.6297163306148, -4.05995342861718)","-31.7808959810624 (-92.5223600631646, -3.49323663137077)"
"antiangio","-0.554324922534031 (-2.01801108951857, 0.746095304548158)","-0.140937672469205 (-2.38818074801821, 2.02405655926621)","31.0860793676502 (3.07025519581699, 91.5901303461877)","antiangio","-0.440900548537801 (-1.77113468428579, 0.788971431044376)","-0.883594731308051 (-2.39185307306412, 0.465280650728659)","-0.709016370391354 (-4.65080261090949, 3.26003578922317)","-0.737019130817016 (-1.85086939505024, 0.274896262155184)","-0.645894653107238 (-1.87723571044591, 0.432236536336503)","-37.4038967959389 (-106.456852051814, -3.76816834707457)","-0.804532442502054 (-2.42248760671608, 0.879808934095172)","-33.6794161839577 (-118.497030437987, -2.23727074992059)","0.0390769055624513 (-1.78436999256948, 1.74537611491249)","-1.11932141926153 (-3.39411351933102, 1.1650262344916)","-0.914298363236589 (-4.57542130637448, 3.19529837567276)","0.845463636806556 (-0.81650769110031, 2.65496325104168)","-0.469825237333815 (-1.92185673273227, 0.755961689298119)","-1.38492084385369 (-3.52731110038517, 0.610915098882978)","-1.12755944737312 (-2.56879920877502, 0.143184329053471)","-0.216258185799269 (-1.97126329723781, 1.52314480686006)","0.532923640839824 (-1.25003376486117, 2.20475809260734)","-2.06972587247444 (-4.42751831601212, 0.0597811945599279)","-0.363791339625618 (-2.07849670065575, 1.18115396582164)","1.14602122389027 (-0.774681365242207, 2.86934780903635)","-0.775896021337221 (-2.34296909397381, 0.613579454650532)","-1.60026160152763 (-4.45056652569341, 0.930615158695152)","-0.0240935061814851 (-2.22624332934222, 2.02852193735476)","-0.944061149520734 (-2.33937422278973, 0.248760851069106)","-0.727882518704882 (-4.6672828977483, 3.16429527258922)"
"chemo","-0.112952573946571 (-1.05981831242253, 0.789147524965991)","0.299929328204258 (-1.65214129210385, 2.25382037780531)","31.5247653966796 (3.53541845495423, 92.0821015100171)","0.440900548537801 (-0.788971431044376, 1.77113468428579)","chemo","-0.444969349782789 (-1.59837718130894, 0.658307865206097)","-0.25364225907283 (-4.09729642700249, 3.62881255231553)","-0.297727794416453 (-1.0055119058449, 0.416739698057185)","-0.204282342083149 (-1.11900713037578, 0.657091242653105)","-36.9452609844718 (-105.981968812285, -3.34315690879426)","-0.355242426104995 (-1.7645174211379, 1.18384801091334)","-33.199164387225 (-118.047811563424, -1.77202469610541)","0.480964958161013 (-1.02028276846521, 1.97975036323259)","-0.676837474894472 (-2.76523069835866, 1.51581339631494)","-0.46048846843721 (-4.0036065456677, 3.58542163398609)","1.28896377288131 (-0.151250961609568, 2.96038427871389)","-0.0325922247891178 (-1.15347371234084, 0.991149633700424)","-0.936605866033148 (-2.90011600362415, 0.939157135692113)","-0.682636220087822 (-1.56258602825819, 0.116956778684152)","0.228569293602325 (-1.14327775827367, 1.67177517443424)","0.974080123233965 (-0.485661299486907, 2.41670122685615)","-1.62744224540354 (-3.67473741981, 0.260648994079369)","0.0750715657676315 (-1.18703692477135, 1.26774210374828)","1.58360827003197 (0.0774012891890252, 3.00325880124665)","-0.338262671349456 (-1.38718247720839, 0.639053364617044)","-1.14757096140376 (-3.75610525906525, 1.16786111524872)","0.414720251222105 (-1.42822641343978, 2.22540107987576)","-0.505555335856347 (-1.42114147397292, 0.337238092008101)","-0.284884260912164 (-4.11187430357663, 3.58481592272037)"
"Dacomitinib","0.332814115915712 (-0.879794274509868, 1.55019388030127)","0.747276208258062 (-1.33924518667537, 2.85861540276264)","32.0042482911686 (3.9735876357573, 92.5289060174853)","0.883594731308051 (-0.465280650728659, 2.39185307306412)","0.444969349782789 (-0.658307865206097, 1.59837718130894)","Dacomitinib","0.1979802950565 (-3.71116419808288, 4.12515678212601)","0.147369647247898 (-0.775592702953649, 1.12461052526159)","0.2406594332486 (-0.837541551341997, 1.32919446816251)","-36.5130504969569 (-105.553811387672, -2.8535376362386)","0.0850644723262426 (-1.44322882779554, 1.80884358819209)","-32.7609143557195 (-117.568306009676, -1.32873518773116)","0.926086741052488 (-0.703704026800309, 2.59895574594336)","-0.223397673985208 (-2.39612409322682, 2.06350252830994)","-0.0147898456978951 (-3.59534211179297, 4.0618890622279)","1.73475876918171 (0.186009491969252, 3.56301566849642)","0.411043093389441 (-0.851657964472668, 1.61607249220729)","-0.500695467462824 (-2.52932253567414, 1.52851534532245)","-0.238280111906796 (-1.38545751460173, 0.87762691831573)","0.672850798770112 (-0.864943146930495, 2.33396421840394)","1.41744627252318 (-0.176113873164157, 3.04823984158721)","-1.18584435839909 (-3.35551750187006, 0.900640293284829)","0.520164449571583 (-0.938398323591339, 1.97639504385058)","2.02581429000166 (0.342144839210151, 3.69719403485605)","0.109529035843986 (-1.19847374617369, 1.39193177337698)","-0.702108545689442 (-3.41535208908672, 1.75267974217581)","0.858331657884034 (-1.11469398559692, 2.86357703772375)","-0.0581317840112384 (-1.09118914889703, 0.942952699900994)","0.174377004424108 (-3.72485811734681, 4.09015391461016)"
"DHFRi","0.138260301017601 (-3.78245146034705, 4.02565317855088)","0.558339745038098 (-3.71267661692547, 4.77746954817211)","31.7796265439624 (3.39192600959211, 92.5589563956194)","0.709016370391354 (-3.26003578922317, 4.65080261090949)","0.25364225907283 (-3.62881255231553, 4.09729642700249)","-0.1979802950565 (-4.12515678212601, 3.71116419808288)","DHFRi","-0.0470889766779663 (-3.86744597370465, 3.74353102201949)","0.0423118708035304 (-3.79780379042945, 3.86009921054047)","-36.6658346330595 (-105.725100169484, -2.72419586524104)","-0.0914615701173085 (-4.0915224231798, 3.94358688770173)","-33.0313274016383 (-117.9814513858, -1.19049770372689)","0.732773977496404 (-3.30306732316083, 4.76526715657067)","-0.409916333158238 (-4.7000088134841, 3.9066807728561)","-0.18094069397845 (-5.32159811204295, 5.19594607675147)","1.55986106476562 (-2.43010227560249, 5.64342412058109)","0.207536809605416 (-3.69138874032675, 4.06501413397591)","-0.701718338976549 (-4.90106849767591, 3.46623170230167)","-0.438231233052351 (-4.33559566140178, 3.42943010612658)","0.479905180461535 (-3.54307890131051, 4.51258889906149)","1.2251545542578 (-2.79684946480868, 5.22583620634712)","-1.40035020219417 (-5.68308960037927, 2.84384805967742)","0.316046100987905 (-3.66396264353784, 4.30145542179412)","1.82849680054305 (-2.24826266439836, 5.87300183712007)","-0.0966290071802903 (-4.01496026060758, 3.82241761971727)","-0.921737477724762 (-5.45072924161772, 3.52814349706976)","0.665748793385647 (-3.5136731575398, 4.84742537159823)","-0.257558533422524 (-4.13788770611499, 3.58262034625188)","-0.0446830219793068 (-5.35923764397122, 5.29234012890596)"
"Erlotinib","0.185574569068044 (-0.717081783869797, 1.03491793854332)","0.598871313008543 (-1.33996724242922, 2.521153617357)","31.8478556175187 (3.81252526821933, 92.348496786059)","0.737019130817016 (-0.274896262155184, 1.85086939505024)","0.297727794416453 (-0.416739698057185, 1.0055119058449)","-0.147369647247898 (-1.12461052526159, 0.775592702953649)","0.0470889766779663 (-3.74353102201949, 3.86744597370465)","Erlotinib","0.0910781115776853 (-0.471729858049357, 0.601093851758618)","-36.6750497716993 (-105.615179706268, -3.06375861938424)","-0.0598493645697845 (-1.28546272604903, 1.29239435668328)","-32.8937423537239 (-117.741038931349, -1.48118377527025)","0.774910518135694 (-0.634473680985054, 2.18861024001808)","-0.378462643731025 (-2.34213299935288, 1.68758679234305)","-0.165278999787934 (-3.63925715111214, 3.81870252128688)","1.57938774943387 (0.337384621824047, 3.10034947679337)","0.265944469400404 (-0.58818322277786, 1.00455268027023)","-0.643139898420835 (-2.47382709933684, 1.10402828508095)","-0.390632781698429 (-1.24934682032249, 0.411796180926858)","0.521902924003922 (-0.832283081278294, 1.95838565262685)","1.26885183785088 (-0.0949185295715621, 2.62660672001309)","-1.33018953132123 (-3.38480721728228, 0.562646540660057)","0.371871436794669 (-0.897498958421781, 1.57445117420704)","1.8829005751113 (0.371421175314982, 3.30417407226411)","-0.0400419683312547 (-1.10853043890945, 0.952566280865858)","-0.848720043865888 (-3.47699153215343, 1.46659161822624)","0.710761178370123 (-1.13238228372047, 2.5288349434197)","-0.208587024035042 (-0.968021905612185, 0.476223138085406)","0.0109042984531064 (-3.75718842037939, 3.80355467341113)"
"Erlotinib_antiangio","0.0903109065109511 (-0.929636440862576, 1.10911144799914)","0.505923786857867 (-1.47494388619243, 2.53239143072455)","31.7294300334659 (3.73387911030372, 92.28165927934)","0.645894653107238 (-0.432236536336503, 1.87723571044591)","0.204282342083149 (-0.657091242653105, 1.11900713037578)","-0.2406594332486 (-1.32919446816251, 0.837541551341997)","-0.0423118708035304 (-3.86009921054047, 3.79780379042945)","-0.0910781115776853 (-0.601093851758618, 0.471729858049357)","Erlotinib_antiangio","-36.7369557125166 (-105.728848443737, -3.14013670818443)","-0.148896364406924 (-1.47137166549107, 1.3409954858064)","-33.0075742086212 (-117.841630803373, -1.584391405488)","0.685096980854679 (-0.794465571624958, 2.20875224368525)","-0.464395124545188 (-2.48589919682719, 1.67808445359535)","-0.256256702942735 (-3.76620217733455, 3.7792462017104)","1.49044291779979 (0.150294503193087, 3.13017393476566)","0.173369318139601 (-0.804585997970749, 1.08672868296388)","-0.735045222459638 (-2.62359826450011, 1.11129335693524)","-0.481080654260325 (-1.47048083519743, 0.49205735364122)","0.431939607440482 (-1.01106122619093, 1.997564186079)","1.17802265432718 (-0.268494851200629, 2.66015776289563)","-1.42251454967547 (-3.5208384371617, 0.550859690791151)","0.278677059514894 (-1.0725503463271, 1.62826802521908)","1.78773340718301 (0.226939785975634, 3.33490582712487)","-0.130842044598454 (-1.30278572377056, 1.01547664522399)","-0.938302801269379 (-3.60279132906695, 1.46411070863438)","0.619427648831577 (-1.27259731595205, 2.53201643244184)","-0.300917169326121 (-1.19978713892281, 0.577257775637022)","-0.0730308169638289 (-3.87200140394332, 3.7522518042795)"
