"","x"
"Afatinib",0.5067
"Afatinib_Cetuximab",0.048
"Afatinib_HMGCRi",0.044
"Almonertinib",0.764
"antiangio",0.7507
"chemo",0.6167
"Dacomitinib",0.2768
"DHFRi",0.4555
"Erlotinib",0.4245
"Erlotinib_antiangio",0.4772
"Erlotinib_chemo",0.6535
"Erlotinib_HER3i",0.468
"Erlotinib_IGF_1Ri",0.4938
"Erlotinib_METi",0.2732
"Furmonertinib",0.7155
"Gefitinib",0.6655
"Gefitinib_Erlotinib",0.3508
"Lazertinib",0.6119
"Lazertinib_Amivantamab",0.5603
"Osimertinib",0.5
"Osimertinib_antiangio",0.9896
"Osimertinib_chemo",0.6474
"Placebo",0.1916
"Rociletinib",0.4583
"Zorifertinib",0.5567
