[1] "Serious Arrhythmias[2025-05-26 04:42:47]: mtc.nodesplit"
Node-splitting analysis of inconsistency
========================================

   comparison               p.value  CrI                
1  d.Afatinib.chemo         0.044075                    
2  -> direct                         14. (0.49, 50.)    
3  -> indirect                       -0.10 (-2.0, 2.4)  
4  -> network                        0.43 (-1.4, 3.0)   
5  d.Afatinib.Erlotinib     0.216975                    
6  -> direct                         -1.0 (-3.3, 1.3)   
7  -> indirect                       1.1 (-1.6, 4.2)    
8  -> network                        -0.37 (-1.8, 1.7)  
9  d.Afatinib.Gefitinib     0.087050                    
10 -> direct                         17. (-0.49, 58.)   
11 -> indirect                       0.20 (-2.9, 3.5)   
12 -> network                        0.75 (-1.6, 4.0)   
13 d.Afatinib.Placebo       0.977275                    
14 -> direct                         -1.6 (-5.4, 1.1)   
15 -> indirect                       -1.6 (-4.3, 1.3)   
16 -> network                        -1.6 (-3.5, 0.31)  
17 d.chemo.Erlotinib        0.239050                    
18 -> direct                         -0.36 (-2.4, 1.3)  
19 -> indirect                       -2.4 (-6.5, 0.76)  
20 -> network                        -0.78 (-2.5, 0.69) 
21 d.chemo.Erlotinib_chemo  0.899525                    
22 -> direct                         0.047 (-4.0, 4.1)  
23 -> indirect                       0.31 (-3.4, 4.3)   
24 -> network                        0.34 (-2.4, 2.9)   
25 d.chemo.Gefitinib        0.008550                    
26 -> direct                         -0.62 (-3.3, 1.7)  
27 -> indirect                       15. (1.8, 44.)     
28 -> network                        0.32 (-1.7, 2.5)   
29 d.chemo.Osimertinib      0.205875                    
30 -> direct                         0.63 (-2.3, 4.4)   
31 -> indirect                       -2.0 (-5.6, 1.2)   
32 -> network                        -0.45 (-2.8, 1.6)  
33 d.Dacomitinib.Erlotinib  0.431000                    
34 -> direct                         0.41 (-2.0, 2.9)   
35 -> indirect                       2.3 (-2.2, 6.9)    
36 -> network                        0.76 (-1.2, 3.0)   
37 d.Dacomitinib.Placebo    0.460275                    
38 -> direct                         0.66 (-3.6, 4.8)   
39 -> indirect                       -1.0 (-4.4, 1.7)   
40 -> network                        -0.46 (-3.0, 1.7)  
41 d.Erlotinib.Placebo      0.427300                    
42 -> direct                         -2.0 (-5.7, 0.23)  
43 -> indirect                       -0.66 (-3.3, 1.5)  
44 -> network                        -1.2 (-3.2, 0.24)  
45 d.Gefitinib.Lazertinib   0.038800                    
46 -> direct                         -18. (-78., -0.018)
47 -> indirect                       1.7 (-2.6, 6.7)    
48 -> network                        -0.18 (-4.0, 3.4)  
49 d.Lazertinib.Osimertinib 0.031650                    
50 -> direct                         -1.6 (-5.6, 1.5)   
51 -> indirect                       18. (-0.13, 60.)   
52 -> network                        -0.64 (-3.5, 2.4)  
53 d.Osimertinib.Placebo    0.801350                    
54 -> direct                         -1.3 (-5.2, 1.4)   
55 -> indirect                       -2.0 (-6.0, 1.3)   
56 -> network                        -1.6 (-4.1, 0.49)  
