"","x"
"Afatinib",0.2349
"Almonertinib",0.0627
"antiangio",0.8667
"chemo",0.374
"Dacomitinib",0.3542
"Erlotinib",0.3548
"Erlotinib_antiangio",0.4106
"Erlotinib_chemo",0.2677
"Erlotinib_HER3i",0.7964
"Erlotinib_IGF_1Ri",0.4417
"Erlotinib_METi",0.3525
"Erlotinib_MMPi",0.7875
"Gefitinib",0.482
"Gefitinib_chemo",0.8229
"Gefitinib_Erlotinib",0.2019
"Gefitinib_PARPi",0.818
"Icotinib",0.8473
"Lazertinib",0.4358
"Lazertinib_Amivantamab",0.3607
"Osimertinib",0.4229
"Osimertinib_antiangio",0.8208
"Osimertinib_chemo",0.8357
"Placebo",0.1481
