[1] "Serious Hypertension[2025-05-26 07:57:09]: mtc.nodesplit"
Node-splitting analysis of inconsistency
========================================

   comparison                      p.value  CrI                   
1  d.Afatinib.Erlotinib            0.049100                       
2  -> direct                                23. (-0.23, 84.)      
3  -> indirect                              -2.0 (-10., 5.6)      
4  -> network                               1.1 (-4.0, 7.5)       
5  d.Afatinib.Gefitinib            0.046500                       
6  -> direct                                35. (0.61, 1.0e+02)   
7  -> indirect                              -0.91 (-10., 6.7)     
8  -> network                               1.7 (-3.6, 8.0)       
9  d.Afatinib.Placebo              0.000825                       
10 -> direct                                -37. (-1.1e+02, -0.82)
11 -> indirect                              19. (3.1, 66.)        
12 -> network                               2.1 (-3.0, 7.6)       
13 d.antiangio.Erlotinib           0.060475                       
14 -> direct                                -3.6 (-8.8, 0.31)     
15 -> indirect                              -34. (-1.2e+02, -3.5) 
16 -> network                               -4.6 (-8.6, -1.3)     
17 d.antiangio.Erlotinib_antiangio 0.523250                       
18 -> direct                                -3.0 (-8.6, 2.3)      
19 -> indirect                              -0.66 (-6.4, 4.5)     
20 -> network                               -2.1 (-5.9, 1.4)      
21 d.antiangio.Gefitinib           0.048075                       
22 -> direct                                -40. (-1.3e+02, -2.6) 
23 -> indirect                              -1.0 (-9.2, 7.8)      
24 -> network                               -3.8 (-11., 1.3)      
25 d.Erlotinib.Placebo             0.000800                       
26 -> direct                                19. (1.0, 71.)        
27 -> indirect                              -23. (-71., -0.82)    
28 -> network                               0.87 (-4.3, 6.0)      
29 d.Gefitinib.Lazertinib          0.000875                       
30 -> direct                                -32. (-1.1e+02, -0.62)
31 -> indirect                              44. (2.5, 1.3e+02)    
32 -> network                               -0.46 (-7.8, 5.6)     
33 d.Gefitinib.Placebo             0.023275                       
34 -> direct                                27. (0.48, 83.)       
35 -> indirect                              -3.2 (-11., 3.6)      
36 -> network                               0.22 (-4.7, 5.5)      
37 d.Lazertinib.Osimertinib        0.001600                       
38 -> direct                                -30. (-1.1e+02, -1.1) 
39 -> indirect                              38. (2.0, 1.2e+02)    
40 -> network                               -1.2 (-8.7, 4.9)      
41 d.Osimertinib.Placebo           0.000750                       
42 -> direct                                0.048 (-5.6, 5.7)     
43 -> indirect                              76. (19., 2.0e+02)    
44 -> network                               2.2 (-2.8, 8.1)       
