"","x"
"Afatinib",0.4799
"Afatinib_Cetuximab",0.7136
"Almonertinib",0.9732
"antiangio",0.6509
"chemo",0.5088
"Dacomitinib",0.3573
"DHFRi",0.453
"Erlotinib",0.3884
"Erlotinib_antiangio",0.5374
"Erlotinib_Autophagyi",0.034
"Erlotinib_chemo",0.5442
"Erlotinib_COX2i",0.024
"Erlotinib_ERi",0.9505
"Erlotinib_HER3i",0.335
"Erlotinib_HGFi",0.9417
"Erlotinib_IGF_1Ri",0.7939
"Erlotinib_METi",0.5489
"Erlotinib_MMPi",0.2526
"Gefitinib",0.283
"Gefitinib_chemo",0.666
"Gefitinib_Erlotinib",0.156
"Lazertinib",0.5448
"Lazertinib_Amivantamab",0.7684
"Osimertinib",0.3885
"Osimertinib_antiangio",0.2513
"Osimertinib_chemo",0.6826
"Placebo",0.3262
"Rociletinib",0.4457
