[1] "Serious Vascular Toxicity[2025-05-26 06:26:45]: mtc.nodesplit"
Node-splitting analysis of inconsistency
========================================

   comparison                      p.value  CrI                 
1  d.Afatinib.chemo                0.220675                     
2  -> direct                                0.82 (-0.64, 2.4)   
3  -> indirect                              -0.28 (-1.4, 0.75)  
4  -> network                               0.073 (-0.79, 0.93) 
5  d.Afatinib.Erlotinib            0.910475                     
6  -> direct                                -0.15 (-1.5, 1.1)   
7  -> indirect                              -0.24 (-1.3, 0.98)  
8  -> network                               -0.20 (-0.98, 0.65) 
9  d.Afatinib.Gefitinib            0.806850                     
10 -> direct                                -0.69 (-2.2, 0.75)  
11 -> indirect                              -0.46 (-1.7, 0.78)  
12 -> network                               -0.55 (-1.5, 0.35)  
13 d.Afatinib.Placebo              0.197875                     
14 -> direct                                -1.4 (-3.6, 0.33)   
15 -> indirect                              -0.077 (-1.1, 0.96) 
16 -> network                               -0.37 (-1.3, 0.47)  
17 d.antiangio.Erlotinib_antiangio 0.306100                     
18 -> direct                                -1.1 (-3.4, 0.83)   
19 -> indirect                              0.076 (-1.3, 1.3)   
20 -> network                               -0.40 (-1.6, 0.61)  
21 d.chemo.Erlotinib               0.171100                     
22 -> direct                                0.051 (-0.78, 0.99) 
23 -> indirect                              -0.93 (-2.1, 0.22)  
24 -> network                               -0.28 (-0.95, 0.45) 
25 d.chemo.Gefitinib               0.721725                     
26 -> direct                                -0.82 (-2.5, 0.59)  
27 -> indirect                              -0.49 (-1.6, 0.71)  
28 -> network                               -0.62 (-1.5, 0.27)  
29 d.chemo.Osimertinib             0.927400                     
30 -> direct                                -0.35 (-1.8, 1.1)   
31 -> indirect                              -0.26 (-1.6, 1.0)   
32 -> network                               -0.32 (-1.3, 0.64)  
33 d.Dacomitinib.Erlotinib         0.267800                     
34 -> direct                                0.47 (-0.58, 1.6)   
35 -> indirect                              -0.52 (-2.0, 0.95)  
36 -> network                               0.13 (-0.72, 1.0)   
37 d.Dacomitinib.Gefitinib         0.619550                     
38 -> direct                                -0.85 (-4.4, 1.9)   
39 -> indirect                              -0.093 (-1.4, 1.2)  
40 -> network                               -0.21 (-1.4, 0.88)  
41 d.Dacomitinib.Placebo           0.378100                     
42 -> direct                                -0.57 (-2.2, 0.91)  
43 -> indirect                              0.27 (-0.97, 1.5)   
44 -> network                               -0.046 (-1.0, 0.87) 
45 d.Erlotinib.Placebo             0.027700                     
46 -> direct                                0.43 (-0.42, 1.3)   
47 -> indirect                              -0.98 (-2.1, -0.028)
48 -> network                               -0.18 (-0.91, 0.46) 
49 d.Gefitinib.Lazertinib          0.625425                     
50 -> direct                                1.0 (-0.57, 2.7)    
51 -> indirect                              0.45 (-1.4, 2.3)    
52 -> network                               0.74 (-0.38, 1.9)   
53 d.Gefitinib.Placebo             0.161250                     
54 -> direct                                -0.79 (-2.6, 0.82)  
55 -> indirect                              0.56 (-0.50, 1.7)   
56 -> network                               0.17 (-0.72, 1.1)   
57 d.Lazertinib.Osimertinib        0.615525                     
58 -> direct                                -0.30 (-1.6, 1.0)   
59 -> indirect                              -0.87 (-2.9, 1.2)   
60 -> network                               -0.45 (-1.5, 0.60)  
61 d.Osimertinib.Placebo           0.781575                     
62 -> direct                                -0.055 (-1.2, 1.1)  
63 -> indirect                              -0.31 (-1.8, 1.2)   
64 -> network                               -0.14 (-1.0, 0.73)  
