"","x"
"Afatinib",0.6056
"Afatinib_Cetuximab",0.4548
"Afatinib_HMGCRi",0.6779
"Almonertinib",0.4672
"antiangio",0.9422
"chemo",0.6325
"chemo_antiangio",0.0236
"Dacomitinib",0.2912
"DHFRi",0.5274
"Erlotinib",0.5266
"Erlotinib_antiangio",0.4124
"Erlotinib_Autophagyi",0.5164
"Erlotinib_chemo",0.7027
"Erlotinib_HER3i",0.5475
"Erlotinib_IGF_1Ri",0.4294
"Erlotinib_METi",0.3894
"Erlotinib_MMPi",0.3367
"Furmonertinib",0.4995
"Gefitinib",0.4503
"Gefitinib_chemo",0.5631
"Gefitinib_Erlotinib",0.3047
"Lazertinib",0.6292
"Lazertinib_Amivantamab",0.5905
"Osimertinib",0.5504
"Osimertinib_antiangio",0.7781
"Osimertinib_chemo",0.6623
"Osimertinib_PD_L1i",0.0223
"Placebo",0.1761
"Rociletinib",0.9386
"Zorifertinib",0.3512
