[1] "Total Heart Failure (Gen)[2025-05-26 06:16:56]: mtc.nodesplit"
Node-splitting analysis of inconsistency
========================================

   comparison    p.value  CrI                
1  d.chemo.I     0.983000                    
2  -> direct              -0.019 (-4.4, 4.4) 
3  -> indirect            0.068 (-4.2, 4.9)  
4  -> network             0.052 (-2.9, 3.1)  
5  d.chemo.II    0.025925                    
6  -> direct              -22. (-70., -1.1)  
7  -> indirect            0.73 (-3.2, 5.3)   
8  -> network             -0.81 (-4.3, 2.4)  
9  d.chemo.III   0.043050                    
10 -> direct              16. (-0.14, 53.)   
11 -> indirect            -1.0 (-5.7, 2.9)   
12 -> network             0.48 (-2.6, 3.9)   
13 d.I.II        0.368650                    
14 -> direct              -0.17 (-3.0, 2.6)  
15 -> indirect            -2.3 (-7.1, 1.5)   
16 -> network             -0.85 (-3.3, 1.2)  
17 d.I.III       0.275225                    
18 -> direct              1.3 (-1.3, 4.0)    
19 -> indirect            -0.91 (-4.3, 2.6)  
20 -> network             0.46 (-1.7, 2.6)   
21 d.I.Placebo   0.003300                    
22 -> direct              -26. (-68., -3.0)  
23 -> indirect            0.16 (-2.9, 2.7)   
24 -> network             -1.8 (-4.7, 0.17)  
25 d.II.Placebo  0.970625                    
26 -> direct              -1.1 (-5.5, 2.8)   
27 -> indirect            -0.99 (-5.1, 2.4)  
28 -> network             -0.94 (-3.9, 1.5)  
29 d.III.Placebo 0.026000                    
30 -> direct              -0.11 (-3.2, 2.4)  
31 -> indirect            -5.0 (-10., -1.7)  
32 -> network             -2.3 (-5.2, -0.088)
