"","x"
"Afatinib",0.2808
"Almonertinib",0.0858
"antiangio",0.9256
"chemo",0.4292
"Dacomitinib",0.4147
"Erlotinib",0.4061
"Erlotinib_antiangio",0.4823
"Erlotinib_chemo",0.3211
"Erlotinib_HER3i",0.8617
"Erlotinib_HGFi",0.0287
"Erlotinib_IGF_1Ri",0.5253
"Erlotinib_METi",0.4076
"Erlotinib_MMPi",0.8565
"Gefitinib",0.5528
"Gefitinib_chemo",0.5064
"Gefitinib_Erlotinib",0.2517
"Gefitinib_PARPi",0.8852
"Icotinib",0.9003
"Lazertinib",0.5034
"Lazertinib_Amivantamab",0.4219
"Osimertinib",0.4785
"Osimertinib_antiangio",0.7176
"Osimertinib_chemo",0.5664
"Placebo",0.1906
