[1] "Total Heart Failure[2025-05-26 06:04:23]: mtc.nodesplit"
Node-splitting analysis of inconsistency
========================================

   comparison               p.value  CrI              
1  d.Afatinib.chemo         0.074100                  
2  -> direct                         14. (-0.10, 43.) 
3  -> indirect                       -0.51 (-5.6, 4.6)
4  -> network                        1.3 (-2.4, 6.1)  
5  d.Afatinib.Erlotinib     0.445125                  
6  -> direct                         0.31 (-3.6, 4.2) 
7  -> indirect                       2.7 (-2.3, 8.9)  
8  -> network                        1.1 (-1.7, 4.3)  
9  d.Afatinib.Placebo       0.888250                  
10 -> direct                         -1.1 (-5.7, 3.1) 
11 -> indirect                       -0.65 (-5.7, 4.0)
12 -> network                        -0.78 (-4.1, 2.2)
13 d.chemo.Erlotinib        0.037325                  
14 -> direct                         -22. (-79., 0.17)
15 -> indirect                       1.9 (-3.1, 7.4)  
16 -> network                        -0.25 (-4.6, 3.6)
17 d.chemo.Gefitinib        0.097425                  
18 -> direct                         13. (-0.97, 44.) 
19 -> indirect                       -1.1 (-7.5, 5.5) 
20 -> network                        1.1 (-3.2, 6.7)  
21 d.chemo.Osimertinib      0.034150                  
22 -> direct                         13. (-0.35, 49.) 
23 -> indirect                       -2.4 (-8.5, 3.0) 
24 -> network                        0.36 (-3.3, 4.5) 
25 d.Erlotinib.Placebo      0.006925                  
26 -> direct                         -29. (-81., -3.1)
27 -> indirect                       0.96 (-3.5, 6.2) 
28 -> network                        -1.9 (-5.3, 0.78)
29 d.Gefitinib.Lazertinib   0.004725                  
30 -> direct                         16. (-0.61, 55.) 
31 -> indirect                       -16. (-48., -1.3)
32 -> network                        -0.56 (-5.4, 4.5)
33 d.Gefitinib.Placebo      0.106525                  
34 -> direct                         -22. (-66., -1.1)
35 -> indirect                       -2.0 (-8.5, 3.7) 
36 -> network                        -3.3 (-9.3, 0.74)
37 d.Lazertinib.Osimertinib 0.003050                  
38 -> direct                         1.3 (-2.5, 5.7)  
39 -> indirect                       -34. (-79., -7.1)
40 -> network                        -0.26 (-4.1, 3.3)
41 d.Osimertinib.Placebo    0.000050                  
42 -> direct                         -0.10 (-3.3, 2.4)
43 -> indirect                       -37. (-68., -14.)
44 -> network                        -2.6 (-6.4, 0.26)
