"","x"
"Afatinib",0.3871
"Afatinib_Cetuximab",0.2597
"Almonertinib",0.477
"antiangio",0.8689
"chemo",0.6829
"Dacomitinib",0.3651
"Erlotinib",0.3661
"Erlotinib_antiangio",0.8136
"Erlotinib_Autophagyi",0.2208
"Erlotinib_IGF_1Ri",0.6528
"Erlotinib_METi",0.9753
"Gefitinib",0.3967
"Gefitinib_antiangio",0.9106
"Gefitinib_chemo",0.4432
"Gefitinib_Erlotinib",0.2709
"Lazertinib",0.4013
"Lazertinib_Amivantamab",0.3865
"Osimertinib",0.3421
"Osimertinib_antiangio",0.8642
"Osimertinib_chemo",0.4624
"Osimertinib_PD_L1i",0.0093
"Placebo",0.4436
