[1] "Total Hypertension[2025-05-26 08:14:39]: mtc.nodesplit"
Node-splitting analysis of inconsistency
========================================

   comparison                      p.value  CrI                  
1  d.Afatinib.chemo                0.332850                      
2  -> direct                                0.80 (-0.63, 2.2)    
3  -> indirect                              2.5 (-0.61, 6.4)     
4  -> network                               1.1 (-0.14, 2.3)     
5  d.Afatinib.Erlotinib            0.018850                      
6  -> direct                                26. (1.2, 90.)       
7  -> indirect                              -0.44 (-2.4, 1.4)    
8  -> network                               0.015 (-1.7, 1.7)    
9  d.Afatinib.Gefitinib            0.012250                      
10 -> direct                                47. (2.3, 1.0e+02)   
11 -> indirect                              -0.48 (-2.8, 1.6)    
12 -> network                               0.10 (-1.8, 2.0)     
13 d.Afatinib.Placebo              0.015200                      
14 -> direct                                -43. (-1.4e+02, -1.7)
15 -> indirect                              0.61 (-1.4, 2.7)     
16 -> network                               0.26 (-1.6, 2.1)     
17 d.antiangio.Erlotinib           0.271325                      
18 -> direct                                -2.2 (-3.2, -1.1)    
19 -> indirect                              -4.1 (-8.3, -0.82)   
20 -> network                               -2.2 (-3.1, -1.4)    
21 d.antiangio.Erlotinib_antiangio 0.738250                      
22 -> direct                                -0.15 (-1.7, 1.4)    
23 -> indirect                              -0.47 (-1.9, 0.88)   
24 -> network                               -0.36 (-1.3, 0.57)   
25 d.antiangio.Gefitinib           0.243525                      
26 -> direct                                -3.1 (-6.4, -0.92)   
27 -> indirect                              -1.1 (-3.6, 1.4)     
28 -> network                               -2.1 (-3.8, -0.65)   
29 d.chemo.Erlotinib               0.084000                      
30 -> direct                                -2.5 (-5.8, -0.33)   
31 -> indirect                              0.21 (-2.0, 2.6)     
32 -> network                               -1.0 (-2.5, 0.28)    
33 d.chemo.Osimertinib             0.392450                      
34 -> direct                                -0.87 (-2.4, 0.61)   
35 -> indirect                              -2.2 (-5.0, 0.50)    
36 -> network                               -1.1 (-2.5, 0.11)    
37 d.Erlotinib.Placebo             0.942725                      
38 -> direct                                0.26 (-1.1, 1.6)     
39 -> indirect                              0.15 (-2.6, 3.0)     
40 -> network                               0.25 (-0.92, 1.4)    
41 d.Gefitinib.Lazertinib          0.287675                      
42 -> direct                                -0.34 (-1.8, 1.1)    
43 -> indirect                              1.4 (-1.4, 4.5)      
44 -> network                               -0.013 (-1.3, 1.3)   
45 d.Gefitinib.Placebo             0.023775                      
46 -> direct                                39. (1.2, 87.)       
47 -> indirect                              -0.28 (-2.3, 1.6)    
48 -> network                               0.16 (-1.6, 2.0)     
49 d.Lazertinib.Osimertinib        0.280650                      
50 -> direct                                -0.44 (-1.8, 0.94)   
51 -> indirect                              1.3 (-1.7, 4.5)      
52 -> network                               -0.17 (-1.4, 1.1)    
53 d.Osimertinib.Placebo           0.874375                      
54 -> direct                                0.094 (-3.6, 4.0)    
55 -> indirect                              0.42 (-1.7, 2.5)     
56 -> network                               0.33 (-1.4, 2.0)     
