"","x"
"Afatinib",0.5171
"Afatinib_Cetuximab",0.6271
"Almonertinib",0.999
"antiangio",0.6993
"chemo",0.5675
"Dacomitinib",0.391
"DHFRi",0.4857
"Erlotinib",0.436
"Erlotinib_antiangio",0.48
"Erlotinib_Autophagyi",0.023
"Erlotinib_chemo",0.4332
"Erlotinib_COX2i",0.0247
"Erlotinib_ERi",0.6933
"Erlotinib_HER3i",0.3695
"Erlotinib_HGFi",0.4573
"Erlotinib_IGF_1Ri",0.8618
"Erlotinib_METi",0.5474
"Erlotinib_MMPi",0.2947
"Gefitinib",0.292
"Gefitinib_chemo",0.6257
"Gefitinib_ERi",0.8112
"Gefitinib_Erlotinib",0.1735
"Lazertinib",0.583
"Lazertinib_Amivantamab",0.8972
"Osimertinib",0.4296
"Osimertinib_antiangio",0.2783
"Osimertinib_chemo",0.6633
"Placebo",0.3545
"Rociletinib",0.4843
