"","group","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Arrhythmias (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Arrhythmias","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Heart Failure (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Heart Failure","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Hypertension (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Hypertension","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Vascular Toxicity (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Serious Vascular Toxicity","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Arrhythmias (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Arrhythmias","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Heart Failure (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Heart Failure","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Hypertension (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Hypertension","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Vascular Toxicity (Gen)","/mnt/e/NMA-for-EGFR-TKI/outcomes/Bayesian/secondary/Total Vascular Toxicity"
"1","antiangio",0.8134,0.7505,0.8689,0.8667,0.6759,0.6364,0.5816,0.6515,0.9542,0.9422,0.9278,0.9256,0.8548,0.8679,0.6522,0.6993
"2","chemo",0.5866,0.6182,0.3182,0.374,0.885,0.8777,0.4984,0.5098,0.6224,0.6325,0.3818,0.4292,0.6343,0.6832,0.5897,0.5675
"3","DHFRi",0.4814,0.4534,NA,NA,NA,NA,0.4103,0.4516,0.5269,0.5274,NA,NA,NA,NA,0.4641,0.4857
"4","I",0.4438,NA,0.3194,NA,0.3371,NA,0.2849,NA,0.5024,NA,0.3819,NA,0.3016,NA,0.3507,NA
"5","I_antiangio",0.4878,NA,0.39,NA,0.5852,NA,0.4259,NA,0.3722,NA,0.4812,NA,0.7896,NA,0.3939,NA
"6","I_chemo",0.6815,NA,0.3654,NA,0.3264,NA,0.5792,NA,0.6885,NA,0.2992,NA,0.3557,NA,0.5812,NA
"7","I_HER3i",0.4956,NA,0.7979,NA,NA,NA,0.2898,NA,0.5424,NA,0.8709,NA,NA,NA,0.339,NA
"8","I_IGF_1Ri",0.5059,NA,0.4253,NA,0.8365,NA,0.7462,NA,0.3817,NA,0.529,NA,0.6156,NA,0.8462,NA
"9","I_METi",0.2746,NA,0.3188,NA,0.8393,NA,0.4295,NA,0.3595,NA,0.3838,NA,0.9714,NA,0.4592,NA
"10","II",0.4375,NA,0.1962,NA,0.2277,NA,0.3879,NA,0.4203,NA,0.2599,NA,0.3072,NA,0.4566,NA
"11","II_Cetuximab",0.0493,NA,NA,NA,0.0089,NA,0.6597,NA,0.2998,NA,NA,NA,0.1892,NA,0.5878,NA
"12","II_HMGCRi",0.0395,NA,NA,NA,NA,NA,NA,NA,0.5572,NA,NA,NA,NA,NA,NA,NA
"13","III",0.5821,NA,0.4043,NA,0.1696,NA,0.666,NA,0.6206,NA,0.4682,NA,0.3594,NA,0.6971,NA
"14","III_Amivantamab",0.4982,NA,0.2866,NA,NA,NA,0.834,NA,0.5102,NA,0.3526,NA,0.3849,NA,0.9553,NA
"15","III_antiangio",0.9954,NA,0.8237,NA,0.4065,NA,0.4276,NA,0.842,NA,0.7253,NA,0.8768,NA,0.4381,NA
"16","III_chemo",0.7141,NA,0.8255,NA,0.8183,NA,0.8067,NA,0.714,NA,0.5727,NA,0.4665,NA,0.8206,NA
"17","Placebo",0.1958,0.1919,0.0732,0.1481,0.3838,0.3757,0.3571,0.3264,0.1671,0.1761,0.1366,0.1906,0.4011,0.4432,0.4023,0.3545
"18","Rociletinib",0.4877,0.4612,NA,NA,NA,NA,0.4058,0.4432,0.96,0.9386,NA,NA,NA,NA,0.4587,0.4843
"19","Zorifertinib",0.7297,0.5557,NA,NA,NA,NA,NA,NA,0.5565,0.3512,NA,NA,NA,NA,NA,NA
"20","Afatinib",NA,0.5054,NA,0.2349,NA,0.2157,NA,0.478,NA,0.6056,NA,0.2808,NA,0.3885,NA,0.5171
"21","Afatinib_Cetuximab",NA,0.0421,NA,NA,NA,0.0097,NA,0.7148,NA,0.4548,NA,NA,NA,0.2617,NA,0.6271
"22","Afatinib_HMGCRi",NA,0.0431,NA,NA,NA,NA,NA,NA,NA,0.6779,NA,NA,NA,NA,NA,NA
"23","Almonertinib",NA,0.7604,NA,0.0627,NA,NA,NA,0.9695,NA,0.4672,NA,0.0858,NA,0.4757,NA,0.999
"24","Dacomitinib",NA,0.2755,NA,0.3542,NA,NA,NA,0.3583,NA,0.2912,NA,0.4147,NA,0.3656,NA,0.391
