"Osimertinib","1.03 (0.69 to  1.53)","1.09 (0.43 to  2.73)","0.70 (0.40 to  1.22)",".",".",".",".",".",".","0.46 (0.26 to  0.81)",".",".",".",".",".",".",".",".",".",".","0.30 (0.17 to  0.54)",".","0.23 (0.11 to  0.50)",".",".","0.16 (0.08 to  0.32)",".","."
"1.03 (0.69 to  1.53)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.09 (0.43 to  2.73)","1.06 (0.39 to  2.90)","Osimertinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.70 (0.40 to  1.22)","0.68 (0.34 to  1.35)","0.64 (0.22 to  1.88)","Amivantamab  +  Lazertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.70 (0.26 to  1.84)","0.68 (0.24 to  1.94)","0.64 (0.17 to  2.43)","1.00 (0.33 to  3.04)","Befotertinib",".",".",".",".",".",".",".",".",".","0.49 (0.27 to  0.90)",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.65 (0.30 to  1.41)","0.64 (0.27 to  1.51)","0.60 (0.18 to  1.98)","0.93 (0.36 to  2.40)","0.94 (0.34 to  2.59)","Furmonertinib",".",".",".",".",".",".",".",".",".",".",".","0.44 (0.25 to  0.79)",".",".",".",".",".",".",".",".",".",".","."
"0.62 (0.29 to  1.34)","0.61 (0.26 to  1.44)","0.57 (0.17 to  1.89)","0.89 (0.35 to  2.29)","0.89 (0.32 to  2.47)","0.96 (0.42 to  2.18)","Almonertinib",".",".",".",".",".",".",".",".",".",".","0.46 (0.26 to  0.82)",".",".",".",".",".",".",".",".",".",".","."
"0.64 (0.29 to  1.42)","0.62 (0.26 to  1.52)","0.59 (0.17 to  1.98)","0.91 (0.35 to  2.41)","0.92 (0.26 to  3.22)","0.98 (0.32 to  2.97)","1.03 (0.34 to  3.10)","Zorifertinib",".",".","0.72 (0.41 to  1.26)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.59 (0.24 to  1.44)","0.58 (0.22 to  1.53)","0.54 (0.15 to  1.95)","0.85 (0.30 to  2.41)","0.85 (0.27 to  2.67)","0.91 (0.34 to  2.42)","0.95 (0.36 to  2.52)","0.93 (0.28 to  3.06)","Afatinib + HMGCR inhibitor","0.72 (0.35 to  1.49)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.43 (0.25 to  0.72)","0.42 (0.22 to  0.81)","0.39 (0.14 to  1.13)","0.61 (0.29 to  1.31)","0.62 (0.25 to  1.50)","0.66 (0.34 to  1.28)","0.69 (0.36 to  1.33)","0.67 (0.26 to  1.74)","0.72 (0.35 to  1.49)","Afatinib",".","1.01 (0.54 to  1.88)",".",".",".",".","0.81 (0.47 to  1.40)","0.73 (0.41 to  1.30)",".",".",".","0.58 (0.38 to  0.89)",".",".",".",".","0.38 (0.22 to  0.67)",".","."
"0.46 (0.26 to  0.81)","0.45 (0.22 to  0.90)","0.42 (0.14 to  1.24)","0.66 (0.30 to  1.45)","0.66 (0.21 to  2.03)","0.71 (0.27 to  1.83)","0.74 (0.29 to  1.91)","0.72 (0.41 to  1.26)","0.78 (0.27 to  2.23)","1.07 (0.50 to  2.31)","Gefitinib/Erlotinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.43 (0.19 to  0.98)","0.42 (0.17 to  1.05)","0.40 (0.12 to  1.36)","0.62 (0.23 to  1.65)","0.62 (0.21 to  1.84)","0.67 (0.27 to  1.65)","0.70 (0.28 to  1.72)","0.68 (0.22 to  2.11)","0.73 (0.28 to  1.90)","1.01 (0.54 to  1.88)","0.94 (0.35 to  2.53)","Afatinib +Cetuximab",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.40 (0.18 to  0.87)","0.39 (0.16 to  0.94)","0.36 (0.11 to  1.22)","0.57 (0.22 to  1.49)","0.57 (0.20 to  1.60)","0.61 (0.26 to  1.42)","0.63 (0.27 to  1.48)","0.62 (0.20 to  1.90)","0.67 (0.25 to  1.81)","0.92 (0.46 to  1.83)","0.86 (0.33 to  2.27)","0.91 (0.36 to  2.31)","Gefitinib + PARP inhibitor",".",".",".",".","0.72 (0.39 to  1.34)",".",".",".",".",".",".",".",".",".",".","."
"0.38 (0.22 to  0.64)","0.37 (0.19 to  0.72)","0.34 (0.12 to  1.00)","0.54 (0.25 to  1.16)","0.54 (0.22 to  1.32)","0.58 (0.29 to  1.13)","0.60 (0.31 to  1.18)","0.59 (0.22 to  1.53)","0.63 (0.28 to  1.44)","0.87 (0.59 to  1.29)","0.82 (0.37 to  1.78)","0.87 (0.42 to  1.80)","0.95 (0.47 to  1.91)","Dacomitinib",".",".","0.81 (0.54 to  1.21)","0.59 (0.33 to  1.04)",".",".",".",".",".",".",".",".","0.66 (0.38 to  1.14)",".","."
"0.34 (0.16 to  0.73)","0.33 (0.14 to  0.78)","0.31 (0.10 to  1.03)","0.49 (0.19 to  1.24)","0.49 (0.27 to  0.90)","0.52 (0.23 to  1.18)","0.55 (0.24 to  1.23)","0.53 (0.18 to  1.60)","0.58 (0.22 to  1.52)","0.80 (0.42 to  1.52)","0.74 (0.29 to  1.90)","0.79 (0.32 to  1.93)","0.86 (0.37 to  1.99)","0.91 (0.47 to  1.76)","Icotinib",".",".","0.84 (0.48 to  1.48)",".",".",".",".",".",".",".",".",".",".","."
"0.32 (0.18 to  0.56)","0.31 (0.15 to  0.62)","0.29 (0.10 to  0.86)","0.45 (0.20 to  1.00)","0.45 (0.18 to  1.14)","0.49 (0.24 to  0.99)","0.51 (0.25 to  1.03)","0.49 (0.19 to  1.32)","0.53 (0.23 to  1.23)","0.74 (0.48 to  1.13)","0.69 (0.31 to  1.53)","0.73 (0.34 to  1.55)","0.80 (0.38 to  1.67)","0.84 (0.55 to  1.30)","0.93 (0.46 to  1.86)","Erlotinib + IGF-1R inhibitor","0.95 (0.70 to  1.30)",".",".",".",".",".",".",".",".",".",".",".","."
"0.30 (0.19 to  0.49)","0.29 (0.16 to  0.55)","0.28 (0.10 to  0.78)","0.43 (0.21 to  0.90)","0.43 (0.18 to  1.03)","0.46 (0.24 to  0.88)","0.48 (0.26 to  0.91)","0.47 (0.19 to  1.20)","0.51 (0.23 to  1.11)","0.70 (0.53 to  0.94)","0.66 (0.31 to  1.38)","0.70 (0.35 to  1.38)","0.76 (0.39 to  1.48)","0.80 (0.59 to  1.09)","0.88 (0.47 to  1.65)","0.95 (0.70 to  1.30)","Erlotinib",".","0.57 (0.30 to  1.07)","0.87 (0.55 to  1.37)","0.85 (0.63 to  1.14)","0.85 (0.68 to  1.07)","0.82 (0.42 to  1.58)",".",".","0.71 (0.46 to  1.09)","0.82 (0.56 to  1.20)","0.64 (0.54 to  0.77)","."
"0.29 (0.17 to  0.47)","0.28 (0.15 to  0.53)","0.26 (0.09 to  0.75)","0.41 (0.19 to  0.86)","0.41 (0.18 to  0.95)","0.44 (0.25 to  0.79)","0.46 (0.26 to  0.82)","0.45 (0.17 to  1.15)","0.48 (0.22 to  1.06)","0.67 (0.49 to  0.91)","0.62 (0.29 to  1.32)","0.66 (0.33 to  1.33)","0.72 (0.39 to  1.34)","0.76 (0.55 to  1.07)","0.84 (0.48 to  1.48)","0.91 (0.61 to  1.36)","0.95 (0.73 to  1.23)","Gefitinib",".",".",".","0.98 (0.73 to  1.32)",".",".","0.71 (0.39 to  1.28)","0.69 (0.37 to  1.27)","0.42 (0.24 to  0.75)",".","0.61 (0.45 to  0.82)"
