"","x"
"Afatinib",0.3011
"Afatinib_Cetuximab",0.3567
"Afatinib_HMGCRi",0.1077
"Almonertinib",0.5493
"antiangio",0.5792
"chemo",0.4015
"Dacomitinib",0.3564
"DHFRi",0.4214
"Erlotinib",0.5242
"Erlotinib_antiangio",0.5878
"Erlotinib_chemo",0.5713
"Erlotinib_COX2i",0.0879
"Erlotinib_HER3i",0.5129
"Erlotinib_IGF_1Ri",0.4811
"Erlotinib_METi",0.4115
"Erlotinib_MMPi",0.8696
"Furmonertinib",0.4468
"Gefitinib",0.3679
"Gefitinib_chemo",0.5899
"Gefitinib_Erlotinib",0.3543
"Gefitinib_PARPi",0.9094
"Icotinib",0.8424
"Lazertinib",0.4936
"Lazertinib_Amivantamab",0.5294
"Osimertinib",0.4772
"Osimertinib_antiangio",0.8577
"Osimertinib_chemo",0.6174
"Placebo",0.2882
"Rociletinib",0.587
"Zorifertinib",0.5192
