"","x"
"Afatinib",0.4048
"Afatinib_Cetuximab",0.5305
"Almonertinib",0.956
"antiangio",0.5408
"chemo",0.5273
"Dacomitinib",0.772
"DHFRi",0.5093
"Erlotinib",0.4285
"Erlotinib_antiangio",0.7253
"Erlotinib_chemo",0.3723
"Erlotinib_ERi",0.8516
"Erlotinib_HER3i",0.4484
"Erlotinib_HGFi",0.9233
"Erlotinib_IGF_1Ri",0.5643
"Erlotinib_METi",0.3315
"Erlotinib_MMPi",0.073
"Gefitinib",0.3088
"Gefitinib_antiangio",0.7809
"Gefitinib_chemo",0.3985
"Gefitinib_Erlotinib",0.2979
"Lazertinib",0.3856
"Lazertinib_Amivantamab",0.5391
"Osimertinib",0.3572
"Osimertinib_antiangio",0.4384
"Osimertinib_chemo",0.5377
"Placebo",0.4574
"Rociletinib",0.0395
