"","x"
"Afatinib",0.4415
"Afatinib_Cetuximab",0.4704
"Afatinib_HMGCRi",0.4961
"Almonertinib",0.5209
"antiangio",0.6907
"Befotertinib",0.8278
"chemo",0.6268
"chemo_antiangio",0.0874
"Dacomitinib",0.3013
"DHFRi",0.3868
"Erlotinib",0.4262
"Erlotinib_antiangio",0.4118
"Erlotinib_chemo",0.6445
"Erlotinib_COX2i",0.0583
"Erlotinib_HER3i",0.59
"Erlotinib_HGFi",0.1092
"Erlotinib_IGF_1Ri",0.4804
"Erlotinib_METi",0.4025
"Erlotinib_MMPi",0.6091
"Furmonertinib",0.5025
"Gefitinib",0.1756
"Gefitinib_chemo",0.5202
"Gefitinib_Erlotinib",0.5061
"Gefitinib_PARPi",0.8719
"Icotinib",0.8614
"Lazertinib",0.5377
"Lazertinib_Amivantamab",0.5848
"Osimertinib",0.6691
"Osimertinib_antiangio",0.7869
"Osimertinib_chemo",0.8823
"Osimertinib_PD_L1i",0.0716
"Placebo",0.3137
"Rociletinib",0.6151
"Zorifertinib",0.5196
