"","x"
"Afatinib",0.5534
"Afatinib_Cetuximab",0.4485
"Almonertinib",0.477
"antiangio",0.7665
"chemo",0.5165
"Dacomitinib",0.3944
"DHFRi",0.5917
"Erlotinib",0.4033
"Erlotinib_antiangio",0.6539
"Erlotinib_chemo",0.4827
"Erlotinib_ERi",0.5806
"Erlotinib_HER3i",0.3171
"Erlotinib_HGFi",0.528
"Erlotinib_IGF_1Ri",0.73
"Erlotinib_METi",0.4898
"Erlotinib_MMPi",0.1848
"Gefitinib",0.3438
"Gefitinib_antiangio",0.6826
"Gefitinib_chemo",0.5064
"Gefitinib_ERi",0.6746
"Gefitinib_Erlotinib",0.4403
"Lazertinib",0.4822
"Lazertinib_Amivantamab",0.5904
"Osimertinib",0.3674
"Osimertinib_antiangio",0.775
"Osimertinib_chemo",0.779
"Osimertinib_PD_L1i",0.2616
"Placebo",0.3852
"Rociletinib",0.0932
