"","x"
"Afatinib",0.4258
"Afatinib_Cetuximab",0.4593
"Afatinib_HMGCRi",0.0668
"Almonertinib",0.4805
"antiangio",0.7896
"chemo",0.5181
"Dacomitinib",0.2609
"DHFRi",0.3624
"Erlotinib",0.4129
"Erlotinib_antiangio",0.57
"Erlotinib_chemo",0.5833
"Erlotinib_COX2i",0.0383
"Erlotinib_HER3i",0.6719
"Erlotinib_IGF_1Ri",0.5102
"Erlotinib_METi",0.3651
"Furmonertinib",0.4064
"Gefitinib",0.3509
"Gefitinib_chemo",0.5056
"Gefitinib_Erlotinib",0.281
"Gefitinib_PARPi",0.9141
"Icotinib",0.9074
"Lazertinib",0.549
"Lazertinib_Amivantamab",0.6054
"Osimertinib",0.5099
"Osimertinib_antiangio",0.821
"Osimertinib_chemo",0.7247
"Placebo",0.3082
"Rociletinib",0.5506
"Zorifertinib",0.5508
